0000000921,scans,0000000146,DataLength
"header",0000000028,"lines"
"Date",6/18/2016,"Time",4:29:44 AM
"ID","HAL RC RGA 301 #14852","Version",3
"Scans",9
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Temperature","none",0.40,0.40,0.01,4.602,4.602,1.000000,1.000000,
"Scan 2","RGA","SEM","mass",2.00,2.00,0.01,4.602,4.602,0.440000,1.000000,
"Scan 3","RGA","SEM","mass",18.00,18.00,0.01,4.602,4.602,0.900000,1.000000,
"Scan 4","RGA","SEM","mass",28.00,28.00,0.01,4.602,4.602,1.050000,1.000000,
"Scan 5","RGA","SEM","mass",39.00,39.00,0.01,4.602,4.602,1.000000,1.000000,
"Scan 6","RGA","SEM","mass",41.00,41.00,0.01,4.602,4.602,1.000000,1.000000,
"Scan 7","RGA","SEM","mass",44.00,44.00,0.01,4.602,4.602,1.400000,1.000000,
"Scan 8","RGA","SEM","mass",68.00,68.00,0.01,4.602,4.602,1.000000,1.000000,
"Scan 9","RGA","SEM","mass",96.00,96.00,0.01,4.602,4.602,1.000000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.3,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",1000.000,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1100,"V"
"resolution",0,"%"
"Data",9
"Time","ms","Temperature","Hydrogen","Water","Carbon monoxide","furan39","Propene","Carbon dioxide","furan68","furf96",
00:00:01,      1230,   119.7276,  1.59295e-09, -2.59194e-10,  0.00000e+00,  9.34175e-10,  4.67625e-10,  3.34018e-10,  7.00900e-10, -4.67625e-10,
00:00:01,      1568,   120.3041,  0.00000e+00,  0.00000e+00, -2.23190e-10,  4.67625e-10,  2.34350e-10,  1.67393e-10,  4.67625e-10, -2.33275e-10,
00:00:01,      1906,   119.7289,  5.30170e-10,  7.78778e-10, -2.23190e-10,  4.67625e-10,  2.34350e-10,  3.34018e-10,  0.00000e+00,  4.67625e-10,
00:00:02,      2245,   119.7289,  5.30170e-10,  0.00000e+00,  1.78040e-09,  0.00000e+00, -2.33275e-10,  5.01411e-10,  4.67625e-10, -7.00900e-10,
00:00:02,      2582,   120.3041,  4.24868e-09,  1.37623e-08,  2.87107e-08,  1.63507e-09,  0.00000e+00,  7.34450e-09, -2.33275e-10,  1.40180e-09,
00:00:02,      2920,   120.0158,  6.90443e-09,  9.86731e-09,  2.38148e-08,  1.40287e-09,  7.00900e-10,  5.67600e-09,  7.00900e-10,  0.00000e+00,
00:00:03,      3257,   119.7289,  4.24868e-09,  9.60692e-09,  1.95865e-08,  7.00900e-10, -2.34350e-10,  4.50732e-09, -2.34350e-10,  9.35250e-10,
00:00:03,      3595,   119.7289,  6.37425e-09,  6.75100e-09,  1.73597e-08,  1.86942e-09,  7.00900e-10,  4.67394e-09,  4.67625e-10, -2.33275e-10,
00:00:03,      3932,   120.0158,  4.24868e-09,  7.27058e-09,  1.71375e-08,  7.00900e-10, -2.34350e-10,  3.17201e-09, -7.00900e-10,  4.67625e-10,
00:00:04,      4270,   120.0158,  5.31148e-09,  5.45263e-09,  1.44674e-08,  1.40180e-09,  9.35250e-10,  4.33993e-09,  4.67625e-10,  4.67625e-10,
00:00:04,      4607,   119.7276,  2.65573e-09,  5.19344e-09,  1.46886e-08,  2.33275e-10, -7.00900e-10,  3.00462e-09, -4.67625e-10,  2.33275e-10,
00:00:04,      4945,   120.0158,  5.84409e-09,  5.19344e-09,  1.29091e-08,  1.63615e-09,  7.00900e-10,  3.33864e-09,  4.67625e-10,  2.34350e-10,
00:00:05,      5282,   120.0158,  4.24868e-09,  4.15428e-09,  1.31313e-08,  0.00000e+00, -2.34350e-10,  2.67137e-09,  2.33275e-10, -4.67625e-10,
00:00:05,      5620,   119.7289,  6.37425e-09,  4.93306e-09,  1.13510e-08,  1.16852e-09,  4.67625e-10,  3.17201e-09,  0.00000e+00,  7.00900e-10,
00:00:05,      5957,   120.0158,  4.24868e-09,  2.85591e-09,  1.20185e-08,  2.33275e-10, -4.67625e-10,  2.33736e-09,  0.00000e+00,  0.00000e+00,
00:00:06,      6295,   120.0158,  4.24868e-09,  4.15428e-09,  1.06834e-08,  7.00900e-10,  0.00000e+00,  2.33736e-09, -4.67625e-10,  1.16852e-09,
00:00:06,      6632,   119.7276,  5.84164e-09,  2.59672e-09,  1.15741e-08,  7.00900e-10,  0.00000e+00,  2.67061e-09,  4.67625e-10, -4.67625e-10,
00:00:06,      6970,   120.0158,  2.12312e-09,  3.63469e-09,  1.04612e-08,  7.00900e-10,  0.00000e+00,  1.66932e-09, -2.34350e-10,  9.35250e-10,
00:00:07,      7307,   120.0158,  5.30902e-09,  2.33633e-09,  1.13510e-08,  9.35250e-10,  7.00900e-10,  2.67061e-09,  4.67625e-10, -4.67625e-10,
00:00:07,      7645,   119.4406,  2.12557e-09,  3.37550e-09,  1.00159e-08,  4.67625e-10, -2.34350e-10,  2.00257e-09, -7.00900e-10,  4.67625e-10,
