0000001048,scans,0000000146,DataLength
"header",0000000028,"lines"
"Date",6/18/2016,"Time",7:19:48 AM
"ID","HAL RC RGA 301 #14852","Version",3
"Scans",9
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Temperature","none",0.40,0.40,0.01,4.602,4.602,1.000000,1.000000,
"Scan 2","RGA","SEM","mass",2.00,2.00,0.01,4.602,4.602,0.440000,1.000000,
"Scan 3","RGA","SEM","mass",18.00,18.00,0.01,4.602,4.602,0.900000,1.000000,
"Scan 4","RGA","SEM","mass",28.00,28.00,0.01,4.602,4.602,1.050000,1.000000,
"Scan 5","RGA","SEM","mass",39.00,39.00,0.01,4.602,4.602,1.000000,1.000000,
"Scan 6","RGA","SEM","mass",41.00,41.00,0.01,4.602,4.602,1.000000,1.000000,
"Scan 7","RGA","SEM","mass",44.00,44.00,0.01,4.602,4.602,1.400000,1.000000,
"Scan 8","RGA","SEM","mass",68.00,68.00,0.01,4.602,4.602,1.000000,1.000000,
"Scan 9","RGA","SEM","mass",96.00,96.00,0.01,4.602,4.602,1.000000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.3,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",1000.000,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1100,"V"
"resolution",0,"%"
"Data",9
"Time","ms","Temperature","Hydrogen","Water","Carbon monoxide","furan39","Propene","Carbon dioxide","furan68","furf96",
00:00:01,      1230,   120.3027,  2.12312e-09, -7.78778e-10,  0.00000e+00,  4.67625e-10,  4.67625e-10,  5.00643e-10,  9.34175e-10, -7.00900e-10,
00:00:01,      1568,   120.3041,  2.12312e-09, -7.78778e-10, -2.22167e-10,  7.00900e-10,  7.00900e-10,  5.00643e-10,  7.00900e-10, -2.33275e-10,
00:00:01,      1906,   120.0158,  1.59295e-09,  7.78778e-10,  6.00873e-09,  7.00900e-10,  7.00900e-10,  1.50193e-09,  7.00900e-10, -2.34350e-10,
00:00:02,      2243,   120.3041,  2.65573e-09,  7.52978e-09,  3.73905e-08,  1.86942e-09,  9.34175e-10,  6.67652e-09,  1.16852e-09,  9.34175e-10,
00:00:02,      2580,   120.3041,  6.37425e-09,  1.71379e-08,  6.18739e-08,  4.43975e-09,  7.00900e-10,  1.23525e-08,  9.35250e-10,  1.16852e-09,
00:00:02,      2917,   120.0158,  4.77886e-09,  1.50607e-08,  3.89488e-08,  2.80467e-09, -4.67625e-10,  9.84850e-09, -2.34350e-10,  2.10377e-09,
00:00:03,      3255,   120.3027,  7.96720e-09,  1.06461e-08,  3.11596e-08,  3.50557e-09,  7.00900e-10,  9.01386e-09,  9.35250e-10,  1.16852e-09,
00:00:03,      3592,   120.3041,  4.78130e-09,  1.09053e-08,  2.80431e-08,  2.57032e-09, -7.00900e-10,  7.51114e-09, -2.34350e-10,  1.16852e-09,
00:00:03,      3930,   120.3041,  7.43459e-09,  8.82813e-09,  2.49277e-08,  3.73885e-09,  7.00900e-10,  7.67857e-09,  7.00900e-10,  1.40180e-09,
00:00:04,      4267,   120.3041,  4.24868e-09,  8.04936e-09,  2.40370e-08,  1.63507e-09,  0.00000e+00,  6.34327e-09,  0.00000e+00,  2.34350e-10,
00:00:04,      4605,   120.3041,  5.84164e-09,  7.79017e-09,  2.13658e-08,  2.80467e-09,  7.00900e-10,  5.84263e-09,  7.01975e-10,  1.63507e-09,
00:00:04,      4942,   119.7276,  4.78130e-09,  5.71302e-09,  2.09215e-08,  1.86942e-09,  0.00000e+00,  5.50861e-09,  4.67625e-10,  2.34350e-10,
00:00:05,      5280,   119.7276,  4.24868e-09,  7.27058e-09,  1.86957e-08,  2.10270e-09, -2.34350e-10,  4.67394e-09, -4.67625e-10,  1.40180e-09,
00:00:05,      5617,   119.4406,  5.31148e-09,  5.97222e-09,  1.95854e-08,  1.63615e-09,  0.00000e+00,  4.50732e-09,  7.00900e-10,  0.00000e+00,
00:00:05,      5955,   120.3027,  4.24868e-09,  6.23141e-09,  1.66922e-08,  1.86942e-09,  0.00000e+00,  4.00668e-09, -4.67625e-10,  1.63615e-09,
00:00:06,      6292,   120.3041,  4.78130e-09,  5.19344e-09,  1.78050e-08,  2.10270e-09,  4.67625e-10,  3.83929e-09,  4.67625e-10,  0.00000e+00,
00:00:06,      6630,   120.0158,  4.77886e-09,  6.49180e-09,  1.66931e-08,  1.16852e-09, -4.67625e-10,  3.33864e-09, -7.00900e-10,  1.16852e-09,
00:00:06,      6968,   120.3041,  4.24868e-09,  4.67386e-09,  1.60247e-08,  9.35250e-10, -4.67625e-10,  3.33864e-09, -7.00900e-10,  1.16852e-09,
00:00:07,      7307,   120.0158,  4.78130e-09,  4.67386e-09,  1.64700e-08,  9.34175e-10, -4.67625e-10,  3.33864e-09, -2.33275e-10,  9.34175e-10,
00:00:07,      7645,   120.0158,  3.18591e-09,  5.45263e-09,  1.46896e-08,  1.86942e-09,  4.67625e-10,  3.67266e-09,  7.01975e-10,  9.35250e-10,
