Tue, Sep 26, 2017	4:13 PM
 Notes: furfural_3.7E-9_90s_92617
 waiting time: 30.000
 time(s)	 temp (K)	 MS1=1.922	 MS2=13.642	 MS3=14.639	 MS4=26.890	 MS5=28.920	 MS6=30.949	 MS7=43.905	 MS8=97.084
0.000	114.000	2660.808	460.994	468.559	307.825	281.741	107.328	2004.142	135.807
1.026	113.700	2070.983	454.180	471.030	301.164	282.811	106.997	1986.247	133.145
2.051	113.400	2043.854	453.734	472.979	303.469	287.358	107.506	1990.438	134.266
3.068	113.100	2028.813	457.211	459.695	297.611	279.576	108.742	1992.705	134.126
4.089	112.800	2072.575	450.881	462.140	300.782	284.632	108.334	2001.850	133.043
5.128	112.500	2061.596	457.835	455.861	302.349	280.200	107.226	1982.872	131.884
6.120	112.300	2018.127	460.090	464.153	296.159	279.550	107.608	1987.967	132.763
7.143	112.100	2015.567	457.249	467.337	301.101	280.493	107.468	1971.715	132.495
8.185	112.200	2024.431	455.046	471.833	299.941	276.188	106.895	1973.218	131.922
9.191	112.700	2025.985	456.230	481.729	298.642	278.188	109.099	1988.616	131.553
10.204	113.900	2023.909	454.931	484.340	299.941	277.742	107.252	1967.741	130.636
11.202	116.000	2018.343	459.911	504.170	303.189	282.263	108.182	1994.259	131.757
12.203	119.400	2024.826	462.841	504.120	306.666	288.326	108.984	2001.315	132.164
13.240	123.200	2017.757	468.865	512.411	312.805	287.039	108.474	2004.308	131.706
14.238	127.400	2018.381	468.024	524.549	310.487	284.378	107.405	2046.924	134.253
15.238	131.700	2014.420	475.615	539.107	303.928	290.376	106.564	2065.570	134.877
16.252	136.000	2045.281	473.157	547.767	313.035	289.854	109.290	2113.421	144.812
17.296	140.600	2027.806	484.582	569.840	314.168	313.429	110.079	2164.188	178.054
18.338	144.700	2037.129	493.217	575.393	324.727	372.501	112.703	2287.108	281.970
19.356	149.100	2059.087	514.984	594.892	341.793	554.199	118.880	2483.389	590.702
20.400	152.900	2070.219	567.432	639.330	379.468	1030.975	133.145	2677.773	1403.415
21.400	156.700	2129.978	688.263	684.570	425.204	1973.040	158.962	2872.297	3129.216
22.437	160.900	2154.445	916.322	769.955	509.112	3518.238	187.619	3098.483	5626.146
23.435	164.500	2197.074	1165.804	876.661	585.849	4898.704	210.111	3258.033	7169.906
24.436	168.100	2222.649	1286.927	930.154	606.342	5184.013	216.671	3357.899	7120.934
25.471	171.500	2198.577	1327.722	931.644	647.201	5837.737	228.770	3539.878	9344.935
26.471	174.900	2271.735	1528.805	883.602	728.001	7720.604	257.249	3784.812	13390.069
27.506	178.600	2255.139	1745.236	836.108	794.078	8683.709	265.286	3849.857	13574.060
28.544	181.900	2275.951	1661.684	843.342	760.733	7561.399	244.449	3821.124	10676.212
29.544	185.100	2308.467	1509.420	818.914	705.037	6664.230	228.121	3791.639	8539.456
30.544	188.300	2276.740	1297.893	796.077	612.214	4362.665	187.466	3537.216	4690.794
31.554	191.800	2184.248	1061.275	736.725	562.210	3596.618	177.455	3538.540	4108.216
32.590	194.900	2162.278	1036.605	729.682	558.339	3550.933	176.436	3593.498	4199.626
33.602	198.000	2224.483	1067.682	742.673	565.178	3776.011	177.366	3693.377	4604.696
34.638	201.500	2213.338	1115.189	767.344	578.870	3870.987	178.525	3728.619	4645.070
35.671	204.500	2186.439	1071.044	756.238	576.959	3640.368	174.284	3720.391	3995.651
36.669	207.600	2205.391	1010.725	727.135	543.692	3051.842	163.534	3626.358	3067.011
37.670	210.600	2170.187	921.697	728.727	520.295	2451.917	158.414	3510.482	2381.523
38.668	213.600	2190.795	858.078	709.864	494.032	2080.293	149.409	3530.593	1969.652
39.671	216.700	2157.260	799.720	692.963	481.678	1813.745	143.653	3459.740	1671.364
40.712	220.000	2150.127	756.021	671.897	473.909	1598.219	141.143	3489.632	1444.961
41.713	223.000	2151.032	739.273	691.906	467.375	1428.684	136.507	3494.307	1264.970
42.713	226.000	2158.699	713.634	679.972	464.929	1304.975	134.584	3487.136	1137.707
43.755	229.000	2150.611	688.250	656.320	464.713	1184.794	134.673	3485.417	1033.332
44.758	232.300	2156.903	676.838	650.066	458.905	1117.940	132.699	3483.952	949.870
45.755	235.300	2150.115	666.942	650.449	458.256	1057.671	131.566	3512.380	850.398
46.752	238.300	2151.758	670.292	672.381	462.739	997.479	131.438	3529.039	813.195
47.754	241.200	2183.471	651.187	638.260	456.141	952.341	129.260	3517.551	765.102
48.753	244.200	2177.294	643.584	644.526	466.802	916.895	129.018	3510.839	718.385
49.753	247.200	2172.021	642.985	645.392	470.100	880.634	131.145	3558.587	682.213
50.755	250.200	2180.134	631.344	653.467	469.629	845.100	129.681	3493.530	650.920
51.756	253.200	2195.520	632.936	639.916	472.075	835.700	128.955	3484.856	620.225
52.758	256.100	2137.595	636.846	665.936	477.144	808.699	129.884	3490.855	605.336
53.783	259.400	2169.831	635.687	675.552	473.679	801.363	129.057	3527.141	586.130
54.783	262.400	2169.461	636.642	677.985	464.458	788.359	129.158	3486.716	568.681
55.811	265.400	2189.279	622.734	679.386	477.373	778.832	129.732	3482.513	552.531
56.824	268.300	2212.001	626.682	677.756	470.814	765.777	130.177	3483.060	540.278
57.863	271.600	2193.737	635.585	714.768	473.985	767.866	129.413	3429.198	525.924
58.879	274.600	2235.652	640.247	727.810	476.125	768.146	129.693	3419.378	510.004
59.880	277.700	2230.762	651.417	773.852	472.928	749.105	129.821	3334.604	486.722
60.898	280.700	2290.063	656.575	804.267	467.247	736.738	128.674	3386.225	470.177
61.897	283.700	2319.356	649.939	803.668	468.368	709.877	128.203	3375.068	455.517
62.899	286.900	2346.128	641.546	765.866	465.146	689.804	127.847	3360.485	446.513
63.899	289.800	2433.755	636.502	753.130	467.961	672.827	128.725	3310.978	443.316
64.897	292.800	2497.463	635.369	730.293	494.707	687.957	130.050	3333.624	428.210
65.964	295.700	2531.100	636.082	714.959	468.559	664.370	128.674	3360.612	416.327
66.978	299.000	2552.000	626.810	707.699	482.327	648.793	127.923	3354.460	400.279
67.978	302.000	2628.215	623.103	682.137	488.938	640.642	128.993	3331.280	390.128
68.986	304.900	2629.489	626.555	689.957	487.931	639.011	129.757	3301.107	377.583
70.014	307.900	2655.713	625.039	694.962	486.314	619.741	130.075	3280.614	368.999
71.033	310.900	2684.485	628.758	715.863	498.528	634.184	128.967	3293.873	355.332
72.032	314.200	2698.903	633.917	715.838	501.967	623.103	130.763	3252.059	346.875
73.033	317.200	2694.292	638.565	701.636	509.278	610.685	129.018	3254.759	334.457
74.030	320.100	2716.594	637.559	748.150	507.584	606.661	129.235	3221.505	326.306
75.086	323.100	2696.330	639.253	723.989	510.972	607.106	129.948	3212.411	315.276
76.076	326.000	2703.335	642.488	724.982	509.176	598.306	129.604	3187.753	307.673
77.112	329.300	2746.448	642.081	714.615	506.680	597.681	129.388	3206.170	300.031
78.162	332.300	2758.993	640.858	733.605	505.813	590.511	128.929	3158.930	293.306
79.159	335.300	2736.870	635.572	709.240	501.712	584.843	129.541	3129.484	284.390
80.189	338.600	2785.944	636.961	712.360	500.057	581.697	130.279	3138.820	276.430
81.189	341.600	2717.587	638.553	723.492	491.561	576.093	129.515	3106.736	270.100
82.191	344.600	2764.202	643.074	722.957	483.066	570.566	128.038	3085.467	263.999
83.195	347.500	2763.031	635.445	723.441	486.263	554.454	128.407	3084.333	260.637
84.195	350.400	2751.759	642.323	724.587	488.581	543.501	127.312	3056.007	259.580
85.185	353.400	2757.770	639.699	728.014	480.073	548.570	125.783	3071.431	252.587
86.184	356.300	2774.048	626.071	693.689	473.794	542.252	127.554	3058.198	250.664
87.184	359.300	2749.543	630.567	702.910	478.290	539.310	128.305	3043.971	242.335
88.186	362.300	2757.528	634.579	713.443	478.124	521.836	126.930	2983.524	239.303
89.184	365.200	2758.993	622.034	675.578	463.108	511.749	128.624	3019.581	243.927
90.181	368.500	2790.720	618.315	695.230	468.152	510.641	128.407	3002.667	233.788
