Tue, Sep 26, 2017	1:57 PM
 Notes: furfural_4.5E-9_120s_92617
 waiting time: 30.000
 time(s)	 temp (K)	 MS1=1.922	 MS2=17.627	 MS3=27.844	 MS4=39.000	 MS5=41.000	 MS6=68.654	 MS7=82.865	 MS8=97.084
0.000	94.600	3277.456	1160.467	8570.584	1472.472	226.338	122.344	85.587	575.940
1.072	94.600	2570.787	1092.964	8530.833	1478.445	223.930	122.930	86.530	572.361
2.089	94.600	2546.205	1091.384	8500.202	1458.334	225.331	123.121	85.587	571.215
3.087	94.600	2560.406	1084.303	8469.495	1453.966	224.198	123.949	85.421	569.750
4.108	94.600	2570.532	1074.050	8556.319	1428.646	223.166	121.950	85.383	562.669
5.147	94.600	2526.897	1069.796	8575.373	1404.752	222.440	121.224	84.899	556.619
6.145	94.600	2534.921	1077.451	8458.248	1402.307	219.027	121.007	84.530	554.530
7.186	94.700	2526.336	1070.471	8403.584	1389.507	219.192	119.173	84.836	542.736
8.229	94.800	2520.758	1075.579	8671.711	1360.773	222.071	120.205	85.651	540.851
9.240	95.100	2522.286	1075.260	9531.727	1369.396	213.474	119.262	85.905	537.171
10.239	95.800	2519.230	1082.545	10336.021	1360.034	216.811	117.912	85.944	530.471
11.267	97.100	2516.096	1073.885	10047.248	1333.250	222.733	119.988	85.613	526.688
12.279	99.500	2539.124	1092.760	10424.438	1321.392	224.644	120.217	85.956	517.123
13.281	102.300	2540.015	1099.434	10560.820	1317.737	218.084	118.192	85.905	520.066
14.291	105.900	2593.954	1097.129	10204.645	1303.179	221.294	120.090	86.173	514.589
15.318	109.800	2569.551	1089.589	9915.298	1288.481	217.435	120.842	86.504	509.418
16.356	114.300	2583.625	1107.700	9878.248	1302.657	216.148	123.274	86.530	506.297
17.391	118.500	2587.446	1109.891	9665.791	1315.164	214.162	136.839	85.982	517.671
18.400	122.600	2535.074	1131.912	9574.509	1354.316	219.906	138.685	86.109	517.646
19.421	127.000	2548.345	1199.810	9617.533	1350.100	218.899	126.879	85.753	538.253
20.434	131.000	2577.295	1382.884	9405.165	1381.839	224.682	127.350	85.396	561.255
21.436	134.800	2562.890	1826.328	9443.629	1417.094	225.561	125.376	86.555	569.725
22.451	138.600	2592.642	2577.040	9359.390	1471.746	225.650	127.273	86.288	617.589
23.450	142.300	2607.735	3015.110	9289.990	1542.522	231.980	129.884	86.249	669.502
24.478	146.300	2611.238	2506.047	9212.488	1755.412	249.875	133.769	86.020	803.337
25.478	149.900	2564.126	2156.521	9252.914	2182.287	281.792	144.646	86.046	1080.953
26.478	153.400	2600.399	2063.316	9463.485	3112.111	345.742	165.839	87.154	1732.690
27.478	156.800	2621.656	1640.746	9797.626	5096.730	464.955	209.997	87.931	3168.674
28.529	160.100	2624.063	1558.939	10481.102	9396.530	704.706	320.192	89.574	6268.547
29.531	163.400	2708.926	1591.749	11612.252	16441.264	1089.168	480.353	94.362	10999.743
30.529	167.000	2766.278	1629.971	12913.216	25282.232	1512.719	657.823	95.674	15911.338
31.541	170.200	2796.031	1673.771	14149.722	31008.170	1805.313	781.367	99.686	20161.937
32.579	173.300	2804.437	1766.327	15401.702	38773.010	2155.999	939.668	103.405	24875.493
33.616	176.800	2820.103	1703.473	16279.332	47799.509	2657.751	1226.658	106.373	36981.845
34.705	180.300	2829.922	1725.061	19652.339	67550.469	3558.333	1699.652	121.224	52667.750
35.705	183.400	3252.403	1774.733	21282.808	77521.300	3935.179	1818.152	124.764	53924.990
36.703	186.500	3270.731	1774.275	21376.791	76513.999	3930.747	1842.567	125.478	56000.866
37.704	189.500	3307.883	1767.282	21977.518	81311.641	4065.384	1888.992	126.089	55174.015
38.708	192.500	3335.865	1731.060	21181.184	71723.859	3518.824	1517.508	120.001	33886.353
39.735	195.600	2886.256	1628.366	17719.914	44707.915	2353.426	1022.404	112.614	23364.262
40.730	198.600	3002.157	1557.437	16503.876	36261.254	1997.073	865.007	110.143	19260.782
41.731	201.600	2942.971	1527.875	15759.278	32324.622	1814.789	790.155	108.411	17146.086
42.729	204.600	2903.425	1502.097	15276.681	29679.096	1692.698	728.765	107.112	15171.007
43.762	207.900	2800.998	1497.715	14680.653	25909.667	1513.305	631.293	104.985	12425.780
44.762	210.900	2813.161	1454.615	14058.605	21932.775	1310.337	550.557	103.380	10039.046
45.780	213.900	2764.215	1427.563	13413.975	18479.439	1141.400	488.046	102.170	8340.271
46.799	216.900	2711.677	1398.333	12923.406	15928.341	1014.775	435.470	101.418	7121.762
47.803	220.200	2756.726	1394.652	12506.949	13961.528	915.863	386.588	100.323	6132.178
48.807	223.200	2681.033	1368.606	12120.513	12375.089	835.395	358.707	100.718	5323.452
49.828	226.100	2681.543	1361.677	11843.393	11032.310	767.395	327.796	100.412	4668.009
50.858	229.100	2752.523	1360.849	11605.858	9999.741	703.496	303.597	99.202	4124.608
