306,scans,216,DataLength,,,,,,,
header,33,lines,,,,,,,,
Date,6/17/2016,Time,11:32:13 PM,,,,,,,
ID,HAL RC RGA 301 #14852,Version,3,,,,,,,
Scans,14,,,,,,,,,
Scan ID,Mode,Input,Scanned,Start,Increment,Settle,RS,,,
Scan 1,RGA,Temperature,none,0.4,0.01,10,1,,,
Scan 2,RGA,SEM,mass,2,0.01,10,0.44,,,
Scan 3,RGA,SEM,mass,18,0.01,10,0.9,,,
Scan 4,RGA,SEM,mass,28,0.01,10,1.05,,,
Scan 5,RGA,SEM,mass,39,0.01,10,1,,,
Scan 6,RGA,SEM,mass,41,0.01,10,1,,,
Scan 7,RGA,SEM,mass,44,0.01,10,1.4,,,
Scan 8,RGA,SEM,mass,68,0.01,10,1,,,
Scan 9,RGA,SEM,mass,96,0.01,10,1,,,
Environment,,,,,,,,,,
Global,RGA,,,,,,,,,
F1,1,"( 1 = on, 0 = off )",,,,,,,,
F2,0,"( 1 = on, 0 = off )",,,,,,,,
cage,3.3,V,,,,,,,,
delta-m,0,%,,,,,,,,
electron-energy,70,V,,,,,,,,
emission,1000,uA,,,,,,,,
focus,-90,V,,,,,,,,
mass,5.5,amu,,,,,,,,
mode-change-delay,1000,ms,,,,,,,,
multiplier,1100,V,,,,,,,,
resolution,0,%,,,,,,,,
Data,9,,,,,,,,,
Time,ms,Temperature,Hydrogen,Water,Carbon monoxide,furan39,Propene,Carbon dioxide,furan68,furf96
0:00:01,1241,120.1137,0.00E+00,1.09E-10,-9.32E-11,0.00E+00,0.00E+00,0.00E+00,-9.78E-11,0.00E+00
0:00:02,2016,119.8492,8.89E-10,3.58E-09,2.79E-09,0.00E+00,9.78E-11,1.75E-09,9.78E-11,9.78E-11
0:00:02,2791,120.1137,4.22E-09,5.32E-09,2.98E-09,9.78E-11,0.00E+00,1.19E-09,9.78E-11,0.00E+00
0:00:03,3566,120.1137,4.44E-09,4.13E-09,3.07E-09,9.78E-11,9.78E-11,9.77E-10,-9.78E-11,0.00E+00
0:00:04,4341,119.8492,4.00E-09,3.58E-09,3.26E-09,1.96E-10,0.00E+00,8.38E-10,0.00E+00,9.78E-11
0:00:05,5116,119.717,3.11E-09,2.71E-09,2.79E-09,0.00E+00,0.00E+00,6.98E-10,9.78E-11,9.78E-11
0:00:05,5891,119.9814,3.78E-09,2.50E-09,2.79E-09,0.00E+00,0.00E+00,6.28E-10,0.00E+00,0.00E+00
0:00:06,6666,119.9814,3.55E-09,2.39E-09,2.70E-09,0.00E+00,9.78E-11,6.98E-10,0.00E+00,9.78E-11
0:00:07,7441,119.9814,4.22E-09,2.28E-09,2.98E-09,0.00E+00,0.00E+00,5.58E-10,-9.78E-11,-9.78E-11
0:00:08,8216,119.8492,3.78E-09,2.06E-09,2.70E-09,0.00E+00,0.00E+00,6.28E-10,0.00E+00,-9.78E-11
0:00:08,8991,120.2459,4.00E-09,1.95E-09,2.79E-09,0.00E+00,0.00E+00,6.28E-10,9.78E-11,0.00E+00
0:00:09,9766,119.9814,4.22E-09,2.28E-09,2.98E-09,9.78E-11,0.00E+00,6.28E-10,9.78E-11,0.00E+00
0:00:10,10541,120.1137,4.22E-09,2.06E-09,2.70E-09,0.00E+00,0.00E+00,5.58E-10,0.00E+00,-9.78E-11
0:00:11,11316,119.717,3.11E-09,1.95E-09,2.79E-09,1.96E-10,0.00E+00,5.58E-10,9.78E-11,-9.78E-11
0:00:12,12091,119.8492,3.33E-09,2.06E-09,2.79E-09,-9.78E-11,0.00E+00,5.58E-10,0.00E+00,0.00E+00
0:00:12,12866,120.1137,3.55E-09,1.85E-09,2.79E-09,0.00E+00,0.00E+00,5.58E-10,-9.78E-11,9.78E-11
0:00:13,13641,119.8492,4.22E-09,2.06E-09,2.89E-09,0.00E+00,0.00E+00,4.18E-10,0.00E+00,9.78E-11
0:00:14,14416,119.9814,3.55E-09,2.17E-09,2.79E-09,9.78E-11,9.78E-11,5.58E-10,9.78E-11,0.00E+00
0:00:15,15191,119.9814,3.78E-09,2.06E-09,2.98E-09,9.78E-11,9.78E-11,4.89E-10,-9.78E-11,0.00E+00
0:00:15,15966,119.717,3.11E-09,1.85E-09,2.70E-09,0.00E+00,0.00E+00,4.19E-10,0.00E+00,-9.78E-11
0:00:16,16741,119.8492,3.55E-09,2.06E-09,2.89E-09,1.96E-10,1.96E-10,4.89E-10,-9.78E-11,0.00E+00
0:00:17,17516,119.9814,3.78E-09,2.06E-09,2.89E-09,9.78E-11,0.00E+00,4.89E-10,0.00E+00,0.00E+00
0:00:18,18291,120.1137,3.78E-09,2.28E-09,2.89E-09,0.00E+00,9.78E-11,4.88E-10,0.00E+00,0.00E+00
0:00:19,19066,120.1137,3.55E-09,2.06E-09,2.70E-09,0.00E+00,-9.78E-11,4.19E-10,0.00E+00,-9.78E-11
0:00:19,19841,119.8492,3.55E-09,1.96E-09,2.98E-09,0.00E+00,0.00E+00,5.58E-10,0.00E+00,9.78E-11
0:00:20,20616,119.8492,3.33E-09,1.96E-09,2.70E-09,0.00E+00,0.00E+00,4.19E-10,0.00E+00,0.00E+00
0:00:21,21391,119.9814,3.33E-09,1.85E-09,2.79E-09,0.00E+00,-9.78E-11,3.49E-10,-9.78E-11,-9.78E-11
0:00:22,22166,120.1137,3.78E-09,2.06E-09,2.79E-09,9.78E-11,9.78E-11,3.49E-10,0.00E+00,0.00E+00
0:00:22,22941,119.8492,3.78E-09,2.17E-09,2.79E-09,0.00E+00,0.00E+00,4.19E-10,0.00E+00,0.00E+00
0:00:23,23716,120.1137,4.00E-09,2.06E-09,2.89E-09,9.78E-11,9.78E-11,5.58E-10,9.78E-11,0.00E+00
0:00:24,24491,119.9814,3.33E-09,1.95E-09,2.51E-09,9.78E-11,0.00E+00,4.19E-10,0.00E+00,0.00E+00
0:00:25,25266,119.9814,3.33E-09,2.06E-09,2.79E-09,0.00E+00,9.78E-11,4.19E-10,0.00E+00,0.00E+00
0:00:26,26041,120.2459,3.11E-09,1.85E-09,2.79E-09,9.78E-11,-1.96E-10,4.89E-10,-9.78E-11,0.00E+00
0:00:26,26816,120.1137,3.33E-09,2.06E-09,2.89E-09,-9.78E-11,0.00E+00,4.89E-10,0.00E+00,0.00E+00
0:00:27,27591,119.717,2.89E-09,1.85E-09,2.79E-09,0.00E+00,9.78E-11,4.19E-10,0.00E+00,9.78E-11
0:00:28,28366,120.1137,4.00E-09,1.96E-09,2.79E-09,0.00E+00,0.00E+00,4.89E-10,0.00E+00,0.00E+00
0:00:29,29141,120.1137,4.22E-09,2.06E-09,2.70E-09,9.78E-11,0.00E+00,4.89E-10,0.00E+00,-9.78E-11
0:00:29,29916,119.8492,3.55E-09,2.17E-09,2.70E-09,-9.78E-11,9.78E-11,4.89E-10,0.00E+00,0.00E+00
0:00:30,30691,119.9814,3.33E-09,1.74E-09,2.89E-09,0.00E+00,0.00E+00,4.19E-10,0.00E+00,0.00E+00
0:00:31,31466,119.8492,3.33E-09,1.95E-09,2.98E-09,0.00E+00,-9.78E-11,4.88E-10,0.00E+00,0.00E+00
0:00:32,32241,119.717,3.55E-09,1.85E-09,2.79E-09,-9.78E-11,0.00E+00,3.49E-10,-9.78E-11,0.00E+00
0:00:33,33016,120.1137,3.78E-09,1.74E-09,2.89E-09,-9.78E-11,9.78E-11,4.19E-10,0.00E+00,9.78E-11
