0000000887,scans,0000000146,DataLength
"header",0000000028,"lines"
"Date",6/18/2016,"Time",3:57:34 AM
"ID","HAL RC RGA 301 #14852","Version",3
"Scans",9
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Temperature","none",0.40,0.40,0.01,4.761,4.761,1.000000,1.000000,
"Scan 2","RGA","SEM","mass",2.00,2.00,0.01,4.761,4.761,0.440000,1.000000,
"Scan 3","RGA","SEM","mass",18.00,18.00,0.01,4.761,4.761,0.900000,1.000000,
"Scan 4","RGA","SEM","mass",28.00,28.00,0.01,4.761,4.761,1.050000,1.000000,
"Scan 5","RGA","SEM","mass",39.00,39.00,0.01,4.761,4.761,1.000000,1.000000,
"Scan 6","RGA","SEM","mass",41.00,41.00,0.01,4.761,4.761,1.000000,1.000000,
"Scan 7","RGA","SEM","mass",44.00,44.00,0.01,4.761,4.761,1.400000,1.000000,
"Scan 8","RGA","SEM","mass",68.00,68.00,0.01,4.761,4.761,1.000000,1.000000,
"Scan 9","RGA","SEM","mass",96.00,96.00,0.01,4.761,4.761,1.000000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.3,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",1000.000,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1100,"V"
"resolution",0,"%"
"Data",9
"Time","ms","Temperature","Hydrogen","Water","Carbon monoxide","furan39","Propene","Carbon dioxide","furan68","furf96",
00:00:01,      1230,   120.1348,  5.08182e-10,  0.00000e+00,  2.13976e-10, -2.23600e-10, -4.48275e-10,  1.59714e-10,  0.00000e+00,  2.24675e-10,
00:00:01,      1576,   120.1348,  2.03517e-09,  4.96889e-10,  6.61176e-09,  0.00000e+00,  2.23600e-10,  1.27925e-09,  0.00000e+00,  0.00000e+00,
00:00:01,      1922,   120.4112,  3.05398e-09,  9.94972e-10,  6.39881e-09,  2.23600e-10,  0.00000e+00,  1.28001e-09,  2.24675e-10,  6.71875e-10,
00:00:02,      2268,   120.6875,  3.56216e-09,  1.24461e-09,  6.61176e-09,  4.48275e-10,  0.00000e+00,  1.28001e-09,  0.00000e+00,  0.00000e+00,
00:00:02,      2614,   119.8598,  4.07277e-09,  1.24461e-09,  6.82471e-09,  6.71875e-10,  2.23600e-10,  9.59821e-10, -2.23600e-10,  0.00000e+00,
00:00:02,      2960,   120.1348,  4.07277e-09,  9.96167e-10,  6.82573e-09,  2.24675e-10,  0.00000e+00,  1.28001e-09, -2.23600e-10, -2.23600e-10,
00:00:03,      3306,   120.1348,  4.07034e-09,  1.49306e-09,  7.25267e-09,  4.48275e-10,  0.00000e+00,  1.12030e-09,  2.23600e-10,  0.00000e+00,
00:00:03,      3652,   120.6875,  3.56459e-09,  1.24461e-09,  7.67857e-09,  4.47200e-10,  2.23600e-10,  9.59821e-10,  0.00000e+00,  0.00000e+00,
00:00:03,      3998,   120.4112,  4.07277e-09,  1.24461e-09,  7.46562e-09,  2.23600e-10,  0.00000e+00,  9.59821e-10,  2.23600e-10,  2.24675e-10,
00:00:04,      4344,   120.4112,  3.56216e-09,  9.94972e-10,  6.18483e-09,  2.24675e-10,  0.00000e+00,  1.11954e-09,  0.00000e+00,  2.24675e-10,
00:00:04,      4690,   120.1348,  3.56216e-09,  9.96167e-10,  6.82573e-09,  4.48275e-10, -2.24675e-10,  1.28001e-09,  0.00000e+00,  2.23600e-10,
