0000001024,scans,0000000146,DataLength
"header",0000000028,"lines"
"Date",6/18/2016,"Time",6:09:34 AM
"ID","HAL RC RGA 301 #14852","Version",3
"Scans",9
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Temperature","none",0.40,0.40,0.01,4.602,4.602,1.000000,1.000000,
"Scan 2","RGA","SEM","mass",2.00,2.00,0.01,4.602,4.602,0.440000,1.000000,
"Scan 3","RGA","SEM","mass",18.00,18.00,0.01,4.602,4.602,0.900000,1.000000,
"Scan 4","RGA","SEM","mass",28.00,28.00,0.01,4.602,4.602,1.050000,1.000000,
"Scan 5","RGA","SEM","mass",39.00,39.00,0.01,4.602,4.602,1.000000,1.000000,
"Scan 6","RGA","SEM","mass",41.00,41.00,0.01,4.602,4.602,1.000000,1.000000,
"Scan 7","RGA","SEM","mass",44.00,44.00,0.01,4.602,4.602,1.400000,1.000000,
"Scan 8","RGA","SEM","mass",68.00,68.00,0.01,4.602,4.602,1.000000,1.000000,
"Scan 9","RGA","SEM","mass",96.00,96.00,0.01,4.602,4.602,1.000000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.3,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",1000.000,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1100,"V"
"resolution",0,"%"
"Data",9
"Time","ms","Temperature","Hydrogen","Water","Carbon monoxide","furan39","Propene","Carbon dioxide","furan68","furf96",
00:00:01,      1230,   120.0158, -1.59295e-09,  5.19583e-10,  2.22167e-10, -7.00900e-10, -7.00900e-10, -5.00643e-10, -7.00900e-10,  4.67625e-10,
00:00:01,      1568,   120.0158,  1.59295e-09, -2.59194e-10,  0.00000e+00,  4.67625e-10,  7.00900e-10,  5.00643e-10,  2.34350e-10, -2.33275e-10,
00:00:01,      1905,   120.0158, -1.06278e-09,  5.19583e-10,  4.22833e-09, -2.34350e-10, -7.00900e-10,  0.00000e+00, -4.67625e-10,  0.00000e+00,
00:00:02,      2243,   119.7289,  1.06278e-09,  2.07713e-09,  8.45770e-09,  9.35250e-10,  7.00900e-10,  1.83671e-09,  4.67625e-10,  4.67625e-10,
00:00:02,      2580,   120.0158,  6.37425e-09,  1.86954e-08,  6.94409e-08,  4.90737e-09, -4.67625e-10,  1.10172e-08,  0.00000e+00,  2.57032e-09,
00:00:02,      2918,   119.7289,  7.43459e-09,  1.37623e-08,  4.31781e-08,  5.60827e-09,  7.01975e-10,  9.34786e-09,  9.35250e-10,  9.34175e-10,
00:00:03,      3256,   119.4406,  6.37182e-09,  1.24640e-08,  3.80590e-08,  3.27230e-09, -2.33275e-10,  8.17921e-09, -2.33275e-10,  2.33705e-09,
00:00:03,      3594,   119.4406,  6.37182e-09,  9.86731e-09,  3.22725e-08,  2.57032e-09, -4.67625e-10,  7.01131e-09, -4.67625e-10,  1.86942e-09,
00:00:03,      3933,   120.0158,  6.90443e-09,  8.56894e-09,  2.78210e-08,  3.50557e-09,  9.35250e-10,  6.84391e-09,  7.01975e-10,  1.40180e-09,
00:00:04,      4271,   119.4420,  6.90443e-09,  7.27058e-09,  2.60406e-08,  3.73885e-09,  9.35250e-10,  6.67729e-09,  7.01975e-10,  9.35250e-10,
00:00:04,      4608,   120.0158,  5.84164e-09,  7.79017e-09,  2.42602e-08,  3.27230e-09,  7.01975e-10,  6.00925e-09,  0.00000e+00,  1.16852e-09,
