0000001089,scans,0000000146,DataLength
"header",0000000028,"lines"
"Date",6/18/2016,"Time",6:42:39 AM
"ID","HAL RC RGA 301 #14852","Version",3
"Scans",9
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Temperature","none",0.40,0.40,0.01,4.602,4.602,1.000000,1.000000,
"Scan 2","RGA","SEM","mass",2.00,2.00,0.01,4.602,4.602,0.440000,1.000000,
"Scan 3","RGA","SEM","mass",18.00,18.00,0.01,4.602,4.602,0.900000,1.000000,
"Scan 4","RGA","SEM","mass",28.00,28.00,0.01,4.602,4.602,1.050000,1.000000,
"Scan 5","RGA","SEM","mass",39.00,39.00,0.01,4.602,4.602,1.000000,1.000000,
"Scan 6","RGA","SEM","mass",41.00,41.00,0.01,4.602,4.602,1.000000,1.000000,
"Scan 7","RGA","SEM","mass",44.00,44.00,0.01,4.602,4.602,1.400000,1.000000,
"Scan 8","RGA","SEM","mass",68.00,68.00,0.01,4.602,4.602,1.000000,1.000000,
"Scan 9","RGA","SEM","mass",96.00,96.00,0.01,4.602,4.602,1.000000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.3,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",1000.000,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1100,"V"
"resolution",0,"%"
"Data",9
"Time","ms","Temperature","Hydrogen","Water","Carbon monoxide","furan39","Propene","Carbon dioxide","furan68","furf96",
00:00:01,      1230,   120.0158, -1.06278e-09, -2.59194e-10,  4.45357e-10, -7.00900e-10, -4.67625e-10, -5.00643e-10, -4.67625e-10,  4.67625e-10,
00:00:01,      1568,   120.0158, -1.59295e-09,  2.60389e-10,  2.22167e-10, -4.67625e-10, -7.00900e-10, -5.00643e-10, -4.67625e-10,  2.34350e-10,
00:00:01,      1905,   120.5910, -1.59295e-09,  3.11511e-09,  1.84726e-08,  2.34350e-10, -7.00900e-10,  1.00129e-09, -2.34350e-10,  1.16852e-09,
00:00:02,      2242,   120.3041,  4.24868e-09,  2.51872e-08,  2.25683e-07,  6.07590e-09,  0.00000e+00,  1.06831e-08,  2.33275e-10,  3.03795e-09,
00:00:02,      2579,   120.5910,  6.90443e-09,  1.68787e-08,  8.70238e-08,  6.54352e-09,  9.35250e-10,  1.00151e-08,  1.16852e-09,  2.57140e-09,
00:00:02,      2917,   120.0158,  6.90443e-09,  1.32428e-08,  5.98703e-08,  4.43975e-09, -2.33275e-10,  8.17921e-09,  0.00000e+00,  2.33705e-09,
00:00:03,      3254,   120.3041,  6.90443e-09,  1.14248e-08,  4.56261e-08,  4.67410e-09,  7.01975e-10,  7.67857e-09,  9.35250e-10,  1.86942e-09,
00:00:03,      3592,   120.0158,  5.31148e-09,  1.01265e-08,  3.96173e-08,  3.73885e-09, -2.34350e-10,  6.67652e-09,  0.00000e+00,  1.63507e-09,
00:00:03,      3929,   120.0158,  7.96720e-09,  9.60811e-09,  3.27178e-08,  4.43975e-09,  7.00900e-10,  6.67729e-09,  2.33275e-10,  1.40287e-09,
00:00:04,      4267,   120.3041,  5.84164e-09,  8.30856e-09,  3.18271e-08,  2.80360e-09, -2.34350e-10,  5.84186e-09,  2.34350e-10,  1.16852e-09,
00:00:04,      4604,   120.5910,  5.84164e-09,  7.53097e-09,  2.89338e-08,  3.50557e-09,  4.67625e-10,  5.50861e-09,  0.00000e+00,  1.86942e-09,
00:00:04,      4942,   120.3041,  5.84409e-09,  6.49180e-09,  2.73756e-08,  2.57032e-09,  2.34350e-10,  5.00796e-09,  2.34350e-10,  9.34175e-10,
00:00:05,      5279,   120.0158,  5.84164e-09,  7.27058e-09,  2.42591e-08,  3.27230e-09,  9.35250e-10,  5.17459e-09,  4.67625e-10,  1.16852e-09,
00:00:05,      5617,   120.3041,  5.84409e-09,  4.93424e-09,  2.51509e-08,  2.57140e-09,  0.00000e+00,  5.00796e-09,  4.67625e-10,  7.00900e-10,
00:00:05,      5954,   120.0158,  5.31148e-09,  6.49180e-09,  2.27019e-08,  3.27122e-09,  2.34350e-10,  4.67394e-09,  0.00000e+00,  1.63615e-09,
00:00:06,      6292,   120.5910,  5.31148e-09,  4.67386e-09,  2.22566e-08,  2.10270e-09,  2.33275e-10,  4.17330e-09,  0.00000e+00,  1.40180e-09,
00:00:06,      6630,   120.3027,  5.84164e-09,  4.93306e-09,  2.02530e-08,  3.03795e-09,  7.00900e-10,  4.33993e-09,  4.67625e-10,  7.00900e-10,
00:00:06,      6968,   120.3041,  6.90443e-09,  4.93306e-09,  2.06983e-08,  2.80467e-09,  4.67625e-10,  4.50732e-09,  4.67625e-10,  7.00900e-10,
00:00:07,      7306,   120.0158,  6.37425e-09,  4.67386e-09,  1.93632e-08,  3.03795e-09,  7.00900e-10,  4.50655e-09,  7.00900e-10,  7.00900e-10,
00:00:07,      7644,   120.0158,  6.37182e-09,  4.93424e-09,  1.86957e-08,  3.03795e-09,  4.67625e-10,  4.50732e-09,  7.00900e-10,  7.00900e-10,
00:00:07,      7982,   120.3041,  5.31148e-09,  4.41347e-09,  1.89190e-08,  2.10377e-09,  2.34350e-10,  4.00668e-09,  2.34350e-10,  4.67625e-10,
00:00:08,      8320,   120.3041,  6.37425e-09,  3.37550e-09,  1.86957e-08,  2.80467e-09,  2.34350e-10,  3.83929e-09,  4.67625e-10,  7.00900e-10,
00:00:08,      8658,   120.0158,  6.37425e-09,  3.89508e-09,  1.78061e-08,  2.10377e-09, -2.33275e-10,  3.50604e-09,  2.34350e-10,  4.67625e-10,
00:00:08,      8995,   120.0158,  5.84164e-09,  3.63589e-09,  1.71375e-08,  2.33705e-09,  2.33275e-10,  3.67266e-09,  4.67625e-10,  4.67625e-10,
00:00:09,      9334,   120.3041,  7.43459e-09,  3.63469e-09,  1.62478e-08,  2.33705e-09,  2.33275e-10,  3.67266e-09,  4.67625e-10,  4.67625e-10,
00:00:09,      9672,   120.5910,  4.24868e-09,  4.15428e-09,  1.66922e-08,  1.40180e-09, -2.34350e-10,  3.00462e-09, -2.34350e-10,  1.40180e-09,
00:00:10,     10011,   120.5910,  4.24868e-09,  4.15428e-09,  1.69153e-08,  1.86942e-09, -2.34350e-10,  3.33864e-09, -2.34350e-10,  1.16852e-09,
00:00:10,     10348,   120.3041,  4.24868e-09,  3.89508e-09,  1.58025e-08,  1.86942e-09, -2.34350e-10,  2.83723e-09, -7.00900e-10,  1.40287e-09,
00:00:10,     10686,   120.3041,  4.77886e-09,  3.37550e-09,  1.64700e-08,  1.86942e-09, -4.67625e-10,  2.67061e-09, -4.67625e-10,  7.00900e-10,
00:00:11,     11024,   120.3041,  6.37182e-09,  3.63469e-09,  1.58025e-08,  2.10377e-09,  2.34350e-10,  3.17201e-09,  0.00000e+00,  7.00900e-10,
00:00:11,     11362,   120.0158,  4.24868e-09,  4.67386e-09,  1.55803e-08,  1.63507e-09, -2.33275e-10,  3.00462e-09, -4.67625e-10,  1.63615e-09,
00:00:11,     11700,   120.5910,  3.71852e-09,  5.19344e-09,  1.44674e-08,  1.86942e-09, -4.67625e-10,  3.00462e-09, -2.34350e-10,  1.40180e-09,
00:00:12,     12037,   120.3041,  2.65573e-09,  4.41467e-09,  1.42442e-08,  1.86942e-09, -2.34350e-10,  3.00462e-09, -4.67625e-10,  1.63615e-09,
