Tue, Sep 26, 2017	2:13 PM
 Notes: furfural_2.2E-9_30s_92617
 waiting time: 30.000
 time(s)	 temp (K)	 MS1=1.922	 MS2=17.627	 MS3=27.844	 MS4=39.000	 MS5=41.000	 MS6=68.654	 MS7=82.865	 MS8=97.084
0.000	95.000	3310.609	1091.767	7173.294	334.292	154.071	95.687	88.173	134.291
1.066	95.000	2596.298	1084.239	7144.305	334.011	152.695	94.961	88.402	132.304
2.103	95.000	2594.031	1075.999	7275.491	330.649	152.988	96.031	87.841	132.941
3.146	95.000	2582.568	1073.668	7123.647	329.044	151.218	95.674	87.638	132.419
4.166	95.000	2557.681	1080.266	7151.030	325.822	154.224	95.458	87.625	130.916
5.189	95.000	2570.328	1064.460	7202.078	322.956	153.460	95.394	87.854	130.267
6.191	95.000	2582.491	1083.297	7172.415	325.758	152.262	94.630	87.727	129.528
7.190	95.000	2563.221	1078.495	7169.918	320.460	152.670	95.343	87.230	129.795
8.216	95.000	2538.525	1082.227	7160.952	322.663	151.218	94.388	87.689	127.388
9.214	95.000	2547.352	1103.650	7210.433	321.046	153.103	95.725	87.268	129.439
10.212	95.200	2539.073	1079.960	7503.524	323.886	152.071	94.923	87.574	127.834
11.262	95.700	2518.032	1092.034	8823.976	342.481	152.899	95.407	87.396	125.732
12.272	96.700	2537.315	1102.529	9686.603	350.365	153.905	95.279	87.867	126.764
13.271	98.300	2529.495	1102.134	9367.988	341.755	153.472	94.936	88.440	126.726
14.299	100.900	2603.647	1115.698	9579.273	343.589	152.135	95.025	88.402	124.866
15.319	104.000	2581.574	1107.101	9885.419	350.531	153.676	95.038	87.943	125.121
16.341	107.700	2632.495	1124.155	9268.796	340.342	153.905	94.337	87.650	126.344
17.340	111.800	2581.702	1123.060	9016.958	336.521	153.689	95.483	88.313	124.051
18.358	116.400	2593.101	1123.913	8761.491	333.935	152.084	95.216	87.306	124.968
19.392	120.500	2578.467	1147.297	8374.379	328.471	153.816	95.904	87.383	122.790
20.406	124.600	2573.130	1158.302	8317.027	327.796	153.778	94.681	88.300	122.918
21.403	128.600	2568.036	1156.544	8229.566	322.752	154.415	95.050	87.994	123.376
22.421	132.900	2544.231	1172.223	8187.752	321.695	151.715	95.267	87.599	121.517
23.421	136.800	2550.969	1193.531	8128.273	323.924	151.422	94.655	87.536	121.007
24.440	140.500	2568.596	1212.979	8053.968	329.057	154.440	94.146	87.587	123.287
25.435	144.200	2576.187	1237.777	7993.355	322.230	151.511	94.821	87.803	125.070
26.432	147.800	2555.745	1270.752	7864.603	329.172	155.141	94.120	87.510	129.859
27.431	151.400	2529.521	1308.936	7882.102	349.512	154.568	95.127	87.523	143.882
28.428	154.800	2551.542	1307.586	7848.262	382.486	157.879	95.700	87.447	169.062
29.427	158.200	2551.453	1314.349	7879.186	456.944	165.394	97.508	88.249	208.723
30.422	161.500	2549.466	1319.036	7791.164	558.198	166.540	99.686	87.383	258.166
31.450	165.200	2556.407	1299.880	7831.055	639.470	172.271	101.036	88.402	279.805
32.489	168.400	2543.976	1291.512	7695.271	648.347	171.711	101.953	87.548	274.532
33.489	171.600	2512.033	1314.744	7722.617	686.951	172.908	102.119	88.300	318.307
34.486	174.800	2563.056	1308.477	7674.205	753.130	177.582	103.189	88.262	302.018
35.524	178.200	2553.198	1324.729	7559.628	677.539	173.227	102.106	87.306	274.188
36.536	181.300	2552.828	1309.713	7576.542	616.595	170.093	100.985	87.332	260.051
37.572	184.400	2551.173	1305.688	7598.857	640.756	172.679	101.622	87.523	289.014
38.580	187.500	2549.389	1325.837	7535.607	738.317	181.365	103.023	87.192	349.563
39.608	190.800	2551.491	1320.335	7576.377	895.625	184.014	108.653	88.122	435.012
40.610	193.900	2582.861	1307.955	7624.686	1124.359	200.635	112.385	87.982	558.555
41.611	196.900	2537.978	1320.704	7691.221	1449.177	221.358	117.836	87.650	726.409
42.604	199.900	2523.713	1330.078	7738.333	1838.696	241.761	125.312	88.020	911.533
43.600	202.900	2547.020	1315.215	7750.395	2144.116	254.485	130.547	88.287	948.214
44.598	205.900	2567.462	1334.345	7724.705	2026.227	249.913	127.261	87.765	816.341
45.594	208.900	2533.380	1320.067	7611.682	1677.338	226.529	117.657	87.982	610.902
46.591	211.900	2528.056	1327.404	7511.777	1277.107	204.660	111.799	87.816	492.326
47.592	214.900	2521.777	1338.484	7499.461	1083.233	192.471	108.271	87.485	427.981
48.591	217.900	2551.364	1350.176	7490.469	967.777	188.574	107.456	88.109	391.173
49.590	221.200	2517.701	1360.136	7474.536	889.919	187.033	105.010	87.676	359.650
50.627	224.200	2523.509	1342.484	7467.213	824.607	184.600	104.934	88.045	329.019
51.626	227.100	2510.747	1349.068	7437.855	778.335	182.244	104.730	87.638	308.004
52.625	230.100	2529.661	1349.043	7544.421	729.822	177.939	103.482	88.491	292.567
53.625	233.100	2537.850	1352.494	7394.717	696.733	176.245	104.080	88.262	280.034
54.696	236.400	2544.588	1352.851	7439.804	672.101	174.169	103.023	87.396	271.374
55.726	239.400	2504.315	1349.017	7493.794	657.301	176.258	107.532	87.574	263.477
56.738	242.700	2468.946	1355.678	7451.483	638.706	172.513	104.437	87.192	259.847
57.733	245.600	2519.879	1361.435	7532.945	635.687	174.169	103.265	88.032	258.064
58.759	248.600	2522.274	1379.407	7579.472	629.459	174.538	106.475	88.542	251.416
59.782	251.600	2501.526	1366.275	7587.916	627.625	172.284	109.799	87.880	248.754
60.821	254.900	2505.984	1382.540	7593.711	625.944	173.863	111.544	88.593	248.244
61.835	257.800	2501.806	1399.059	7594.004	636.146	176.449	116.295	88.083	245.098
62.835	260.800	2484.854	1392.041	7574.797	642.055	175.608	120.854	88.797	249.072
63.869	263.800	2499.590	1419.768	7578.020	670.508	177.812	129.642	88.555	248.461
