Tue, Sep 26, 2017	4:29 PM
 Notes: furfural_3.0E-9_90s_92617
 waiting time: 30.000
 time(s)	 temp (K)	 MS1=1.922	 MS2=13.642	 MS3=14.639	 MS4=26.890	 MS5=28.920	 MS6=30.949	 MS7=43.905	 MS8=97.084
0.000	96.200	3024.496	510.971	580.774	216.330	270.428	2.618	2421.512	112.940
1.038	96.200	2425.176	449.915	618.517	223.456	264.677	2.010	2394.176	112.144
2.048	96.200	2387.889	442.295	604.507	224.578	263.900	2.920	2356.098	109.988
3.089	96.300	2452.524	444.172	585.545	221.063	268.494	2.407	2377.704	111.095
4.116	96.300	2433.244	442.743	583.597	218.969	261.108	3.519	2319.945	109.039
5.152	96.300	2403.843	447.927	594.643	223.865	264.546	3.402	2331.868	104.798
6.148	96.300	2413.023	443.203	598.692	218.678	259.109	3.036	2335.191	101.335
7.148	96.300	2439.914	446.890	593.866	223.490	261.478	3.695	2307.076	102.313
8.175	96.300	2399.444	438.839	576.660	224.137	258.109	2.550	2311.207	105.016
9.207	96.300	2418.640	450.319	606.918	223.894	254.907	3.344	2303.863	101.275
10.205	96.300	2434.773	437.717	598.502	225.184	255.980	3.426	2311.413	98.453
11.230	96.300	2450.344	445.579	616.347	222.442	254.237	3.458	2306.766	98.176
12.265	96.300	2426.385	445.807	640.425	223.826	258.422	3.691	2343.042	97.278
13.269	96.300	2410.355	449.412	632.906	224.613	253.338	4.056	2308.709	94.795
14.271	96.400	2403.787	453.020	667.099	223.760	251.000	2.887	2354.651	95.658
15.271	96.600	2409.065	489.549	723.811	225.901	257.714	2.257	2419.236	94.914
16.288	97.200	2375.986	562.874	895.511	234.665	260.473	3.361	2526.039	91.854
17.304	98.200	2398.139	610.064	1082.916	247.683	267.465	3.766	2554.267	97.379
18.302	99.900	2441.102	661.719	1354.502	250.165	264.770	5.554	2554.910	91.669
19.340	102.500	2456.550	750.619	1699.981	255.834	273.847	5.098	2514.391	91.118
20.367	106.100	2448.484	760.115	1851.109	248.659	274.405	4.567	2482.377	91.111
21.377	110.000	2455.967	778.655	2003.627	251.867	265.596	4.888	2463.981	87.343
22.376	114.200	2441.568	770.542	2004.032	257.028	268.368	5.116	2446.551	87.232
23.412	118.500	2452.035	762.239	2037.634	266.002	275.544	5.424	2446.646	90.072
24.411	123.100	2444.955	732.946	1901.710	271.317	274.417	4.822	2458.487	87.247
25.412	127.300	2434.023	696.211	1732.940	266.500	267.501	4.489	2437.276	87.508
26.456	131.300	2434.243	662.564	1594.634	259.311	265.296	5.864	2435.467	91.481
27.497	135.600	2405.626	653.954	1580.690	259.566	272.874	7.428	2451.366	96.576
28.496	139.400	2420.479	668.688	1637.153	262.754	277.630	5.220	2441.420	120.583
29.494	143.200	2436.294	633.800	1452.205	258.745	312.210	6.824	2442.665	178.035
30.530	146.800	2427.927	642.226	1462.465	262.740	401.892	7.984	2482.774	350.323
31.531	150.400	2411.709	651.710	1382.490	269.608	647.782	11.999	2505.653	763.903
32.533	153.900	2418.690	677.574	1276.417	296.053	1163.371	22.575	2578.941	1702.953
33.549	157.800	2449.815	824.717	1299.949	343.736	2248.161	40.509	2705.287	3543.300
34.578	161.100	2458.147	1065.604	1439.109	417.015	3952.879	71.491	2801.010	6263.424
35.618	164.400	2428.043	1351.501	1453.474	492.769	5573.537	101.916	2908.359	8324.269
36.637	168.000	2478.352	1512.493	1455.003	522.302	6157.045	115.169	2921.897	8552.407
37.676	171.200	2528.573	1555.743	1416.900	551.324	6643.618	119.359	3038.793	9291.471
38.669	174.400	2568.938	1686.669	1327.424	604.889	8330.320	142.620	3122.696	10078.204
39.664	177.500	2602.072	1932.733	1244.412	691.622	9417.079	164.504	3242.439	10323.552
40.692	181.000	2594.046	2067.553	1198.975	721.255	9511.674	165.130	3250.650	10286.567
41.694	184.100	2619.703	1982.503	1133.135	698.197	9354.882	158.741	3210.409	10162.013
42.693	187.100	2628.068	1758.183	1109.818	588.980	7073.585	112.119	2984.983	7708.632
43.693	190.200	2569.525	1332.984	1016.412	492.638	5235.743	85.079	2895.922	6243.356
44.730	193.200	2469.601	1232.027	942.064	473.406	4957.238	78.121	2894.718	6148.560
45.723	196.200	2504.659	1249.344	966.141	490.511	5138.119	81.610	2918.760	6604.142
46.730	199.300	2527.239	1303.037	999.033	506.056	5555.596	91.453	2965.530	7247.634
47.765	202.600	2502.687	1315.108	969.223	509.715	5649.486	94.004	2942.514	6979.659
48.762	205.600	2547.855	1283.398	913.764	500.637	5335.684	85.273	2914.223	6304.868
49.762	208.600	2519.764	1189.207	862.450	451.434	4353.765	68.819	2774.388	4583.927
50.799	211.600	2406.095	1049.397	893.611	414.452	3359.544	56.048	2781.872	3498.092
51.840	214.900	2378.542	950.214	875.642	381.418	2771.980	46.027	2725.601	2785.254
52.838	217.900	2429.414	856.285	804.000	372.485	2406.938	39.278	2697.827	2343.881
53.865	220.900	2358.997	808.738	795.024	351.922	2085.851	35.546	2677.298	1992.686
54.866	223.900	2371.990	751.261	783.583	341.745	1838.699	33.480	2668.422	1718.078
55.878	227.200	2338.453	743.775	789.732	337.414	1624.683	29.019	2650.973	1535.642
56.878	230.100	2385.129	698.696	771.878	328.351	1492.535	26.502	2614.533	1352.871
57.893	233.100	2375.601	679.407	752.548	328.501	1343.151	24.049	2660.514	1246.131
58.915	236.100	2345.119	668.624	751.410	325.877	1256.704	23.167	2672.462	1128.510
59.954	239.400	2374.010	664.667	800.348	318.428	1185.888	21.642	2657.333	1055.844
60.972	242.400	2388.543	643.613	758.125	322.487	1103.710	21.105	2677.442	990.757
61.973	245.300	2355.651	640.899	789.690	319.657	1043.092	21.375	2680.447	920.972
62.970	248.300	2333.648	622.114	783.546	309.591	985.295	21.023	2673.504	875.012
63.960	251.300	2356.145	606.908	724.104	309.489	948.572	18.997	2692.998	812.672
64.957	254.200	2394.372	603.008	757.726	314.335	910.136	18.460	2683.975	780.279
66.017	257.500	2355.877	595.992	713.441	317.141	884.272	17.827	2720.676	745.906
67.054	260.500	2398.555	602.310	750.080	316.027	867.235	18.274	2699.280	714.540
68.080	263.800	2419.637	586.920	718.323	313.087	855.757	19.266	2687.287	688.879
69.080	266.800	2395.359	580.598	707.136	309.703	848.585	18.026	2670.373	671.551
70.084	269.700	2413.894	587.177	695.872	309.446	847.367	17.332	2663.666	648.931
71.082	272.700	2402.097	584.102	690.868	314.447	843.745	19.251	2708.339	614.628
72.078	275.700	2426.719	592.740	696.081	315.989	831.668	18.450	2664.856	595.619
73.074	278.700	2444.957	582.957	698.760	317.363	822.562	18.367	2681.659	557.599
74.072	281.600	2481.264	595.617	713.092	315.417	777.554	16.955	2701.273	539.746
75.071	284.600	2534.823	579.535	721.954	323.736	733.236	16.655	2637.163	521.582
76.071	287.600	2636.511	566.285	690.646	318.842	696.268	16.612	2711.920	492.407
77.068	290.600	2690.567	563.530	691.221	322.624	674.782	15.449	2710.288	473.994
78.103	293.900	2773.758	562.171	718.590	327.712	658.649	14.405	2729.483	452.665
79.099	296.800	2827.772	561.630	706.494	323.313	644.310	14.098	2693.980	427.495
80.096	299.800	2873.966	551.250	699.872	329.232	632.773	14.089	2732.844	416.343
81.089	302.800	2881.824	555.026	668.663	343.517	618.118	13.742	2720.917	396.792
82.147	305.700	2930.980	565.408	687.968	343.417	610.036	15.084	2716.212	373.443
83.168	309.000	2948.848	544.996	667.006	343.228	600.476	14.023	2722.719	357.502
84.186	312.000	2945.392	548.597	697.594	359.754	605.749	14.210	2722.436	342.854
85.185	315.000	2974.075	552.778	689.654	352.369	583.362	13.195	2728.202	331.039
86.187	318.000	2961.853	559.301	712.358	358.372	577.900	12.582	2727.146	319.094
87.190	321.000	2931.607	549.331	692.791	349.734	567.652	13.641	2711.950	307.348
88.192	323.900	2939.906	548.424	672.310	351.710	560.890	13.637	2727.537	299.048
89.189	327.200	2945.904	555.497	693.491	351.609	552.723	14.680	2709.697	280.905
90.190	330.200	2944.269	544.770	678.999	357.601	554.714	13.788	2702.735	271.699
91.227	333.200	2961.422	554.070	692.998	348.330	535.197	13.903	2724.939	260.923
92.224	336.200	2936.307	552.059	692.169	352.268	522.976	13.849	2724.373	248.426
93.221	339.200	2928.460	545.432	711.295	345.360	515.743	15.598	2705.343	244.523
94.254	342.400	2916.410	547.516	700.730	342.907	509.207	13.996	2705.655	235.005
95.254	345.300	2979.476	540.559	684.026	342.508	502.493	12.913	2695.739	228.176
96.284	348.200	2955.516	546.076	685.594	339.517	493.393	12.121	2688.086	219.826
97.281	351.200	2913.869	529.527	680.237	335.875	476.721	14.211	2697.674	213.100
98.275	354.200	2945.432	540.484	686.003	329.547	477.358	12.964	2701.379	205.353
99.275	357.200	2949.104	534.743	673.505	331.381	465.199	12.550	2669.827	205.848
100.272	360.200	2966.898	532.527	688.984	328.137	449.409	11.641	2673.558	195.641
101.265	363.100	2928.843	527.979	693.460	330.025	444.525	12.059	2695.048	193.801
102.286	366.400	2952.552	515.406	657.397	319.486	429.489	12.690	2685.525	186.577
103.320	369.400	2918.660	523.184	690.351	315.776	415.167	12.032	2690.847	181.332
104.319	372.400	2945.833	516.391	693.333	314.794	413.412	12.045	2665.912	176.382
105.315	375.300	2899.631	521.191	681.554	311.634	400.113	12.144	2680.910	177.908
106.312	378.200	2938.173	529.558	702.148	310.536	397.906	11.842	2668.198	179.167
107.311	381.100	2956.685	527.383	686.368	311.833	397.052	12.447	2709.313	170.854
108.347	384.400	2971.346	511.496	680.726	304.593	383.311	11.864	2702.758	170.007
109.346	387.400	2990.220	510.928	665.158	296.117	378.612	12.019	2681.869	164.635
110.345	390.400	3006.532	509.930	644.548	305.345	381.779	10.971	2697.066	160.612
111.341	393.400	3000.692	508.499	664.919	301.498	376.662	11.762	2704.438	156.840
112.357	396.400	3048.010	512.837	672.054	299.432	384.602	11.558	2718.210	152.521
113.359	399.400	3105.610	506.807	685.464	294.956	371.764	10.991	2704.722	150.622
114.376	402.700	3142.447	518.116	674.726	296.920	376.647	12.410	2684.275	145.888
115.378	405.700	3176.477	514.005	694.394	295.916	376.920	13.099	2695.444	142.602
116.378	408.600	3251.930	518.292	705.497	298.732	374.213	10.933	2697.045	134.292
117.374	411.500	3325.310	508.500	667.959	294.999	375.925	10.977	2695.929	134.750
118.374	414.500	3393.813	512.587	668.639	295.352	373.965	11.907	2704.198	126.526
119.393	417.400	3464.486	523.737	690.072	299.983	376.303	12.077	2713.323	128.483
120.407	420.400	3471.376	523.225	690.774	295.498	376.083	11.582	2716.056	122.998
121.405	423.300	3467.487	523.637	693.759	300.863	376.693	10.287	2780.921	122.360
122.396	426.300	3479.872	528.352	683.803	291.428	372.271	12.428	2683.989	119.770
123.423	429.600	3494.808	521.416	650.438	290.742	379.607	11.621	2710.805	117.646
124.419	432.600	3510.731	518.296	687.171	298.852	376.986	12.828	2712.423	117.087
125.421	435.500	3458.496	534.029	742.249	303.456	373.627	12.457	2750.756	113.613
126.420	438.500	3459.879	526.513	692.716	294.868	376.832	12.077	2700.587	112.105
127.420	441.500	3318.638	520.774	681.391	297.802	379.406	12.524	2696.347	109.498
128.418	444.500	3263.104	522.584	680.650	296.465	375.994	12.010	2717.063	111.034
129.416	447.400	3197.457	523.800	707.027	300.914	372.910	12.773	2697.899	107.362
130.446	450.800	3178.849	542.224	749.658	298.343	378.345	12.107	2722.769	108.522
131.447	453.700	3146.957	529.386	724.103	298.764	380.411	12.047	2726.778	104.700
132.446	456.700	3151.229	534.816	739.519	296.716	381.600	13.011	2703.386	106.521
133.443	459.700	3116.777	530.624	709.560	300.120	383.496	13.048	2707.312	105.665
134.438	462.600	3185.847	543.403	727.920	298.062	389.055	12.563	2677.610	105.050
135.436	465.600	3281.025	542.259	725.870	296.596	391.965	13.444	2711.906	101.437
136.436	468.600	3320.665	541.328	729.402	301.978	386.775	12.548	2714.542	101.540
137.434	471.600	3436.350	540.061	724.925	296.470	392.178	13.073	2690.959	102.519
138.425	474.500	3582.516	543.213	726.854	296.632	395.288	11.576	2695.074	100.385
139.420	477.500	3774.499	561.235	793.739	294.954	390.195	11.786	2698.666	100.255
140.419	480.500	3890.300	557.251	761.641	297.598	391.399	13.048	2699.730	100.501
141.419	483.400	3926.204	558.359	762.730	298.831	388.467	13.581	2739.644	99.656
142.418	486.400	3979.251	556.083	748.051	302.748	389.072	13.118	2691.623	100.567
143.468	489.700	4008.229	553.117	732.942	299.562	376.052	13.469	2695.955	99.659
144.490	492.700	4012.900	565.823	767.520	296.643	376.482	12.406	2710.380	102.839
145.491	495.600	3889.411	554.256	708.435	293.678	364.963	12.224	2656.040	104.670
146.489	498.600	3784.456	551.866	728.604	305.285	363.243	13.121	2673.082	103.356
147.491	501.900	3682.335	554.985	752.362	294.542	354.754	14.097	2639.946	105.047
148.484	504.900	3504.615	558.212	737.526	294.914	349.911	13.814	2687.894	104.319
149.507	507.800	3441.832	563.032	758.289	295.978	346.342	13.336	2686.204	105.062
150.503	510.800	3429.729	559.344	727.879	295.934	336.580	12.688	2653.642	104.265
151.500	513.800	3321.866	568.936	754.347	295.619	337.019	13.720	2673.867	104.183
152.511	516.700	3248.246	556.050	740.840	296.182	328.050	15.099	2677.636	109.377
153.506	519.700	3162.391	560.406	730.754	303.944	326.230	14.314	2664.423	108.179
154.501	522.700	3237.406	557.455	721.762	292.759	331.452	14.212	2668.608	111.766
155.537	526.000	3225.044	561.810	726.046	294.666	324.522	13.834	2709.892	109.671
156.534	528.900	3226.369	558.143	700.065	298.124	324.052	13.576	2625.940	111.021
157.526	531.900	3144.904	558.962	713.888	295.297	329.850	12.996	2673.833	112.200
158.524	534.900	3195.947	559.894	716.876	299.099	326.365	14.369	2664.619	114.536
159.523	537.900	3154.032	555.901	674.954	294.794	334.018	12.852	2694.348	112.675
160.568	540.800	3229.366	549.426	671.673	295.738	329.431	13.126	2647.529	112.902
161.570	544.100	3189.486	562.015	668.234	298.635	336.233	13.913	2647.510	117.992
162.567	547.100	3244.144	565.912	710.436	299.914	337.660	15.294	2665.200	120.522
163.568	550.100	3165.923	576.365	719.787	305.140	338.793	14.842	2653.703	120.708
164.566	553.000	3150.020	574.058	696.608	298.210	333.504	14.249	2636.195	120.766
165.566	556.000	3196.087	570.700	687.078	299.654	337.734	13.925	2660.819	121.098
166.566	558.900	3152.312	580.022	721.768	299.342	344.345	14.266	2668.328	121.106
167.561	561.900	3039.839	580.500	696.179	304.024	338.126	14.560	2717.995	122.037
168.557	564.900	3065.691	580.488	680.740	301.673	347.300	15.747	2690.682	127.541
169.556	567.900	3027.561	587.345	704.920	300.185	348.767	14.182	2683.613	124.935
170.556	570.800	3010.808	586.418	696.340	301.422	346.902	14.135	2694.743	125.442
171.558	573.800	2946.809	584.893	693.722	303.062	348.404	15.663	2671.234	127.113
172.558	577.100	2977.812	581.100	690.960	301.238	353.769	16.076	2657.122	129.680
173.556	580.000	2892.506	580.289	663.370	299.837	350.478	14.648	2664.673	130.360
174.607	583.000	2918.372	593.987	732.453	304.094	353.878	14.839	2706.141	131.642
175.643	586.300	2880.810	600.534	724.897	300.844	352.127	15.788	2676.852	133.997
176.640	589.300	2896.984	592.676	698.760	307.260	355.125	15.219	2683.510	133.601
177.641	592.200	2862.531	610.471	698.055	299.305	351.160	15.306	2668.482	133.334
178.643	595.200	2872.046	609.268	692.288	306.110	351.196	15.745	2667.647	136.091
179.642	598.200	2871.925	595.492	684.018	307.034	349.406	14.877	2696.349	139.153
180.638	601.100	2906.167	612.069	680.484	304.416	363.254	14.722	2722.053	140.433
181.637	604.100	2885.354	616.790	715.958	306.864	364.897	16.679	2707.611	140.718
182.635	607.100	2885.640	612.796	711.804	305.053	373.115	15.992	2704.594	139.003
183.634	610.100	2911.756	618.928	698.876	316.501	370.275	16.920	2703.822	143.430
184.634	613.000	2927.578	616.826	679.003	304.280	372.873	16.068	2691.557	140.294
185.633	616.000	2985.904	608.552	689.772	307.193	364.725	15.503	2663.696	141.693
186.632	619.000	2930.113	618.321	693.940	308.511	370.802	15.834	2713.978	151.117
187.662	622.300	2955.876	617.784	701.381	305.211	372.550	17.747	2759.539	145.104
188.663	625.200	2992.250	621.569	692.538	306.919	375.952	15.542	2698.499	146.939
189.668	628.200	3029.433	617.943	703.478	313.152	376.451	18.526	2673.761	145.200
190.664	631.200	3024.321	629.979	778.716	314.376	381.226	17.487	2756.293	152.025
191.664	634.200	3033.204	635.625	747.771	311.407	381.599	16.429	2749.862	149.393
