Wed, Oct 04, 2017	12:49 PM
 Notes: GUA_1.1E09_30sec_0.025L_100417
 waiting time: 50.000
 time(s)	 temp (K)	 MS1=1.994	 MS2=17.798	 MS3=26.922	 MS4=27.907	 MS5=28.936	 MS6=30.937	 MS7=78.871	 MS8=125.586
0.000	98.200	1928.105	942.164	304.858	6522.448	545.347	155.701	108.793	124.459
1.173	98.200	1784.502	919.633	297.369	6585.073	542.571	155.001	108.360	125.949
2.126	98.200	1801.429	922.474	301.712	6586.016	542.380	154.962	108.207	125.822
3.080	98.200	1788.552	925.250	302.552	6565.014	546.112	154.237	107.838	125.019
4.037	98.200	1826.418	931.631	301.075	6600.548	550.633	155.179	109.188	125.363
4.989	98.200	1797.315	936.649	301.712	6619.194	544.048	156.236	108.818	125.210
5.944	98.200	1820.342	938.509	302.247	6616.469	549.296	157.255	107.927	125.465
6.916	98.200	1799.251	943.260	303.852	6590.359	544.316	158.134	108.067	125.605
7.870	98.300	1799.773	941.438	299.101	6593.849	541.437	158.529	108.818	125.121
8.831	98.300	1807.147	947.170	303.304	6613.196	541.119	157.153	107.583	125.159
9.788	98.400	1778.885	939.910	307.163	6890.672	549.359	158.682	108.882	124.981
10.745	98.800	1780.808	968.172	306.093	7587.368	564.962	157.204	107.812	125.006
11.716	99.600	1806.409	964.122	309.303	8385.765	581.099	156.809	108.920	126.624
12.675	101.100	1795.379	966.071	310.780	7918.312	574.323	158.096	109.570	125.554
13.637	103.000	1807.402	968.172	316.155	8245.983	577.851	159.713	108.182	125.707
14.594	106.000	1819.935	979.138	317.734	8360.509	587.976	158.287	107.748	125.414
15.577	109.700	1824.482	980.628	315.646	8059.037	581.748	154.848	107.774	125.656
16.532	113.800	1845.650	983.023	311.162	7641.842	571.941	156.325	108.232	125.019
17.517	118.000	1834.798	979.138	308.398	7435.906	568.732	157.115	108.143	125.452
18.479	121.800	1819.222	998.090	310.984	7321.419	567.649	159.076	107.124	125.949
19.453	125.900	1810.293	1059.773	311.519	7267.798	566.630	160.898	108.984	125.503
20.407	129.900	1813.070	1166.797	312.907	7263.913	564.083	159.662	107.952	126.127
21.363	133.800	1834.060	1405.911	317.174	7248.171	569.661	159.586	108.997	124.484
22.318	137.200	1827.780	1806.740	322.778	7197.391	563.459	160.235	108.436	126.407
23.285	140.900	1825.399	2305.308	334.636	7123.914	564.083	165.343	110.487	126.305
24.262	144.600	1815.273	2832.266	347.041	7072.727	565.051	164.286	109.888	125.720
25.220	148.300	1821.399	3224.867	349.142	7012.636	571.228	167.966	108.487	126.382
26.174	151.400	1829.487	3535.012	354.632	6958.315	564.949	169.393	109.149	124.433
27.131	154.900	1847.178	3593.358	353.231	6900.008	567.407	167.202	108.615	125.630
28.082	158.300	1822.227	3484.398	349.002	6843.534	566.210	169.533	107.914	125.006
29.040	161.300	1871.148	3232.534	338.711	6798.842	568.566	166.591	109.175	126.267
29.999	164.600	1830.519	2966.648	340.303	6785.927	582.092	170.323	109.048	127.605
30.957	167.800	1851.241	2698.342	340.074	6823.067	596.879	172.692	109.710	126.433
31.916	171.000	1820.839	2453.446	341.513	6807.528	614.519	176.181	110.372	128.331
32.874	173.900	1846.605	2241.499	340.915	6842.630	620.773	174.284	110.423	130.139
33.859	177.000	1823.144	2049.114	343.144	6820.812	610.494	176.831	110.487	134.826
34.820	180.200	1819.413	1917.802	362.770	6835.052	610.125	172.781	111.366	143.665
35.793	183.300	1810.128	1814.496	390.447	6877.324	621.499	175.990	110.703	161.178
36.752	186.300	1821.654	1741.402	448.398	6944.114	645.787	180.448	113.034	195.146
37.709	189.000	1808.587	1684.992	559.727	7082.941	686.773	190.128	114.703	257.733
38.657	192.100	1834.505	1683.833	729.045	7226.175	746.392	205.450	118.294	352.938
39.615	195.100	1827.768	1672.294	984.691	7377.815	825.002	226.108	123.924	468.368
