Wed, Oct 04, 2017	11:37 AM
 Notes: GUA_2.0E9_30s_100417
 waiting time: 50.000
 time(s)	 temp (K)	 MS1=1.994	 MS2=17.798	 MS3=27.907	 MS4=78.871	 MS5=95.042	 MS6=109.505	 MS7=111.496	 MS8=125.586
0.000	98.600	2170.149	894.759	8788.581	232.719	103.278	100.170	106.220	156.083
1.032	98.600	2085.401	871.311	8786.492	228.566	104.322	101.011	106.246	156.338
1.988	98.600	2114.058	871.872	8761.592	229.394	103.596	100.858	105.813	157.472
2.946	98.600	2113.000	878.329	8770.992	237.737	104.399	101.304	105.825	157.650
3.913	98.600	2121.216	873.273	8754.677	227.930	104.042	100.782	106.411	155.446
4.884	98.600	2118.923	873.196	8711.029	229.356	103.596	101.202	106.195	155.625
5.840	98.600	2116.656	875.846	8741.826	232.426	103.342	101.342	107.073	154.224
6.824	98.600	2108.976	880.405	8735.623	231.025	104.195	101.635	105.787	155.727
7.806	98.600	2126.539	887.563	8703.718	230.222	103.698	100.692	106.577	156.414
8.763	98.600	2128.386	881.946	8697.235	237.113	104.195	100.336	106.195	157.102
9.734	98.600	2098.621	887.920	8727.140	227.700	103.100	100.667	105.851	155.013
10.723	98.600	2099.169	892.479	8752.843	231.279	103.418	101.113	107.264	156.020
11.679	98.600	2085.120	894.441	8727.166	232.731	103.915	100.017	105.418	154.186
12.654	98.600	2084.076	882.048	8763.044	239.991	103.813	101.648	106.781	155.841
13.609	98.600	2109.804	896.963	8754.193	230.095	104.972	100.985	106.870	156.618
14.567	98.600	2089.948	899.688	8725.841	236.336	104.870	101.355	107.341	157.637
15.544	98.600	2099.347	910.119	8722.543	240.411	105.036	101.571	106.373	156.160
16.516	98.600	2090.482	903.827	8655.116	234.132	104.182	101.049	107.175	156.784
17.510	98.600	2090.151	897.154	8620.829	223.727	103.558	100.705	106.093	156.695
18.468	98.600	2095.781	899.548	8618.855	226.898	103.495	100.476	105.430	156.223
19.462	98.700	2101.512	907.699	8707.628	231.445	104.717	100.756	106.004	156.122
20.434	99.000	2097.373	903.369	9334.618	241.507	103.724	101.775	106.271	155.688
21.391	99.600	2130.335	916.857	10154.209	251.874	104.106	100.833	106.539	155.867
22.350	100.700	2134.614	916.615	10691.648	260.025	104.233	100.807	106.564	157.561
23.307	102.500	2126.208	924.117	10886.249	256.485	104.348	101.495	107.175	157.230
24.266	104.800	2133.201	921.811	10691.559	255.046	103.902	101.533	106.793	157.242
25.229	108.200	2102.340	931.351	10092.055	247.697	104.144	101.126	107.252	156.109
26.221	112.100	2100.391	926.715	9703.555	239.940	104.182	101.444	105.825	156.300
27.178	116.400	2096.749	928.740	9436.650	242.322	103.889	101.304	106.055	155.485
28.136	120.700	2088.763	946.253	9339.496	236.705	103.775	101.227	106.806	156.058
29.096	124.500	2084.993	997.351	9284.538	241.456	104.029	100.400	105.953	157.433
30.058	128.700	2082.764	1157.092	9276.604	237.839	104.029	100.947	106.742	155.612
31.019	132.700	2100.544	1554.393	9252.341	237.902	103.698	101.559	106.666	154.962
31.981	136.700	2143.644	2404.500	9239.324	239.189	104.284	100.731	106.347	158.338
32.981	140.500	2202.436	3981.399	9276.030	238.272	104.080	101.520	107.214	159.586
33.949	143.800	2296.291	5970.094	9312.559	238.908	104.284	101.100	107.799	160.477
34.940	147.500	2345.988	7798.742	9305.821	234.820	103.928	100.489	107.137	159.204
35.902	151.200	2368.863	8649.817	9152.843	238.768	103.686	101.291	107.990	158.745
36.863	154.700	2366.201	8471.023	9040.100	235.253	104.271	101.482	107.163	157.803
37.822	158.200	2324.846	7570.442	8837.769	232.324	104.908	101.979	106.908	159.484
38.813	161.600	2287.655	6451.175	8750.945	229.331	104.730	101.164	106.908	156.542
39.770	164.500	2253.522	5530.228	8705.756	229.152	104.870	102.921	106.946	160.579
