Wed, Oct 04, 2017	12:22 PM
 Notes: GUA_3.65E9_30s_100417
 waiting time: 50.000
 time(s)	 temp (K)	 MS1=1.994	 MS2=17.798	 MS3=27.907	 MS4=78.871	 MS5=95.042	 MS6=109.505	 MS7=111.496	 MS8=125.586
0.000	97.800	2530.272	1788.183	8823.721	226.223	101.266	100.858	102.030	118.090
1.057	97.800	2332.322	1746.560	8838.801	222.937	102.323	101.380	101.686	117.594
2.051	97.800	2343.467	1755.654	8894.548	225.293	102.476	100.731	102.068	117.352
3.040	97.800	2366.010	1757.259	8911.322	225.510	101.317	101.278	102.463	118.625
4.086	97.800	2311.536	1751.973	8904.572	228.452	101.839	102.425	102.590	118.294
5.086	97.800	2318.541	1755.144	8900.509	230.910	102.246	101.724	102.488	117.505
6.040	97.800	2349.669	1765.703	8902.025	224.898	101.648	101.380	102.132	117.823
7.024	97.800	2361.145	1776.045	8831.439	226.630	101.775	101.151	102.730	117.186
8.040	97.800	2329.660	1773.179	8857.039	226.656	101.813	101.648	103.163	117.632
9.005	97.800	2308.505	1762.735	8866.859	224.083	101.953	101.520	103.291	117.696
10.011	97.900	2294.711	1774.695	8885.798	226.427	101.546	101.138	102.743	116.218
10.967	98.000	2295.654	1764.582	9069.916	230.464	101.915	101.813	102.119	118.460
11.923	98.300	2332.016	1774.975	10052.941	243.494	102.412	101.113	102.386	118.422
12.905	99.000	2326.935	1787.635	11006.876	254.765	102.221	101.852	101.966	119.899
13.864	100.300	2297.730	1781.611	10521.273	245.901	102.030	101.011	102.960	118.180
14.833	102.300	2279.657	1795.685	10914.447	260.318	101.686	101.762	103.011	118.689
15.793	105.300	2311.957	1824.826	11106.691	260.764	101.610	102.501	102.437	118.332
16.778	108.900	2307.932	1812.446	10830.208	251.810	102.208	101.546	102.921	119.530
17.748	112.500	2347.835	1809.389	10482.427	246.347	102.756	100.922	102.246	119.160
18.711	116.800	2329.011	1816.267	10344.899	251.849	101.813	101.278	102.870	120.740
19.664	121.000	2315.828	1831.321	10184.063	248.091	101.915	100.909	102.043	120.268
20.616	125.100	2332.590	1885.922	10117.362	246.474	101.431	101.444	102.985	118.918
21.575	128.700	2359.897	2030.341	10148.146	248.091	102.144	100.782	102.654	119.364
22.534	132.600	2370.888	2437.882	10139.931	249.034	102.068	102.144	102.896	120.179
23.492	136.400	2400.908	3231.847	10095.022	255.071	102.450	102.081	102.603	120.880
24.478	140.100	2418.293	4751.636	10107.428	247.072	102.183	101.215	102.335	120.128
25.428	143.400	2486.026	6671.898	10096.105	248.983	102.654	101.151	102.858	122.039
26.390	147.100	2513.931	8584.836	10063.258	242.869	102.501	101.737	102.565	121.962
