Wed, Oct 04, 2017	12:34 PM
 x = amu	 y = amps
1.020	356.479
1.080	690.581
1.140	818.723
1.200	789.824
1.260	532.089
1.320	277.933
1.380	156.134
1.440	127.757
1.500	131.566
1.560	145.334
1.620	158.440
1.680	216.034
1.740	522.052
1.800	1388.105
1.860	3167.668
1.920	3995.346
1.980	4079.304
2.040	4364.079
2.100	4275.751
2.160	3812.654
2.220	1622.851
2.280	388.243
2.340	153.765
2.400	110.907
2.460	104.233
2.520	102.335
2.580	102.055
2.640	103.049
2.700	104.220
2.760	107.010
2.820	106.500
2.880	106.959
2.940	107.086
3.000	107.494
3.060	106.768
3.120	106.895
3.180	104.220
3.240	103.418
3.300	102.743
3.360	103.877
3.420	105.227
3.480	111.710
3.540	119.695
3.600	193.286
3.660	294.006
3.720	348.034
3.780	358.249
3.840	371.317
3.900	365.776
3.960	358.096
4.020	319.543
4.080	270.609
4.140	165.101
4.200	112.015
4.260	104.004
4.320	103.278
4.380	102.246
4.440	102.208
4.500	102.157
4.560	101.839
4.620	101.915
4.680	101.826
4.740	102.259
4.800	101.852
4.860	101.380
4.920	102.170
4.980	102.081
5.040	102.310
5.100	102.437
5.160	102.743
5.220	102.272
5.280	102.272
5.340	102.297
5.400	103.151
5.460	103.622
5.520	112.881
5.580	119.441
5.640	120.943
5.700	123.784
5.760	124.955
5.820	123.962
5.880	122.332
5.940	119.963
6.000	119.606
6.060	114.053
6.120	107.226
6.180	103.698
6.240	102.858
6.300	103.176
6.360	103.686
6.420	101.902
6.480	102.870
6.540	104.182
6.600	103.635
6.660	103.495
6.720	103.813
6.780	104.170
6.840	104.704
6.900	104.208
6.960	103.762
7.020	103.673
7.080	103.240
7.140	102.628
7.200	102.781
7.260	101.597
7.320	101.979
7.380	102.781
7.440	103.431
7.500	106.220
7.560	107.290
7.620	106.653
7.680	108.105
7.740	108.398
7.800	108.334
7.860	109.264
7.920	107.137
7.980	106.093
8.040	105.953
8.100	104.055
8.160	102.361
8.220	102.348
8.280	101.686
8.340	101.635
8.400	102.246
8.460	102.437
8.520	102.628
8.580	101.546
8.640	102.183
8.700	102.259
8.760	101.877
8.820	102.132
8.880	101.864
8.940	101.380
9.000	102.017
9.060	102.374
9.120	102.272
9.180	101.864
9.240	102.093
9.300	102.017
9.360	102.208
9.420	101.380
9.480	101.750
9.540	102.106
9.600	101.240
9.660	102.017
9.720	102.221
9.780	102.679
9.840	102.374
9.900	101.635
9.960	102.144
10.020	102.195
10.080	102.132
10.140	102.234
10.200	102.323
10.260	102.221
10.320	101.737
10.380	102.399
10.440	102.628
10.500	103.036
10.560	102.667
10.620	102.208
10.680	102.705
10.740	102.896
10.800	102.781
10.860	102.960
10.920	103.405
10.980	103.826
11.040	105.341
11.100	105.800
11.160	109.774
11.220	116.715
11.280	124.994
11.340	166.005
11.400	389.173
11.460	689.549
11.520	928.434
11.580	1067.733
11.640	1121.557
11.700	1156.901
11.760	1181.227
11.820	1094.008
11.880	1030.530
11.940	973.292
12.000	902.070
12.060	575.023
12.120	271.565
12.180	143.309
12.240	111.939
12.300	108.003
12.360	123.300
12.420	154.517
12.480	222.606
12.540	269.858
12.600	289.001
12.660	297.636
12.720	299.801
12.780	302.527
12.840	283.690
12.900	274.927
12.960	257.809
13.020	230.744
13.080	199.999
13.140	137.781
13.200	111.990
13.260	110.716
13.320	120.141
13.380	142.697
13.440	270.864
13.500	433.419
13.560	526.854
13.620	589.963
13.680	606.546
13.740	611.284
13.800	606.393
13.860	577.673
13.920	546.596
13.980	484.900
14.040	459.376
14.100	356.313
14.160	212.277
14.220	134.801
14.280	115.772
14.340	119.441
14.400	153.205
14.460	367.037
14.520	569.470
14.580	756.976
14.640	858.040
14.700	883.627
14.760	900.707
14.820	894.403
14.880	809.692
14.940	778.233
15.000	759.753
15.060	705.890
15.120	508.144
15.180	273.857
15.240	155.816
15.300	125.236
15.360	153.638
15.420	348.862
15.480	630.885
15.540	902.146
15.600	1078.966
15.660	1147.323
15.720	1160.072
15.780	1178.451
15.840	1144.648
15.900	1054.805
15.960	1020.710
16.020	915.507
16.080	763.943
16.140	525.045
16.200	236.934
16.260	124.229
16.320	113.238
16.380	137.998
16.440	199.362
16.500	310.627
16.560	396.089
16.620	431.534
16.680	448.334
16.740	450.435
16.800	446.755
16.860	415.894
16.920	392.243
16.980	372.692
17.040	356.160
17.100	309.608
17.160	178.257
17.220	119.874
17.280	115.301
17.340	136.558
17.400	176.347
17.460	506.221
17.520	851.684
17.580	1015.131
17.640	1087.258
17.700	1126.626
17.760	1110.680
17.820	1084.125
17.880	1016.621
17.940	979.100
18.000	874.763
18.060	844.730
18.120	680.659
18.180	302.986
18.240	133.960
18.300	108.602
18.360	104.119
18.420	105.265
18.480	107.201
18.540	108.958
18.600	110.754
18.660	112.818
18.720	111.340
18.780	111.671
18.840	112.143
18.900	111.952
18.960	110.767
19.020	110.398
19.080	109.990
19.140	106.589
19.200	104.577
19.260	103.838
19.320	103.775
19.380	106.105
19.440	121.109
19.500	132.215
19.560	138.762
19.620	143.067
19.680	143.869
19.740	145.206
19.800	144.761
19.860	144.302
19.920	140.901
19.980	139.959
20.040	134.673
20.100	128.522
20.160	122.064
20.220	109.723
