Tue, Oct 10, 2017	2:03 PM
 Notes: GUA_ 1.94e-09_30s_0.05L_101017
 waiting time: 50.000
 time(s)	 temp (K)	 MS1=30.937	 MS2=17.798	 MS3=125.586	 MS4=1.994	 MS5=28.936	 MS6=95.042	 MS7=78.871	 MS8=27.907
0.000	97.400	136.928	572.693	265.871	1364.683	676.023	224.733	126.497	4412.898
1.025	97.400	1471.542	779.902	298.464	1377.623	673.323	224.491	127.681	4424.984
1.978	97.500	1509.522	789.696	299.941	1378.133	678.800	223.828	126.547	4412.197
2.938	97.500	1265.262	749.283	295.012	1386.501	675.183	224.236	126.344	4421.979
3.983	97.500	457.479	624.110	278.239	1377.076	678.431	224.236	127.401	4413.394
4.957	97.500	1023.983	718.780	290.580	1383.648	686.837	225.331	127.388	4427.506
5.914	97.500	1322.717	763.434	299.534	1372.898	673.833	224.045	127.337	4449.298
6.902	97.500	915.800	698.389	288.555	1380.642	675.527	224.720	126.751	4460.723
7.895	97.500	840.145	694.733	287.103	1392.117	681.360	222.873	126.293	4506.383
8.846	97.600	1468.180	806.687	304.896	1403.529	683.716	225.280	126.981	4476.325
9.856	97.600	672.075	679.781	285.346	1407.388	676.367	223.956	126.267	4484.425
10.831	97.600	1044.909	733.936	297.076	1397.263	683.703	225.421	126.573	4496.525
11.789	97.600	1352.813	788.830	304.616	1403.313	678.800	224.172	126.471	4508.918
12.772	97.600	1002.140	732.841	298.324	1398.524	685.830	228.210	127.350	4485.737
13.727	97.600	1342.917	787.047	307.138	1396.932	682.137	224.121	126.815	4565.111
14.687	97.600	1359.627	793.657	307.876	1400.676	680.010	224.007	126.637	4895.991
15.648	97.800	1442.821	805.821	312.563	1399.492	697.026	229.318	127.388	6858.563
16.625	98.200	1664.385	853.569	318.065	1433.587	729.453	238.170	128.929	8129.699
17.601	99.000	1831.767	876.699	322.498	1410.190	726.944	236.922	128.725	6860.270
18.581	100.500	1482.202	819.117	315.353	1430.683	730.905	238.323	128.700	7570.442
19.540	102.900	2159.998	930.345	334.648	1437.255	737.884	242.233	129.604	7831.042
20.499	105.600	2262.081	955.907	338.597	1456.628	734.726	238.717	129.197	7347.783
21.456	109.400	2118.770	923.403	332.470	1456.742	740.826	240.462	129.197	6963.983
22.416	113.500	2000.767	913.838	329.324	1458.716	731.554	239.227	128.662	6683.424
23.373	117.700	2004.040	914.832	334.432	1467.339	734.815	239.889	129.171	6618.316
24.333	121.400	1955.247	912.768	329.184	1480.776	742.648	240.475	130.101	6433.548
25.292	125.500	1903.155	901.942	331.044	1480.903	737.158	239.316	127.872	6424.187
26.249	129.400	1825.411	896.517	328.497	1475.032	736.534	235.533	128.216	6416.570
27.211	132.900	1886.648	922.283	336.686	1486.112	741.731	239.125	129.668	6374.756
28.209	137.100	1067.797	807.081	323.555	1480.050	743.947	239.953	129.069	6303.432
29.168	140.400	1806.638	949.386	348.111	1483.451	743.539	241.086	130.177	6264.828
30.169	144.100	1025.066	848.004	337.056	1493.194	745.157	241.201	129.872	6158.593
31.152	147.700	1313.776	925.148	353.358	1487.768	751.945	242.513	129.795	6014.481
32.114	151.200	1720.157	1020.532	372.998	1469.466	741.833	239.775	129.732	5865.362
33.075	154.700	1715.292	1039.955	383.798	1457.468	732.701	237.762	129.311	5840.730
34.075	158.100	979.457	955.143	374.246	1470.128	726.294	236.743	129.732	5761.191
35.035	161.400	1702.454	1087.322	394.471	1454.997	734.178	238.399	130.267	5694.490
35.993	164.300	1686.992	1074.547	399.286	1454.373	729.695	237.890	130.407	5685.906
36.951	167.600	1661.022	1079.094	395.070	1453.494	729.975	238.323	131.273	5627.114
37.912	170.700	1670.065	1073.401	393.873	1448.336	727.097	239.010	132.992	5613.703
38.871	173.900	1690.201	1068.153	398.560	1460.882	737.209	240.908	133.986	5619.027
39.825	176.700	1772.823	1072.484	406.991	1462.626	740.342	243.837	134.126	5645.404
40.781	179.800	1654.208	1070.662	421.282	1476.573	755.448	246.576	134.291	5645.773
41.799	182.900	750.099	919.481	429.089	1478.878	776.629	254.765	136.673	5685.766
42.759	186.000	1686.941	1087.818	524.753	1503.319	829.994	272.393	142.277	5669.285
43.715	189.000	1702.925	1108.935	651.302	1576.299	925.505	304.743	153.307	5767.954
44.674	191.700	1737.696	1131.441	874.292	1655.074	1070.064	353.154	170.896	5910.233
45.632	194.800	1846.758	1197.734	1222.672	1764.671	1283.577	423.243	194.637	6105.763
46.612	197.800	1503.256	1195.823	1597.327	1893.017	1464.741	485.219	215.308	6212.863
47.571	200.800	1989.826	1293.104	1648.375	1897.462	1447.865	474.176	204.915	5950.862
48.526	203.500	2043.612	1248.336	1082.775	1636.046	1105.395	361.140	163.649	5310.690
49.503	206.500	1192.576	1026.301	648.678	1475.885	933.644	311.443	150.951	5371.914
50.460	209.500	1598.359	1095.269	643.125	1532.919	936.866	307.112	151.409	5398.928
51.418	212.500	1629.143	1098.619	650.283	1578.872	952.035	310.971	152.262	5464.011
52.404	215.400	1175.292	1025.703	653.327	1612.267	976.998	317.276	154.631	5450.982
53.364	218.100	1635.753	1101.905	682.799	1671.402	999.937	321.097	154.147	5499.622
54.343	221.100	1304.478	1053.315	687.180	1725.761	1045.610	332.598	157.943	5517.683
55.320	224.100	1416.100	1087.576	701.433	1799.760	1058.397	333.846	156.427	5529.808
56.312	227.000	1053.583	1013.450	678.647	1851.827	1074.470	335.807	156.631	5541.869
57.316	230.000	980.144	993.327	643.596	1866.754	1061.683	329.987	154.861	5425.598
58.294	233.000	1249.304	1030.491	592.167	1883.375	1023.563	315.684	149.983	5331.998
59.252	236.000	1603.721	1070.637	550.124	1862.640	997.937	307.380	147.550	5335.628
60.250	238.900	959.333	972.222	501.012	1855.597	972.604	296.859	143.996	5328.827
