Tue, Oct 10, 2017	2:59 PM
 x = amu	 y = amps

0.000	667.464
0.060	873.986
0.120	1083.692
0.180	1218.214
0.240	1273.719
0.300	1288.112
0.360	1297.779
0.420	1300.530
0.480	1306.006
0.540	1311.050
0.600	1312.553
0.660	1317.367
0.720	1324.602
0.780	1327.531
0.840	1125.429
0.900	1014.928
0.960	668.674
1.020	562.656
1.080	564.223
1.140	577.443
1.200	569.699
1.260	494.262
1.320	375.965
1.380	268.215
1.440	205.450
1.500	172.220
1.560	161.993
1.620	165.559
1.680	201.616
1.740	541.412
1.800	1119.035
1.860	1592.029
1.920	1847.331
1.980	1989.712
2.040	2113.064
2.100	2169.512
2.160	2021.833
2.220	1455.825
2.280	866.586
2.340	530.815
2.400	338.597
2.460	234.744
2.520	175.226
2.580	142.748
2.640	125.197
2.700	117.224
2.760	111.327
2.820	108.869
2.880	107.214
2.940	106.679
3.000	106.220
3.060	105.647
3.120	105.596
3.180	105.074
3.240	104.106
3.300	105.329
3.360	105.507
3.420	106.564
3.480	112.741
3.540	130.190
3.600	182.970
3.660	237.648
3.720	270.992
3.780	287.141
3.840	302.400
3.900	306.501
3.960	303.737
4.020	291.943
4.080	274.520
4.140	226.312
4.200	173.328
4.260	142.621
4.320	124.790
4.380	114.371
4.440	109.404
4.500	106.539
4.560	104.819
4.620	104.641
4.680	103.686
4.740	103.418
4.800	103.711
4.860	103.125
4.920	102.527
4.980	102.730
5.040	102.998
5.100	103.189
5.160	103.138
5.220	103.074
5.280	102.960
5.340	103.851
5.400	103.800
5.460	105.532
5.520	107.812
5.580	110.156
5.640	111.111
5.700	112.155
5.760	113.314
5.820	113.034
5.880	113.454
5.940	112.665
6.000	111.990
6.060	111.276
6.120	108.946
6.180	105.698
6.240	105.023
6.300	104.794
6.360	103.138
6.420	104.017
6.480	104.310
6.540	104.972
6.600	106.437
6.660	105.456
6.720	107.392
6.780	107.405
6.840	107.315
6.900	106.386
6.960	106.908
7.020	106.653
7.080	105.749
7.140	105.278
7.200	104.208
7.260	104.144
7.320	103.889
7.380	105.252
7.440	107.226
7.500	108.411
7.560	108.920
7.620	109.455
7.680	109.914
7.740	110.079
7.800	109.544
7.860	110.691
7.920	109.493
7.980	108.895
8.040	108.907
8.100	108.513
8.160	106.398
8.220	105.074
8.280	104.641
8.340	103.698
8.400	103.800
8.460	103.405
8.520	103.189
8.580	104.004
8.640	103.991
8.700	103.303
8.760	103.558
8.820	103.405
8.880	103.431
8.940	103.813
9.000	103.291
9.060	103.813
9.120	102.450
9.180	103.240
9.240	103.023
9.300	103.125
9.360	102.425
9.420	103.354
9.480	103.329
9.540	103.227
9.600	102.985
9.660	103.189
9.720	103.303
9.780	103.151
9.840	102.934
9.900	102.883
9.960	103.495
10.020	103.265
10.080	103.125
10.140	103.291
10.200	103.889
10.260	103.303
10.320	103.303
10.380	103.978
10.440	103.635
10.500	103.787
10.560	103.596
10.620	102.527
10.680	102.985
10.740	103.698
10.800	103.864
10.860	103.635
10.920	103.393
10.980	104.450
11.040	103.928
11.100	104.768
11.160	106.309
11.220	108.551
11.280	116.205
11.340	147.677
11.400	242.042
11.460	337.247
11.520	405.425
11.580	457.784
11.640	491.192
11.700	511.889
11.760	523.950
11.820	514.563
11.880	495.879
11.940	474.431
12.000	445.825
12.060	376.284
12.120	277.271
12.180	199.604
12.240	157.777
12.300	136.800
12.360	133.170
12.420	144.468
12.480	157.026
12.540	168.349
12.600	176.220
12.660	183.632
12.720	186.664
12.780	185.364
12.840	183.620
