Mon, Oct 16, 2017	12:25 PM
 x = amu	 y = amps
0.000	4318.762
0.060	2517.141
0.120	3576.788
0.180	4057.614
0.240	3908.356
0.300	3802.325
0.360	3819.061
0.420	3816.004
0.480	3682.653
0.540	3696.931
0.600	3784.074
0.660	3720.060
0.720	3726.556
0.780	3890.461
0.840	3915.909
0.900	3835.554
0.960	2506.213
1.020	3724.442
1.080	1462.996
1.140	1469.912
1.200	1266.982
1.260	189.096
1.320	135.094
1.380	129.388
1.440	134.686
1.500	149.995
1.560	195.133
1.620	253.657
1.680	855.658
1.740	2547.912
1.800	2635.768
1.860	2605.583
1.920	2651.918
1.980	2739.927
2.040	2614.715
2.100	2219.324
2.160	1331.467
2.220	128.089
2.280	108.538
2.340	104.513
2.400	104.437
2.460	103.291
2.520	104.029
2.580	104.513
2.640	105.367
2.700	106.029
2.760	106.335
2.820	105.838
2.880	105.150
2.940	105.876
3.000	104.819
3.060	105.252
3.120	104.985
3.180	106.182
3.240	105.621
3.300	109.137
3.360	116.180
3.420	136.100
3.480	309.570
3.540	580.500
3.600	661.402
3.660	701.280
3.720	703.177
3.780	741.934
3.840	683.092
3.900	568.044
3.960	602.840
4.020	535.629
4.080	368.655
4.140	109.124
4.200	104.246
4.260	103.533
4.320	102.998
4.380	103.380
4.440	103.456
4.500	102.845
4.560	103.023
4.620	102.488
4.680	103.342
4.740	103.087
4.800	103.507
4.860	103.151
4.920	103.711
4.980	102.883
5.040	103.622
5.100	102.998
5.160	102.667
5.220	103.444
5.280	103.533
5.340	103.991
5.400	109.977
5.460	109.825
5.520	113.747
5.580	112.346
5.640	112.869
5.700	112.397
5.760	111.264
5.820	110.958
5.880	112.435
5.940	110.984
6.000	108.615
6.060	104.577
6.120	103.762
6.180	103.303
6.240	102.934
6.300	103.978
6.360	105.392
6.420	106.118
6.480	107.647
6.540	108.818
6.600	107.608
6.660	110.105
6.720	108.487
6.780	108.755
6.840	107.570
6.900	108.449
6.960	108.041
7.020	104.717
7.080	105.736
7.140	103.444
7.200	103.558
7.260	103.698
7.320	104.310
7.380	111.442
7.440	109.379
7.500	109.481
7.560	113.480
7.620	110.780
7.680	110.652
7.740	111.760
7.800	110.894
7.860	110.678
7.920	113.595
7.980	112.486
8.040	110.130
8.100	106.679
8.160	109.099
8.220	107.838
8.280	106.717
8.340	106.628
8.400	106.806
8.460	105.711
8.520	104.997
8.580	103.609
8.640	102.501
8.700	102.043
8.760	103.087
8.820	103.660
8.880	102.730
8.940	103.431
9.000	103.061
9.060	103.711
9.120	103.087
9.180	102.616
9.240	103.303
9.300	102.985
9.360	102.819
9.420	102.285
9.480	102.921
9.540	103.571
9.600	103.545
9.660	103.418
9.720	102.399
9.780	103.469
9.840	103.647
9.900	102.718
9.960	103.915
10.020	103.291
10.080	102.628
10.140	102.501
10.200	103.278
10.260	103.367
10.320	103.202
10.380	103.495
10.440	103.112
10.500	103.329
10.560	103.724
10.620	103.367
10.680	103.074
10.740	103.673
10.800	103.303
10.860	102.807
10.920	105.265
10.980	104.335
11.040	107.264
11.100	109.315
11.160	113.544
11.220	138.876
11.280	176.296
11.340	497.624
11.400	688.964
11.460	730.319
11.520	789.798
11.580	807.043
11.640	792.447
11.700	744.902
11.760	750.315
11.820	664.994
11.880	658.791
11.940	579.787
12.000	498.872
12.060	169.431
12.120	107.799
12.180	107.659
12.240	111.824
12.300	142.608
12.360	234.909
12.420	264.738
12.480	292.058
12.540	288.874
12.600	302.578
12.660	305.087
12.720	293.599
12.780	285.307
12.840	264.585
12.900	273.424
12.960	231.177
13.020	198.203
13.080	141.997
13.140	118.982
13.200	122.828
13.260	154.186
13.320	298.133
13.380	568.464
13.440	788.295
13.500	857.352
13.560	893.244
13.620	927.059
13.680	896.988
13.740	840.795
13.800	813.730
13.860	752.964
13.920	766.580
13.980	609.323
14.040	593.096
14.100	274.443
14.160	116.422
14.220	119.721
14.280	157.153
14.340	229.382
14.400	684.468
14.460	922.970
14.520	973.878
14.580	1031.498
14.640	1042.375
14.700	1021.054
14.760	965.204
14.820	946.062
14.880	878.176
14.940	873.145
15.000	771.700
15.060	666.891
15.120	248.843
15.180	145.474
15.240	223.141
15.300	351.295
15.360	1653.457
15.420	3239.527
15.480	3642.712
15.540	3853.016
15.600	4078.273
15.660	4137.765
15.720	3774.840
15.780	3618.538
15.840	3576.660
15.900	3191.166
15.960	3270.922
16.020	2616.727
16.080	1734.728
16.140	639.011
16.200	203.921
16.260	279.869
16.320	978.527
16.380	4251.259
16.440	5090.553
16.500	6122.371
16.560	6578.794
16.620	6706.426
16.680	6396.001
16.740	6196.675
16.800	5907.940
16.860	5416.377
16.920	5271.907
16.980	4762.067
17.040	3907.923
17.100	2703.322
17.160	268.113
17.220	397.235
17.280	685.830
17.340	3990.417
17.400	7030.785
17.460	10027.341
17.520	11048.295
17.580	11074.774
17.640	11714.029
17.700	10348.872
17.760	9998.531
17.820	10063.971
17.880	9245.527
17.940	9435.070
18.000	7421.769
18.060	7856.961
18.120	3078.831
18.180	134.520
18.240	117.734
18.300	118.880
18.360	136.393
18.420	169.304
18.480	188.370
18.540	189.937
18.600	197.553
18.660	199.107
18.720	188.676
18.780	184.307
18.840	186.090
18.900	178.372
18.960	179.850
19.020	172.692
19.080	155.688
19.140	117.836
19.200	109.264
19.260	119.160
19.320	136.762
19.380	278.379
19.440	356.568
19.500	375.609
19.560	388.040
19.620	402.164
19.680	407.170
19.740	374.424
19.800	358.911
19.860	367.050
19.920	337.616
19.980	340.214
20.040	297.038
20.100	247.658
20.160	171.494
20.220	104.157
20.280	103.889
20.340	103.966
20.400	104.883
20.460	105.150
20.520	105.634
20.580	105.380
20.640	106.437
20.700	104.845
20.760	105.316
20.820	105.443
20.880	105.125
20.940	104.934
21.000	106.972
21.060	105.736
21.120	105.851
21.180	105.380
21.240	104.297
21.300	103.354
21.360	104.896
21.420	107.405
21.480	109.786
21.540	111.302
21.600	111.136
21.660	109.583
