Wed, Oct 18, 2017	9:56 AM
 x = amu	 y = amps
0.000	42117.779
0.060	19076.919
0.120	18904.888
0.180	19339.061
0.240	19516.186
0.300	19117.268
0.360	19557.134
0.420	19357.847
0.480	19033.157
0.540	19301.552
0.600	18753.706
0.660	19042.352
0.720	19304.940
0.780	19056.541
0.840	19878.882
0.900	20819.252
0.960	20448.673
1.020	12547.986
1.080	13063.825
1.140	1685.845
1.200	1439.484
1.260	351.040
1.320	171.316
1.380	169.609
1.440	181.824
1.500	237.189
1.560	403.412
1.620	625.982
1.680	3310.749
1.740	5020.592
1.800	5142.772
1.860	4929.182
1.920	4823.941
1.980	4618.922
2.040	5337.169
2.100	4018.182
2.160	2873.379
2.220	170.705
2.280	116.702
2.340	99.100
2.400	98.132
2.460	97.508
2.520	98.451
2.580	98.667
2.640	99.992
2.700	101.126
2.760	101.291
2.820	100.820
2.880	101.164
2.940	99.788
3.000	101.202
3.060	100.743
3.120	101.495
3.180	99.865
3.240	102.781
3.300	108.997
3.360	117.199
3.420	167.381
3.480	553.142
3.540	740.432
3.600	799.516
3.660	829.217
3.720	818.098
3.780	843.699
3.840	822.709
3.900	780.297
3.960	617.894
4.020	585.786
4.080	475.641
4.140	103.189
4.200	99.100
4.260	97.012
4.320	96.235
4.380	96.782
4.440	96.005
4.500	96.999
4.560	96.031
4.620	97.292
4.680	96.337
4.740	95.738
4.800	97.356
4.860	96.591
4.920	96.273
4.980	96.273
5.040	96.235
5.100	97.317
5.160	95.802
5.220	96.808
5.280	96.642
5.340	97.445
5.400	103.316
5.460	105.150
5.520	105.023
5.580	106.246
5.640	103.698
5.700	103.647
5.760	106.016
5.820	105.010
5.880	101.979
5.940	103.456
6.000	103.889
6.060	99.126
6.120	96.961
6.180	96.324
6.240	95.891
6.300	95.534
6.360	97.292
6.420	98.222
6.480	98.132
6.540	98.425
6.600	98.693
6.660	98.336
6.720	98.247
6.780	99.368
6.840	99.635
6.900	97.648
6.960	98.273
7.020	97.508
7.080	97.164
7.140	96.464
7.200	96.502
7.260	96.044
7.320	97.496
7.380	99.126
7.440	99.139
7.500	99.419
7.560	98.387
7.620	98.948
7.680	98.285
7.740	98.502
7.800	100.501
7.860	102.896
7.920	103.711
7.980	102.781
8.040	103.342
8.100	102.756
8.160	100.552
8.220	100.310
8.280	100.591
8.340	99.495
8.400	100.209
8.460	100.056
8.520	98.578
8.580	97.177
8.640	97.203
8.700	96.171
8.760	96.642
8.820	95.560
8.880	96.719
8.940	96.808
9.000	95.738
9.060	96.095
9.120	95.993
9.180	96.910
9.240	96.795
9.300	96.298
9.360	96.502
9.420	96.681
9.480	96.808
9.540	96.782
9.600	96.286
9.660	96.286
9.720	96.884
9.780	96.400
9.840	96.489
9.900	96.833
9.960	96.668
10.020	96.400
10.080	96.757
10.140	96.515
10.200	96.630
10.260	96.821
10.320	97.190
10.380	97.126
10.440	96.324
10.500	96.897
10.560	97.432
10.620	97.266
10.680	97.088
10.740	97.126
10.800	97.941
10.860	98.782
10.920	98.973
10.980	101.075
11.040	104.144
11.100	107.850
11.160	120.205
11.220	170.004
11.280	247.684
11.340	788.142
11.400	1037.305
11.460	1112.501
11.520	1186.182
11.580	1220.405
11.640	1212.177
11.700	1168.223
11.760	1156.060
11.820	1000.090
11.880	1001.631
11.940	852.105
12.000	753.015
12.060	273.488
12.120	111.034
12.180	112.346
12.240	121.134
12.300	204.762
12.360	440.552
12.420	486.900
12.480	552.327
12.540	568.031
12.600	580.933
12.660	570.527
12.720	549.385
12.780	535.808
12.840	496.350
12.900	528.803
12.960	420.849
13.020	337.565
13.080	230.821
13.140	139.895
13.200	147.970
13.260	199.158
13.320	515.264
13.380	931.402
13.440	1283.195
13.500	1399.301
13.560	1437.064
13.620	1501.027
13.680	1502.797
13.740	1396.180
13.800	1317.431
13.860	1237.077
13.920	1232.097
13.980	961.536
14.040	1043.483
14.100	575.176
14.160	183.136
14.220	169.775
14.280	315.773
14.340	580.398
14.400	2102.340
14.460	2740.334
14.520	2897.591
14.580	3073.482
14.640	3243.602
14.700	3136.400
14.760	3028.598
14.820	2970.278
14.880	2674.500
14.940	2652.504
15.000	2370.340
15.060	2143.976
15.120	718.894
15.180	158.847
15.240	212.378
15.300	328.675
15.360	1472.319
15.420	2494.967
15.480	2747.569
15.540	2965.591
15.600	3052.237
15.660	3084.690
15.720	2993.267
15.780	2896.827
