Mon, Oct 23, 2017	10:13 AM
 x = amu	 y = amps
16.020	1.591
16.080	8.497
16.140	3.371
16.200	2.276
16.260	2.111
16.320	1.924
16.380	1.879
16.440	1.842
16.500	1.736
16.560	1.786
16.620	1.770
16.680	1.780
16.740	1.709
16.800	1.675
16.860	1.624
16.920	1.623
16.980	1.693
17.040	1.746
17.100	1.698
17.160	1.658
17.220	1.720
17.280	1.646
17.340	1.627
17.400	1.582
17.460	1.674
17.520	1.605
17.580	1.600
17.640	1.555
17.700	1.650
17.760	1.654
17.820	1.615
17.880	1.670
17.940	1.583
18.000	1.651
18.060	1.585
18.120	1.599
18.180	1.548
18.240	1.590
18.300	1.537
18.360	1.626
18.420	1.564
18.480	1.607
18.540	1.618
18.600	1.596
18.660	1.647
18.720	1.591
18.780	1.597
18.840	1.576
18.900	1.477
18.960	1.599
19.020	1.554
19.080	1.575
19.140	1.600
19.200	1.592
19.260	1.585
19.320	1.579
19.380	1.574
19.440	1.464
19.500	1.591
19.560	1.510
19.620	1.587
19.680	1.522
19.740	1.590
19.800	1.553
19.860	1.670
19.920	1.599
19.980	1.629
20.040	1.567
20.100	1.627
20.160	1.551
20.220	1.572
20.280	1.467
20.340	1.593
20.400	1.569
20.460	1.540
20.520	1.505
20.580	1.576
20.640	1.547
20.700	1.665
20.760	1.634
20.820	1.508
20.880	1.569
20.940	1.533
21.000	1.539
21.060	1.504
21.120	1.525
21.180	1.642
21.240	1.562
21.300	1.586
21.360	1.615
21.420	1.622
21.480	1.548
21.540	1.612
21.600	1.484
21.660	1.582
21.720	1.495
21.780	1.565
21.840	1.501
21.900	1.468
21.960	1.551
22.020	1.599
22.080	1.516
22.140	1.597
22.200	1.579
22.260	1.611
22.320	1.585
22.380	1.589
22.440	1.583
22.500	1.514
22.560	1.585
22.620	1.523
22.680	1.548
22.740	1.478
22.800	1.558
22.860	1.601
22.920	1.565
22.980	1.587
23.040	1.563
23.100	1.632
23.160	1.647
23.220	1.598
23.280	1.567
23.340	1.588
23.400	1.554
23.460	1.581
23.520	1.512
23.580	1.458
23.640	1.502
23.700	1.615
23.760	1.542
23.820	1.545
23.880	1.589
23.940	1.531
24.000	1.670
24.060	1.619
24.120	1.549
24.180	1.508
24.240	1.581
24.300	1.591
24.360	1.567
24.420	1.560
24.480	1.519
24.540	1.598
24.600	1.566
24.660	1.503
24.720	1.493
24.780	1.553
24.840	1.600
24.900	1.592
24.960	1.506
25.020	1.518
25.080	1.506
25.140	1.527
25.200	1.536
25.260	1.552
25.320	1.548
25.380	1.581
25.440	1.518
25.500	1.486
25.560	1.561
25.620	1.552
25.680	1.524
25.740	1.491
25.800	1.587
25.860	1.546
25.920	1.509
25.980	1.530
26.040	1.522
26.100	1.569
26.160	1.537
26.220	1.505
26.280	1.559
26.340	1.505
26.400	1.571
26.460	1.643
26.520	1.593
26.580	1.520
26.640	1.598
26.700	1.574
26.760	1.472
26.820	1.574
26.880	1.609
26.940	1.557
27.000	1.545
27.060	1.508
27.120	1.435
27.180	1.548
27.240	1.648
27.300	1.608
27.360	1.504
27.420	1.545
27.480	1.533
27.540	1.538
27.600	1.530
27.660	1.616
27.720	1.600
27.780	1.593
27.840	1.558
27.900	1.519
27.960	1.454
28.020	1.566
28.080	1.628
28.140	1.623
28.200	1.557
28.260	1.504
28.320	1.533
28.380	1.534
28.440	1.548
28.500	1.533
28.560	1.485
28.620	1.575
28.680	1.512
28.740	1.557
28.800	1.539
28.860	1.491
28.920	1.520
28.980	1.487
29.040	1.573
29.100	1.505
29.160	1.543
29.220	1.601
29.280	1.519
29.340	1.471
29.400	1.552
29.460	1.581
29.520	1.521
29.580	1.467
29.640	1.590
29.700	1.646
29.760	1.610
29.820	1.604
29.880	1.504
29.940	1.459
30.000	1.544
30.060	1.626
30.120	1.551
30.180	1.593
30.240	1.546
30.300	1.489
30.360	1.578
30.420	1.636
30.480	1.547
30.540	1.470
30.600	1.468
30.660	1.558
30.720	1.550
30.780	1.561
30.840	1.514
30.900	1.525
30.960	1.580
31.020	1.522
31.080	1.526
31.140	1.594
31.200	1.614
31.260	1.520
31.320	1.475
31.380	1.560
31.440	1.552
31.500	1.522
31.560	1.548
31.620	1.589
31.680	1.512
31.740	1.459
31.800	1.500
31.860	1.530
31.920	1.576
31.980	1.555
32.040	1.617
32.100	1.540
32.160	1.510
32.220	1.507
32.280	1.504
32.340	1.517
32.400	1.572
32.460	1.580
32.520	1.591
32.580	1.576
32.640	1.584
32.700	1.531
32.760	1.482
32.820	1.546
32.880	1.532
32.940	1.628
33.000	1.601
33.060	1.506
33.120	1.574
33.180	1.541
33.240	1.452
33.300	1.525
33.360	1.506
33.420	1.559
33.480	1.592
33.540	1.561
33.600	1.558
33.660	1.549
33.720	1.505
33.780	1.538
33.840	1.468
33.900	1.597
33.960	1.494
34.020	1.576
34.080	1.623
34.140	1.513
34.200	1.504
34.260	1.560
34.320	1.511
34.380	1.571
34.440	1.463
34.500	1.532
34.560	1.578
34.620	1.499
34.680	1.613
34.740	1.612
34.800	1.556
34.860	1.539
34.920	1.534
34.980	1.423
35.040	1.483
35.100	1.649
35.160	1.548
35.220	1.568
35.280	1.556
35.340	1.633
35.400	1.514
35.460	1.452
35.520	1.575
35.580	1.558
35.640	1.530
35.700	1.532
35.760	1.614
35.820	1.557
35.880	1.496
35.940	1.456
36.000	1.548
36.060	1.588
36.120	1.561
36.180	1.620
36.240	1.532
36.300	1.443
36.360	1.583
36.420	1.483
36.480	1.455
36.540	1.531
36.600	1.651
36.660	1.530
36.720	1.452
36.780	1.508
36.840	1.552
36.900	1.596
36.960	1.595
37.020	1.588
37.080	1.582
37.140	1.501
37.200	1.536
37.260	1.549
37.320	1.562
37.380	1.552
37.440	1.641
37.500	1.515
37.560	1.628
37.620	1.567
37.680	1.517
37.740	1.614
37.800	1.546
37.860	1.560
37.920	1.416
37.980	1.557
38.040	1.467
38.100	1.548
38.160	1.514
38.220	1.505
38.280	1.538
38.340	1.569
38.400	1.472
38.460	1.517
38.520	1.493
38.580	1.537
38.640	1.617
38.700	1.515
38.760	1.582
38.820	1.461
38.880	1.570
38.940	1.500
39.000	1.505
39.060	1.579
39.120	1.504
39.180	1.604
39.240	1.496
39.300	1.558
39.360	1.572
39.420	1.535
39.480	1.527
39.540	1.468
39.600	1.565
39.660	1.565
39.720	1.524
39.780	1.548
39.840	1.548
39.900	1.533
39.960	1.469
40.020	1.607
40.080	1.596
40.140	1.576
40.200	1.554
40.260	1.559
40.320	1.620
40.380	1.604
40.440	1.452
40.500	1.575
40.560	1.497
40.620	1.490
40.680	1.557
40.740	1.661
40.800	1.618
40.860	1.501
40.920	1.481
40.980	1.525
41.040	1.573
41.100	1.545
41.160	1.615
41.220	1.609
41.280	1.470
41.340	1.574
41.400	1.518
41.460	1.490
41.520	1.561
41.580	1.495
41.640	1.656
41.700	1.508
41.760	1.590
41.820	1.587
41.880	1.566
41.940	1.518
42.000	1.420
42.060	1.569
42.120	1.580
