Tue, Oct 24, 2017	12:57 PM
 x = amu	 y = amps
0.000	2819.377
0.060	2280.918
0.120	2378.084
0.180	2374.518
0.240	2338.932
0.300	2402.118
0.360	2441.219
0.420	2365.017
0.480	2353.134
0.540	2409.390
0.600	2323.177
0.660	2378.173
0.720	2371.487
0.780	2337.289
0.840	2421.796
0.900	2409.212
0.960	2488.114
1.020	2531.979
1.080	1632.900
1.140	1294.263
1.200	864.612
1.260	709.176
1.320	344.952
1.380	135.336
1.440	133.425
1.500	147.231
1.560	173.787
1.620	207.424
1.680	361.153
1.740	1166.466
1.800	3135.648
1.860	4093.429
1.920	3889.379
1.980	4243.197
2.040	4082.527
2.100	4335.383
2.160	3689.200
2.220	1306.096
2.280	215.945
2.340	108.653
2.400	105.074
2.460	103.393
2.520	103.074
2.580	103.380
2.640	103.915
2.700	106.411
2.760	107.175
2.820	106.195
2.880	106.742
2.940	106.156
3.000	107.366
3.060	108.283
3.120	106.704
3.180	105.940
3.240	105.405
3.300	107.494
3.360	110.410
3.420	121.771
3.480	158.949
3.540	237.686
3.600	898.644
3.660	1007.922
3.720	1084.851
3.780	1045.877
3.840	1152.023
3.900	1123.786
3.960	955.907
4.020	999.045
4.080	882.023
4.140	398.063
4.200	123.567
4.260	104.679
4.320	103.049
4.380	102.743
4.440	102.463
4.500	102.577
4.560	102.972
4.620	102.858
4.680	102.934
4.740	103.112
4.800	102.921
4.860	102.870
4.920	102.883
4.980	102.730
5.040	102.641
5.100	103.303
5.160	102.450
5.220	101.928
5.280	102.985
5.340	103.087
5.400	103.953
5.460	105.010
5.520	112.002
5.580	112.321
5.640	111.684
5.700	112.244
5.760	109.863
5.820	111.404
5.880	109.659
5.940	111.340
6.000	108.780
6.060	108.398
6.120	107.290
6.180	103.303
6.240	103.558
6.300	103.800
6.360	102.514
6.420	103.877
6.480	105.138
6.540	105.647
6.600	106.067
6.660	108.271
6.720	106.933
6.780	108.551
6.840	106.475
6.900	106.004
6.960	107.647
7.020	106.640
7.080	105.647
7.140	102.603
7.200	102.488
7.260	102.679
7.320	103.202
7.380	104.908
7.440	105.723
7.500	108.411
