Tue, Oct 24, 2017	1:02 PM
 Notes: 400 L H2 then 0.005 L GUA_102417
 waiting time: 50.000
 time(s)	 temp (K)	 MS1=1.971	 MS2=14.745	 MS3=27.883	 MS4=29.015	 MS5=111.548	 MS6=84.866	 MS7=56.522	 MS8=125.586
0.000	101.200	12420.978	854.470	10339.498	25.303	786.764	2.560	0.948	13.123
1.858	101.200	12747.859	874.996	10652.675	26.265	806.257	2.667	0.938	12.661
3.569	101.200	12653.176	895.133	10588.369	25.979	819.106	2.763	0.661	13.297
5.278	101.200	12794.131	913.864	10658.126	26.017	800.624	2.827	0.859	13.164
6.990	101.200	12696.187	931.475	10592.533	26.531	787.765	2.711	0.887	13.334
8.697	101.200	12565.855	941.302	10534.404	26.108	795.523	2.906	0.864	13.294
10.409	101.300	12673.440	946.945	10707.837	26.956	823.173	2.952	0.767	13.376
12.117	101.300	12686.890	964.778	10574.231	27.945	785.110	3.299	0.771	13.755
0.000	97.500	8687.581	2731.525	19795.764	1043.981	70.868	6.109	43.667	420.467
1.741	97.500	8745.328	2775.543	19919.053	1043.981	72.983	5.461	42.873	422.917
3.451	97.500	8800.209	2772.855	19958.472	1043.981	74.015	5.617	42.546	422.875
5.163	97.500	8921.702	2831.230	20212.068	1043.981	75.336	6.152	44.189	434.531
6.873	97.500	8828.650	2806.264	20080.296	1043.981	76.713	5.882	43.706	428.890
8.582	97.500	9034.586	2837.137	20339.560	1043.981	77.319	5.673	42.567	431.279
10.293	97.500	8888.893	2827.770	20258.314	1043.981	76.337	5.882	43.462	425.825
12.003	97.500	8981.538	2849.068	20285.073	1043.981	64.942	6.377	45.139	432.647
13.714	97.500	8994.644	2853.962	20424.295	1043.981	65.167	6.272	44.084	437.973
