Tue, Oct 24, 2017	12:27 PM
 Notes: 400 L H2 then 0.005 L GUA_102417
 waiting time: 50.000
 time(s)	 temp (K)	 MS1=1.971	 MS2=17.737	 MS3=27.883	 MS4=30.937	 MS5=14.745	 MS6=78.871	 MS7=95.042	 MS8=125.586
0.000	101.500	11992.256	990.561	10516.892	26.575	766.984	2.397	0.598	6.706
1.790	101.500	12146.508	1020.672	10448.128	27.004	771.106	3.115	0.625	8.778
3.516	101.500	12366.288	1043.409	10699.685	27.723	804.422	2.541	0.750	9.262
5.272	101.500	12400.294	1046.938	10680.759	27.666	815.757	2.994	1.004	10.142
7.004	101.500	12421.449	1068.444	10696.030	28.996	805.131	3.252	0.603	10.278
8.753	101.600	12161.906	1050.772	10467.245	27.482	762.085	2.953	0.857	11.075
10.467	101.600	12047.278	1056.376	10496.755	28.696	742.825	2.794	1.176	11.176
12.185	101.600	11897.064	1061.091	13234.519	27.456	880.088	3.169	0.722	11.125
13.902	102.100	12441.993	1083.476	34920.005	31.260	1043.981	3.045	1.000	12.106
15.643	104.000	12555.093	1068.658	42913.489	31.525	1043.981	3.240	0.607	8.906
17.360	108.600	13384.376	1085.510	45502.427	33.087	1043.981	3.190	0.770	5.590
19.077	115.500	13765.489	1072.093	36070.284	31.205	1043.981	3.409	0.667	4.503
20.793	122.600	13674.639	1084.747	29826.367	31.405	1043.981	3.245	1.098	3.632
22.527	129.800	13678.435	1140.764	28812.699	32.449	1043.981	3.690	0.869	2.981
24.242	136.600	14018.243	1367.772	29398.117	30.679	1043.981	3.785	1.102	2.136
25.981	142.700	14363.962	2001.495	28582.844	33.176	1043.981	3.949	0.774	2.985
27.694	149.200	14488.626	2497.038	26475.420	35.298	6552.982	3.934	1.127	5.479
29.408	155.100	14814.845	2518.356	25294.828	37.253	6425.988	3.778	0.871	6.620
31.144	161.100	15041.541	2368.686	24004.613	35.550	6002.176	3.546	0.782	7.447
32.880	167.000	15730.952	2360.404	23108.782	38.737	5641.076	4.792	0.967	9.058
34.612	172.700	16408.773	2171.622	22015.715	39.668	5169.519	5.810	1.103	13.653
36.327	177.900	17131.617	1933.034	20943.127	39.033	4748.643	5.857	1.063	26.371
38.065	183.500	17216.073	1792.765	20128.389	41.716	4258.809	6.169	1.991	76.557
39.783	189.000	17641.585	1692.717	19423.503	53.936	3972.386	9.750	3.597	218.928
41.522	194.400	18041.739	1725.505	19363.718	85.745	3663.676	18.924	6.988	505.336
43.233	199.400	18132.027	1767.592	18903.627	114.707	3452.498	24.178	6.552	503.777
44.995	204.800	18577.421	1670.597	17959.283	84.602	2989.591	14.595	4.239	309.243
46.714	210.100	18149.514	1593.053	17423.002	86.562	2745.683	14.558	4.566	341.460
48.460	215.500	18748.484	1569.740	17376.246	94.442	2552.059	16.739	4.711	360.439
50.177	220.400	19335.584	1528.482	16721.950	82.973	2261.890	12.052	3.938	215.069
51.930	225.700	19541.799	1493.673	16313.352	66.093	2031.625	9.721	2.676	166.928
53.657	231.000	19480.129	1456.543	15922.050	62.454	1828.506	8.959	3.267	146.591
55.373	236.300	20061.243	1447.524	15665.041	57.906	1693.694	8.224	2.968	135.551
57.092	241.200	20980.292	1410.433	15528.137	55.503	1624.305	7.579	2.893	115.307
58.815	246.600	21944.097	1404.772	15106.637	53.114	1529.632	6.962	1.919	90.216
60.532	251.500	21779.402	1410.075	15053.946	51.066	1467.524	5.520	2.380	62.002
62.269	256.800	20522.328	1379.488	14749.659	45.660	1381.213	5.011	1.750	44.395
63.981	262.100	19284.892	1374.576	14759.976	45.001	1374.342	5.108	2.054	40.193
65.714	267.400	18361.589	1356.200	14592.390	43.888	1439.048	4.746	1.752	38.464
67.491	272.600	18213.260	1377.919	14673.050	43.390	1559.261	5.128	2.000	37.072
