Tue, Oct 24, 2017	2:51 PM
 Notes: 400 L H2 then 0.005 L GUA_round 2_102417
 waiting time: 50.000
 time(s)	 temp (K)	 MS1=1.971	 MS2=14.745	 MS3=27.883	 MS4=29.015	 MS5=111.548	 MS6=84.866	 MS7=56.522	 MS8=125.586
0.000	100.100	23647.814	1238.653	15171.656	816.530	0.306	0.810	11.823	2.357
2.863	100.200	23892.634	1225.986	14993.499	820.502	0.182	0.545	13.169	2.258
4.623	100.200	23747.706	1214.219	14995.002	806.041	0.277	0.730	12.037	2.080
6.345	100.200	23533.059	1197.397	14837.210	818.975	0.182	0.963	12.381	2.709
8.088	100.300	23256.054	1192.950	14903.312	799.056	0.160	1.130	12.396	1.985
9.849	100.200	23487.895	1205.391	15060.862	810.445	0.496	0.713	11.716	2.268
11.560	100.300	23292.302	1321.487	26911.185	1004.761	0.470	0.891	12.239	2.392
13.275	101.100	23663.314	1988.530	51273.440	1043.981	0.305	0.927	12.793	2.053
14.995	103.400	23472.471	3724.978	61464.675	1043.981	0.293	1.037	14.512	2.081
16.716	108.600	24723.675	6526.389	60493.266	1043.981	0.382	1.095	14.060	4.124
18.436	116.100	24571.041	6991.090	49972.462	1043.981	0.185	1.063	14.309	4.542
20.186	124.100	24736.513	7272.716	43511.771	1043.981	-0.051	0.984	13.837	3.802
21.903	131.000	24360.724	7281.954	40787.101	1043.785	0.344	1.131	14.711	3.718
23.621	137.700	25002.501	7407.571	40910.020	1043.458	0.331	0.657	14.211	4.222
25.357	144.000	25683.124	7558.545	40166.912	1043.348	0.192	1.215	13.217	3.567
27.104	150.300	26365.072	7268.780	38879.830	1043.712	0.295	1.292	13.320	3.915
28.852	156.100	27019.356	6736.699	36277.646	1043.065	-0.043	1.453	13.096	3.440
30.574	162.100	27218.490	6096.623	34631.906	1041.353	0.293	0.952	13.856	3.628
32.369	167.900	27318.459	5483.211	32795.488	1041.372	0.598	0.644	13.331	4.947
34.094	173.600	26942.874	4928.667	31829.136	1040.157	0.819	1.506	13.718	10.037
35.813	179.100	26699.123	4454.100	30439.475	1040.619	2.262	1.386	14.742	28.540
37.550	184.600	26151.227	4054.395	29552.827	1038.175	6.306	1.109	14.865	80.888
39.301	189.700	26187.971	3658.811	28383.952	1041.180	16.919	1.249	16.402	180.036
41.019	195.100	26154.729	3325.003	27756.491	1042.624	24.696	1.224	15.931	175.755
42.739	200.500	26489.876	3003.256	26597.219	1038.980	23.988	1.232	15.692	209.317
44.457	205.500	26407.370	2753.405	26105.567	1202.691	29.711	1.126	14.893	266.998
46.177	210.800	26825.635	2502.274	25231.235	1187.530	29.134	0.921	14.999	194.699
47.896	216.100	26873.549	2247.629	24323.266	1126.991	17.282	1.315	14.537	122.383
49.615	221.100	27158.629	2029.716	23777.433	1094.704	11.694	1.193	14.074	96.751
51.331	226.400	27545.511	1856.165	23049.112	1074.256	10.438	0.861	14.342	83.362
53.065	231.700	28178.194	1714.525	22891.651	1055.119	9.743	1.400	13.254	74.927
54.778	236.700	29077.260	1592.406	22137.118	1037.243	7.858	0.846	13.509	64.721
56.501	241.900	29555.056	1483.469	22027.623	1025.042	6.741	0.798	13.365	48.119
58.220	246.900	30019.477	1407.984	21576.906	1002.926	4.746	0.831	13.194	31.566
59.941	252.200	28658.027	1318.836	21370.626	989.924	2.894	0.973	10.911	20.439
61.689	257.400	27445.301	1247.538	20981.744	959.773	1.771	1.195	11.887	16.994
63.427	262.700	26438.408	1189.203	20715.909	952.848	1.427	0.632	12.761	16.043
65.147	267.700	26286.781	1156.397	20602.669	946.886	1.526	0.884	11.002	13.196
66.863	272.900	26176.063	1156.933	20159.173	935.343	1.446	0.591	11.720	11.640
68.613	278.200	26584.419	1214.950	20151.149	928.416	1.443	0.608	12.331	11.061
70.336	283.500	27009.358	1410.705	19856.925	922.018	1.532	0.728	11.767	11.096
72.056	288.500	27528.445	1747.625	19849.920	904.978	1.140	0.410	11.365	11.398
73.777	293.800	27916.995	2295.603	19557.503	899.047	0.931	0.547	11.406	9.729
