Wed, Oct 25, 2017	1:06 PM
 x = amu	 y = amps

75.000	-1.092
75.060	2.501
75.120	2.630
75.180	2.216
75.240	1.938
75.300	2.068
75.360	2.334
75.420	2.682
75.480	2.522
75.540	2.890
75.600	2.920
75.660	3.143
75.720	3.142
75.780	3.247
75.840	3.213
75.900	3.239
75.960	2.959
76.020	2.159
76.080	2.169
76.140	2.033
76.200	1.998
76.260	1.883
76.320	1.976
76.380	2.335
76.440	2.247
76.500	2.611
76.560	2.614
76.620	3.070
76.680	2.880
76.740	2.840
76.800	3.124
76.860	2.636
76.920	3.027
76.980	3.209
77.040	2.488
77.100	2.002
77.160	1.639
77.220	2.196
77.280	1.932
77.340	2.087
77.400	2.459
77.460	2.883
77.520	3.842
77.580	3.660
77.640	4.671
77.700	4.593
77.760	4.262
77.820	4.897
77.880	4.614
77.940	5.023
78.000	4.358
78.060	4.542
78.120	3.117
78.180	2.785
78.240	2.440
78.300	2.361
78.360	2.116
78.420	2.682
78.480	3.733
78.540	5.020
78.600	5.939
78.660	6.067
78.720	7.078
78.780	6.873
78.840	7.908
78.900	7.829
78.960	7.290
79.020	6.911
79.080	5.448
79.140	3.588
79.200	2.948
79.260	2.022
79.320	1.988
79.380	1.858
79.440	2.589
79.500	2.854
79.560	3.114
79.620	2.918
79.680	3.685
79.740	3.977
79.800	3.849
79.860	4.155
79.920	3.799
79.980	4.218
80.040	3.689
80.100	2.886
80.160	2.536
80.220	2.325
80.280	2.199
80.340	1.870
80.400	1.948
80.460	2.040
80.520	2.487
80.580	2.709
80.640	2.594
80.700	2.850
80.760	2.985
80.820	3.109
80.880	2.585
80.940	2.822
81.000	2.680
81.060	2.350
81.120	2.102
81.180	2.040
81.240	2.006
81.300	1.944
81.360	1.953
81.420	2.429
81.480	3.167
81.540	4.198
81.600	4.617
81.660	5.121
81.720	5.401
81.780	5.966
81.840	6.373
81.900	5.724
81.960	5.942
82.020	5.390
82.080	4.626
82.140	3.782
82.200	3.163
82.260	2.739
82.320	1.874
82.380	2.126
82.440	1.965
82.500	3.133
82.560	3.228
82.620	3.526
82.680	3.896
82.740	3.746
82.800	4.165
82.860	3.905
82.920	4.366
0.000	516.699
0.060	1043.981
0.120	1043.981
0.180	1043.981
0.240	1043.981
0.300	1043.981
0.360	1043.981
0.420	1043.981
0.480	1043.981
0.540	1043.981
0.600	1043.981
0.660	1043.981
0.720	1043.981
0.780	1043.981
0.840	1043.981
0.900	1043.981
0.960	1043.981
1.020	1043.981
1.080	1043.981
1.140	1043.981
1.200	1043.981
1.260	670.334
1.320	164.031
1.380	30.640
1.440	35.968
1.500	49.364
1.560	75.828
1.620	120.128
1.680	318.033
1.740	1043.981
1.800	1043.981
1.860	1043.981
1.920	1043.981
1.980	1043.981
2.040	1043.981
2.100	1043.981
2.160	1043.981
2.220	1043.981
2.280	691.724
2.340	9.683
2.400	5.186
2.460	3.216
2.520	2.994
2.580	2.462
2.640	4.478
2.700	4.488
2.760	5.597
2.820	5.305
2.880	5.998
2.940	5.562
3.000	5.857
3.060	5.542
3.120	4.825
3.180	4.466
3.240	4.659
3.300	8.561
3.360	11.728
3.420	32.154
3.480	106.329
3.540	224.753
3.600	849.844
3.660	897.070
3.720	965.155
3.780	958.168
3.840	1004.274
3.900	978.218
3.960	823.392
4.020	839.448
4.080	653.714
4.140	68.016
4.200	8.730
4.260	2.105
4.320	1.701
4.380	1.400
4.440	1.363
4.500	1.264
4.560	1.398
4.620	1.351
4.680	1.556
4.740	1.434
4.800	1.723
