Wed, Oct 04, 2017	10:33 AM
 x = amu	 y = amps
.000	2352.930
0.060	2346.078
0.120	2379.434
0.180	2375.231
0.240	2397.304
0.300	2419.541
0.360	2419.758
0.420	2458.719
0.480	2459.279
0.540	2434.379
0.600	2419.210
0.660	2391.992
0.720	2381.485
0.780	2384.796
0.840	2370.672
0.900	2440.136
0.960	2590.668
1.020	2142.141
1.080	2343.161
1.140	1644.528
1.200	1347.629
1.260	645.201
1.320	239.163
1.380	139.551
1.440	117.403
1.500	115.365
1.560	123.873
1.620	131.196
1.680	182.817
1.740	728.854
1.800	1383.711
1.860	1649.890
1.920	1772.542
1.980	1844.223
2.040	1854.629
2.100	1796.729
2.160	1375.089
2.220	569.763
2.280	176.449
2.340	112.385
2.400	102.348
2.460	100.985
2.520	100.922
2.580	100.769
2.640	101.100
2.700	101.291
2.760	101.266
2.820	101.036
2.880	101.864
2.940	101.686
3.000	101.151
3.060	101.036
3.120	100.591
3.180	100.107
3.240	100.794
3.300	100.030
3.360	100.782
3.420	102.960
3.480	110.168
3.540	130.801
3.600	211.818
3.660	252.167
3.720	271.858
3.780	272.074
3.840	276.188
3.900	269.973
3.960	260.586
4.020	237.100
4.080	197.579
4.140	141.449
4.200	106.105
4.260	100.552
4.320	100.310
4.380	99.737
4.440	99.890
4.500	100.017
4.560	100.629
4.620	99.024
4.680	98.999
4.740	100.489
4.800	99.903
4.860	99.788
4.920	99.457
4.980	100.183
5.040	98.680
5.100	100.896
5.160	99.610
5.220	99.877
5.280	99.355
5.340	99.432
5.400	101.075
5.460	103.584
5.520	111.455
5.580	116.193
5.640	117.556
5.700	118.574
5.760	118.867
5.820	117.403
5.880	115.709
5.940	115.569
6.000	114.244
6.060	110.703
6.120	103.609
6.180	101.151
6.240	101.011
6.300	100.285
6.360	100.680
6.420	100.782
6.480	102.208
6.540	102.819
6.600	102.476
6.660	103.647
6.720	102.756
6.780	102.705
6.840	103.061
6.900	103.393
6.960	102.425
7.020	102.221
7.080	100.017
7.140	99.533
7.200	99.903
7.260	99.916
7.320	99.584
7.380	100.667
7.440	104.271
7.500	108.041
7.560	108.525
7.620	109.684
7.680	108.933
7.740	107.952
7.800	108.564
7.860	106.742
7.920	107.621
7.980	108.118
8.040	106.526
8.100	102.323
8.160	101.495
8.220	101.215
8.280	100.896
8.340	101.368
8.400	100.833
8.460	101.278
8.520	100.743
8.580	99.597
8.640	100.196
8.700	99.521
8.760	99.139
8.820	100.081
8.880	99.725
8.940	100.769
9.000	99.381
9.060	100.272
9.120	100.068
9.180	100.387
9.240	100.094
9.300	98.973
9.360	99.483
9.420	99.954
9.480	99.266
9.540	99.202
9.600	99.011
9.660	100.361
9.720	99.890
9.780	100.132
9.840	99.648
9.900	99.814
9.960	99.852
10.020	99.266
10.080	99.877
10.140	100.158
10.200	99.928
10.260	99.877
10.320	100.119
10.380	99.508
10.440	101.049
10.500	100.170
10.560	100.183
10.620	100.043
10.680	100.005
10.740	100.285
10.800	99.661
10.860	100.438
10.920	101.266
10.980	101.202
11.040	102.093
11.100	103.100
11.160	106.628
11.220	118.116
11.280	131.349
11.340	226.210
11.400	576.539
11.460	824.505
11.520	999.707
