Wed, Oct 04, 2017	2:52 PM
 Notes: GUA_ after purficaion_100417
 waiting time: 50.000
 time(s)	 temp (K)	 MS1=1.994	 MS2=17.798	 MS3=26.922	 MS4=27.907	 MS5=28.936	 MS6=30.937	 MS7=78.871	 MS8=125.586
0.000	97.500	2197.239	2639.551	510.450	6637.038	678.163	194.496	118.829	191.172
1.085	97.500	2040.899	2564.380	511.545	6624.060	672.050	191.440	119.683	191.070
2.034	97.500	2037.117	2542.499	518.983	6650.029	659.224	192.892	119.071	188.841
3.029	97.500	2037.142	2563.743	521.607	6630.135	665.427	195.171	120.065	191.516
4.003	97.500	2028.838	2570.927	517.862	6650.590	673.922	192.471	119.899	190.739
4.957	97.500	2031.704	2564.902	518.231	6650.679	662.293	193.656	120.230	188.014
5.928	97.600	2036.824	2582.912	516.474	6691.206	666.000	188.854	118.473	189.198
6.956	97.600	2027.654	2597.571	516.512	6660.269	666.013	192.841	118.396	189.096
7.912	97.600	2033.563	2582.122	516.614	6672.369	672.228	190.510	118.969	188.370
8.871	97.600	2037.855	2583.701	514.245	6624.455	661.708	190.077	119.288	186.778
9.831	97.600	2005.505	2560.750	510.462	6554.060	658.090	185.581	119.415	186.243
10.787	97.700	1996.347	2564.482	498.630	6596.613	658.931	189.580	117.377	186.218
11.745	97.800	2008.307	2533.482	498.872	6799.963	661.873	185.594	119.020	184.600
12.699	98.100	2017.694	2556.127	503.177	7896.444	697.917	188.549	118.906	186.714
13.715	98.800	2017.452	2563.960	518.919	8684.970	731.236	190.994	117.861	184.626
14.669	100.100	2048.172	2656.121	520.371	8913.271	730.765	192.268	124.930	186.944
15.627	102.300	2099.665	3699.746	544.010	9931.474	783.315	204.495	122.956	188.345
16.605	104.800	2159.323	3682.691	565.828	10596.635	804.509	202.253	121.033	190.879
17.593	108.400	2142.727	3175.908	556.186	10110.179	797.720	198.521	120.943	184.689
18.564	112.500	2131.698	2921.612	541.093	9439.936	776.883	197.018	119.835	186.434
19.533	116.700	2101.703	2832.763	546.990	8974.966	757.728	193.528	119.517	186.867
