Tue, Oct 10, 2017	12:19 PM
 Notes: GUA_ 1.83e-09_30s_0.05L_101017
 waiting time: 50.000
 time(s)	 temp (K)	 MS1=1.994	 MS2=17.798	 MS3=27.907	 MS4=78.871	 MS5=95.042	 MS6=109.505	 MS7=111.496	 MS8=125.586
0.000	98.400	2186.872	1424.608	4225.659	1440.083	317.531	141.984	112.550	111.760
1.525	98.400	1285.055	1167.981	4211.840	1438.746	322.039	143.245	114.091	111.442
2.474	98.400	1286.341	1179.712	4210.655	1414.343	313.022	140.914	113.429	111.531
3.434	98.400	1287.398	1175.190	4256.061	1411.108	315.646	142.137	113.633	112.117
4.411	98.400	1282.380	1183.100	4195.181	1436.198	319.607	142.697	113.811	112.028
5.378	98.400	1275.821	1188.067	4258.863	1436.619	318.104	141.666	114.257	111.098
6.341	98.400	1245.381	1179.291	4277.585	1448.922	319.428	143.028	113.862	111.901
7.307	98.400	1278.037	1184.271	4304.841	1433.944	316.970	143.028	113.251	111.187
8.291	98.400	1264.027	1197.543	4293.684	1447.419	319.505	142.022	113.989	111.022
9.251	98.400	1260.041	1199.020	4251.348	1448.858	320.485	142.162	113.811	110.894
10.210	98.400	1252.322	1203.618	4265.308	1457.303	323.708	142.583	113.391	111.315
11.166	98.600	1254.245	1201.644	4353.100	1489.067	327.885	144.213	113.544	111.404
12.136	98.800	1255.290	1209.910	4634.665	1566.492	343.436	146.416	114.843	111.837
13.095	99.500	1274.254	1221.143	5163.265	1744.841	369.916	150.008	114.970	112.321
14.053	100.800	1289.576	1234.695	5351.676	1818.012	376.653	151.880	115.620	111.824
15.012	102.900	1289.907	1232.568	5256.471	1797.913	378.449	151.511	115.148	112.041
15.969	105.400	1291.181	1241.216	5436.984	1829.704	387.759	153.332	115.378	112.461
16.922	108.900	1285.603	1239.242	5410.212	1812.127	384.703	153.944	115.352	110.640
17.895	112.900	1289.118	1242.974	5250.536	1735.938	372.386	150.581	115.085	112.079
18.852	116.700	1276.904	1243.037	5057.757	1733.340	370.247	151.218	115.696	112.461
19.823	121.000	1253.316	1238.312	4986.407	1679.681	361.166	149.269	114.486	111.378
20.773	125.200	1247.189	1246.807	4916.739	1656.157	353.638	148.365	115.097	111.506
21.729	129.300	1266.129	1255.366	4830.182	1611.286	349.461	147.384	115.123	111.302
22.697	132.800	1257.328	1261.161	4891.508	1633.422	348.913	147.206	114.320	111.544
23.662	136.700	1263.760	1271.032	4843.873	1625.105	348.964	147.652	114.142	112.232
24.623	140.500	1261.913	1283.272	4733.843	1616.712	346.340	146.697	114.142	111.735
25.581	144.200	1279.973	1306.898	4698.805	1590.373	341.259	145.283	113.837	111.200
26.540	147.500	1263.887	1306.720	4692.297	1584.132	341.551	145.932	114.410	111.149
27.498	151.100	1274.471	1304.414	4669.078	1550.992	338.877	145.958	114.002	111.136
28.454	154.600	1257.353	1307.764	4602.862	1572.733	341.220	145.932	114.206	112.423
29.410	157.600	1280.839	1305.994	4629.774	1540.128	337.489	145.232	114.983	112.690
30.367	161.000	1253.609	1302.326	4614.898	1560.990	338.304	145.830	115.034	114.231
31.324	164.300	1253.265	1304.389	4567.161	1543.528	336.291	146.213	114.473	115.760
32.295	167.600	1247.431	1303.192	4596.608	1545.987	338.635	146.735	114.996	118.001
