Tue, Oct 10, 2017	12:57 PM
 Notes: GUA_ 1.92e-09_30s_0.05L_101017
 waiting time: 50.000
 time(s)	 temp (K)	 MS1=1.994	 MS2=17.798	 MS3=27.907	 MS4=30.937	 MS5=30.937	 MS6=42.078	 MS7=44.109	 MS8=125.586
0.000	97.800	2160.215	1306.121	4391.475	1513.623	363.165	173.074	824.709	345.283
1.051	97.800	1396.486	1104.694	4390.902	1506.656	352.836	173.392	820.608	345.016
1.999	97.800	1393.315	1107.203	4421.584	1525.621	355.396	174.156	819.703	346.786
2.956	97.800	1370.949	1099.166	4432.270	1523.647	356.211	173.201	815.882	349.766
3.913	97.800	1385.405	1112.667	4420.055	1532.193	357.778	172.068	822.493	345.258
4.871	97.800	1381.457	1111.623	4468.734	1532.843	357.039	173.494	828.097	350.747
5.832	97.800	1366.938	1116.539	4427.786	1550.075	359.561	174.793	825.702	347.512
6.788	97.800	1372.325	1110.094	4470.848	1531.034	354.453	174.589	833.548	350.938
7.747	97.800	1387.099	1116.692	4453.667	1549.897	360.936	174.335	829.472	349.206
8.707	97.800	1382.616	1113.240	4426.029	1518.705	356.593	172.959	832.656	354.186
9.665	97.800	1383.355	1122.359	4418.132	1522.399	354.619	172.844	835.535	352.365
10.626	97.800	1391.022	1114.807	4454.342	1536.460	358.555	173.188	831.663	354.033
11.582	97.800	1376.719	1116.297	4408.096	1517.775	353.460	172.666	834.656	351.893
12.576	97.900	1364.237	1111.508	4451.005	1527.531	356.682	171.915	843.801	353.715
13.535	98.000	1369.727	1120.666	4764.092	1633.550	370.196	174.386	865.338	364.770
14.496	98.500	1367.281	1124.843	5440.958	1860.335	411.959	182.295	927.823	382.576
15.453	99.500	1374.401	1120.029	5782.550	1959.857	426.058	183.785	964.784	398.751
16.428	101.200	1359.461	1129.696	5576.894	1871.810	407.399	179.608	906.922	376.997
17.382	103.300	1355.882	1109.305	5907.189	2031.742	440.195	185.848	928.638	378.207
18.339	106.500	1381.725	1127.505	6198.764	2134.194	452.193	190.179	901.255	377.061
19.311	110.300	1387.469	1132.141	6145.207	2086.700	450.525	187.339	908.387	373.036
20.268	114.500	1409.261	1144.610	5993.529	2037.142	439.406	186.804	906.171	376.526
21.224	118.300	1429.652	1149.654	5725.083	1984.808	430.859	184.180	910.807	376.004
22.184	122.500	1425.436	1155.385	5641.952	1927.660	423.027	183.734	912.565	379.786
23.140	126.600	1446.031	1171.102	5638.679	1930.462	421.333	184.562	924.932	381.850
24.101	130.200	1432.148	1160.875	5593.146	1875.338	413.232	183.505	924.168	384.919
25.064	134.100	1409.643	1167.829	5479.537	1896.799	415.346	184.868	931.797	383.875
26.019	137.900	1436.975	1193.556	5550.555	1867.760	408.787	182.932	929.071	381.850
26.977	141.700	1417.820	1160.072	5339.589	1832.557	403.986	181.085	902.146	375.953
27.941	144.900	1402.727	1197.734	5364.883	1859.048	410.226	182.435	922.053	375.061
28.902	148.600	1410.050	1212.151	5363.381	1815.210	405.743	180.868	915.507	382.550
29.860	152.100	1408.433	1215.463	5387.096	1822.635	405.030	182.422	926.944	380.258
30.820	155.600	1426.990	1211.808	5307.417	1825.959	404.317	181.671	921.671	382.346
31.782	158.600	1404.243	1205.019	5309.798	1807.237	400.088	182.269	936.471	385.900
32.748	162.000	1428.837	1219.640	5261.693	1796.754	399.706	183.250	936.764	390.408
33.708	165.300	1411.872	1209.808	5166.895	1769.333	400.228	183.199	951.564	389.784
34.665	168.500	1419.514	1210.343	5217.828	1774.466	404.406	184.575	956.786	401.285
35.625	171.400	1419.361	1219.271	5118.701	1748.139	398.127	185.670	960.479	400.152
36.579	174.500	1414.559	1215.412	5145.473	1744.713	393.694	184.664	958.620	415.690
37.539	177.700	1412.840	1219.080	5132.583	1758.532	400.789	187.122	958.187	428.771
38.496	180.400	1407.490	1221.092	5188.509	1780.032	408.749	191.121	967.497	468.521
39.456	183.500	1412.203	1231.753	5197.845	1811.822	423.409	200.100	993.403	548.621
40.414	186.600	1443.840	1246.616	5340.977	1811.580	440.705	216.913	1011.183	697.472
41.372	189.700	1491.984	1278.063	5442.423	1891.093	482.404	247.302	1042.668	956.849
42.333	192.400	1588.845	1356.290	5673.972	2048.325	563.395	295.471	1073.044	1406.701
43.322	195.400	1626.990	1446.655	6039.368	2227.616	672.750	364.171	1122.996	1989.839
44.281	198.400	1940.829	1599.225	6384.143	2401.812	757.689	409.500	1151.704	2237.245
45.236	201.400	2091.782	1687.081	6462.714	2401.214	746.278	385.721	1100.555	1634.683
46.195	204.100	1830.340	1567.817	5858.204	2099.016	562.300	263.286	896.046	687.779
47.156	207.100	1495.856	1377.458	5115.797	1778.019	456.358	222.466	912.972	617.143
48.114	210.100	1541.554	1391.150	5137.054	1778.732	454.053	221.065	918.767	614.099
49.068	212.800	1612.802	1411.948	5148.708	1808.434	458.294	219.778	931.860	622.849
50.026	215.800	1728.067	1447.164	5248.205	1826.137	456.867	221.459	942.368	633.764
50.984	218.700	1790.603	1470.880	5283.052	1839.613	461.287	224.656	960.900	648.245
