Wed, Oct 11, 2017	3:33 PM
 x = amu	 y = amps

0.000	1021.117
0.060	3658.390
0.120	3689.060
0.180	3699.937
0.240	3691.594
0.300	3664.083
0.360	3654.034
0.420	3631.402
0.480	3643.922
0.540	3647.335
0.600	3649.819
0.660	3666.796
0.720	3683.023
0.780	3708.737
0.840	3711.845
0.900	3718.290
0.960	3796.976
1.020	3712.533
1.080	3361.465
1.140	2745.085
1.200	2048.172
1.260	1544.726
1.320	1046.539
1.380	643.596
1.440	407.526
1.500	285.154
1.560	226.147
1.620	207.564
1.680	241.685
1.740	636.591
1.800	1442.681
1.860	2139.008
1.920	2564.788
1.980	2754.472
2.040	2909.958
2.100	3030.687
2.160	2942.385
2.220	2135.977
2.280	608.711
2.340	386.804
2.400	257.809
2.460	189.096
2.520	150.454
2.580	128.942
2.640	118.791
2.700	113.913
2.760	111.735
2.820	110.882
2.880	109.608
2.940	109.353
3.000	109.404
3.060	108.780
3.120	109.583
3.180	109.035
3.240	108.449
3.300	109.646
3.360	112.002
3.420	116.906
3.480	137.488
3.540	184.345
3.600	416.340
3.660	698.414
3.720	870.853
3.780	957.091
3.840	1018.341
3.900	1055.289
3.960	1051.800
4.020	991.250
4.080	916.780
4.140	691.766
4.200	432.668
4.260	282.900
4.320	201.107
4.380	157.089
4.440	133.744
4.500	120.409
4.560	112.627
4.620	109.417
4.680	107.150
4.740	107.201
4.800	105.927
4.860	105.329
4.920	105.532
4.980	104.972
5.040	105.532
5.100	105.392
5.160	105.252
5.220	104.883
5.280	104.819
5.340	105.405
5.400	105.685
5.460	106.513
5.520	109.748
5.580	112.028
5.640	112.410
5.700	114.919
5.760	114.601
5.820	114.473
5.880	114.690
5.940	113.353
6.000	112.741
6.060	111.366
6.120	109.328
6.180	108.054
6.240	106.781
6.300	106.526
6.360	105.723
6.420	105.405
6.480	106.144
6.540	107.150
6.600	106.386
6.660	107.799
6.720	107.672
6.780	107.443
6.840	108.398
6.900	108.156
6.960	108.627
7.020	107.634
7.080	107.647
7.140	106.768
7.200	106.297
7.260	105.252
7.320	105.571
7.380	106.182
7.440	107.583
7.500	109.060
7.560	110.627
7.620	111.671
7.680	111.506
7.740	112.295
7.800	112.601
7.860	113.098
7.920	111.977
7.980	111.684
8.040	111.684
8.100	110.525
8.160	108.780
8.220	107.761
8.280	107.405
8.340	108.003
8.400	106.628
8.460	106.258
8.520	106.105
8.580	106.322
8.640	105.405
8.700	105.571
8.760	105.481
8.820	105.876
8.880	105.583
8.940	104.921
9.000	104.883
9.060	105.494
9.120	105.774
9.180	104.934
9.240	105.252
9.300	105.596
9.360	105.023
9.420	106.004
9.480	105.048
9.540	105.227
9.600	105.430
9.660	105.380
9.720	105.443
9.780	105.214
9.840	104.704
9.900	105.481
9.960	104.921
10.020	105.469
10.080	105.532
10.140	105.456
10.200	105.201
10.260	105.558
10.320	104.959
10.380	105.239
10.440	105.481
10.500	105.863
10.560	105.583
10.620	105.380
10.680	105.456
10.740	105.380
10.800	104.717
10.860	106.029
10.920	105.634
10.980	105.443
11.040	105.838
11.100	106.984
11.160	108.525
11.220	111.608
11.280	119.058
11.340	155.090
11.400	275.475
11.460	417.703
11.520	528.395
11.580	607.170
11.640	658.574
11.700	689.053
11.760	715.570
11.820	703.712
11.880	678.163
11.940	645.571
12.000	606.839
12.060	519.161
12.120	376.080
12.180	259.299
12.240	190.535
12.300	156.096
12.360	151.982
12.420	183.288
12.480	239.685
12.540	292.809
12.600	330.063
12.660	355.804
12.720	372.947
12.780	379.277
