Thu, Oct 12, 2017	3:43 PM
 x = amu	 y = amps

0.000	2144.944
0.060	2634.813
0.120	2531.953
0.180	2634.125
0.240	2545.123
0.300	2556.191
0.360	2653.828
0.420	2600.017
0.480	2676.321
0.540	2807.073
0.600	2707.258
0.660	2724.758
0.720	2773.678
0.780	2658.503
0.840	2741.850
0.900	2703.042
0.960	2859.267
1.020	2143.301
1.080	3051.155
1.140	990.104
1.200	833.841
1.260	459.236
1.320	146.365
1.380	127.885
1.440	126.739
1.500	139.768
1.560	158.898
1.620	183.976
1.680	356.071
1.740	1810.535
1.800	2621.350
1.860	2538.423
1.920	2482.600
1.980	2587.357
2.040	2770.723
2.100	2480.167
2.160	1917.521
2.220	308.844
2.280	136.889
2.340	106.781
2.400	105.214
2.460	104.666
2.520	104.233
2.580	105.074
2.640	104.424
2.700	104.921
2.760	106.831
2.820	104.755
2.880	106.691
2.940	105.800
3.000	105.583
3.060	106.067
3.120	106.398
3.180	105.902
3.240	105.762
3.300	110.054
3.360	112.767
3.420	124.688
3.480	202.724
3.540	383.429
3.600	639.699
3.660	721.875
3.720	714.462
3.780	716.882
3.840	786.219
3.900	699.076
3.960	660.740
4.020	576.106
4.080	437.240
4.140	119.364
4.200	107.201
4.260	103.444
4.320	104.004
4.380	103.724
4.440	102.055
4.500	102.769
4.560	103.736
4.620	103.380
4.680	104.029
4.740	102.616
4.800	101.852
4.860	103.189
4.920	103.736
4.980	103.367
5.040	102.947
5.100	102.348
5.160	103.316
5.220	103.736
5.280	104.017
5.340	103.227
5.400	105.787
5.460	108.576
5.520	109.672
5.580	111.595
5.640	113.467
5.700	112.092
5.760	109.404
5.820	109.544
5.880	111.111
5.940	113.098
6.000	109.570
6.060	108.207
6.120	105.227
6.180	104.170
6.240	104.144
6.300	103.533
6.360	105.571
6.420	104.641
6.480	107.825
6.540	107.341
6.600	108.487
6.660	107.188
6.720	107.621
6.780	108.283
6.840	107.443
6.900	106.831
6.960	106.564
7.020	106.870
7.080	103.915
7.140	102.705
7.200	104.590
7.260	103.482
7.320	104.564
7.380	107.799
7.440	111.073
7.500	108.640
7.560	111.111
7.620	112.576
7.680	110.920
7.740	111.531
7.800	111.531
7.860	109.493
7.920	111.264
7.980	108.067
8.040	112.818
8.100	105.787
8.160	105.430
8.220	105.443
8.280	105.443
8.340	104.768
8.400	105.647
8.460	103.482
8.520	106.258
8.580	104.908
8.640	104.106
8.700	104.080
8.760	103.329
8.820	104.080
8.880	102.870
8.940	103.482
9.000	102.335
9.060	103.214
9.120	103.826
9.180	104.704
9.240	103.495
9.300	103.036
9.360	103.469
9.420	103.151
9.480	103.698
9.540	102.412
9.600	104.093
9.660	103.011
9.720	102.730
9.780	104.080
9.840	102.730
9.900	104.195
9.960	103.393
10.020	104.462
10.080	102.667
10.140	103.558
10.200	103.036
10.260	103.444
10.320	103.902
10.380	102.934
10.440	103.354
10.500	103.367
10.560	103.889
10.620	103.367
10.680	103.584
10.740	103.533
10.800	103.978
10.860	102.985
10.920	105.125
10.980	104.424
11.040	106.220
11.100	105.545
11.160	110.296
11.220	120.179
11.280	130.814
11.340	227.828
11.400	474.571
11.460	517.824
11.520	582.614
11.580	600.445
11.640	600.700
11.700	602.802
11.760	590.409
11.820	537.514
11.880	526.650
11.940	494.949
12.000	443.761
12.060	288.542
12.120	133.960
12.180	104.704
12.240	105.278
12.300	115.709
12.360	164.426
12.420	199.387
12.480	232.438
12.540	241.621
12.600	245.098
12.660	242.436
12.720	247.798
12.780	236.055
12.840	223.981
