Fri, Oct 20, 2017	10:25 AM
 x = amu	 y = amps
0.000	157.777
0.060	155.141
0.120	154.555
0.180	155.574
0.240	155.790
0.300	155.688
0.360	155.969
0.420	155.306
0.480	154.746
0.540	155.230
0.600	155.446
0.660	154.657
0.720	154.695
0.780	154.058
0.840	154.746
0.900	154.249
0.960	155.103
1.020	154.988
1.080	155.090
1.140	155.077
1.200	154.797
1.260	155.268
1.320	154.555
1.380	154.861
1.440	154.364
1.500	155.370
1.560	153.956
1.620	154.962
1.680	155.829
1.740	154.237
1.800	155.510
1.860	154.224
1.920	154.377
1.980	154.682
2.040	154.479
2.100	154.606
2.160	153.702
2.220	154.402
2.280	154.835
2.340	154.886
2.400	154.924
2.460	154.950
2.520	153.472
2.580	153.842
2.640	154.644
2.700	155.663
0.000	106.844
0.060	2623.503
0.120	2095.029
0.180	3018.091
0.240	3152.078
0.300	3034.801
0.360	2973.360
0.420	3077.787
0.480	3097.286
0.540	3052.517
0.600	2966.712
0.660	3099.426
0.720	2989.281
0.780	2947.021
0.840	3073.316
0.900	3034.011
0.960	3210.984
1.020	3076.640
1.080	2020.801
1.140	1343.617
1.200	1034.618
1.260	858.256
1.320	533.553
1.380	135.794
1.440	136.609
1.500	147.257
1.560	170.030
1.620	194.904
1.680	295.369
1.740	849.761
1.800	2691.885
1.860	4325.334
1.920	4100.842
1.980	4404.148
2.040	4160.729
2.100	4452.253
2.160	3816.717
2.220	2240.467
2.280	332.496
2.340	110.614
2.400	105.112
2.460	103.112
2.520	103.151
2.580	103.877
2.640	103.813
2.700	105.902
2.760	106.768
2.820	106.959
2.880	107.264
2.940	107.901
3.000	107.112
3.060	108.131
3.120	107.010
3.180	106.246
3.240	105.787
3.300	107.812
3.360	110.589
3.420	120.994
3.480	150.505
3.540	201.769
3.600	893.689
3.660	1062.384
3.720	1099.599
3.780	1147.157
3.840	1167.880
3.900	1214.189
3.960	995.046
4.020	1036.388
4.080	877.005
4.140	565.293
4.200	148.620
4.260	105.507
4.320	103.545
4.380	102.870
4.440	102.170
4.500	102.437
4.560	101.788
4.620	101.750
4.680	103.112
4.740	102.769
4.800	103.112
4.860	103.520
4.920	103.367
4.980	103.393
5.040	102.998
5.100	101.533
5.160	102.437
5.220	102.068
5.280	102.667
5.340	103.444
5.400	104.182
5.460	104.068
5.520	109.774
5.580	112.537
5.640	113.225
5.700	112.639
5.760	114.359
5.820	112.143
5.880	111.251
5.940	110.563
6.000	110.780
6.060	110.882
6.120	108.500
6.180	103.838
6.240	102.374
6.300	102.794
6.360	103.036
6.420	103.100
6.480	104.246
6.540	106.602
6.600	106.093
6.660	106.831
6.720	106.093
6.780	106.449
6.840	106.411
6.900	105.150
6.960	106.220
7.020	104.768
7.080	103.775
7.140	103.609
7.200	103.393
7.260	103.291
7.320	101.520
7.380	104.080
7.440	104.794
7.500	107.990
7.560	106.615
7.620	107.647
7.680	109.239
7.740	109.468
7.800	107.494
7.860	108.500
7.920	105.863
7.980	108.997
8.040	106.589
8.100	106.997
8.160	103.202
8.220	105.125
8.280	103.915
8.340	104.654
8.400	104.310
8.460	104.131
8.520	103.520
8.580	102.845
8.640	102.539
8.700	102.412
8.760	102.756
8.820	103.125
8.880	103.686
8.940	103.011
9.000	102.297
9.060	103.902
9.120	103.011
9.180	103.482
9.240	102.552
9.300	103.749
9.360	103.049
9.420	102.730
9.480	103.354
9.540	102.756
9.600	102.896
9.660	102.934
9.720	103.800
9.780	102.743
9.840	102.616
9.900	102.819
9.960	102.590
10.020	103.469
10.080	102.628
10.140	102.527
10.200	103.342
10.260	102.412
10.320	103.393
10.380	103.176
10.440	103.380
10.500	102.960
10.560	102.476
10.620	102.909
10.680	102.883
10.740	103.367
10.800	103.660
10.860	104.361
10.920	103.902
10.980	104.717
11.040	106.118
11.100	105.825
11.160	109.659
11.220	116.269
11.280	124.892
11.340	167.189
11.400	471.107
11.460	635.445
11.520	789.543
11.580	829.969
11.640	884.010
11.700	905.496
11.760	892.428
11.820	859.543
11.880	762.427
11.940	760.504
12.000	615.691
12.060	484.085
12.120	380.780
12.180	110.385
12.240	107.863
12.300	110.117
12.360	127.414
12.420	157.166
12.480	277.551
12.540	316.499
12.600	325.580
12.660	338.176
12.720	339.106
12.780	330.229
12.840	314.920
12.900	303.036
12.960	301.839
13.020	258.230
13.080	268.686
13.140	167.915
13.200	115.887
13.260	120.014
13.320	135.922
13.380	164.948
13.440	458.217
13.500	723.250
13.560	781.367
13.620	843.711
13.680	869.592
13.740	865.325
13.800	838.044
13.860	829.676
13.920	736.967
13.980	746.927
14.040	668.012
14.100	599.414
14.160	445.468
14.220	115.913
14.280	120.549
14.340	132.521
14.400	195.197
14.460	691.829
14.520	933.478
14.580	1157.869
14.640	1259.149
14.700	1268.052
14.760	1282.215
14.820	1211.693
14.880	1201.517
14.940	1060.600
15.000	1053.366
15.060	917.226
15.120	734.102
15.180	585.480
15.240	127.261
15.300	133.693
15.360	188.740
15.420	555.116
15.480	1065.797
15.540	1646.337
15.600	1923.992
15.660	1969.091
15.720	2027.335
15.780	2049.064
15.840	1907.485
15.900	1733.429
15.960	1658.386
16.020	1612.063
16.080	1381.495
16.140	1256.449
16.200	432.986
16.260	148.798
16.320	151.167
16.380	287.498
16.440	634.923
16.500	2073.505
16.560	2527.903
16.620	2698.622
16.680	2784.721
16.740	2902.991
16.800	2686.077
16.860	2576.391
16.920	2488.280
16.980	2234.060
17.040	2064.398
17.100	1947.478
17.160	1237.522
17.220	167.342
17.280	178.066
17.340	331.069
17.400	667.948
17.460	3409.826
17.520	5323.197
17.580	5567.215
17.640	5816.620
17.700	6294.797
17.760	6130.102
17.820	5520.064
17.880	5692.618
17.940	5075.180
18.000	5096.959
18.060	4465.868
18.120	3774.865
