Mon, Oct 09, 2017	11:16 AM
 Notes: GUA_ 4e-09_30s_100917
 waiting time: 50.000
 time(s)	 temp (K)	 MS1=1.994	 MS2=17.798	 MS3=26.922	 MS4=27.907	 MS5=28.936	 MS6=30.937	 MS7=78.871	 MS8=125.586
0.000	98.800	2039.791	675.705	267.438	6600.090	767.611	178.410	112.869	129.108
1.215	98.800	1863.328	654.155	268.062	6569.433	770.757	179.047	112.830	130.177
2.211	98.800	1800.932	652.066	269.107	6621.945	772.362	179.875	112.703	128.827
3.180	98.800	1795.876	657.033	267.782	6602.854	762.593	178.627	113.556	129.974
4.173	98.800	1798.894	657.785	269.374	6607.566	770.808	180.435	113.353	129.388
5.160	98.800	1799.378	658.842	269.960	6595.263	772.973	179.786	113.085	132.062
6.127	98.800	1795.659	660.408	271.017	6599.771	777.227	181.263	113.327	129.974
7.108	98.900	1788.794	662.217	267.362	6553.347	766.681	178.334	113.340	130.279
8.082	98.900	1788.043	659.810	268.941	6487.270	753.028	177.404	113.518	131.566
9.041	98.900	1783.139	661.071	269.438	6463.440	756.441	177.022	113.263	131.846
10.002	99.000	1762.277	655.339	271.323	6567.510	753.053	177.582	113.645	131.846
10.977	99.200	1752.890	654.894	269.247	6885.361	770.413	175.354	112.486	131.540
11.936	99.900	1764.136	660.396	266.687	7626.011	808.342	178.843	112.397	132.495
12.929	101.100	1766.671	655.951	266.623	7603.238	802.203	177.302	112.588	132.113
13.888	102.700	1747.095	659.186	270.533	7604.945	812.685	178.334	112.728	132.546
14.885	105.400	1763.105	660.905	272.838	8011.199	824.378	179.544	113.238	133.119
15.846	108.800	1779.369	667.082	270.673	7948.319	832.580	180.868	113.556	132.202
16.807	112.700	1758.978	667.541	269.387	7571.244	826.097	179.760	112.869	131.400
17.798	117.000	1749.948	669.591	271.119	7278.166	800.471	176.869	112.601	132.432
18.789	121.400	1737.606	668.445	272.978	7108.261	785.302	177.926	112.843	132.827
19.776	125.600	1748.432	673.056	275.513	7022.456	778.807	176.895	113.684	133.540
20.732	129.800	1739.326	690.084	275.144	7002.829	774.094	176.856	113.238	132.737
21.732	133.800	1739.670	701.598	271.870	6940.573	770.846	178.945	113.009	132.495
22.691	137.300	1737.899	735.846	274.481	6893.257	760.211	176.793	113.123	131.515
23.648	141.100	1737.797	759.625	279.907	6815.285	768.872	179.582	113.556	134.533
24.604	144.900	1729.863	789.671	283.359	6763.868	765.000	182.702	114.142	134.368
25.561	148.200	1741.516	795.810	283.486	6691.066	761.956	185.479	114.193	134.941
26.538	151.800	1732.308	783.888	283.932	6673.897	751.232	182.894	113.314	136.673
27.523	155.300	1741.198	771.037	287.613	6655.481	754.276	182.218	114.410	138.341
28.482	158.800	1725.863	758.848	288.326	6641.700	754.671	181.034	113.837	139.131
29.439	162.200	1736.040	750.532	293.599	6641.878	758.568	179.085	114.715	143.525
30.398	165.200	1706.733	747.704	300.043	6572.745	763.268	181.836	116.779	147.397
31.355	168.400	1701.919	742.533	311.735	6617.309	775.966	184.409	120.116	155.001
32.311	171.600	1699.957	740.393	327.019	6615.208	780.946	187.224	125.338	161.827
33.303	174.800	1702.632	737.222	351.575	6648.183	792.677	189.848	126.879	175.850
34.295	178.000	1714.795	744.100	389.135	6662.868	799.108	191.580	124.166	206.430
35.278	181.100	1713.293	748.698	478.201	6754.647	842.272	202.660	123.503	270.011
36.238	184.200	1726.984	753.321	651.200	6928.321	906.171	223.217	128.483	409.182
37.198	186.900	1757.513	773.763	998.281	7195.786	1051.125	257.223	139.628	682.302
38.180	190.000	1816.853	802.433	1681.821	7627.947	1303.064	326.077	160.172	1291.449
39.139	193.000	1930.283	843.062	2835.119	8186.873	1670.957	440.272	193.248	2392.183
40.100	196.000	2025.272	907.024	4575.771	8973.221	2184.681	620.212	248.728	4169.491
41.057	198.700	2131.545	966.453	6629.358	9915.808	2766.597	815.640	311.162	6388.563
42.040	201.700	2161.450	1053.455	8442.468	10978.499	3169.540	941.222	341.972	7045.203
43.163	205.400	2070.295	1063.084	6823.360	10498.997	2513.091	621.562	215.932	2282.064
44.146	208.100	1890.622	927.912	2887.287	8056.630	1497.932	346.684	149.995	826.008
45.106	211.100	1727.914	834.070	1652.298	7421.705	1300.975	304.807	141.984	668.305
46.062	214.100	1726.093	814.074	1465.263	7242.465	1247.253	293.115	138.303	639.674
47.018	217.100	1719.279	812.800	1381.419	7167.193	1223.398	290.453	138.163	631.688
48.021	220.100	1741.224	816.799	1377.012	7160.952	1217.322	286.301	137.794	630.083
48.979	222.700	1733.785	811.845	1387.583	7181.725	1216.393	278.621	139.118	645.379
49.950	225.700	1756.023	818.506	1420.329	7218.037	1239.382	296.095	140.889	682.952
50.908	228.700	1765.372	825.779	1459.773	7270.536	1258.512	300.629	141.704	688.913
51.898	231.700	1748.203	820.391	1469.377	7206.765	1238.312	297.471	138.940	657.288
52.852	234.600	1748.407	813.157	1335.962	7025.589	1178.196	276.443	136.062	532.445
53.811	237.300	1713.356	789.632	1081.208	6808.254	1090.493	256.905	130.037	426.236
54.765	240.300	1697.525	782.551	910.705	6616.023	1028.632	244.512	127.286	373.698
55.749	243.200	1674.141	776.527	821.958	6601.453	1008.356	239.762	126.764	342.354
56.719	246.200	1687.578	775.444	767.255	6593.021	986.105	236.909	125.134	324.204
57.710	249.200	1691.908	780.258	725.428	6543.909	976.578	233.088	124.140	311.723
58.690	252.200	1693.704	779.074	696.618	6571.433	973.763	232.808	123.669	300.209
59.701	255.100	1713.343	780.373	690.097	6592.282	968.669	230.146	123.058	293.701
60.653	257.800	1723.112	781.876	666.497	6583.571	956.416	229.776	122.294	286.887
61.631	260.800	1745.465	779.991	663.720	6611.285	945.858	224.529	123.440	286.505
62.629	263.700	1748.152	778.692	650.143	6647.176	948.214	226.312	122.510	281.728
63.588	266.700	1761.691	781.838	640.158	6605.503	939.884	226.707	123.338	279.945
64.548	269.600	1761.882	785.659	633.929	6642.298	935.681	227.611	123.045	278.710
65.505	272.600	1777.764	789.696	626.886	6639.152	938.636	222.657	123.351	277.105
66.500	275.600	1788.871	793.925	634.070	6639.840	940.101	223.421	122.268	276.990
67.448	278.200	1802.104	784.436	624.683	6643.037	927.887	222.962	121.797	273.310
68.403	281.200	1834.378	790.027	622.696	6585.341	942.177	224.695	122.383	271.183
69.362	284.200	1847.624	794.969	616.238	6664.014	933.223	224.835	122.102	272.036
70.332	287.200	1868.028	792.396	611.157	6625.792	930.676	224.911	121.631	268.342
71.290	289.800	1899.945	786.601	610.991	6643.355	936.395	224.211	121.746	263.936
72.247	292.800	1924.310	793.008	609.157	6654.322	927.403	219.893	122.548	266.827
73.206	295.700	1979.013	793.606	597.720	6629.205	926.473	222.669	121.911	263.910
74.163	298.400	2026.915	805.005	600.241	6646.310	918.449	222.351	119.937	262.254
76.582	305.600	2165.347	810.253	600.585	6614.622	630.223	211.245	122.128	264.025
81.083	319.100	2519.522	827.714	597.401	6655.481	924.894	221.880	122.217	265.247
85.518	332.600	2731.228	839.203	576.985	6618.035	899.943	221.281	122.574	255.568
86.474	335.200	2725.178	825.982	572.298	6590.958	905.139	218.810	122.421	251.008
87.819	339.200	2874.818	825.664	558.173	6633.510	894.466	220.300	124.357	243.723
92.706	354.000	2473.888	813.819	549.398	6636.873	897.459	223.994	123.274	239.533
