Mon, Oct 09, 2017	2:30 PM
 x = amu	 y = amps

1.020	1675.911
1.080	1191.735
1.140	1211.247
1.200	1129.810
1.260	694.147
1.320	312.614
1.380	173.621
1.440	147.015
1.500	157.752
1.560	204.062
1.620	274.545
1.680	852.869
1.740	2090.801
1.800	2641.805
1.860	2698.329
1.920	2685.517
1.980	2604.449
2.040	2780.811
2.100	2624.012
2.160	2087.884
2.220	864.255
2.280	256.739
2.340	134.826
2.400	107.812
2.460	103.584
2.520	102.539
2.580	102.845
2.640	103.813
2.700	105.188
2.760	104.564
2.820	103.775
2.880	104.170
2.940	104.297
3.000	105.188
3.060	104.310
3.120	104.182
3.180	103.418
3.240	102.807
3.300	104.093
3.360	106.424
3.420	114.142
3.480	173.723
3.540	239.150
3.600	269.718
3.660	300.222
3.720	303.546
3.780	303.087
3.840	311.353
3.900	303.648
3.960	283.652
4.020	257.644
4.080	229.076
4.140	157.815
4.200	111.748
4.260	103.176
4.320	102.170
4.380	100.820
4.440	101.062
4.500	101.138
4.560	101.660
4.620	101.138
4.680	101.495
4.740	101.126
4.800	101.852
4.860	101.431
4.920	101.571
4.980	100.947
5.040	102.374
5.100	101.457
5.160	101.380
5.220	101.762
5.280	102.259
5.340	102.297
5.400	109.379
5.460	118.995
5.520	117.632
5.580	118.944
5.640	117.543
5.700	117.899
5.760	119.071
5.820	119.135
5.880	118.409
5.940	116.868
6.000	116.766
6.060	111.315
6.120	107.277
6.180	102.654
6.240	102.450
6.300	102.272
6.360	102.348
6.420	103.660
6.480	104.271
6.540	106.029
6.600	105.329
6.660	106.398
6.720	106.577
6.780	106.271
6.840	105.392
6.900	104.704
6.960	105.023
7.020	104.488
7.080	102.819
7.140	102.068
7.200	101.457
7.260	101.928
7.320	103.596
7.380	106.946
7.440	109.850
7.500	109.086
7.560	109.748
7.620	110.028
7.680	109.341
7.740	108.704
7.800	109.570
7.860	110.143
7.920	109.735
7.980	108.576
8.040	109.391
8.100	104.284
8.160	104.310
8.220	103.507
8.280	102.348
8.340	102.081
8.400	102.259
8.460	102.259
8.520	102.030
8.580	101.915
8.640	101.329
8.700	101.508
8.760	101.597
8.820	102.055
8.880	102.081
8.940	101.304
9.000	102.068
9.060	101.992
9.120	101.393
9.180	100.527
9.240	101.597
9.300	101.444
9.360	101.839
9.420	101.253
9.480	102.234
9.540	102.119
9.600	101.584
9.660	101.253
9.720	101.024
9.780	101.495
9.840	101.036
9.900	101.673
9.960	100.565
10.020	101.762
10.080	101.979
10.140	101.138
10.200	101.355
10.260	101.686
10.320	101.189
10.380	101.342
10.440	101.686
10.500	101.559
10.560	101.520
10.620	101.839
10.680	101.406
10.740	102.335
10.800	102.144
10.860	102.603
10.920	103.545
10.980	104.029
11.040	104.552
11.100	107.889
11.160	115.301
11.220	143.283
11.280	192.242
11.340	457.670
11.400	675.374
11.460	801.630
11.520	874.610
11.580	901.942
11.640	916.589
11.700	897.880
11.760	881.093
11.820	814.596
11.880	783.799
11.940	727.198
12.000	674.215
12.060	455.645
12.120	237.355
12.180	140.061
12.240	116.397
12.300	140.596
12.360	238.692
12.420	315.353
12.480	357.179
12.540	377.799
12.600	390.039
12.660	392.981
12.720	383.518
12.780	376.742
12.840	353.307
12.900	339.692
12.960	316.614
13.020	285.014
13.080	242.118
13.140	157.930
13.200	127.885
13.260	149.830
13.320	313.187
13.380	513.277
13.440	706.667
13.500	828.657
13.560	881.526
13.620	907.445
13.680	928.078
13.740	899.994
13.800	868.382
13.860	818.328
13.920	776.896
13.980	687.410
