Tue, Oct 10, 2017	1:36 PM
 Notes: GUA_ 2.04e-09_30s_0.05L_101017
 waiting time: 50.000
 time(s)	 temp (K)	 MS1=1.994	 MS2=17.798	 MS3=27.907	 MS4=28.936	 MS5=30.937	 MS6=42.078	 MS7=44.109	 MS8=125.586
0.000	99.000	2351.312	1546.407	5194.062	1974.963	467.069	199.553	1071.401	433.279
1.122	99.000	1455.456	1298.492	5183.695	1985.496	468.763	198.827	1077.756	432.426
2.072	99.000	1469.415	1294.327	5153.535	1957.196	467.540	200.381	1089.958	438.132
3.030	99.000	1478.114	1312.629	5209.129	1946.255	463.872	197.910	1096.148	440.386
3.988	99.000	1482.241	1317.329	5166.908	1956.903	469.031	198.496	1107.101	444.908
4.961	99.000	1472.090	1333.937	5166.373	1954.368	467.426	198.190	1109.840	440.972
5.920	99.000	1484.342	1315.380	5171.977	1972.148	470.483	199.502	1102.618	441.431
6.879	99.000	1485.234	1332.817	5197.577	1949.987	462.255	197.069	1097.613	440.807
7.840	99.000	1472.854	1319.252	5179.262	1957.718	458.077	196.496	1085.475	437.661
8.801	99.000	1463.238	1325.862	5213.027	1964.201	467.375	198.445	1077.947	437.202
9.762	99.100	1461.353	1326.945	5222.821	1945.707	459.886	195.885	1103.662	447.723
10.723	99.200	1450.349	1328.359	5505.137	2063.010	484.480	200.406	1279.222	500.770
11.684	99.500	1474.522	1346.725	6727.238	2513.091	557.358	214.735	1913.751	718.831
12.645	100.200	1516.846	1365.829	7300.314	2653.497	588.919	220.084	2124.552	788.830
13.607	101.500	1517.877	1356.277	6865.861	2568.036	565.204	218.365	2176.390	792.918
14.567	103.700	1548.916	1361.206	7131.047	2637.768	581.570	221.752	834.847	400.025
15.528	106.300	1203.058	1120.793	5631.012	2115.369	490.148	201.833	1547.515	588.244
16.488	109.800	1432.276	1290.977	6255.378	2343.097	528.803	209.729	1641.917	626.249
17.447	113.900	1517.431	1346.954	6633.930	2461.304	546.264	213.053	1699.308	647.952
18.428	118.200	1523.710	1372.580	6696.696	2500.813	562.058	217.142	1744.204	653.251
19.382	121.900	1571.791	1389.252	6775.356	2483.236	559.345	216.403	1798.487	679.093
20.340	126.000	1556.507	1401.186	6826.544	2551.389	569.992	220.250	1858.348	699.165
21.322	130.000	1545.375	1422.940	6935.721	2580.072	575.036	223.408	1930.334	723.021
22.283	133.900	1554.660	1422.634	6988.577	2587.675	573.953	223.510	1998.194	744.329
23.237	137.300	1592.258	1451.482	6971.701	2599.240	573.202	221.523	2077.619	771.165
24.198	141.000	1587.788	1488.622	7015.005	2580.097	572.680	221.472	2143.211	791.785
25.159	144.700	1589.596	1527.328	6939.376	2553.885	564.350	219.957	2226.355	809.960
26.141	148.400	1567.371	1577.484	6944.076	2588.439	585.123	224.796	2248.605	819.729
27.101	151.900	1591.927	1623.934	6846.311	2526.502	573.979	223.179	2251.700	833.561
28.058	155.000	1602.766	1657.685	6797.785	2540.308	576.806	223.357	2264.590	825.002
29.015	158.400	1600.499	1683.222	6809.757	2492.050	575.036	223.930	2299.016	845.635
29.967	161.800	1613.693	1693.895	6698.530	2517.166	572.985	224.784	2320.630	841.215
30.917	164.700	1609.962	1720.412	6777.305	2519.714	576.552	223.981	2323.700	856.754
31.877	168.000	1616.139	1728.398	6731.122	2483.873	567.089	224.733	2355.439	863.058
32.837	171.200	1615.464	1736.154	6704.720	2507.219	574.679	226.223	2372.811	868.688
33.811	174.300	1593.570	1743.669	6723.073	2460.667	563.535	225.128	2371.933	890.149
34.772	177.100	1593.035	1751.515	6769.013	2517.052	575.698	228.566	2369.118	866.433
35.734	180.200	1619.909	1767.766	6724.996	2543.161	586.015	234.935	2401.838	930.650
36.694	183.300	1615.209	1780.133	6771.790	2568.316	603.133	242.398	2458.808	1002.573
37.650	186.100	1634.072	1811.350	6867.033	2605.876	628.389	257.351	2479.212	1124.767
38.610	189.100	1674.013	1835.562	6884.023	2727.012	686.595	283.932	2570.163	1364.072
39.569	192.200	1774.657	1895.003	7038.924	2940.411	793.925	333.196	2666.272	1745.656
40.525	195.200	1895.042	1980.236	7318.120	3235.273	940.827	397.184	2785.460	2295.705
41.481	197.900	2107.358	2111.549	7658.527	3583.118	1095.970	467.502	2826.484	2734.259
42.430	200.900	2281.096	2227.985	7872.002	3761.823	1156.366	485.308	2803.545	2549.122
43.386	203.900	2171.155	2165.436	7620.942	3454.951	983.239	389.746	2566.087	1529.951
44.344	206.600	1821.259	1894.558	6736.790	2739.634	700.872	278.697	2369.665	1137.554
45.309	209.600	1739.937	1885.884	6737.580	2701.666	686.556	275.054	2460.591	1152.723
46.270	212.600	1773.332	1875.045	6772.236	2707.589	687.422	277.283	2501.207	1185.762
47.229	215.600	1813.019	1890.635	6807.554	2723.025	688.276	275.195	2571.857	1221.653
48.190	218.200	1858.195	1899.589	6769.051	2771.335	708.578	281.410	2610.244	1258.079
49.148	221.200	1903.448	1906.275	6801.478	2768.176	711.036	288.148	2629.464	1250.921
