Fri, Jul 21, 2017	1:18 PM
 Notes: background
 waiting time: 25.000
 time(s)	 temp (K)	 MS1=1.942	 MS2=13.642	 MS3=17.577	 MS4=27.796	 MS5=43.737	 MS6=28.818	 MS7=30.708	 MS8=60.996
0.000	89.500	9238.076	261.350	383.977	1385.940	1000.281	132.279	84.071	80.200
0.755	89.500	9272.617	262.942	386.040	1398.167	968.694	133.081	85.039	80.543
1.506	89.500	9070.630	258.191	376.131	1360.302	975.075	133.540	84.581	80.327
2.257	89.500	9204.617	251.568	377.379	1372.261	953.207	128.802	84.606	80.289
3.013	89.500	9035.999	258.548	374.895	1324.933	953.805	135.055	85.562	80.340
3.769	89.500	9053.716	254.345	381.009	1349.820	947.845	132.355	85.409	80.442
4.525	89.500	8903.438	253.352	371.597	1309.254	940.865	135.081	85.549	81.473
5.297	89.500	8971.425	247.480	373.074	1322.691	913.736	131.247	86.542	81.308
6.057	89.500	8745.570	248.142	376.182	1293.830	916.386	130.967	85.702	80.276
6.815	89.500	8749.047	248.244	364.974	1292.875	920.385	130.445	85.294	81.168
7.591	89.500	8643.335	246.245	377.519	1306.860	930.116	134.686	84.938	81.690
8.350	89.500	9653.615	253.161	405.501	1440.401	1008.063	137.055	85.893	81.040
9.109	89.600	10468.060	267.807	432.974	1505.179	1092.556	140.774	85.167	81.320
9.867	89.700	11597.185	279.245	468.852	1668.830	1146.699	146.607	86.007	81.919
10.624	89.900	12085.602	297.458	493.459	1799.646	1228.709	149.550	87.498	81.817
11.389	90.200	13223.807	326.344	504.260	2000.499	1327.072	154.033	87.370	81.473
12.144	90.800	13302.608	367.292	531.312	2211.848	1398.931	161.114	87.294	81.269
12.900	91.700	14194.210	409.577	535.375	2481.542	1552.508	163.980	86.351	81.728
13.661	92.800	14163.617	458.332	558.058	2724.286	1706.058	170.565	87.281	82.123
14.416	94.400	14291.529	491.727	548.124	2710.888	1827.093	171.176	87.829	81.282
15.197	96.300	14458.797	508.552	564.478	2648.657	1702.798	172.972	86.135	81.881
15.961	98.600	14223.020	493.319	550.340	2477.518	1540.574	173.634	89.204	81.320
16.717	101.200	14411.125	494.402	563.229	2413.976	1434.377	181.263	87.510	81.690
17.493	104.000	14170.049	492.848	563.191	2332.730	1414.801	179.022	87.230	81.537
18.252	107.000	14316.416	487.728	547.041	2290.165	1390.182	176.283	87.370	81.766
19.004	110.000	13927.483	492.835	565.254	2261.469	1392.945	174.895	88.224	83.091
19.773	113.100	14451.499	507.711	554.581	2269.035	1374.847	170.717	87.039	82.874
20.530	116.100	13974.570	511.316	554.874	2218.573	1381.750	165.343	88.262	84.670
21.288	118.700	13951.581	513.659	567.190	2231.284	1342.866	161.904	88.949	88.555
22.049	121.700	13974.405	504.540	581.226	2173.970	1361.321	169.750	89.026	95.802
22.809	124.700	14288.167	487.600	571.011	2164.902	1338.140	166.425	88.606	101.648
23.579	127.600	13853.370	481.551	594.319	2153.273	1327.951	172.653	89.548	115.365
24.341	130.600	13978.404	471.909	609.081	2155.056	1344.292	170.106	89.357	125.860
25.099	133.400	13739.812	457.631	644.170	2079.032	1320.793	174.487	89.013	138.864
25.879	136.300	14107.016	444.233	694.962	2103.563	1315.559	171.393	89.395	146.862
26.638	139.100	13709.958	436.782	819.003	2097.080	1298.568	171.736	91.102	155.154
27.397	141.800	13813.671	426.185	978.832	2054.451	1311.942	173.367	91.076	170.106
28.175	144.600	13741.073	413.576	1215.972	2043.893	1301.905	178.436	90.605	202.495
28.931	147.300	13781.689	413.347	1486.049	1978.949	1316.412	186.383	92.388	257.606
29.686	149.900	13696.724	412.188	1769.155	2046.096	1301.561	195.350	94.464	349.601
30.436	152.600	13677.429	434.655	1964.048	2030.201	1313.444	209.334	100.259	514.563
31.193	155.100	13728.820	456.816	2091.310	2034.939	1333.593	243.379	105.749	785.417
31.952	157.300	13573.792	498.146	2058.336	2020.699	1356.685	262.700	116.779	1170.019
32.713	159.900	13727.445	555.970	2003.824	2067.761	1359.245	312.627	127.159	1662.945
33.469	162.400	13205.518	640.374	1872.180	2053.483	1412.025	368.451	140.698	2138.206
34.224	164.900	13632.596	721.212	1746.433	2078.179	1432.645	421.192	149.091	2300.112
34.980	167.400	13005.416	758.492	1589.864	2081.299	1434.644	386.944	134.903	1324.691
35.735	169.900	13290.088	612.507	1365.435	2037.206	1384.323	312.143	126.140	968.159
36.494	172.300	13039.142	610.813	1259.658	2030.570	1407.287	334.941	129.795	1023.919
37.252	174.800	13376.352	650.945	1197.594	2104.620	1444.477	374.959	144.429	1309.955
38.008	176.800	13141.122	750.723	1191.977	2120.706	1538.255	480.519	166.387	1881.235
38.762	179.200	13220.585	961.587	1272.917	2251.407	1662.028	618.862	208.061	2863.407
39.521	181.600	13102.391	1275.133	1438.911	2371.232	1870.053	865.860	273.781	4090.589
40.280	184.000	13483.784	1672.765	1675.465	2552.943	2029.411	1031.778	303.419	3685.837
41.038	186.400	12988.043	1720.068	1677.732	2537.010	2052.706	948.571	273.131	2115.127
41.792	188.800	13080.701	1529.900	1563.219	2497.858	1974.759	789.314	235.495	1066.790
