Fri, Jul 21, 2017	3:25 PM
 Notes: background
 waiting time: 25.000
 time(s)	 temp (K)	 MS1=1.942	 MS2=14.600	 MS3=17.577	 MS4=27.796	 MS5=43.737	 MS6=28.818	 MS7=27.000	 MS8=60.080
0.000	96.100	5223.114	239.265	497.751	717.391	674.457	127.592	118.090	100.501
0.747	96.100	5325.986	243.646	507.800	714.258	663.924	128.292	120.536	100.934
1.518	96.000	5222.006	237.507	520.855	716.016	665.019	129.668	120.332	100.973
2.291	96.000	5307.760	237.176	515.391	709.444	658.180	129.197	118.396	100.170
3.056	96.000	5234.449	236.323	520.257	713.519	657.352	130.088	116.626	100.743
3.848	96.000	5281.651	241.851	502.451	719.620	664.089	128.636	116.830	100.654
4.619	95.900	5216.899	240.590	514.907	710.399	654.028	129.426	119.542	99.967
5.378	95.900	5260.101	236.527	504.642	708.527	653.544	127.732	119.097	99.928
6.153	95.900	5167.812	240.781	507.546	701.738	646.640	131.082	120.370	99.419
6.914	95.900	5239.939	247.824	500.872	702.795	657.759	125.287	118.689	102.234
7.694	95.900	5202.086	241.774	512.258	713.889	651.811	127.770	118.141	101.329
8.486	95.800	5171.379	236.807	496.580	703.598	650.334	128.331	118.498	100.960
9.255	95.800	5182.497	240.781	507.966	708.196	646.475	127.617	118.944	101.355
10.015	95.800	5120.382	238.450	508.195	697.319	654.142	125.656	117.326	102.030
10.797	95.800	5170.614	245.086	497.917	706.400	648.640	126.369	119.823	101.673
11.587	95.800	5121.477	237.355	507.227	684.124	640.438	126.509	120.510	102.272
12.345	95.800	5147.549	232.769	488.365	702.260	636.999	127.503	120.319	100.985
13.125	95.800	5093.559	235.763	514.996	683.589	637.356	128.190	117.989	101.750
13.900	95.800	5142.288	239.494	491.676	703.700	642.539	131.145	118.536	101.380
14.676	95.800	5116.179	238.144	501.254	693.753	629.994	127.452	120.358	101.100
15.477	95.800	5092.158	237.444	500.222	687.028	639.546	125.847	117.734	103.800
16.264	96.000	5159.062	251.314	496.427	702.044	636.566	128.904	120.714	100.845
17.024	96.200	5128.024	277.105	501.025	691.180	643.724	129.324	119.453	101.584
17.813	96.600	5210.339	328.904	490.415	721.200	647.672	129.961	120.128	102.335
18.575	97.300	5109.721	363.573	501.177	725.122	656.473	129.961	119.784	101.801
19.330	98.400	5196.609	422.925	509.583	736.381	660.217	130.050	121.478	104.017
