Fri, Jul 21, 2017	12:57 PM
 Notes: background
 waiting time: 25.000
 time(s)	 temp (K)	 MS1=1.942	 MS2=13.642	 MS3=17.577	 MS4=27.796	 MS5=43.737	 MS6=28.818	 MS7=30.708	 MS8=60.996
0.000	89.100	9943.624	270.813	635.814	1603.492	1012.533	143.334	87.727	82.492
0.743	89.100	9768.422	275.373	636.973	1575.943	1002.217	149.741	88.937	82.212
1.509	89.100	9946.120	275.004	626.275	1593.608	1004.980	147.117	88.873	82.123
2.260	89.100	9677.318	272.647	625.702	1585.062	1019.360	149.664	87.867	83.231
3.017	89.100	9871.943	270.253	623.613	1597.824	1007.744	147.792	88.848	82.900
3.775	89.100	9639.070	277.933	611.793	1570.530	1002.268	145.321	88.797	82.377
4.532	89.100	9753.915	276.965	609.705	1582.502	995.313	149.983	88.338	82.059
5.284	89.100	9338.019	264.470	621.588	1547.706	993.492	146.556	87.816	81.664
6.047	89.100	9815.979	269.017	610.634	1576.490	987.175	148.187	88.453	83.116
6.804	89.100	9390.849	268.049	613.628	1555.806	993.428	148.225	88.746	82.059
7.578	89.100	9695.340	268.330	612.761	1543.388	987.430	148.008	87.574	82.912
8.327	89.100	9385.131	268.190	597.121	1546.891	977.686	147.206	89.637	82.798
9.085	89.100	9621.226	272.354	603.298	1573.586	972.490	147.308	89.421	82.365
9.839	89.100	9486.437	269.450	612.214	1530.257	984.016	144.340	90.108	82.938
10.601	89.100	9644.827	264.853	607.336	1527.098	981.991	144.964	88.465	81.881
11.357	89.100	9330.199	266.432	603.591	1536.549	962.734	150.148	88.300	83.154
12.116	89.100	9577.209	268.610	598.879	1546.980	993.377	148.199	88.032	81.410
12.875	89.100	9395.702	260.599	596.637	1532.715	960.759	143.653	89.064	82.976
13.628	89.100	9497.759	264.827	590.549	1533.823	963.702	146.849	90.185	83.091
14.392	89.100	9321.512	268.559	589.568	1515.597	956.747	146.162	87.803	82.989
15.166	89.100	9533.829	267.578	590.205	1496.989	967.472	145.257	89.421	83.282
15.923	89.100	9193.804	258.854	596.892	1509.981	941.655	144.111	89.268	82.989
16.684	89.100	9269.573	258.153	591.886	1513.458	946.100	144.366	88.886	83.027
17.435	89.100	9063.153	265.146	581.837	1506.911	952.341	144.302	88.822	82.110
18.187	89.100	9152.385	257.529	577.634	1476.687	954.404	141.233	88.797	82.569
18.941	89.100	9011.533	261.681	569.088	1500.874	925.594	144.086	88.618	82.861
19.698	89.100	8980.978	253.288	564.286	1454.450	921.633	140.519	87.014	83.804
20.455	89.100	8958.422	256.561	562.503	1459.366	915.800	144.977	89.293	82.912
21.215	89.100	8832.063	253.543	558.670	1448.362	923.938	141.309	90.185	82.518
21.991	89.100	8891.708	247.531	569.534	1456.386	904.095	141.844	87.243	83.053
22.744	89.100	8672.679	249.378	552.569	1424.748	907.687	143.461	88.198	82.530
23.498	89.100	8750.066	251.174	552.836	1442.248	900.185	140.290	87.816	82.518
24.257	89.100	8605.864	249.913	552.531	1432.084	897.332	145.741	87.345	82.619
25.016	89.100	8740.475	253.555	546.506	1414.470	885.653	138.647	87.816	83.422
25.774	89.100	8596.388	253.568	550.646	1411.808	909.342	144.277	88.924	83.651
26.536	89.100	8675.953	252.384	546.927	1406.255	892.403	140.583	88.185	83.142
27.295	89.100	8510.468	248.257	544.507	1393.136	884.825	142.022	87.510	83.218
28.065	89.100	8567.986	250.983	535.438	1404.446	876.941	136.316	88.529	82.670
28.822	89.100	8425.923	247.582	545.602	1380.324	875.069	139.793	88.733	82.403
29.583	89.100	8523.536	239.596	536.623	1392.691	884.392	138.711	88.185	82.989
30.353	89.100	8327.331	244.411	528.000	1373.026	879.959	140.061	89.039	82.760
31.109	89.100	8457.726	242.793	525.542	1375.496	867.809	141.449	88.262	82.772
31.867	89.100	8242.353	243.366	521.352	1354.074	852.551	139.551	88.516	83.549
32.618	89.100	8384.899	243.468	525.402	1372.847	880.889	141.768	88.109	82.734
33.370	89.100	8011.365	245.659	523.262	1358.493	854.334	137.934	88.287	82.441
34.122	89.100	8314.467	244.754	518.435	1368.733	863.351	138.685	88.593	82.403
34.877	89.100	8147.683	240.984	522.702	1344.177	839.827	141.487	89.370	82.760
35.637	89.100	8255.917	241.290	517.646	1354.099	858.753	138.265	88.351	83.180
36.400	89.100	8097.922	243.404	517.353	1339.529	846.348	138.876	86.759	83.460
37.157	89.100	8208.550	241.965	515.213	1350.202	850.895	137.017	89.077	83.116
37.912	89.100	8052.516	242.194	514.729	1335.364	843.062	141.869	89.000	84.301
0.000	89.100	7883.070	236.068	503.941	1303.039	837.509	136.877	87.765	84.148
