Wed, Jul 26, 2017	10:59 AM
 Notes: background
 waiting time: 25.000
 time(s)	 temp (K)	 MS1=1.839	 MS2=14.600	 MS3=17.577	 MS4=27.745	 MS5=43.737	 MS6=28.818	 MS7=25.803	 MS8=60.080
0.000	111.000	20441.515	1993.112	5417.205	5450.256	4769.212	789.390	471.400	476.813
0.755	111.000	20753.290	2019.731	5542.824	5473.614	4731.704	791.288	466.267	483.385
1.536	111.000	20524.735	2010.268	5506.271	5483.664	4767.760	793.250	481.996	483.079
2.301	111.000	20714.890	2028.469	5563.101	5433.533	4711.045	785.455	477.717	494.414
3.065	111.000	20800.377	2018.267	5485.307	5513.874	4794.023	801.337	473.488	493.918
3.829	111.000	20547.851	2053.827	5595.299	5474.723	4727.195	791.861	483.334	497.828
4.586	111.000	20790.315	2028.010	5525.439	5516.231	4783.694	791.658	478.507	482.824
5.383	111.000	20538.605	2047.242	5548.607	5483.485	4717.553	800.853	477.488	495.026
6.147	111.000	20835.899	2042.555	5611.015	5529.833	4790.253	801.541	481.067	484.047
6.901	111.000	20644.865	2050.796	5531.311	5484.644	4778.421	803.324	480.990	491.141
7.675	111.000	20860.378	2024.546	5636.042	5541.844	4819.547	810.240	482.378	494.771
8.459	111.000	20608.401	2058.132	5597.680	5490.987	4802.531	800.815	477.997	498.566
9.233	111.000	20769.555	2064.959	5680.709	5535.221	4745.141	805.668	485.040	493.434
10.036	111.000	20575.579	2050.936	5636.475	5529.426	4792.214	795.975	480.430	495.650
10.833	111.000	20631.925	2070.601	5734.966	5508.500	4756.119	808.915	485.321	497.076
11.603	111.000	20838.803	2057.877	5664.521	5581.301	4817.585	813.029	493.383	508.705
12.365	111.000	20634.599	2076.014	5741.653	5573.685	4793.832	828.746	490.160	501.012
13.164	111.100	21095.506	2084.420	5750.709	5633.546	4868.850	815.946	490.020	510.386
13.946	111.300	20823.354	2119.865	5742.124	5590.828	4889.712	827.090	499.840	518.728
14.739	111.500	21080.019	2182.121	5838.896	5738.418	4962.017	846.755	497.114	512.780
15.523	111.900	21007.943	2368.188	5827.815	5707.175	5155.815	842.374	508.119	520.741
16.293	112.400	21232.881	2763.515	5916.677	5874.940	5438.003	839.279	499.216	525.338
17.053	113.100	21336.085	2994.910	5861.083	6151.767	6115.595	865.249	515.264	526.918
17.807	114.100	21386.916	3459.944	5965.152	6340.661	6715.609	857.747	512.436	529.771
18.565	115.300	21585.414	3867.523	5938.992	6479.017	7093.805	885.372	533.592	538.240
19.325	116.900	21582.943	3859.104	6019.830	6479.195	6719.723	902.006	531.401	531.172
20.080	118.900	21719.172	3774.623	5962.401	6605.745	6242.348	933.682	548.149	538.699
20.875	121.300	21477.612	4000.096	6013.207	6520.767	5740.494	930.396	538.865	542.316
21.648	123.900	21753.713	4106.662	6066.687	6588.461	5574.997	900.503	532.000	547.411
22.412	126.900	21541.040	4467.308	6001.731	6543.858	5441.710	949.590	525.096	548.048
23.167	130.000	21659.718	4807.218	6057.046	6617.602	5372.296	959.600	530.408	548.837
23.921	133.300	21480.605	5465.285	6011.322	6543.782	5316.421	952.379	520.078	554.416
24.720	136.600	21837.812	5922.409	6069.400	6641.547	5262.355	953.474	531.961	568.515
25.517	139.900	21630.730	6254.728	6096.032	6540.432	5320.446	954.990	519.671	562.605
26.285	143.100	21777.861	6574.846	6150.226	6534.510	5243.263	954.811	519.531	578.284
27.076	146.300	21745.715	6793.365	6115.226	6571.076	5270.621	968.198	527.949	607.157
27.833	149.400	21545.166	6905.803	6194.739	6513.928	5281.078	1001.949	536.674	671.285
28.590	152.400	21841.403	7092.646	6221.550	6632.084	5371.659	1077.400	543.781	818.111
29.376	155.400	21605.193	7452.158	6411.259	6689.296	5449.199	1256.793	561.841	1172.503
30.162	158.300	21805.270	8200.934	6830.186	6995.658	5786.918	1605.428	603.286	1842.453
30.956	161.500	21749.879	9873.918	7242.325	7309.637	6228.924	2164.596	662.332	2861.840
31.727	164.200	21959.763	12045.877	8177.346	7943.339	6784.883	2843.550	732.420	4096.091
32.487	166.500	21798.405	13979.092	8782.799	8269.329	7303.358	3200.528	763.319	4382.648
33.249	169.200	21919.045	13071.301	8831.516	8058.668	6756.086	2400.704	683.729	2727.623
34.040	172.300	21473.460	9453.526	8261.356	7724.795	6576.578	2051.764	662.586	2453.433
34.797	174.500	21675.842	9188.302	8477.799	7768.481	6656.754	2147.809	658.014	2738.793
35.553	177.100	21524.177	9235.121	8545.328	7829.603	6804.866	2131.991	665.210	2539.722
36.350	180.000	21395.258	8247.231	8417.696	7528.844	6487.856	1814.624	621.613	1984.082
37.111	182.500	21577.644	6879.158	8168.902	7452.604	6383.188	1578.579	610.571	1685.807
37.863	184.600	21281.203	6316.182	8126.706	7239.205	6257.390	1484.953	588.473	1585.966
38.616	187.100	21613.357	5933.884	8018.917	7293.959	6294.186	1449.559	594.918	1554.176
39.374	189.600	21340.988	5728.611	8007.786	7221.081	6212.902	1446.591	589.301	1598.193
40.134	192.000	21568.627	5671.743	7996.654	7263.289	6283.118	1460.449	586.524	1607.516
40.934	194.500	21346.427	5561.178	7969.525	7174.733	6254.257	1469.440	586.257	1618.495
41.692	196.900	21596.991	5421.077	7973.130	7222.775	6233.637	1456.118	602.267	1639.752
42.482	199.300	21320.788	5361.457	7905.690	7147.439	6277.106	1453.023	595.338	1626.570
43.280	202.000	21645.581	5295.865	7941.645	7187.406	6262.536	1457.124	590.982	1603.606
44.069	204.400	21473.104	5112.052	7831.997	7177.267	6258.307	1436.580	595.911	1562.748
44.858	206.800	21381.516	5093.635	7852.745	7044.706	6158.835	1425.372	585.773	1546.967
45.626	209.100	21620.846	4948.121	7829.959	7113.853	6252.308	1417.998	599.426	1498.938
46.384	211.500	21333.869	5010.352	7753.299	7071.364	6185.748	1402.090	585.238	1482.062
47.143	213.800	21563.265	4861.552	7790.426	7101.167	6260.294	1390.755	599.172	1436.262
47.901	216.200	21438.346	4792.889	7673.479	6976.554	6151.881	1377.420	592.549	1397.301
48.659	218.200	21761.151	4679.013	7698.328	7050.081	6216.837	1356.659	592.485	1349.017
49.417	220.500	21602.875	4626.692	7590.794	6960.073	6151.003	1344.292	589.199	1276.381
50.176	222.800	21995.349	4486.017	7638.340	7003.950	6183.672	1322.462	591.708	1231.269
50.932	225.200	22092.770	4395.856	7521.062	6894.518	6134.623	1293.830	580.538	1183.393
51.690	227.500	22715.213	4286.641	7600.105	6969.727	6130.841	1286.316	592.052	1156.277
