Wed, Jul 26, 2017	1:58 PM
 Notes: 1E-09_15_s_HOAc
 waiting time: 25.000
 time(s)	 temp (K)	 MS1=1.839	 MS2=14.600	 MS3=17.577	 MS4=27.745	 MS5=43.737	 MS6=28.818	 MS7=25.803	 MS8=60.080
0.000	110.300	20706.637	775.304	3057.765	4185.985	3731.268	350.378	292.847	135.119
1.071	110.300	20965.989	802.955	3059.331	4192.264	3786.035	353.778	293.853	134.368
1.963	110.300	21049.235	792.651	3082.066	4216.794	3783.921	348.951	290.860	137.857
2.753	110.300	20690.691	767.000	3018.995	4184.520	3775.234	345.767	288.670	136.189
3.499	110.300	21121.259	795.542	3052.925	4239.593	3769.923	354.721	293.051	135.348
4.258	110.300	20776.700	803.401	3043.742	4194.824	3788.328	351.817	294.185	136.329
5.016	110.300	21026.653	793.160	3072.030	4216.642	3763.020	350.212	294.745	136.431
5.772	110.300	20682.820	794.230	3026.522	4184.342	3779.488	351.537	295.917	136.355
6.561	110.300	21173.313	798.472	3075.443	4199.715	3763.122	353.715	294.529	138.966
7.317	110.400	20871.345	798.255	3019.352	4233.314	3774.343	355.027	298.006	135.871
8.088	110.300	21008.516	809.858	3087.301	4189.054	3787.067	353.460	295.828	139.793
8.844	110.400	20934.441	806.470	3055.447	4268.950	3828.638	345.691	290.122	138.367
9.604	110.600	20966.575	815.284	3089.886	4229.034	3798.338	357.625	300.820	140.392
10.364	110.800	21494.564	855.467	3062.758	4297.467	3841.095	358.389	300.145	143.372
11.121	111.200	20934.148	1006.076	3107.717	4318.113	3863.129	352.301	296.261	142.379
11.909	111.600	21698.284	1417.412	3114.799	4446.433	3905.146	362.821	304.985	144.799
12.690	112.300	21334.798	1713.293	3093.809	4582.789	4000.593	363.687	310.233	146.098
13.443	113.100	21981.785	2142.740	3128.108	4833.506	4219.112	383.111	326.790	145.245
14.204	114.300	21522.088	2567.590	3090.052	4910.651	4460.621	385.951	331.783	146.467
14.974	115.800	22218.912	2753.376	3150.397	4971.340	4740.696	392.090	341.335	147.499
15.756	117.700	21733.246	2602.029	3108.176	5034.742	4893.979	407.437	360.567	147.231
16.522	119.900	22224.006	2792.783	3130.783	5198.520	4987.324	425.204	391.020	151.906
17.279	122.500	21716.140	3178.557	3104.966	5186.751	5030.603	416.824	378.462	148.047
18.054	125.400	22190.535	3384.149	3104.495	5213.307	4860.813	405.221	356.963	150.951
18.817	128.500	21829.877	3813.189	3088.689	5175.365	4693.392	396.293	348.913	152.581
19.574	131.700	21924.522	4394.009	3127.153	5119.439	4454.482	404.011	327.032	151.180
20.330	135.000	22049.250	4723.425	3091.758	5129.450	4329.206	397.528	331.923	150.721
21.088	137.800	21968.692	5095.991	3104.699	5138.735	4231.913	401.107	328.522	151.536
21.844	141.100	22001.590	5161.635	3082.512	5240.359	4207.726	395.911	325.809	150.416
22.600	144.300	21879.575	5344.340	3108.621	5178.753	4185.284	390.714	323.771	155.523
23.357	147.500	22292.312	5217.879	3093.911	5196.482	4209.942	389.746	324.243	155.141
24.114	150.500	21868.061	5029.393	3095.567	5038.537	4180.585	386.664	316.244	156.160
24.907	153.500	22290.936	4651.082	3088.307	4966.169	4145.827	389.339	318.104	156.147
25.665	156.400	21696.998	4236.638	3059.038	4886.999	4123.665	379.837	320.613	156.453
26.458	159.300	22173.099	4060.353	3089.479	4843.198	4139.764	382.397	322.740	154.084
27.213	162.100	21646.459	3767.962	3060.427	4818.171	4121.564	380.742	319.759	155.472
27.974	164.800	21975.773	3595.727	3076.296	4826.858	4125.168	382.601	318.129	158.529
28.748	167.500	21624.438	3379.551	3030.420	4756.107	4114.725	383.200	314.627	158.083
29.509	170.200	21980.855	3169.680	3090.090	4803.703	4098.715	375.188	315.072	162.159
30.265	172.800	21557.852	3092.191	3059.204	4763.443	4098.435	375.965	322.179	160.070
31.024	175.400	22077.919	2892.599	3084.486	4759.915	4099.122	383.569	316.461	161.509
31.783	177.900	21381.057	2642.111	3050.429	4732.710	4113.107	382.423	319.607	160.656
32.539	180.500	21980.587	2505.996	3112.519	4726.418	4074.057	376.156	321.950	161.904
