545,scans,118,DataLength,,,,,,,
header,26,lines,,,,,,,,
Date,5/2/2016,Time,7:52:55 PM,,,,,,,
ID,HAL RC RGA 301 #14852,Version,3,,,,,,,
Scans,7,,,,,,,,,
Scan ID,Mode,Input,Scanned,Start,Stop,Increment,Dwell,Settle,RS,RelSEM
Scan 1,RGA,Temperature,none,0,0,0.01,10,8,1,1
Scan 2,RGA,SEM,mass,2,2,0.01,10,8,0.44,1
Scan 3,RGA,SEM,mass,16,16,0.01,10,8,0.098,1
Scan 4,RGA,SEM,mass,18,18,0.01,10,8,0.9,1
Scan 5,RGA,SEM,mass,28,28,0.01,10,8,1.05,1
Scan 6,RGA,SEM,mass,32,32,0.01,10,8,0.86,1
Scan 7,RGA,SEM,mass,44,44,0.01,10,8,1.4,1
Environment,,,,,,,,,,
Global,RGA,,,,,,,,,
F1,1,"( 1 = on, 0 = off )",,,,,,,,
F2,0,"( 1 = on, 0 = off )",,,,,,,,
cage,3.3,V,,,,,,,,
delta-m,0,%,,,,,,,,
electron-energy,70,V,,,,,,,,
emission,1000,uA,,,,,,,,
focus,-90,V,,,,,,,,
mass,5.5,amu,,,,,,,,
mode-change-delay,1000,ms,,,,,,,,
multiplier,1100,V,,,,,,,,
resolution,0,%,,,,,,,,
Data,7,,,,,,,,,
Time,ms,Temperature,Hydrogen,Oxygen-16,Water,Carbon monoxide,Oxygen,Carbon dioxide,,
0:00:01,1240,170.4918,2.44E-10,0.00E+00,0.00E+00,0.00E+00,1.25E-10,0.00E+00,,
0:00:01,1726,170.3596,0.00E+00,-1.10E-09,2.39E-10,0.00E+00,0.00E+00,0.00E+00,,
0:00:02,2212,170.4918,1.47E-09,6.58E-09,2.09E-08,9.93E-09,8.75E-10,4.76E-09,,
0:00:02,2698,170.2274,6.84E-09,2.96E-08,3.52E-08,1.31E-08,2.25E-09,3.92E-09,,
0:00:03,3184,169.9629,7.09E-09,2.30E-08,2.74E-08,1.17E-08,2.63E-09,3.15E-09,,
0:00:03,3670,170.4918,6.60E-09,2.41E-08,2.33E-08,1.02E-08,3.00E-09,2.53E-09,,
0:00:04,4156,170.3596,6.35E-09,2.08E-08,1.96E-08,1.01E-08,3.25E-09,2.53E-09,,
0:00:04,4642,170.3596,6.60E-09,2.41E-08,1.76E-08,9.32E-09,3.38E-09,2.38E-09,,
0:00:05,5128,170.3596,6.35E-09,2.08E-08,1.56E-08,9.52E-09,3.13E-09,2.07E-09,,
0:00:05,5614,170.3596,5.86E-09,1.76E-08,1.43E-08,8.80E-09,3.38E-09,2.00E-09,,
0:00:06,6100,170.4918,5.38E-09,1.86E-08,1.30E-08,9.11E-09,3.63E-09,2.00E-09,,
0:00:06,6586,170.3596,6.11E-09,1.97E-08,1.30E-08,8.70E-09,3.25E-09,1.69E-09,,
0:00:07,7072,170.3596,6.35E-09,1.86E-08,1.25E-08,8.91E-09,3.13E-09,1.77E-09,,
0:00:07,7558,170.3596,5.86E-09,1.65E-08,1.10E-08,8.60E-09,3.38E-09,1.69E-09,,
0:00:08,8044,170.4918,6.35E-09,1.76E-08,1.13E-08,8.60E-09,3.00E-09,1.84E-09,,
0:00:08,8530,170.3596,5.86E-09,1.76E-08,1.12E-08,8.40E-09,3.13E-09,1.84E-09,,
0:00:09,9016,170.3596,5.62E-09,1.65E-08,1.04E-08,8.50E-09,3.25E-09,1.61E-09,,
0:00:09,9503,170.3596,6.11E-09,1.54E-08,1.02E-08,8.29E-09,3.25E-09,1.61E-09,,
0:00:09,9989,170.3596,5.38E-09,1.43E-08,1.02E-08,8.19E-09,3.00E-09,1.54E-09,,
0:00:10,10475,170.4918,4.89E-09,1.43E-08,9.91E-09,8.09E-09,3.13E-09,1.54E-09,,
0:00:10,10961,170.2274,5.38E-09,1.43E-08,9.91E-09,8.60E-09,3.00E-09,1.38E-09,,
0:00:11,11447,170.2274,6.11E-09,1.65E-08,9.32E-09,8.19E-09,3.00E-09,1.38E-09,,
0:00:11,11933,170.3596,5.13E-09,1.54E-08,9.56E-09,8.29E-09,2.75E-09,1.61E-09,,
0:00:12,12419,170.2274,5.62E-09,1.65E-08,9.79E-09,8.29E-09,2.88E-09,1.54E-09,,
0:00:12,12905,170.4918,5.38E-09,1.21E-08,9.44E-09,7.99E-09,2.50E-09,1.46E-09,,
0:00:13,13391,170.4918,5.62E-09,1.54E-08,9.68E-09,7.99E-09,3.00E-09,1.54E-09,,
0:00:13,13877,170.3596,5.13E-09,1.43E-08,9.68E-09,8.09E-09,2.75E-09,1.38E-09,,
0:00:14,14364,170.0952,4.89E-09,1.43E-08,9.20E-09,8.09E-09,2.63E-09,1.38E-09,,
0:00:14,14851,170.3596,4.64E-09,1.21E-08,9.08E-09,7.68E-09,2.88E-09,1.31E-09,,
