0000000625,scans,0000000104,DataLength
"header",0000000025,"lines"
"Date",4/24/2016,"Time",7:21:49 PM
"ID","HAL RC RGA 301 #14852","Version",3
"Scans",6
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Temperature","none",0.40,0.40,0.01,10.000,8.000,1.000000,1.000000,
"Scan 2","RGA","SEM","mass",2.00,2.00,0.01,10.000,8.000,0.440000,1.000000,
"Scan 3","RGA","SEM","mass",16.00,16.00,0.01,10.000,8.000,0.098000,1.000000,
"Scan 4","RGA","SEM","mass",18.00,18.00,0.01,10.000,8.000,0.900000,1.000000,
"Scan 5","RGA","SEM","mass",28.00,28.00,0.01,10.000,8.000,1.050000,1.000000,
"Scan 6","RGA","SEM","mass",44.00,44.00,0.01,10.000,8.000,1.400000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.3,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",1000.000,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1000,"V"
"resolution",0,"%"
"Data",6
"Time","ms","Scan 1 : none 0.40","Hydrogen","Oxygen-16","Water","Carbon monoxide","Carbon dioxide",
00:00:01,      1219,   170.3596,  0.00000e+00,  5.48469e-11,  1.67222e-11,  3.07143e-12, -5.37500e-12,
00:00:01,      1651,   170.4918,  2.44318e-10,  3.18112e-10,  1.88722e-10,  1.92476e-10,  8.36964e-11,
00:00:02,      2083,   170.4918,  9.03977e-09,  5.79184e-09,  1.25297e-09,  2.14590e-09,  7.13339e-10,
00:00:02,      2514,   170.3596,  1.17273e-08,  5.44082e-09,  1.04156e-09,  2.12748e-09,  6.45000e-10,
00:00:02,      2946,   170.3596,  1.19716e-08,  5.10077e-09,  1.02364e-09,  2.14386e-09,  5.01411e-10,
00:00:03,      3378,   170.3596,  1.22159e-08,  5.58342e-09,  7.78778e-10,  2.09573e-09,  5.02179e-10,
00:00:03,      3809,   170.3596,  1.19716e-08,  3.95995e-09,  6.85611e-10,  2.05786e-09,  5.21375e-10,
00:00:04,      4241,   170.4918,  1.19716e-08,  3.95995e-09,  6.98750e-10,  2.09983e-09,  4.86054e-10,
00:00:04,      4673,   170.4918,  1.22159e-08,  4.15740e-09,  5.54222e-10,  2.14283e-09,  4.13875e-10,
00:00:05,      5104,   170.2274,  1.27045e-08,  4.39872e-09,  5.54222e-10,  2.10597e-09,  4.33071e-10,
00:00:05,      5536,   170.3596,  1.22159e-08,  3.47730e-09,  5.82889e-10,  2.08550e-09,  4.05429e-10,
00:00:05,      5968,   170.3596,  1.24602e-08,  3.77347e-09,  5.02861e-10,  2.01383e-09,  3.87768e-10,
00:00:06,      6399,   170.4918,  1.27045e-08,  4.28903e-09,  4.92111e-10,  2.11826e-09,  4.31536e-10,
00:00:06,      6831,   170.4918,  1.24602e-08,  4.45357e-09,  4.53889e-10,  1.99233e-09,  3.53214e-10,
00:00:07,      7263,   170.3596,  1.22159e-08,  4.34388e-09,  4.53889e-10,  1.99643e-09,  3.47839e-10,
00:00:07,      7694,   170.7563,  1.14830e-08,  3.95995e-09,  5.06444e-10,  1.99438e-09,  3.64732e-10,
00:00:08,      8126,   170.6241,  1.24602e-08,  4.20128e-09,  4.51500e-10,  2.02202e-09,  3.30179e-10,
00:00:08,      8558,   170.4918,  1.27045e-08,  4.20128e-09,  4.70611e-10,  2.00973e-09,  3.91607e-10,
00:00:08,      8989,   170.6241,  1.24602e-08,  4.36582e-09,  4.35972e-10,  1.89405e-09,  3.68571e-10,
00:00:09,      9421,   170.3596,  1.31932e-08,  4.40969e-09,  4.64639e-10,  1.96878e-09,  3.24036e-10,
00:00:09,      9853,   170.3596,  1.29489e-08,  4.70587e-09,  4.57472e-10,  2.07935e-09,  3.22500e-10,
00:00:10,     10284,   170.4918,  1.24602e-08,  3.86122e-09,  4.53889e-10,  2.05171e-09,  3.47839e-10,
00:00:10,     10716,   170.4918,  1.29489e-08,  3.86122e-09,  4.75389e-10,  2.03226e-09,  3.20964e-10,
00:00:11,     11148,   170.6241,  1.27045e-08,  4.15740e-09,  3.76250e-10,  2.07833e-09,  2.94857e-10,
00:00:11,     11579,   170.3596,  1.24602e-08,  3.11531e-09,  3.52361e-10,  2.01895e-09,  3.16357e-10,
00:00:11,     11993,   170.4918,  1.24602e-08,  3.94898e-09,  3.63111e-10,  2.06502e-09,  3.38625e-10,
00:00:12,     12424,   170.4918,  1.22159e-08,  3.99286e-09,  4.34778e-10,  1.96264e-09,  3.34786e-10,
00:00:12,     12856,   170.3596,  1.24602e-08,  3.65281e-09,  4.31194e-10,  1.92476e-09,  3.33250e-10,
00:00:13,     13288,   170.3596,  1.27045e-08,  3.95995e-09,  3.65500e-10,  2.07629e-09,  3.59357e-10,
00:00:13,     13719,   170.4918,  1.22159e-08,  3.70765e-09,  3.89389e-10,  2.04352e-09,  3.17125e-10,
00:00:14,     14151,   170.6241,  1.24602e-08,  4.16837e-09,  4.52694e-10,  2.10086e-09,  3.04071e-10,
00:00:14,     14583,   170.4918,  1.27045e-08,  3.85026e-09,  3.36833e-10,  1.95957e-09,  3.07143e-10,
00:00:15,     15014,   170.3596,  1.27045e-08,  4.00383e-09,  4.02528e-10,  2.03021e-09,  3.37857e-10,
