0000000536,scans,0000000104,DataLength
"header",0000000025,"lines"
"Date",4/24/2016,"Time",6:46:40 PM
"ID","HAL RC RGA 301 #14852","Version",3
"Scans",6
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Temperature","none",0.40,0.40,0.01,10.000,8.000,1.000000,1.000000,
"Scan 2","RGA","SEM","mass",2.00,2.00,0.01,10.000,8.000,0.440000,1.000000,
"Scan 3","RGA","SEM","mass",16.00,16.00,0.01,10.000,8.000,0.098000,1.000000,
"Scan 4","RGA","SEM","mass",18.00,18.00,0.01,10.000,8.000,0.900000,1.000000,
"Scan 5","RGA","SEM","mass",28.00,28.00,0.01,10.000,8.000,1.050000,1.000000,
"Scan 6","RGA","SEM","mass",44.00,44.00,0.01,10.000,8.000,1.400000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.3,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",1000.000,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1000,"V"
"resolution",0,"%"
"Data",6
"Time","ms","Scan 1 : none 0.40","Hydrogen","Oxygen-16","Water","Carbon monoxide","Carbon dioxide",
00:00:01,      1219,   170.4918, -2.44318e-10, -1.20663e-10,  1.67222e-11,  2.96905e-11, -5.37500e-12,
00:00:01,      1669,   170.4918,  2.44318e-10,  1.64541e-10,  1.85139e-10,  2.04762e-10,  1.22089e-10,
00:00:02,      2119,   170.4918,  2.68750e-09,  2.18291e-09,  6.74861e-10,  1.10469e-09,  4.13107e-10,
00:00:02,      2569,   170.4918,  2.44318e-09,  2.69847e-09,  6.50972e-10,  1.31457e-09,  4.65321e-10,
00:00:03,      3019,   170.6241,  2.44318e-09,  3.09337e-09,  5.75722e-10,  1.25929e-09,  3.32482e-10,
00:00:03,      3469,   170.4918,  2.44318e-09,  2.92883e-09,  5.29139e-10,  1.23676e-09,  2.99464e-10,
00:00:03,      3919,   170.3596,  2.68750e-09,  2.69847e-09,  4.51500e-10,  1.23778e-09,  3.34018e-10,
00:00:04,      4369,   170.6241,  2.68750e-09,  2.40230e-09,  4.31194e-10,  1.29205e-09,  3.24804e-10,
00:00:04,      4819,   170.8885,  2.68750e-09,  2.29260e-09,  4.62250e-10,  1.15895e-09,  2.50321e-10,
00:00:05,      5269,   170.4918,  2.44318e-09,  1.96352e-09,  4.20444e-10,  1.14257e-09,  2.44946e-10,
00:00:05,      5719,   170.4918,  2.44318e-09,  1.94158e-09,  4.76583e-10,  1.21321e-09,  3.02536e-10,
00:00:06,      6169,   170.4918,  2.93182e-09,  2.21582e-09,  3.78639e-10,  1.11186e-09,  2.78732e-10,
00:00:06,      6619,   170.7563,  2.93182e-09,  1.67832e-09,  4.45528e-10,  1.27873e-09,  2.81036e-10,
00:00:07,      7069,   170.6241,  2.68750e-09,  1.84286e-09,  3.22500e-10,  1.23471e-09,  2.56464e-10,
00:00:07,      7519,   170.4918,  2.93182e-09,  2.11709e-09,  4.06111e-10,  1.16100e-09,  2.96393e-10,
00:00:07,      7951,   170.4918,  2.68750e-09,  2.39133e-09,  3.12944e-10,  1.16305e-09,  3.01768e-10,
00:00:08,      8401,   170.2274,  2.93182e-09,  1.99643e-09,  3.35639e-10,  1.25211e-09,  2.68750e-10,
00:00:08,      8851,   170.4918,  2.44318e-09,  2.08418e-09,  4.27611e-10,  1.24802e-09,  2.63375e-10,
00:00:09,      9301,   170.4918,  2.44318e-09,  1.95255e-09,  3.47583e-10,  1.26645e-09,  2.57232e-10,
00:00:09,      9751,   170.6241,  2.68750e-09,  1.93061e-09,  3.67889e-10,  1.22038e-09,  2.84107e-10,
00:00:10,     10201,   170.3596,  2.44318e-09,  1.93061e-09,  3.82222e-10,  1.16407e-09,  3.05607e-10,
00:00:10,     10651,   170.6241,  2.93182e-09,  1.70026e-09,  3.23694e-10,  1.22140e-09,  2.43411e-10,
00:00:11,     11101,   170.4918,  2.93182e-09,  1.99643e-09,  3.82222e-10,  1.25110e-09,  2.57232e-10,
00:00:11,     11551,   170.3596,  2.93182e-09,  2.53393e-09,  4.14472e-10,  1.22038e-09,  2.73357e-10,
00:00:12,     12001,   170.6241,  2.68750e-09,  2.16097e-09,  3.66694e-10,  1.24905e-09,  2.95625e-10,
00:00:12,     12451,   170.6241,  2.44318e-09,  1.78801e-09,  3.83417e-10,  1.23573e-09,  3.27875e-10,
00:00:12,     12901,   170.4918,  2.68750e-09,  1.56862e-09,  3.47583e-10,  1.24392e-09,  2.82571e-10,
00:00:13,     13351,   170.3596,  3.17614e-09,  2.12806e-09,  3.66694e-10,  1.30126e-09,  2.34964e-10,
00:00:13,     13801,   170.3596,  2.68750e-09,  1.96352e-09,  3.40417e-10,  1.12414e-09,  2.88714e-10,
00:00:14,     14251,   170.6241,  2.68750e-09,  1.73316e-09,  3.92972e-10,  1.35245e-09,  2.97161e-10,
00:00:14,     14701,   170.2274,  2.19886e-09,  1.78801e-09,  4.13278e-10,  1.20297e-09,  2.73357e-10,
00:00:15,     15151,   170.4918,  2.93182e-09,  1.89770e-09,  3.52361e-10,  1.28795e-09,  2.39571e-10,
00:00:15,     15601,   170.7563,  2.93182e-09,  2.25969e-09,  3.30861e-10,  1.15178e-09,  2.42643e-10,
00:00:16,     16051,   170.3596,  2.93182e-09,  1.59056e-09,  4.19250e-10,  1.30229e-09,  2.91018e-10,
00:00:16,     16501,   170.3596,  2.68750e-09,  1.85383e-09,  3.66694e-10,  1.26338e-09,  2.48018e-10,
00:00:16,     16951,   170.3596,  3.17614e-09,  1.79898e-09,  3.98944e-10,  1.31354e-09,  2.81804e-10,
00:00:17,     17401,   170.3596,  2.44318e-09,  1.80995e-09,  4.03722e-10,  1.29819e-09,  2.45714e-10,
00:00:17,     17851,   170.3596,  2.68750e-09,  1.48087e-09,  3.39222e-10,  1.22345e-09,  3.16357e-10,
00:00:18,     18301,   170.6241,  2.68750e-09,  1.71122e-09,  3.57139e-10,  1.28283e-09,  2.94857e-10,
00:00:18,     18751,   170.4918,  2.68750e-09,  2.20485e-09,  4.26417e-10,  1.24290e-09,  2.72589e-10,
00:00:19,     19201,   170.3596,  2.68750e-09,  2.17194e-09,  3.49972e-10,  1.20400e-09,  2.70286e-10,
00:00:19,     19651,   170.4918,  2.68750e-09,  1.95255e-09,  3.89389e-10,  1.36678e-09,  3.05607e-10,
00:00:20,     20101,   170.2274,  3.17614e-09,  1.94158e-09,  3.67889e-10,  1.59510e-09,  2.51089e-10,
00:00:20,     20551,   170.0952,  3.42045e-09,  2.20485e-09,  4.00139e-10,  1.62478e-09,  3.01000e-10,
00:00:21,     21001,   170.0952,  2.93182e-09,  2.22679e-09,  3.42806e-10,  1.58588e-09,  3.09446e-10,
00:00:21,     21451,   170.0952,  2.68750e-09,  2.10612e-09,  3.27278e-10,  1.38930e-09,  3.01000e-10,
00:00:21,     21901,   170.0952,  3.17614e-09,  2.01837e-09,  3.45194e-10,  1.39545e-09,  2.74125e-10,
00:00:22,     22351,   170.2274,  2.93182e-09,  2.06224e-09,  3.64306e-10,  1.48248e-09,  2.76429e-10,
00:00:22,     22801,   170.2274,  2.68750e-09,  2.34745e-09,  3.17722e-10,  1.37190e-09,  2.70286e-10,
00:00:23,     23251,   170.4918,  2.93182e-09,  1.59056e-09,  3.24889e-10,  1.31662e-09,  2.64143e-10,
00:00:23,     23683,   170.3596,  2.93182e-09,  2.13903e-09,  4.32389e-10,  1.34630e-09,  3.00232e-10,
00:00:24,     24133,   170.0952,  2.68750e-09,  1.76607e-09,  2.81889e-10,  1.35143e-09,  2.92554e-10,
00:00:24,     24583,   170.2274,  2.68750e-09,  1.88673e-09,  4.10889e-10,  1.38521e-09,  2.59536e-10,
00:00:25,     25033,   170.2274,  2.93182e-09,  1.73316e-09,  3.61917e-10,  1.21219e-09,  2.53393e-10,
00:00:25,     25483,   169.9629,  2.68750e-09,  1.31633e-09,  2.97417e-10,  1.36473e-09,  2.71821e-10,
00:00:25,     25933,   170.2274,  2.68750e-09,  1.39311e-09,  3.77444e-10,  1.36371e-09,  3.10982e-10,
00:00:26,     26383,   170.0952,  2.68750e-09,  1.75510e-09,  4.53889e-10,  1.30229e-09,  2.62607e-10,
00:00:26,     26833,   170.4918,  2.44318e-09,  2.25969e-09,  3.88194e-10,  1.33914e-09,  2.74125e-10,
00:00:27,     27283,   170.3596,  2.93182e-09,  1.73316e-09,  3.60722e-10,  1.30433e-09,  2.54161e-10,
00:00:27,     27733,   170.3596,  2.44318e-09,  1.98546e-09,  3.54750e-10,  1.34733e-09,  2.89482e-10,
00:00:28,     28183,   170.4918,  3.17614e-09,  1.95255e-09,  3.97750e-10,  1.28692e-09,  2.51857e-10,
00:00:28,     28633,   170.3596,  2.68750e-09,  1.88673e-09,  3.16528e-10,  1.22140e-09,  2.91018e-10,
00:00:29,     29083,   170.4918,  2.93182e-09,  1.43699e-09,  2.87861e-10,  1.32071e-09,  2.52625e-10,
00:00:29,     29533,   170.3596,  3.17614e-09,  1.40408e-09,  3.45194e-10,  1.22550e-09,  2.54161e-10,
00:00:29,     29983,   170.4918,  2.68750e-09,  2.05128e-09,  3.75056e-10,  1.35552e-09,  2.81036e-10,
00:00:30,     30433,   170.6241,  2.93182e-09,  2.19388e-09,  3.42806e-10,  1.26133e-09,  3.06375e-10,
00:00:30,     30883,   170.4918,  2.93182e-09,  1.75510e-09,  3.57139e-10,  1.35245e-09,  2.67982e-10,
00:00:31,     31333,   170.4918,  3.17614e-09,  2.19388e-09,  2.86667e-10,  1.22959e-09,  2.81036e-10,
00:00:31,     31783,   170.6241,  2.68750e-09,  2.10612e-09,  3.90583e-10,  1.19376e-09,  3.24036e-10,
00:00:32,     32233,   170.4918,  2.93182e-09,  1.94158e-09,  3.97750e-10,  1.21629e-09,  2.90250e-10,
00:00:32,     32683,   170.4918,  2.68750e-09,  2.19388e-09,  3.82222e-10,  1.27054e-09,  2.95625e-10,
00:00:33,     33133,   170.6241,  2.68750e-09,  1.60153e-09,  3.82222e-10,  1.27669e-09,  2.77964e-10,
00:00:33,     33583,   170.3596,  2.93182e-09,  1.70026e-09,  3.36833e-10,  1.29921e-09,  2.92554e-10,
00:00:34,     34033,   170.6241,  2.68750e-09,  1.68929e-09,  3.97750e-10,  1.14769e-09,  2.87946e-10,
00:00:34,     34483,   170.7563,  2.93182e-09,  1.67832e-09,  3.87000e-10,  1.22140e-09,  3.05607e-10,
00:00:34,     34933,   170.7563,  2.68750e-09,  1.68929e-09,  3.36833e-10,  1.35962e-09,  2.90250e-10,
00:00:35,     35383,   170.8885,  2.93182e-09,  1.99643e-09,  4.62250e-10,  1.38624e-09,  3.08679e-10,
00:00:35,     35833,   171.5497,  2.68750e-09,  1.77704e-09,  4.01333e-10,  1.46814e-09,  2.91018e-10,
00:00:36,     36283,   172.0786,  3.17614e-09,  2.56684e-09,  4.39556e-10,  1.43333e-09,  3.07143e-10,
00:00:36,     36733,   173.0041,  2.93182e-09,  1.91964e-09,  5.94833e-10,  1.38316e-09,  3.04839e-10,
00:00:37,     37183,   174.0619,  3.17614e-09,  1.87577e-09,  5.94833e-10,  1.38726e-09,  3.25571e-10,
00:00:37,     37633,   175.9131,  3.17614e-09,  2.25969e-09,  7.20250e-10,  1.31559e-09,  2.76429e-10,
00:00:38,     38083,   178.5576,  3.90909e-09,  1.84286e-09,  6.61722e-10,  1.23369e-09,  3.63964e-10,
00:00:38,     38533,   181.0699,  4.39773e-09,  2.30357e-09,  6.52167e-10,  1.36064e-09,  3.35554e-10,
00:00:38,     38983,   184.2434,  5.13068e-09,  2.02934e-09,  4.46722e-10,  1.37395e-09,  2.89482e-10,
00:00:39,     39433,   187.6812,  6.10795e-09,  2.19388e-09,  5.24361e-10,  1.35654e-09,  3.34018e-10,
00:00:39,     39883,   191.3836,  6.59659e-09,  2.28163e-09,  4.59861e-10,  1.17021e-09,  3.06375e-10,
00:00:40,     40333,   195.2181,  7.32955e-09,  1.76607e-09,  4.28806e-10,  1.27054e-09,  3.35554e-10,
00:00:40,     40783,   198.9205,  7.32955e-09,  2.06224e-09,  4.90917e-10,  1.26030e-09,  2.82571e-10,
00:00:41,     41233,   201.8294,  8.06250e-09,  1.82092e-09,  4.30000e-10,  1.36269e-09,  2.98696e-10,
00:00:41,     41683,   204.7384,  7.81818e-09,  2.18291e-09,  4.61056e-10,  1.33300e-09,  2.79500e-10,
00:00:42,     42133,   207.7796,  8.30682e-09,  1.94158e-09,  4.19250e-10,  1.17124e-09,  3.24036e-10,
00:00:42,     42583,   210.1597,  7.57386e-09,  1.59056e-09,  4.01333e-10,  1.26850e-09,  3.02536e-10,
00:00:43,     43033,   212.2753,  8.30682e-09,  1.99643e-09,  4.20444e-10,  1.19683e-09,  3.14054e-10,
00:00:43,     43483,   214.2587,  7.57386e-09,  2.53393e-09,  4.18056e-10,  1.20092e-09,  2.93321e-10,
00:00:43,     43933,   216.1099,  7.57386e-09,  1.88673e-09,  4.07306e-10,  1.35450e-09,  2.91786e-10,
00:00:44,     44364,   217.5643,  8.30682e-09,  2.10612e-09,  4.61056e-10,  1.30433e-09,  2.86411e-10,
00:00:44,     44796,   219.0188,  8.30682e-09,  1.80995e-09,  3.97750e-10,  1.36678e-09,  3.09446e-10,
00:00:45,     45246,   220.3411,  7.81818e-09,  1.89770e-09,  3.01000e-10,  1.27976e-09,  3.30946e-10,
00:00:45,     45696,   221.5311,  8.79545e-09,  1.75510e-09,  2.91444e-10,  1.27259e-09,  2.70286e-10,
00:00:46,     46146,   222.8534,  7.81818e-09,  2.01837e-09,  4.04917e-10,  1.23369e-09,  2.76429e-10,
00:00:46,     46596,   223.7790,  8.79545e-09,  2.34745e-09,  3.90583e-10,  1.14154e-09,  3.12518e-10,
00:00:47,     47046,   225.2335,  8.79545e-09,  1.72219e-09,  3.58333e-10,  1.20707e-09,  2.91786e-10,
00:00:47,     47496,   226.6880,  9.03977e-09,  1.83189e-09,  3.26083e-10,  1.18967e-09,  2.66446e-10,
00:00:47,     47946,   227.7458,  8.55114e-09,  1.32730e-09,  4.06111e-10,  1.22959e-09,  3.00232e-10,
00:00:48,     48396,   229.2003,  9.28409e-09,  2.30357e-09,  4.55083e-10,  1.24086e-09,  2.68750e-10,
00:00:48,     48846,   230.6547,  9.03977e-09,  1.85383e-09,  4.21639e-10,  1.21116e-09,  3.14821e-10,
00:00:49,     49296,   232.2415,  9.28409e-09,  1.43699e-09,  3.75056e-10,  1.16816e-09,  2.79500e-10,
00:00:49,     49746,   234.0926,  9.77273e-09,  1.60153e-09,  3.91778e-10,  1.35450e-09,  3.13286e-10,
00:00:50,     50196,   235.6793,  9.77273e-09,  2.39133e-09,  4.19250e-10,  1.16202e-09,  2.75661e-10,
00:00:50,     50646,   237.9272,  9.77273e-09,  1.97449e-09,  3.64306e-10,  1.19376e-09,  3.14821e-10,
00:00:51,     51096,   239.5139,  1.05057e-08,  1.84286e-09,  4.39556e-10,  1.27771e-09,  3.13286e-10,
00:00:51,     51546,   241.3651,  1.05057e-08,  1.51378e-09,  3.92972e-10,  1.19069e-09,  2.67214e-10,
00:00:51,     51996,   243.7451,  9.52841e-09,  1.83189e-09,  5.14806e-10,  1.26748e-09,  2.67982e-10,
00:00:52,     52446,   245.8608,  9.52841e-09,  1.52474e-09,  4.84944e-10,  1.15588e-09,  2.97929e-10,
00:00:52,     52896,   247.9764,  9.52841e-09,  1.56862e-09,  4.73000e-10,  1.26133e-09,  3.17125e-10,
00:00:53,     53346,   249.9598,  1.00170e-08,  1.59056e-09,  4.94500e-10,  1.26850e-09,  3.11750e-10,
00:00:53,     53796,   252.0754,  9.28409e-09,  1.49184e-09,  5.04056e-10,  1.25110e-09,  3.01768e-10,
00:00:54,     54246,   254.0588,  9.52841e-09,  2.00740e-09,  4.78972e-10,  1.15997e-09,  2.81804e-10,
00:00:54,     54696,   256.0422,  8.79545e-09,  2.25969e-09,  4.95694e-10,  1.26338e-09,  2.78732e-10,
00:00:55,     55128,   258.0256,  8.79545e-09,  1.75510e-09,  4.38361e-10,  1.31764e-09,  2.81036e-10,
00:00:55,     55578,   260.0090,  8.55114e-09,  1.71122e-09,  4.73000e-10,  1.34016e-09,  2.81804e-10,
00:00:56,     56028,   261.8601,  8.30682e-09,  2.33648e-09,  4.35972e-10,  1.22448e-09,  2.38804e-10,
00:00:56,     56478,   263.8435,  8.55114e-09,  1.86480e-09,  4.64639e-10,  1.16919e-09,  2.71821e-10,
00:00:56,     56909,   265.2980,  8.55114e-09,  2.25969e-09,  5.20778e-10,  1.19888e-09,  3.00232e-10,
00:00:57,     57359,   266.8847,  8.79545e-09,  2.19388e-09,  4.59861e-10,  1.21935e-09,  2.69518e-10,
00:00:57,     57809,   268.8681,  8.06250e-09,  2.23776e-09,  4.44333e-10,  1.15690e-09,  2.98696e-10,
00:00:58,     58259,   270.5871,  8.55114e-09,  1.87577e-09,  4.73000e-10,  1.25110e-09,  3.38625e-10,
00:00:58,     58709,   272.0415,  7.81818e-09,  1.61250e-09,  5.23167e-10,  1.24188e-09,  2.91786e-10,
00:00:59,     59159,   273.7605,  8.55114e-09,  2.41327e-09,  5.39889e-10,  1.29307e-09,  3.31714e-10,
00:00:59,     59609,   275.6116,  8.30682e-09,  1.84286e-09,  4.89722e-10,  1.18352e-09,  2.89482e-10,
00:01:00,     60059,   277.4628,  9.03977e-09,  2.09515e-09,  4.81361e-10,  1.22243e-09,  3.28643e-10,
00:01:00,     60509,   278.9173,  8.30682e-09,  1.54668e-09,  6.22306e-10,  1.12824e-09,  2.91786e-10,
00:01:00,     60959,   280.6362,  9.77273e-09,  2.11709e-09,  5.02861e-10,  1.25724e-09,  2.41875e-10,
00:01:01,     61409,   282.2229,  9.28409e-09,  1.87577e-09,  5.43472e-10,  1.03507e-09,  2.71054e-10,
00:01:01,     61859,   284.2063,  9.28409e-09,  2.04031e-09,  4.96889e-10,  1.13745e-09,  2.64143e-10,
00:01:02,     62309,   285.7930,  9.03977e-09,  2.00740e-09,  5.18389e-10,  1.29921e-09,  3.19429e-10,
00:01:02,     62759,   287.2475,  9.52841e-09,  2.04031e-09,  4.77778e-10,  1.11390e-09,  3.17125e-10,
00:01:03,     63209,   289.6276,  9.77273e-09,  1.71122e-09,  4.87333e-10,  1.23369e-09,  3.19429e-10,
00:01:03,     63659,   291.4788,  1.00170e-08,  1.56862e-09,  4.78972e-10,  1.21014e-09,  3.23268e-10,
00:01:04,     64109,   293.3299,  1.00170e-08,  1.62347e-09,  5.55417e-10,  1.16919e-09,  2.87179e-10,
00:01:04,     64559,   295.3133,  1.00170e-08,  1.66735e-09,  5.51833e-10,  1.20297e-09,  2.95625e-10,
00:01:05,     65009,   296.7678,  1.00170e-08,  1.84286e-09,  5.38694e-10,  1.27362e-09,  3.40929e-10,
00:01:05,     65459,   298.8834,  1.07500e-08,  2.04031e-09,  5.16000e-10,  1.16611e-09,  3.37857e-10,
00:01:05,     65909,   300.7346,  1.09943e-08,  1.71122e-09,  5.16000e-10,  1.21730e-09,  3.09446e-10,
00:01:06,     66359,   302.3213,  1.12386e-08,  2.05128e-09,  5.39889e-10,  1.26030e-09,  3.20964e-10,
00:01:06,     66809,   304.1725,  1.14830e-08,  1.95255e-09,  5.07639e-10,  1.15588e-09,  2.76429e-10,
00:01:07,     67259,   306.2881,  1.14830e-08,  1.98546e-09,  5.13611e-10,  1.30330e-09,  3.16357e-10,
00:01:07,     67691,   308.0070,  1.22159e-08,  1.67832e-09,  4.09694e-10,  1.27976e-09,  3.42464e-10,
00:01:08,     68141,   309.5938,  1.27045e-08,  1.91964e-09,  5.07639e-10,  1.31969e-09,  3.34018e-10,
00:01:08,     68591,   311.4449,  1.22159e-08,  2.10612e-09,  4.55083e-10,  1.30945e-09,  2.72589e-10,
00:01:09,     69041,   313.1639,  1.34375e-08,  2.00740e-09,  4.68222e-10,  1.06783e-09,  3.42464e-10,
00:01:09,     69491,   315.1473,  1.39261e-08,  1.34923e-09,  4.31194e-10,  1.16611e-09,  2.97161e-10,
00:01:09,     69941,   316.7340,  1.44148e-08,  1.90867e-09,  4.59861e-10,  1.32583e-09,  3.26339e-10,
00:01:10,     70391,   318.5851,  1.51477e-08,  1.80995e-09,  5.18389e-10,  1.26338e-09,  2.87946e-10,
00:01:10,     70841,   320.1719,  1.51477e-08,  2.00740e-09,  3.78639e-10,  1.24802e-09,  3.19429e-10,
00:01:11,     71291,   322.4197,  1.58807e-08,  1.60153e-09,  4.78972e-10,  1.23471e-09,  3.32482e-10,
00:01:11,     71741,   324.0064,  1.56364e-08,  1.89770e-09,  4.07306e-10,  1.31048e-09,  3.18661e-10,
00:01:12,     72191,   325.7254,  1.63693e-08,  2.20485e-09,  3.89389e-10,  1.32378e-09,  2.89482e-10,
00:01:12,     72641,   327.7087,  1.58807e-08,  2.24872e-09,  4.89722e-10,  1.25826e-09,  2.81036e-10,
00:01:13,     73091,   329.5599,  1.68580e-08,  1.80995e-09,  4.21639e-10,  1.17124e-09,  3.27875e-10,
00:01:13,     73523,   331.5433,  1.75909e-08,  1.34923e-09,  3.88194e-10,  1.15895e-09,  3.22500e-10,
00:01:13,     73973,   333.2623,  1.75909e-08,  1.95255e-09,  3.92972e-10,  1.33095e-09,  3.10982e-10,
00:01:14,     74423,   334.5845,  1.75909e-08,  2.20485e-09,  4.46722e-10,  1.17738e-09,  3.15589e-10,
00:01:14,     74854,   336.8324,  1.71023e-08,  2.00740e-09,  3.58333e-10,  1.30843e-09,  2.86411e-10,
00:01:15,     75304,   338.6835,  1.83239e-08,  2.19388e-09,  4.31194e-10,  1.33811e-09,  3.29411e-10,
00:01:15,     75754,   340.0058,  1.88125e-08,  2.20485e-09,  4.31194e-10,  1.19069e-09,  2.99464e-10,
00:01:16,     76186,   341.8570,  1.85682e-08,  1.91964e-09,  4.10889e-10,  1.27464e-09,  3.22500e-10,
00:01:16,     76636,   343.9726,  1.90568e-08,  1.53571e-09,  4.03722e-10,  1.26440e-09,  3.14821e-10,
00:01:17,     77086,   345.5593,  2.05227e-08,  1.59056e-09,  4.37167e-10,  1.17943e-09,  3.06375e-10,
00:01:17,     77536,   347.4104,  2.15000e-08,  1.66735e-09,  4.00139e-10,  1.12926e-09,  3.27107e-10,
00:01:17,     77986,   349.1294,  2.34545e-08,  1.61250e-09,  3.78639e-10,  1.17226e-09,  3.50143e-10,
00:01:18,     78436,   351.1128,  2.41875e-08,  2.02934e-09,  4.01333e-10,  1.28078e-09,  3.13286e-10,
00:01:18,     78886,   352.6995,  2.58977e-08,  1.93061e-09,  4.47917e-10,  1.39033e-09,  2.80268e-10,
00:01:19,     79336,   354.5506,  2.73636e-08,  1.76607e-09,  3.71472e-10,  1.26338e-09,  2.66446e-10,
00:01:19,     79786,   356.5340,  2.83409e-08,  1.82092e-09,  4.08500e-10,  1.19273e-09,  3.14821e-10,
00:01:20,     80236,   358.2530,  3.00511e-08,  1.28342e-09,  4.03722e-10,  1.13130e-09,  3.46304e-10,
00:01:20,     80686,   359.9719,  2.95625e-08,  1.64541e-09,  4.22833e-10,  1.25314e-09,  3.75482e-10,
00:01:21,     81136,   361.6909,  2.98068e-08,  1.91964e-09,  4.07306e-10,  1.11595e-09,  3.11750e-10,
00:01:21,     81586,   363.5420,  2.93182e-08,  1.91964e-09,  5.14806e-10,  1.28488e-09,  2.94857e-10,
00:01:22,     82036,   365.6576,  2.78523e-08,  2.23776e-09,  4.63444e-10,  1.12824e-09,  3.24804e-10,
00:01:22,     82486,   367.3766,  2.76080e-08,  1.86480e-09,  4.32389e-10,  1.16202e-09,  3.17893e-10,
00:01:22,     82936,   369.0955,  2.63864e-08,  1.87577e-09,  4.55083e-10,  1.25007e-09,  3.67036e-10,
00:01:23,     83386,   370.9467,  2.41875e-08,  1.84286e-09,  4.57472e-10,  1.13540e-09,  2.85643e-10,
00:01:23,     83836,   372.4012,  2.19886e-08,  2.22679e-09,  3.92972e-10,  1.09650e-09,  3.10982e-10,
00:01:24,     84286,   374.2523,  1.97898e-08,  1.93061e-09,  3.53556e-10,  1.15178e-09,  2.83339e-10,
00:01:24,     84718,   376.2357,  1.66136e-08,  1.74413e-09,  4.30000e-10,  1.19171e-09,  3.30179e-10,
00:01:25,     85168,   377.9547,  1.41705e-08,  1.74413e-09,  4.01333e-10,  1.15997e-09,  2.91018e-10,
00:01:25,     85618,   379.6736,  1.17273e-08,  1.49184e-09,  3.67889e-10,  1.15486e-09,  3.01000e-10,
