0000000457,scans,0000000118,DataLength
"header",0000000026,"lines"
"Date",4/24/2016,"Time",6:01:48 PM
"ID","HAL RC RGA 301 #14852","Version",3
"Scans",7
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Temperature","none",0.40,0.40,0.01,10.000,8.000,1.000000,1.000000,
"Scan 2","RGA","SEM","mass",2.00,2.00,0.01,10.000,8.000,0.440000,1.000000,
"Scan 3","RGA","SEM","mass",16.00,16.00,0.01,10.000,8.000,0.098000,1.000000,
"Scan 4","RGA","SEM","mass",18.00,18.00,0.01,10.000,8.000,0.900000,1.000000,
"Scan 5","RGA","SEM","mass",28.00,28.00,0.01,10.000,8.000,1.050000,1.000000,
"Scan 6","RGA","SEM","mass",32.00,32.00,0.01,10.000,8.000,0.860000,1.000000,
"Scan 7","RGA","SEM","mass",44.00,44.00,0.01,10.000,8.000,1.400000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.3,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",1000.000,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1000,"V"
"resolution",0,"%"
"Data",7
"Time","ms","Scan 1 : none 0.40","Hydrogen","Oxygen-16","Water","Carbon monoxide","Oxygen","Carbon dioxide",
00:00:01,      1219,   170.3596,  1.63693e-10,  2.74235e-10,  8.48056e-11,  2.51857e-10,  3.87500e-11,  2.08089e-10,
00:00:01,      1723,   170.3596,  1.92278e-09,  2.15000e-09,  2.74722e-10,  1.26338e-09,  1.38750e-10,  2.81804e-10,
00:00:02,      2191,   170.2274,  2.17688e-09,  1.75510e-09,  2.56806e-10,  1.34221e-09,  1.95000e-10,  3.01768e-10,
00:00:02,      2695,   170.3596,  2.02295e-09,  1.72219e-09,  3.11750e-10,  1.34324e-09,  2.06250e-10,  3.20964e-10,
00:00:03,      3199,   170.4918,  1.97898e-09,  2.44617e-09,  3.46389e-10,  1.40262e-09,  1.86250e-10,  3.04839e-10,
00:00:03,      3703,   170.3596,  2.19642e-09,  2.73138e-09,  3.55944e-10,  1.30229e-09,  1.82500e-10,  3.56286e-10,
00:00:04,      4207,   170.3596,  2.46761e-09,  2.47908e-09,  2.32917e-10,  1.43743e-09,  2.21250e-10,  3.12518e-10,
00:00:04,      4711,   170.7563,  2.14267e-09,  1.78801e-09,  2.62778e-10,  1.47429e-09,  2.02500e-10,  2.87946e-10,
00:00:05,      5215,   170.3596,  2.11091e-09,  2.19388e-09,  3.46389e-10,  1.38624e-09,  2.18750e-10,  3.91607e-10,
00:00:05,      5719,   170.3596,  2.20864e-09,  2.28163e-09,  3.64306e-10,  1.50397e-09,  2.16250e-10,  3.34786e-10,
00:00:06,      6223,   170.2274,  2.44073e-09,  2.58878e-09,  3.33250e-10,  1.41592e-09,  1.78750e-10,  3.35554e-10,
00:00:06,      6727,   170.7563,  2.10358e-09,  2.18291e-09,  3.83417e-10,  1.46405e-09,  1.63750e-10,  3.53214e-10,
00:00:07,      7231,   170.7563,  2.16222e-09,  2.23776e-09,  3.20111e-10,  1.55619e-09,  1.96250e-10,  3.47839e-10,
00:00:07,      7735,   170.3596,  2.35766e-09,  2.25969e-09,  3.63111e-10,  1.52752e-09,  1.92500e-10,  3.32482e-10,
00:00:08,      8239,   170.2274,  2.25750e-09,  2.39133e-09,  3.27278e-10,  1.57359e-09,  2.36250e-10,  3.33250e-10,
00:00:08,      8743,   170.4918,  2.59709e-09,  2.23776e-09,  3.58333e-10,  1.45790e-09,  1.93750e-10,  3.39393e-10,
00:00:09,      9247,   170.6241,  2.24528e-09,  2.24872e-09,  3.45194e-10,  1.57973e-09,  1.90000e-10,  3.80857e-10,
00:00:09,      9751,   170.6241,  2.28682e-09,  2.18291e-09,  4.24028e-10,  1.62990e-09,  1.88750e-10,  3.73179e-10,
00:00:10,     10255,   170.6241,  2.13290e-09,  1.96352e-09,  3.55944e-10,  1.60943e-09,  1.86250e-10,  3.91607e-10,
