0000000672,scans,0000000090,DataLength
"header",0000000024,"lines"
"Date",5/7/2016,"Time",12:44:15 AM
"ID","HAL RC RGA 301 #14852","Version",3
"Scans",5
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Temperature","none",0.40,0.40,0.01,10.000,8.000,1.000000,1.000000,
"Scan 2","RGA","SEM","mass",2.00,2.00,0.01,10.000,8.000,0.440000,1.000000,
"Scan 3","RGA","SEM","mass",18.00,18.00,0.01,10.000,8.000,0.900000,1.000000,
"Scan 4","RGA","SEM","mass",28.00,28.00,0.01,10.000,8.000,1.050000,1.000000,
"Scan 5","RGA","SEM","mass",44.00,44.00,0.01,10.000,8.000,1.400000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.3,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",1000.000,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1100,"V"
"resolution",0,"%"
"Data",5
"Time","ms","Scan 1 : none 0.40","Hydrogen","Water","Carbon monoxide","Carbon dioxide",
00:00:01,      1239,   170.6241,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,
00:00:01,      1616,   170.2274,  0.00000e+00,  1.19444e-10, -1.02381e-10,  7.67857e-11,
00:00:01,      1993,   170.4918,  1.46591e-09,  2.38889e-09,  1.02381e-09,  8.44643e-10,
00:00:02,      2370,   170.2274,  1.05057e-08,  1.01528e-08,  4.40238e-09,  2.22679e-09,
00:00:02,      2747,   170.2274,  1.41705e-08,  9.31667e-09,  4.40238e-09,  1.91964e-09,
00:00:03,      3124,   170.3596,  1.41705e-08,  7.64444e-09,  4.09524e-09,  1.68929e-09,
00:00:03,      3501,   170.4918,  1.34375e-08,  6.33056e-09,  3.99286e-09,  1.45893e-09,
00:00:03,      3878,   170.4918,  1.29489e-08,  5.73333e-09,  4.30000e-09,  1.45893e-09,
00:00:04,      4255,   170.6241,  1.29489e-08,  5.13611e-09,  4.19762e-09,  1.30536e-09,
00:00:04,      4632,   170.6241,  1.36818e-08,  4.53889e-09,  4.09524e-09,  1.22857e-09,
00:00:05,      5009,   170.6241,  1.29489e-08,  4.53889e-09,  3.99286e-09,  9.98214e-10,
00:00:05,      5386,   170.3596,  1.29489e-08,  3.94167e-09,  4.09524e-09,  1.07500e-09,
00:00:05,      5763,   170.4918,  1.36818e-08,  3.94167e-09,  4.19762e-09,  1.30536e-09,
00:00:06,      6140,   170.6241,  1.27045e-08,  3.82222e-09,  3.68571e-09,  9.21429e-10,
00:00:06,      6517,   170.3596,  1.27045e-08,  3.46389e-09,  3.99286e-09,  9.98214e-10,
00:00:06,      6894,   170.3596,  1.29489e-08,  3.46389e-09,  3.78810e-09,  9.98214e-10,
00:00:07,      7271,   170.3596,  1.39261e-08,  2.98611e-09,  3.99286e-09,  8.44643e-10,
00:00:07,      7648,   170.3596,  1.36818e-08,  3.10556e-09,  3.89048e-09,  1.07500e-09,
00:00:08,      8025,   170.4918,  1.22159e-08,  3.10556e-09,  3.89048e-09,  9.98214e-10,
00:00:08,      8402,   170.4918,  1.29489e-08,  2.86667e-09,  3.89048e-09,  9.21429e-10,
00:00:08,      8779,   170.4918,  1.27045e-08,  2.86667e-09,  4.09524e-09,  7.67857e-10,
00:00:09,      9156,   170.4918,  1.31932e-08,  2.98611e-09,  3.99286e-09,  9.21429e-10,
00:00:09,      9533,   170.2274,  1.29489e-08,  2.98611e-09,  3.68571e-09,  8.44643e-10,
00:00:09,      9910,   170.3596,  1.24602e-08,  2.86667e-09,  3.99286e-09,  8.44643e-10,
00:00:10,     10287,   170.4918,  1.19716e-08,  2.86667e-09,  3.78810e-09,  7.67857e-10,
00:00:10,     10664,   170.4918,  1.24602e-08,  2.62778e-09,  3.89048e-09,  8.44643e-10,
00:00:11,     11041,   170.3596,  1.39261e-08,  2.62778e-09,  3.89048e-09,  8.44643e-10,
00:00:11,     11418,   170.3596,  1.34375e-08,  2.98611e-09,  4.30000e-09,  7.67857e-10,
00:00:11,     11795,   170.6241,  1.29489e-08,  2.86667e-09,  3.68571e-09,  9.21429e-10,
00:00:12,     12172,   170.3596,  1.31932e-08,  2.74722e-09,  3.78810e-09,  8.44643e-10,
00:00:12,     12549,   170.4918,  1.34375e-08,  2.74722e-09,  3.89048e-09,  9.98214e-10,
00:00:12,     12926,   170.4918,  1.29489e-08,  2.86667e-09,  3.78810e-09,  7.67857e-10,
00:00:13,     13303,   170.2274,  1.29489e-08,  2.62778e-09,  3.99286e-09,  9.21429e-10,
00:00:13,     13680,   170.3596,  1.31932e-08,  2.62778e-09,  3.78810e-09,  8.44643e-10,
00:00:14,     14057,   170.3596,  1.31932e-08,  2.50833e-09,  3.68571e-09,  7.67857e-10,
00:00:14,     14434,   170.6241,  1.34375e-08,  2.62778e-09,  3.89048e-09,  7.67857e-10,
00:00:14,     14811,   170.6241,  1.31932e-08,  2.62778e-09,  4.19762e-09,  8.44643e-10,
00:00:15,     15188,   170.3596,  1.29489e-08,  2.38889e-09,  3.78810e-09,  9.21429e-10,
00:00:15,     15565,   170.6241,  1.29489e-08,  2.62778e-09,  4.40238e-09,  9.21429e-10,
00:00:15,     15942,   170.2274,  1.29489e-08,  2.62778e-09,  3.89048e-09,  9.21429e-10,
00:00:16,     16319,   170.3596,  1.24602e-08,  2.86667e-09,  4.19762e-09,  8.44643e-10,
00:00:16,     16696,   170.6241,  1.29489e-08,  2.74722e-09,  3.89048e-09,  8.44643e-10,
00:00:17,     17073,   170.3596,  1.19716e-08,  2.74722e-09,  3.78810e-09,  9.21429e-10,
00:00:17,     17450,   170.3596,  1.24602e-08,  2.62778e-09,  3.68571e-09,  6.91071e-10,
00:00:17,     17827,   170.3596,  1.36818e-08,  2.38889e-09,  3.89048e-09,  9.21429e-10,
00:00:18,     18204,   170.3596,  1.24602e-08,  2.50833e-09,  3.89048e-09,  7.67857e-10,
00:00:18,     18581,   170.4918,  1.22159e-08,  2.38889e-09,  3.68571e-09,  6.91071e-10,
00:00:18,     18958,   170.3596,  1.22159e-08,  2.50833e-09,  3.78810e-09,  7.67857e-10,
00:00:19,     19335,   170.4918,  1.22159e-08,  2.38889e-09,  3.78810e-09,  9.21429e-10,
00:00:19,     19712,   170.4918,  1.29489e-08,  2.74722e-09,  4.19762e-09,  8.44643e-10,
00:00:20,     20089,   170.3596,  1.22159e-08,  2.50833e-09,  4.19762e-09,  9.21429e-10,
00:00:20,     20466,   170.4918,  1.27045e-08,  2.38889e-09,  3.99286e-09,  6.91071e-10,
00:00:20,     20843,   170.4918,  1.24602e-08,  2.50833e-09,  3.89048e-09,  7.67857e-10,
00:00:21,     21220,   170.4918,  1.31932e-08,  2.86667e-09,  3.78810e-09,  6.91071e-10,
00:00:21,     21597,   170.3596,  1.36818e-08,  2.50833e-09,  3.99286e-09,  6.91071e-10,
00:00:21,     21974,   170.3596,  1.22159e-08,  2.38889e-09,  4.19762e-09,  7.67857e-10,
00:00:22,     22351,   170.3596,  1.29489e-08,  2.62778e-09,  5.73333e-09,  8.44643e-10,
00:00:22,     22728,   170.4918,  1.31932e-08,  2.74722e-09,  6.45000e-09,  7.67857e-10,
00:00:23,     23105,   170.4918,  1.36818e-08,  2.86667e-09,  6.55238e-09,  9.21429e-10,
00:00:23,     23482,   170.7563,  1.39261e-08,  2.50833e-09,  5.73333e-09,  7.67857e-10,
00:00:23,     23859,   170.3596,  1.29489e-08,  2.26944e-09,  5.42619e-09,  8.44643e-10,
00:00:24,     24236,   170.4918,  1.31932e-08,  2.50833e-09,  5.11905e-09,  6.91071e-10,
00:00:24,     24613,   170.3596,  1.36818e-08,  2.38889e-09,  4.81190e-09,  9.21429e-10,
00:00:24,     24990,   170.2274,  1.24602e-08,  2.38889e-09,  4.60714e-09,  7.67857e-10,
00:00:25,     25367,   170.3596,  1.44148e-08,  2.74722e-09,  4.40238e-09,  6.91071e-10,
00:00:25,     25744,   170.3596,  1.27045e-08,  2.62778e-09,  4.19762e-09,  7.67857e-10,
00:00:26,     26121,   170.2274,  1.34375e-08,  2.38889e-09,  4.19762e-09,  7.67857e-10,
00:00:26,     26498,   170.4918,  1.36818e-08,  2.38889e-09,  3.99286e-09,  8.44643e-10,
00:00:26,     26875,   170.4918,  1.19716e-08,  2.50833e-09,  4.09524e-09,  6.91071e-10,
00:00:27,     27252,   170.2274,  1.34375e-08,  2.50833e-09,  4.09524e-09,  6.14286e-10,
00:00:27,     27629,   170.4918,  1.29489e-08,  2.26944e-09,  4.19762e-09,  6.14286e-10,
00:00:28,     28006,   170.4918,  1.34375e-08,  2.38889e-09,  3.78810e-09,  8.44643e-10,
00:00:28,     28383,   170.4918,  1.22159e-08,  2.38889e-09,  3.78810e-09,  8.44643e-10,
00:00:28,     28760,   170.3596,  1.31932e-08,  2.15000e-09,  3.89048e-09,  7.67857e-10,
00:00:29,     29137,   170.3596,  1.39261e-08,  2.38889e-09,  3.89048e-09,  7.67857e-10,
00:00:29,     29514,   170.4918,  1.27045e-08,  2.15000e-09,  3.99286e-09,  7.67857e-10,
00:00:29,     29891,   170.6241,  1.36818e-08,  2.38889e-09,  3.99286e-09,  8.44643e-10,
00:00:30,     30268,   170.4918,  1.29489e-08,  2.26944e-09,  3.99286e-09,  7.67857e-10,
00:00:30,     30645,   170.4918,  1.29489e-08,  2.26944e-09,  3.78810e-09,  6.91071e-10,
00:00:31,     31022,   170.3596,  1.29489e-08,  2.38889e-09,  3.99286e-09,  6.14286e-10,
00:00:31,     31399,   170.2274,  1.27045e-08,  2.62778e-09,  3.89048e-09,  6.14286e-10,
00:00:31,     31776,   170.3596,  1.39261e-08,  1.91111e-09,  3.78810e-09,  6.91071e-10,
00:00:32,     32153,   170.6241,  1.41705e-08,  2.38889e-09,  3.78810e-09,  8.44643e-10,
00:00:32,     32530,   170.4918,  1.27045e-08,  2.15000e-09,  3.99286e-09,  6.91071e-10,
00:00:32,     32907,   170.4918,  1.31932e-08,  2.50833e-09,  4.19762e-09,  7.67857e-10,
00:00:33,     33284,   170.3596,  1.27045e-08,  2.26944e-09,  3.99286e-09,  7.67857e-10,
00:00:33,     33661,   170.4918,  1.29489e-08,  2.15000e-09,  3.78810e-09,  7.67857e-10,
00:00:34,     34038,   170.4918,  1.31932e-08,  2.26944e-09,  3.89048e-09,  7.67857e-10,
00:00:34,     34415,   170.2274,  1.29489e-08,  2.26944e-09,  4.19762e-09,  7.67857e-10,
00:00:34,     34792,   170.4918,  1.44148e-08,  2.26944e-09,  3.78810e-09,  7.67857e-10,
00:00:35,     35169,   170.3596,  1.34375e-08,  2.50833e-09,  3.78810e-09,  7.67857e-10,
00:00:35,     35546,   170.2274,  1.36818e-08,  2.15000e-09,  3.99286e-09,  6.91071e-10,
00:00:35,     35923,   170.4918,  1.19716e-08,  2.38889e-09,  3.99286e-09,  7.67857e-10,
00:00:36,     36300,   170.6241,  1.41705e-08,  2.26944e-09,  3.58333e-09,  6.91071e-10,
00:00:36,     36677,   170.6241,  1.29489e-08,  2.15000e-09,  3.99286e-09,  7.67857e-10,
00:00:37,     37054,   170.4918,  1.24602e-08,  2.38889e-09,  3.78810e-09,  7.67857e-10,
00:00:37,     37431,   170.4918,  1.31932e-08,  2.26944e-09,  3.78810e-09,  7.67857e-10,
00:00:37,     37808,   170.4918,  1.27045e-08,  2.26944e-09,  4.09524e-09,  7.67857e-10,
00:00:38,     38185,   170.2274,  1.29489e-08,  2.03056e-09,  3.89048e-09,  7.67857e-10,
00:00:38,     38562,   170.2274,  1.31932e-08,  2.26944e-09,  4.09524e-09,  8.44643e-10,
00:00:38,     38939,   170.6241,  1.36818e-08,  2.50833e-09,  3.58333e-09,  8.44643e-10,
00:00:39,     39316,   170.4918,  1.24602e-08,  2.15000e-09,  3.48095e-09,  6.91071e-10,
00:00:39,     39693,   170.6241,  1.29489e-08,  1.91111e-09,  3.78810e-09,  7.67857e-10,
00:00:40,     40070,   170.6241,  1.27045e-08,  2.15000e-09,  3.99286e-09,  7.67857e-10,
00:00:40,     40447,   170.4918,  1.36818e-08,  2.26944e-09,  3.78810e-09,  7.67857e-10,
00:00:40,     40824,   170.4918,  1.29489e-08,  2.15000e-09,  3.89048e-09,  7.67857e-10,
00:00:41,     41201,   170.3596,  1.22159e-08,  2.15000e-09,  3.89048e-09,  7.67857e-10,
00:00:41,     41578,   170.6241,  1.27045e-08,  2.26944e-09,  3.89048e-09,  6.91071e-10,
00:00:41,     41955,   170.7563,  1.29489e-08,  2.15000e-09,  3.58333e-09,  6.91071e-10,
00:00:42,     42332,   170.7563,  1.24602e-08,  2.15000e-09,  3.78810e-09,  7.67857e-10,
00:00:42,     42709,   170.3596,  1.29489e-08,  1.79167e-09,  3.48095e-09,  7.67857e-10,
