0000000634,scans,0000000090,DataLength
"header",0000000024,"lines"
"Date",5/6/2016,"Time",9:57:26 PM
"ID","HAL RC RGA 301 #14852","Version",3
"Scans",5
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Temperature","none",0.40,0.40,0.01,10.000,8.000,1.000000,1.000000,
"Scan 2","RGA","SEM","mass",2.00,2.00,0.01,10.000,8.000,0.440000,1.000000,
"Scan 3","RGA","SEM","mass",18.00,18.00,0.01,10.000,8.000,0.900000,1.000000,
"Scan 4","RGA","SEM","mass",28.00,28.00,0.01,10.000,8.000,1.050000,1.000000,
"Scan 5","RGA","SEM","mass",44.00,44.00,0.01,10.000,8.000,1.400000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.3,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",1000.000,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1100,"V"
"resolution",0,"%"
"Data",5
"Time","ms","Scan 1 : none 0.40","Hydrogen","Water","Carbon monoxide","Carbon dioxide",
00:00:01,      1239,   170.2274,  0.00000e+00,  0.00000e+00,  0.00000e+00, -7.67857e-11,
00:00:01,      1671,   170.2274,  2.44318e-10,  4.77778e-10,  4.09524e-10,  1.53571e-10,
00:00:02,      2103,   170.0952,  1.71023e-09,  5.61389e-09,  4.81190e-09,  1.45893e-09,
00:00:02,      2534,   169.8307,  4.64205e-09,  4.65833e-09,  5.01667e-09,  1.22857e-09,
00:00:02,      2966,   169.9629,  4.88636e-09,  4.30000e-09,  4.91429e-09,  1.22857e-09,
00:00:03,      3398,   170.2274,  3.42045e-09,  3.82222e-09,  4.91429e-09,  1.15179e-09,
00:00:03,      3829,   170.2274,  4.39773e-09,  3.58333e-09,  4.60714e-09,  1.07500e-09,
00:00:04,      4261,   170.2274,  4.15341e-09,  2.98611e-09,  5.22143e-09,  1.07500e-09,
00:00:04,      4693,   170.0952,  4.15341e-09,  3.10556e-09,  4.81190e-09,  9.21429e-10,
00:00:05,      5124,   169.9629,  4.88636e-09,  2.74722e-09,  4.60714e-09,  9.21429e-10,
00:00:05,      5556,   169.9629,  4.64205e-09,  2.62778e-09,  4.91429e-09,  9.21429e-10,
00:00:05,      5988,   170.0952,  4.39773e-09,  2.50833e-09,  4.81190e-09,  9.21429e-10,
00:00:06,      6419,   169.9629,  4.39773e-09,  2.50833e-09,  4.91429e-09,  9.21429e-10,
00:00:06,      6851,   169.8307,  4.88636e-09,  2.38889e-09,  4.60714e-09,  9.98214e-10,
00:00:07,      7283,   169.9629,  4.64205e-09,  2.38889e-09,  5.01667e-09,  9.21429e-10,
00:00:07,      7714,   170.0952,  5.13068e-09,  2.26944e-09,  5.22143e-09,  7.67857e-10,
00:00:08,      8146,   169.9629,  4.15341e-09,  2.26944e-09,  5.11905e-09,  6.91071e-10,
