Fri, Sep 15, 2017	3:21 PM
 Notes: HOAc_15s_3.9e-09_91517 
 waiting time: 25.000
 time(s)	 temp (K)	 MS1=1.879	 MS2=13.642	 MS3=17.577	 MS4=26.774	 MS5=27.740	 MS6=30.759	 MS7=43.788	 MS8=60.088
0.000	103.500	6333.325	1304.835	2124.654	542.151	10043.159	757.842	5023.126	460.612
0.740	103.500	4644.574	1242.146	2128.463	541.183	9632.485	716.678	5120.866	466.088
1.492	103.500	4781.681	1238.287	2119.623	537.909	9845.477	730.230	5013.103	458.396
2.251	103.500	4658.596	1226.212	2140.346	543.361	9724.162	737.731	5014.682	445.965
3.007	103.500	4811.446	1200.714	2135.659	544.736	9878.961	720.716	4963.125	457.275
3.777	103.500	4644.140	1192.435	2105.129	538.482	9754.794	759.218	4993.654	454.817
4.537	103.500	4808.237	1189.748	2133.544	547.131	9759.264	726.371	4901.710	447.646
5.311	103.500	4659.730	1179.903	2128.221	548.608	9792.684	753.499	4914.917	459.415
6.093	103.500	4750.312	1182.577	2106.900	542.622	9573.325	736.674	4870.582	449.709
6.875	103.500	4696.729	1148.202	2129.354	547.156	9715.731	733.605	4853.540	449.608
7.669	103.500	4731.920	1155.041	2129.838	551.435	9591.920	718.882	4947.714	446.271
8.425	103.600	4803.130	1158.849	2136.168	542.762	9957.099	737.247	5015.090	459.453
9.208	103.700	4781.745	1176.196	2139.964	550.697	10134.429	780.679	5255.426	480.544
10.000	104.100	4877.103	1211.056	2162.418	562.019	11424.262	837.560	5646.117	499.025
10.759	104.700	4895.851	1261.760	2159.043	556.046	11471.922	850.424	5899.216	525.109
11.518	105.700	4705.326	1258.792	2172.645	562.185	11098.298	821.945	5711.213	498.999
12.277	107.200	4799.742	1277.184	2159.501	559.778	11069.450	829.549	5604.864	506.488
13.037	109.200	4956.183	1337.160	2169.003	566.961	11149.817	809.196	5384.599	496.363
13.794	111.700	4748.770	1307.076	2151.783	562.325	11112.703	838.591	5336.494	491.651
14.587	114.700	4900.920	1291.296	2177.154	556.543	10639.034	808.673	5256.738	490.784
15.389	117.900	4730.430	1237.268	2148.166	560.351	10426.921	786.270	5087.420	474.151
16.147	121.200	4732.481	1220.685	2178.963	567.165	10294.195	787.327	5074.429	474.444
16.899	124.500	4746.733	1214.737	2172.824	567.509	10493.469	792.715	4969.519	466.012
17.687	127.700	4695.481	1208.356	2148.879	561.574	10008.758	770.859	5011.982	472.113
18.446	130.800	4820.311	1205.083	2142.753	562.058	10386.572	798.128	4949.586	472.126
19.206	133.800	4768.423	1186.729	2174.250	562.720	10029.264	772.718	4947.535	469.056
19.968	136.800	4896.793	1182.526	2185.000	568.782	10256.266	779.838	4892.297	466.165
20.762	139.800	4702.448	1209.681	2309.027	576.373	10105.097	785.888	4924.635	479.041
21.520	142.700	4858.355	1185.787	2414.268	588.448	10210.313	785.710	4885.738	486.288
22.314	145.600	4805.957	1202.001	2640.455	603.961	10164.551	780.946	4760.755	474.889
23.076	148.400	4907.021	1187.545	2698.763	606.317	10035.721	754.544	4633.060	477.424
23.832	151.300	4773.466	1197.237	2800.756	602.012	10050.266	782.576	4662.010	505.724
24.612	154.000	4930.392	1267.861	3141.673	643.405	9887.240	781.214	4796.634	559.307
25.393	156.800	4796.354	1373.930	3658.556	677.832	10347.306	827.638	4940.836	658.969
26.155	159.500	4836.741	1561.410	4399.792	756.187	10353.228	866.038	5229.979	806.292
26.932	162.100	4967.672	1855.953	5242.028	817.423	10838.092	936.242	5622.911	1040.235
27.692	164.700	4979.440	2276.893	6256.295	919.251	11100.718	1025.639	6189.670	1411.579
28.451	167.300	5164.017	2853.587	7147.655	1017.475	11799.363	1212.419	6931.454	2040.008
29.211	169.800	5171.837	3791.244	8240.799	1125.811	12492.264	1378.337	8365.591	2968.597
29.968	172.300	5303.736	4915.643	9156.932	1219.870	13553.287	1588.004	9813.419	3909.897
30.729	174.500	5429.801	5856.587	9875.892	1328.384	14017.938	1771.778	11255.899	4938.429
31.491	176.900	5597.948	6819.335	10389.222	1413.986	15223.124	1854.565	12099.765	5055.299
32.247	179.400	5375.429	6595.874	9978.382	1312.629	14657.320	1600.588	11645.812	3667.548
33.006	181.900	5622.529	4822.527	7835.551	1085.857	13879.951	1272.395	10115.757	2375.588
33.797	184.300	5226.043	3723.537	6551.016	954.480	13133.239	1128.104	9322.187	1840.198
34.553	186.700	5273.321	3204.540	5945.895	902.719	12405.452	1061.314	8664.184	1587.533
35.314	189.100	5109.365	2888.752	5447.772	854.308	12420.698	1001.287	8471.915	1465.798
36.086	191.500	5148.300	2763.120	5079.982	823.932	11863.096	979.125	8157.681	1430.008
36.846	193.900	5149.778	2627.082	4755.330	805.706	12204.140	997.873	7932.972	1415.731
37.600	196.300	4953.152	2580.377	4655.259	789.773	11794.689	973.088	7687.744	1430.059
38.355	198.600	5102.067	2549.746	4516.407	778.832	11969.229	978.578	7677.835	1447.113
39.116	201.000	5179.288	2541.633	4438.141	786.538	11698.325	955.245	7670.397	1525.837
39.872	203.300	4917.248	2532.756	4350.463	773.534	11952.850	1005.286	7621.973	1577.738
40.653	205.700	5179.632	2594.413	4408.287	773.190	11634.095	975.572	7621.668	1628.455
41.414	208.000	5149.727	2595.979	4322.138	787.327	11878.342	1018.685	7547.682	1647.432
42.189	210.400	5167.787	2613.517	4327.334	778.182	11623.014	1015.526	7521.253	1657.099
42.961	212.700	5279.842	2595.674	4268.937	775.890	11850.079	1005.834	7488.190	1689.412
43.751	215.000	5039.238	2642.773	4323.564	771.254	11630.541	1013.144	7642.110	1808.854
44.512	217.400	5224.031	2710.900	4272.784	788.843	11938.165	1017.539	7610.982	1945.223
45.309	219.700	5100.220	2802.845	4378.891	787.123	12016.583	1062.218	7777.256	2090.597
46.103	222.000	5220.860	2974.965	4446.560	806.750	11987.748	1081.425	7825.069	2312.390
46.864	224.300	5240.346	3055.014	4503.810	807.171	12186.627	1094.467	7986.847	2382.402
47.623	226.700	5365.393	3135.801	4579.274	832.261	12102.019	1089.550	8061.928	2312.708
48.410	229.000	5277.741	3061.153	4461.742	796.599	12151.386	1057.747	7854.210	2040.250
49.169	231.300	5199.730	2862.248	4351.890	796.446	11465.744	1021.525	7874.537	1751.400
49.947	233.600	5191.668	2648.657	4138.669	778.170	11709.673	979.367	7546.128	1477.363
50.707	235.900	5045.007	2465.940	4024.130	765.510	11434.897	925.760	7355.323	1293.792
51.500	238.200	5088.936	2299.462	3889.646	746.494	11417.473	922.435	7128.423	1161.206
52.257	240.500	4996.431	2190.948	3770.102	734.942	11162.184	916.067	7089.322	1077.234
53.014	242.900	4972.626	2089.807	3691.760	724.804	11225.904	869.312	6985.826	1042.260
53.771	245.200	5063.221	2041.600	3644.711	720.321	10828.285	875.412	6883.412	995.428
54.532	247.500	5054.725	2002.321	3627.364	717.073	11044.193	870.356	6826.888	963.523
55.293	249.800	4909.594	1986.668	3577.221	720.626	10967.240	852.092	6699.345	941.196
56.054	252.100	5102.500	1939.581	3471.801	713.481	10769.175	862.918	6604.726	940.827
56.811	254.400	5039.416	1894.545	3445.131	706.756	10936.112	856.333	6600.243	913.456
57.566	256.400	4893.316	1867.607	3468.503	713.061	10577.212	852.003	6356.123	916.615
58.320	258.700	4794.023	1847.828	3395.841	699.535	10853.542	855.722	6453.251	886.353
59.076	261.000	5119.528	1846.439	3372.712	708.081	10579.211	847.048	6375.228	884.162
59.834	263.300	5014.338	1777.357	3351.187	701.343	10713.797	848.602	6389.594	877.463
60.590	265.600	5145.231	1808.931	3373.718	699.790	10446.612	832.236	6269.490	862.842
61.350	267.900	5087.904	1761.895	3305.782	693.778	10828.973	860.778	6263.567	859.530
62.139	270.200	5157.368	1772.925	3308.087	701.509	10523.247	832.949	6224.122	867.248
62.896	272.500	5121.770	1738.536	3286.218	689.690	10550.070	824.747	6166.312	830.453
63.668	274.800	5086.184	1712.617	3256.224	693.702	10353.305	835.229	6156.365	832.593
64.428	277.200	5254.115	1726.042	3225.911	690.645	10552.261	820.748	6106.782	826.645
65.202	279.500	5089.330	1702.021	3247.996	690.581	10204.505	814.099	6146.023	810.941
65.961	281.800	5307.633	1686.979	3174.214	686.353	10530.762	825.396	6084.034	810.024
66.725	284.100	5190.776	1683.795	3178.608	685.194	10298.079	816.965	6069.260	802.815
67.484	286.500	5277.957	1648.044	3181.423	692.301	10470.735	835.649	5991.848	804.649
68.242	288.700	5132.545	1656.055	3140.004	688.429	10261.870	828.797	6031.254	782.818
68.999	290.700	5354.108	1625.628	3155.644	687.384	10574.142	847.316	5904.514	780.832
69.758	293.000	5235.417	1627.971	3164.356	686.302	10076.554	799.312	5933.311	794.281
70.512	295.300	5244.982	1593.213	3175.411	690.046	10345.153	795.466	5857.045	768.987
71.272	297.700	5072.913	1599.416	3127.229	681.997	10176.956	813.717	5779.939	763.153
72.032	300.000	5343.626	1596.843	3120.008	676.062	10188.330	824.479	5801.247	763.153
72.793	302.300	5206.824	1574.045	3128.185	686.251	10243.618	805.540	5830.146	762.415
73.554	304.600	5147.205	1578.808	3113.207	682.201	10030.156	814.265	5736.304	750.990
74.315	306.900	5288.350	1569.434	3076.551	676.520	10213.166	797.491	5783.887	746.965
75.074	309.200	5299.647	1576.872	3083.365	688.238	10044.382	794.765	5762.503	745.450
75.835	311.500	5023.483	1544.102	3068.323	675.934	9889.507	807.145	5809.067	735.770
76.586	313.500	5313.963	1552.750	3058.911	676.049	10016.451	810.164	5588.803	734.344
77.344	315.800	5250.332	1545.910	3076.411	673.922	10244.803	806.394	5724.026	720.499
78.103	318.100	5358.324	1548.075	3052.721	675.552	9999.970	807.234	5666.253	727.873
78.861	320.400	5306.041	1530.601	3067.776	667.528	10198.391	796.179	5608.659	734.356
79.613	322.700	5215.001	1537.389	3051.651	678.201	9930.837	788.461	5684.861	720.639
80.368	325.000	5319.058	1522.488	3025.491	678.303	10181.337	792.358	5638.169	727.262
81.127	327.300	5439.888	1516.005	3049.575	680.290	10028.080	794.663	5558.783	700.681
81.884	329.600	5265.335	1485.170	2997.521	666.764	10091.927	811.781	5540.710	711.392
82.639	331.600	5400.991	1500.250	3037.310	679.946	9931.856	788.601	5601.183	707.100
83.398	333.900	5335.195	1501.371	3012.601	672.355	10170.091	785.990	5544.684	700.184
84.156	336.200	5157.203	1492.825	3000.413	674.189	9919.922	780.271	5560.222	699.484
84.916	338.500	5343.180	1480.929	3005.711	671.960	10129.105	777.711	5541.844	705.738
85.678	340.800	5214.632	1475.987	3007.086	675.285	9875.917	767.025	5533.463	688.874
86.438	343.100	5373.366	1454.921	2984.810	679.946	10069.715	801.452	5495.941	699.713
87.198	345.400	5338.672	1462.805	3001.673	665.095	9814.477	767.458	5512.537	697.612
87.958	347.800	5162.081	1468.065	2977.856	673.158	10277.676	792.969	5466.571	697.331
88.718	350.100	5285.866	1443.624	2990.032	671.502	9811.713	773.814	5523.197	700.006
89.481	352.400	5434.743	1447.699	2958.624	665.630	9989.743	779.087	5515.887	687.614
90.240	354.700	5243.008	1436.122	2964.228	664.637	9878.821	781.303	5494.770	691.434
91.000	356.700	5333.399	1436.020	2944.500	667.630	10108.829	787.684	5508.130	686.467
91.763	359.000	5151.319	1440.669	2883.467	670.024	9829.442	768.936	5550.746	694.084
92.521	361.300	5367.049	1439.000	2967.553	675.119	10019.712	775.011	5526.802	696.682
93.295	363.600	5291.343	1437.625	2956.778	670.216	9735.969	782.959	5545.474	681.691
94.053	365.900	5391.490	1438.555	2933.712	668.827	9855.704	781.825	5516.880	687.231
94.812	368.200	5360.795	1419.679	2929.267	670.636	9990.252	775.177	5565.457	675.629
95.571	370.500	5306.627	1435.702	2923.242	672.623	9818.692	774.489	5485.166	685.754
96.327	372.800	5288.961	1419.768	2947.212	667.121	9957.621	772.795	5485.383	677.934
97.088	375.200	5339.500	1414.839	2919.447	673.578	9716.864	773.852	5463.553	678.087
97.845	377.500	5318.688	1394.690	2908.914	670.266	9931.206	786.181	5473.538	669.935
98.605	379.800	5374.792	1421.118	2929.025	672.228	9809.509	779.813	5465.132	664.612
99.367	382.100	5199.819	1390.729	2903.119	670.292	9947.420	787.302	5417.307	663.987
100.123	384.100	5300.233	1396.550	2943.009	669.464	9834.982	763.357	5354.248	661.415
100.884	386.400	5276.480	1384.998	2884.485	659.084	10003.205	787.977	5296.107	656.422
101.642	388.700	5274.977	1379.776	2927.267	666.611	9462.110	764.465	5342.353	650.066
102.400	391.000	5195.565	1373.408	2882.257	664.433	9901.275	771.751	5304.691	657.097
103.158	393.300	5181.784	1380.616	2918.645	670.024	9789.500	773.967	5296.208	652.690
103.920	395.600	5318.943	1369.230	2922.440	668.547	9997.117	803.452	5256.127	653.454
104.700	397.900	5210.900	1365.231	2878.830	666.433	9827.799	770.961	5306.423	653.149
105.459	400.200	5369.723	1372.796	2889.593	678.316	10013.713	767.216	5218.949	647.456
106.218	402.500	5073.652	1357.984	2865.852	670.470	9844.051	782.436	5180.549	651.417
107.020	404.800	5239.977	1368.759	2905.348	668.827	9909.949	788.868	5206.646	638.909
107.779	407.100	5163.851	1366.976	2872.309	663.924	9942.987	789.862	5263.055	647.456
108.539	409.400	5296.107	1371.816	2898.406	660.969	9966.550	774.349	5119.707	640.323
109.301	411.700	5080.147	1365.396	2887.147	673.935	10096.500	797.542	5155.980	640.654
110.058	414.000	5338.353	1368.733	2908.035	667.210	9919.654	771.559	5086.032	641.049
110.822	416.300	5117.682	1359.945	2872.093	664.624	10056.189	800.624	5094.412	631.802
111.578	418.600	5273.525	1356.061	2888.981	670.827	9789.539	801.032	5094.132	633.471
112.334	420.600	5082.898	1350.113	2876.436	667.503	10183.655	798.714	5102.258	645.825
113.092	422.900	5242.728	1340.968	2916.887	676.737	9825.914	769.611	5074.671	629.064
113.846	425.200	5068.060	1350.431	2904.189	669.923	10027.901	769.394	5035.009	622.072
114.600	427.500	5134.507	1340.038	2875.430	668.725	9860.098	783.570	4965.685	612.418
115.356	429.800	5157.763	1345.387	2913.346	672.941	10162.551	780.360	5055.451	623.002
116.117	432.100	5126.686	1350.240	2953.517	677.080	9958.691	777.698	5026.336	629.484
116.876	434.400	4848.102	1335.682	2904.061	670.776	10119.323	788.384	5034.958	622.339
117.634	436.700	5161.457	1339.873	2916.632	673.476	9971.924	810.304	4975.084	652.970
118.383	438.700	4917.707	1333.708	2881.913	669.006	10291.788	811.195	5004.276	626.453
119.143	441.100	5028.450	1342.063	2889.809	672.508	9985.438	785.697	5044.345	620.340
119.901	443.400	5003.805	1337.962	2912.085	681.449	10245.554	801.617	4972.079	624.428
120.662	445.700	5040.206	1339.809	2917.473	665.401	10075.141	787.722	5002.633	625.383
121.423	448.000	4999.309	1337.656	2908.621	675.972	10239.581	784.602	4914.943	620.391
122.181	450.300	5016.847	1331.772	2902.278	675.234	10112.853	767.649	5018.172	625.129
122.940	452.600	5005.486	1345.349	2896.878	672.763	10176.166	814.227	4976.409	611.539
123.694	454.900	4989.515	1356.608	2883.925	678.481	10036.626	803.923	4991.718	614.506
124.453	457.200	5026.769	1344.088	2925.573	672.877	10234.741	806.623	4941.906	613.628
125.210	459.500	5014.567	1342.420	2882.460	677.615	10067.180	782.284	4988.993	619.588
125.969	461.500	5058.954	1340.611	2921.778	684.990	10257.476	806.738	4906.550	605.947
126.765	464.200	4956.183	1325.799	2911.996	680.048	10148.031	821.321	4964.628	613.118
127.522	466.500	4981.720	1333.504	2944.729	674.775	10099.888	802.152	4875.116	607.539
128.274	468.400	5088.502	1337.682	2920.924	678.813	9774.917	800.637	4892.934	614.315
129.030	470.800	5132.125	1337.809	2925.026	678.583	10224.323	800.790	4894.284	612.736
129.786	473.100	4931.131	1357.041	2942.882	682.315	10161.825	810.406	4924.253	614.341
130.541	475.400	5067.156	1339.911	2957.109	675.590	10026.717	779.061	4879.778	606.661
131.298	477.700	4970.117	1352.966	2953.250	683.933	10212.312	807.897	4948.796	605.451
132.057	480.000	4985.949	1331.479	2968.202	674.278	9981.757	788.104	4869.639	604.406
132.820	482.300	4973.174	1348.635	2968.470	681.602	10171.581	790.027	4840.613	603.082
133.575	484.600	5135.678	1358.009	3015.645	684.888	9930.582	776.208	4836.550	609.959
134.362	487.000	4963.571	1350.087	2991.306	689.435	10261.832	805.859	4727.883	613.271
135.169	489.300	4989.591	1360.174	2990.160	677.908	9924.647	765.637	4847.401	628.504
135.929	491.600	5136.086	1343.961	2973.679	679.984	10066.289	797.160	4828.437	605.018
136.689	493.900	4927.463	1362.136	3000.438	682.009	9892.296	756.085	4816.083	604.241
137.446	496.200	4937.499	1338.561	3000.451	686.569	10115.592	791.849	4835.467	605.298
138.203	498.500	4843.542	1368.135	3033.209	685.194	9918.253	764.669	4811.472	595.338
138.963	500.800	5046.982	1365.231	2942.666	689.842	9692.831	803.655	4854.419	598.013
139.716	502.800	4901.328	1357.016	3034.355	684.124	9802.721	773.636	4838.652	601.719
140.476	505.100	4956.196	1362.951	3044.111	693.561	9992.226	786.143	4816.108	627.230
141.229	507.400	4789.591	1348.686	2948.639	685.563	9729.130	774.922	4734.162	605.311
141.970	509.700	4777.759	1357.207	2940.067	684.582	9856.341	833.548	4757.724	606.164
142.740	512.000	4862.647	1370.415	2997.101	684.901	9738.975	786.296	4740.950	608.393
143.481	514.300	4815.293	1366.530	3038.864	693.269	9854.469	793.823	4761.481	595.402
144.264	516.600	4876.644	1360.544	3055.740	690.836	9706.968	777.214	4791.017	604.317
145.021	518.900	5055.974	1377.611	3097.235	689.651	9911.859	777.940	4776.740	602.330
145.782	521.200	4841.708	1381.648	3091.886	693.982	9679.406	778.934	4806.849	597.147
146.541	523.200	5038.703	1388.322	3128.707	700.095	9716.126	757.919	4771.709	600.012
147.303	525.500	4981.695	1404.612	3108.621	696.389	9959.150	782.131	4798.532	597.580
148.064	527.800	5065.144	1398.384	3122.708	706.171	9745.865	770.923	4799.130	596.242
148.824	530.100	4969.608	1394.690	3060.019	691.715	9962.984	768.834	4796.150	599.668
149.581	532.400	4940.276	1418.520	3117.537	705.878	9619.825	776.272	4699.391	615.283
150.331	534.700	4927.794	1413.820	3167.375	700.758	10026.182	783.252	4779.019	604.801
151.092	537.100	5015.370	1421.921	3162.115	703.611	9692.780	786.117	4766.219	616.442
151.852	539.400	4800.251	1418.291	3208.997	701.280	9875.127	793.071	4709.899	601.362
