Fri, Sep 15, 2017	3:35 PM
 Notes: HOAc_mass ratios_91517 
 waiting time: 25.000
 time(s)	 temp (K)	 MS1=1.879	 MS2=13.642	 MS3=17.577	 MS4=26.774	 MS5=27.740	 MS6=30.759	 MS7=43.788	 MS8=60.088
0.000	108.700	6009.131	1174.795	1761.041	544.137	9823.901	768.592	4250.419	380.856
0.868	108.600	4521.450	1126.397	1721.278	546.672	9322.289	730.077	4218.437	380.385
1.653	108.500	4405.510	1112.094	1768.378	543.730	9551.813	732.089	4171.975	374.055
2.448	108.400	4398.136	1094.569	1753.349	540.673	9325.486	745.424	4133.524	372.947
3.223	108.400	4546.083	1075.642	1760.978	539.157	9446.584	722.117	4049.043	368.502
3.998	108.300	4445.643	1057.225	1731.824	538.113	9267.879	718.308	4045.018	365.037
4.790	108.200	4554.298	1065.466	1728.487	543.526	9291.862	698.745	3959.569	363.025
5.584	108.100	4440.969	1044.565	1709.968	530.968	9339.025	745.004	3929.142	357.612
6.361	108.100	4438.358	1040.986	1717.394	537.731	9050.633	725.199	3896.677	357.956
7.125	108.000	4347.852	1014.571	1714.477	540.278	9182.112	719.225	3834.905	353.677
7.878	108.000	4556.030	1024.085	1690.278	540.431	9006.120	690.225	3930.568	349.907
8.636	107.900	4376.293	1001.389	1706.058	530.802	9021.034	735.974	3875.216	348.557
9.390	107.800	4316.635	1002.904	1702.505	528.917	8976.049	710.221	3870.096	365.483
10.186	107.800	4439.657	996.192	1659.952	526.013	9134.847	720.512	3814.934	348.786
10.975	107.700	4397.053	963.905	1664.448	530.025	8929.484	688.887	3826.868	349.283
11.764	107.600	4553.062	971.394	1664.066	524.027	9135.955	714.717	3806.897	350.760
12.526	107.500	4370.460	967.586	1659.914	520.537	8978.061	689.155	3752.525	341.284
13.323	107.500	4327.602	953.041	1680.203	530.853	8748.856	704.362	3731.243	349.435
14.129	107.400	4329.474	958.747	1650.171	526.497	8999.407	714.386	3732.809	334.623
14.904	107.400	4449.145	953.818	1676.370	525.593	8852.900	701.853	3740.031	339.807
15.660	107.300	4335.434	953.678	1682.075	524.523	8807.495	701.738	3640.024	348.620
16.414	107.200	4259.665	933.019	1671.071	524.090	8581.117	668.012	3648.736	345.525
17.173	107.200	4375.427	931.262	1670.001	521.021	8920.887	695.561	3602.452	348.404
17.927	107.100	4393.640	929.568	1645.560	517.939	8812.220	666.063	3602.426	332.241
18.681	107.100	4295.913	924.715	1660.576	528.281	8915.130	673.591	3589.919	334.368
19.456	107.000	4400.887	925.301	1653.877	530.115	8685.683	688.658	3592.263	325.669
20.217	107.000	4447.210	916.182	1656.208	524.141	8677.863	698.019	3543.673	330.713
20.972	106.900	4287.558	912.106	1639.994	520.320	8575.895	664.395	3600.376	339.743
21.726	106.900	4416.617	918.462	1681.197	521.543	8891.976	675.297	3559.899	331.350
22.526	106.800	4378.254	922.881	1639.599	523.504	8651.664	681.806	3640.954	339.998
23.310	106.700	4469.613	918.729	1671.593	523.186	8625.262	666.522	3560.065	333.324
24.069	106.700	4286.756	903.929	1695.551	526.459	8675.800	680.608	3489.416	331.490
24.822	106.700	4335.727	892.594	1676.688	525.428	8590.988	641.240	3458.874	331.515
25.583	106.600	4380.279	884.595	1660.462	517.123	8776.048	670.623	3514.405	332.458
26.393	106.600	4442.586	897.714	1679.770	523.759	8638.214	674.775	3554.512	345.398
27.179	106.500	4513.044	900.682	1702.976	529.325	8854.492	684.213	3491.734	283.932
27.941	106.500	4320.571	915.354	1751.196	528.917	8695.898	682.786	3534.834	369.202
28.728	106.400	4535.066	934.471	1841.039	539.833	8780.965	685.945	3504.317	388.778
29.482	106.400	4363.849	944.138	1926.475	541.437	8593.739	688.174	3516.863	409.883
30.249	106.300	4390.392	974.591	2004.129	554.352	8852.378	717.060	3556.435	438.590
30.999	106.200	4479.993	994.753	2096.596	559.421	8633.311	694.708	3594.275	448.079
31.752	106.200	4573.797	1025.919	2128.615	555.014	8930.771	695.052	3540.196	446.487
32.542	106.200	4425.787	1014.724	2160.036	559.740	8625.656	674.278	3505.298	449.850
33.313	106.100	4572.485	1024.735	2159.196	564.134	8644.876	696.937	3556.282	449.799
34.110	106.100	4573.581	1029.040	2106.976	563.624	8763.401	688.722	3570.127	458.090
34.906	106.000	4632.665	1031.701	2147.376	554.772	8536.348	675.285	3586.506	456.676
35.662	106.000	4525.908	1041.649	2135.519	561.867	8871.661	683.067	3583.156	467.642
36.452	105.900	4559.099	1046.004	2189.585	561.153	8593.319	692.313	3557.059	470.215
37.207	105.900	4619.814	1046.094	2188.337	564.783	8730.974	678.953	3546.233	460.943
37.983	105.900	4477.802	1057.378	2171.856	561.523	8668.578	690.785	3583.271	468.215
38.740	105.800	4635.900	1069.299	2192.667	564.911	8822.001	711.036	3552.958	465.719
39.492	105.800	4537.944	1058.817	2205.760	561.484	8649.346	663.924	3523.715	477.921
40.244	105.800	4552.706	1056.703	2079.644	564.809	8782.697	683.818	3598.835	475.475
41.054	105.700	4549.152	1064.982	2188.973	571.011	8732.337	693.281	3616.640	465.261
41.856	105.700	4641.873	1086.774	2184.477	566.070	8627.732	701.560	3588.314	386.142
42.651	105.600	4467.944	1067.313	2217.337	566.439	8756.905	655.187	3601.649	481.652
43.436	105.600	4567.658	1078.712	2209.428	565.127	8560.841	670.992	3648.940	491.905
44.224	105.600	4441.032	1075.005	2137.454	572.336	8787.256	725.020	3577.043	480.914
45.008	105.500	4532.009	1088.366	2183.586	568.056	8693.491	708.590	3571.668	482.022
45.790	105.500	4575.071	1091.652	2233.704	569.050	8777.105	692.683	3622.270	489.536
46.549	105.400	4515.986	1080.558	2212.892	564.694	8743.201	722.830	3640.610	488.785
47.313	105.400	4629.455	1089.092	2197.239	566.617	8631.681	333.171	3578.877	489.944
48.091	105.400	4569.441	1091.983	2246.504	573.992	8818.817	701.968	3662.555	498.388
48.850	105.300	4571.683	1109.687	2243.664	573.699	8566.406	681.538	3597.357	506.336
49.657	105.300	4570.511	1099.599	2286.687	570.375	8745.914	702.311	3623.174	513.201
50.411	105.300	4660.188	1117.380	2303.538	574.170	8628.356	706.374	3717.118	517.506
51.167	105.200	4529.411	1127.747	2328.450	581.430	8869.177	717.595	3686.245	522.294
51.971	105.200	4534.645	1143.897	2317.930	577.201	8485.657	710.692	3711.781	522.447
52.753	105.200	4662.838	1153.080	2357.311	585.518	8719.830	716.296	3643.145	523.033
53.507	105.100	4591.284	1146.635	2329.775	578.564	8650.951	718.448	3702.013	535.744
54.266	105.100	4611.892	1149.182	2364.265	593.160	8858.160	762.848	3735.140	524.587
55.059	105.100	4605.116	1166.759	2389.496	580.003	8893.797	703.840	3737.955	531.707
55.839	105.000	4668.696	1148.813	2331.813	577.889	8598.591	681.424	3702.879	541.768
56.598	105.000	4602.390	1145.604	2373.792	583.773	8788.186	707.381	3680.870	538.508
57.369	105.000	4504.664	1162.900	2374.913	587.734	8548.703	727.721	3758.384	553.817
58.121	104.900	4364.486	1166.071	2400.067	582.971	8843.590	701.968	3716.061	551.970
58.878	104.900	4591.832	1169.523	2410.830	587.085	8726.644	680.558	3722.174	558.186
59.668	104.900	4551.674	1177.419	2421.579	591.339	8711.615	706.820	3632.535	550.557
60.427	104.800	4542.020	1174.311	2432.010	592.612	8737.712	694.631	3736.847	564.745
61.184	104.800	4514.394	1169.714	2400.284	598.611	8870.196	710.386	3788.149	559.307
61.941	104.800	4651.706	1196.957	2453.675	602.228	8686.218	724.384	3850.138	566.413
62.703	104.800	4654.330	1199.390	2469.354	603.082	8862.631	743.909	3850.672	563.815
63.459	104.800	4569.174	1199.975	2463.482	607.247	8600.183	704.298	3888.538	566.541
64.219	104.700	4540.924	1206.254	2510.925	525.377	8850.658	734.726	3850.380	572.463
64.985	104.700	4453.259	1205.745	2529.202	614.328	8736.718	716.767	3951.443	584.079
65.742	104.600	4607.141	1234.389	2556.586	615.360	9067.255	715.583	3976.318	578.500
66.500	104.600	4506.943	1218.825	2541.467	615.946	8901.655	713.290	4082.960	601.744
67.281	104.600	4675.128	1239.153	2556.662	627.243	9076.730	725.746	4113.438	594.166
68.041	104.600	4617.610	1250.959	2606.245	633.904	9121.219	729.758	4158.729	596.612
68.793	104.500	4592.099	1270.433	2603.379	641.075	9142.871	748.341	4217.915	609.552
69.539	104.500	4585.387	1280.164	2635.106	655.798	9170.713	744.405	4343.828	605.960
70.298	104.500	4727.208	1287.679	2685.300	647.494	9096.013	713.558	4404.058	619.155
71.058	104.500	4549.916	1289.258	2701.896	664.510	9223.009	738.610	4516.012	619.945
71.835	104.400	4513.019	1295.741	2717.587	679.067	9167.732	710.959	4513.312	630.338
72.593	104.400	4565.493	1329.199	2750.332	689.460	9449.908	772.808	4607.167	634.452
73.344	104.400	4635.849	1339.745	2795.636	694.988	9311.705	736.878	4631.493	644.386
74.156	104.300	4593.959	1361.295	2815.225	710.565	9490.461	764.223	4791.145	658.243
74.914	104.300	4654.495	1374.592	2930.413	727.058	9445.081	740.215	4932.659	673.884
75.666	104.300	4618.349	1399.798	2917.460	733.541	9450.634	765.217	5104.716	675.654
76.418	104.300	4668.378	1418.775	3024.841	752.684	9521.105	773.686	5275.308	708.973
77.200	104.300	4651.515	1442.617	3084.193	765.573	9777.668	838.655	5321.860	699.153
77.981	104.200	4572.523	1477.184	3144.092	788.677	9624.525	803.057	5621.446	712.348
78.760	104.200	4663.857	1495.716	3182.200	800.853	9992.634	825.626	5705.163	730.230
79.514	104.200	4701.760	1530.066	3245.793	816.188	9824.844	800.853	5989.008	748.659
