Fri, Sep 15, 2017	1:14 PM
 Notes: HOAc_30s_3.9e-09_91517
 waiting time: 25.000
 time(s)	 temp (K)	 MS1=1.879	 MS2=13.596	 MS3=14.613	 MS4=17.526	 MS5=27.740	 MS6=42.664	 MS7=43.686	 MS8=60.088
0.000	100.400	6805.490	1191.493	1002.548	2420.458	8507.246	1166.428	4253.514	511.494
1.239	100.400	4875.383	1164.110	1013.068	2445.307	8798.898	1184.895	4254.813	505.062
1.994	100.400	4956.706	1177.954	1018.150	2400.832	8783.690	1178.387	4355.240	512.398
2.747	100.400	4849.006	1182.781	1016.392	2445.664	8791.994	1162.097	4285.800	517.671
3.495	100.400	4930.099	1178.056	1010.941	2391.954	8884.563	1174.885	4299.543	513.188
4.250	100.400	4796.634	1168.504	1026.518	2448.822	8823.581	1183.482	4310.700	519.161
5.005	100.400	4827.405	1189.977	1028.556	2411.148	8899.694	1197.071	4305.708	516.105
5.762	100.400	4912.192	1161.333	1026.021	2386.732	8925.663	1184.501	4297.607	519.123
6.519	100.400	4831.213	1181.902	1025.588	2405.722	8899.465	1194.231	4346.872	521.390
7.277	100.400	4807.396	1178.476	1028.759	2398.335	8824.230	1191.557	4275.815	527.325
8.032	100.400	4782.191	1185.137	1024.926	2399.023	8851.397	1180.871	4302.039	534.496
8.782	100.400	4818.846	1176.056	1033.701	2449.472	8794.835	1199.109	4321.628	517.365
9.533	100.400	4848.560	1178.514	1038.745	2400.093	8795.115	1198.218	4350.234	517.697
10.283	100.400	4729.513	1163.078	1034.771	2459.547	8794.567	1191.748	4300.091	534.012
11.033	100.400	4841.492	1180.489	1051.914	2458.795	8948.627	1210.827	4351.138	536.126
11.786	100.400	4792.405	1168.784	1056.856	2440.633	8998.057	1213.158	4429.442	535.426
12.541	100.500	4962.310	1194.562	1079.692	2428.202	8913.589	1229.498	4581.210	546.201
13.298	100.500	4947.090	1203.936	1086.188	2473.569	9405.535	1253.647	4885.853	583.710
14.059	100.700	5041.212	1240.528	1140.407	2458.515	9840.726	1306.427	5324.534	606.546
14.815	101.000	4960.641	1321.736	1177.636	2523.993	11402.139	1412.343	6139.374	664.102
15.572	101.700	5056.254	1401.173	1259.862	2440.455	11610.074	1425.156	6865.008	714.258
16.328	102.700	5145.715	1372.962	1340.611	2525.993	11000.558	1403.491	7091.526	740.788
17.088	104.200	5153.064	1460.843	1501.040	2527.890	11286.211	1751.056	7127.570	828.058
17.845	106.300	5166.590	1724.424	1816.980	2600.730	11667.222	1834.161	6933.454	799.249
18.602	108.900	5224.795	1684.317	1836.237	2581.638	11210.646	1669.696	6723.468	741.387
19.362	111.800	5166.220	1589.851	1815.235	2590.898	10847.097	1519.380	6598.447	733.325
20.120	115.000	5218.554	1541.618	1774.084	2471.888	10752.401	1469.135	6380.055	700.923
20.877	117.800	5088.069	1525.430	1745.414	2572.111	10412.975	1419.845	6301.764	693.803
21.631	121.000	5086.019	1479.528	1735.403	2516.542	10307.670	1442.286	6156.326	704.795
22.386	124.200	5093.393	1485.208	1741.567	2550.472	10254.814	1470.052	6177.023	713.469
23.142	127.300	5085.064	1496.709	1741.746	2541.315	10234.779	1525.366	6267.808	742.508
23.897	130.200	5100.322	1504.937	1786.807	2549.377	10316.777	1637.256	6212.927	753.881
24.657	133.200	5127.705	1514.056	1827.475	2564.660	10268.327	1758.660	6143.921	761.485
25.425	136.100	5223.407	1539.185	1834.340	2621.147	10387.719	1897.500	6130.828	766.962
26.184	139.000	5048.574	1545.273	1899.334	2624.789	10248.764	2111.625	6171.495	760.504
26.939	141.900	5091.750	1587.240	1969.792	2805.927	10431.124	2333.800	6115.022	752.327
27.697	144.400	5115.593	1608.650	2029.781	3098.802	10479.281	2595.661	5933.566	779.252
28.456	147.200	5187.567	1629.461	1964.583	2892.166	9735.956	2695.719	5215.650	757.065
29.214	150.000	4929.921	1639.485	1905.562	3792.862	10064.073	3007.851	5212.479	811.552
29.973	152.700	5043.708	1676.446	1931.570	4035.224	10259.654	3403.801	5159.686	840.591
30.732	155.400	5091.890	1735.938	2123.967	4176.127	10123.055	4063.180	5248.268	965.561
31.488	158.000	5213.434	1905.893	2520.376	4707.785	10458.100	5250.548	5613.308	1114.896
32.249	160.600	5070.570	2155.145	3045.219	5276.021	10546.287	6910.872	6070.878	1376.643
33.007	163.200	5286.771	2508.709	3845.094	6120.906	11179.060	9581.017	6651.150	1803.084
33.762	165.700	5317.784	3080.168	5165.787	6894.862	11669.922	14004.131	7687.770	2593.496
34.521	168.300	5575.786	3983.208	7573.893	7798.169	12708.503	22037.277	9371.465	4032.307
35.278	170.400	5593.464	5517.683	11270.698	8879.430	13792.541	34514.183	11823.486	6350.876
36.037	172.900	5908.182	7644.249	16433.074	9928.391	15403.332	49839.086	15226.881	9936.211
36.796	175.400	6113.455	10266.659	22909.622	11694.262	17427.804	67727.658	18846.720	13797.113
37.553	177.800	6439.267	12763.525	27636.335	12169.255	18999.813	71206.046	21005.319	15510.535
38.312	180.200	6624.021	12779.853	26048.329	11664.497	19318.733	53580.864	19527.942	12554.303
39.068	182.700	6512.718	10698.233	18921.751	9860.124	18266.792	35247.369	17532.790	9469.408
39.826	185.100	6352.226	9019.378	14502.865	8472.513	17403.350	25248.238	15625.150	7417.502
40.582	187.500	6128.179	7710.199	11498.604	7617.490	16391.872	17789.850	14389.536	5697.992
41.336	189.500	5942.265	6310.883	8479.773	6756.914	15661.385	10678.352	12589.010	4114.623
42.094	191.900	5918.371	5315.288	6700.784	6051.060	14844.941	8795.701	11884.290	3623.454
42.869	194.200	5789.555	4971.187	6129.949	5859.338	14561.695	7928.565	11189.389	3352.079
43.628	196.600	5772.412	4623.482	5769.355	5444.983	14107.653	7661.291	10950.963	3277.405
44.386	198.900	5679.053	4526.647	5591.605	5356.388	14004.743	7338.307	10679.485	3199.534
45.143	201.300	5781.493	4420.909	5478.709	5205.487	13629.018	7440.160	10419.929	3228.994
45.906	203.700	5581.148	4396.531	5457.579	4977.492	13501.806	7270.014	10187.858	3224.561
46.662	206.000	5645.748	4283.482	5424.095	5100.679	13603.481	7422.533	10166.423	3199.865
47.417	208.300	5627.101	4242.458	5353.064	4926.953	13464.705	7163.104	10071.371	3124.249
48.174	210.700	5662.904	4153.252	5300.131	4871.805	13288.993	7191.838	9875.191	3111.487
48.948	213.000	5621.599	4182.584	5209.384	4789.744	13266.844	7101.957	9799.524	3121.141
49.709	215.300	5616.377	4119.182	5262.482	4762.755	13207.556	7265.977	9785.769	3194.542
50.463	217.300	5588.204	4130.594	5377.492	4716.063	13194.501	7669.098	9879.445	3350.143
51.217	219.600	5637.201	4168.409	5561.954	4810.479	13159.883	7898.940	9873.230	3505.744
51.976	222.000	5646.894	4293.888	5745.640	4667.244	13116.605	8229.285	9969.263	3576.278
52.731	224.300	5685.409	4308.191	5784.524	4785.171	13245.434	8118.465	9951.648	3564.166
53.487	226.600	5855.033	4281.648	5700.132	4661.449	13172.951	7875.085	9820.832	3347.417
54.245	228.900	5753.116	4146.031	5433.367	4560.513	12896.226	7123.507	9650.890	3102.190
55.004	231.200	5787.555	3924.416	5015.293	4457.411	12802.498	6499.472	9425.658	2754.637
55.763	233.500	5597.502	3719.321	4578.662	4392.239	12566.645	5707.736	9132.962	2467.787
56.518	235.900	5658.038	3597.102	4179.477	4137.854	12571.472	5282.173	8974.469	2274.970
57.275	237.800	5484.020	3373.234	3932.466	4148.603	12267.377	4820.680	8649.028	2097.564
58.032	240.100	5683.893	3277.761	3758.129	4015.406	12121.137	4506.485	8595.789	1991.215
58.792	242.500	5430.183	3079.442	3605.598	3949.673	12093.244	4301.848	8400.450	1893.360
59.545	244.800	5629.789	3095.083	3487.251	3926.021	11900.821	4216.794	8276.614	1818.012
60.306	247.100	5544.824	2994.465	3398.554	3845.973	11922.181	4058.901	8119.484	1764.468
61.064	249.400	5621.497	2955.950	3342.068	3824.830	11716.703	3926.098	8048.810	1723.227
61.822	251.700	5536.571	2902.278	3260.988	3832.867	11596.038	3773.082	7940.716	1686.775
62.579	254.000	5649.276	2841.462	3224.714	3664.033	11632.184	3734.338	7934.831	1650.655
63.339	256.300	5569.520	2789.153	3195.624	3763.007	11211.219	3619.722	7691.705	1589.061
64.095	258.300	5563.496	2765.909	3116.442	3666.363	11341.513	3570.955	7675.759	1584.705
64.852	260.600	5585.988	2728.337	3072.030	3626.193	11446.512	3500.777	7585.738	1559.513
65.608	262.900	5671.208	2662.362	3023.096	3611.291	11232.451	3476.221	7552.432	1544.458
66.366	265.300	5533.629	2647.970	2952.269	3653.347	11362.057	3386.340	7482.687	1499.970
