0000000474,scans,0000000146,DataLength
"header",0000000028,"lines"
"Date",5/13/2016,"Time",9:30:40 AM
"ID","HAL RC RGA 301 #14852","Version",3
"Scans",9
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Temperature","none",0.40,0.40,0.01,10.000,10.000,1.000000,1.000000,
"Scan 2","RGA","SEM","mass",2.00,2.00,0.01,11.000,10.000,0.440000,1.000000,
"Scan 3","RGA","SEM","mass",14.00,14.00,0.01,11.000,10.000,1.000000,1.000000,
"Scan 4","RGA","SEM","mass",18.00,18.00,0.01,11.000,10.000,0.900000,1.000000,
"Scan 5","RGA","SEM","mass",28.00,28.00,0.01,11.000,10.000,1.050000,1.000000,
"Scan 6","RGA","SEM","mass",29.00,29.00,0.01,11.000,10.000,1.000000,1.000000,
"Scan 7","RGA","SEM","mass",43.00,43.00,0.01,11.000,10.000,1.000000,1.000000,
"Scan 8","RGA","SEM","mass",44.00,44.00,0.01,11.000,10.000,1.400000,1.000000,
"Scan 9","RGA","SEM","mass",60.00,60.00,0.01,11.000,10.000,0.577000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.3,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",1000.000,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1100,"V"
"resolution",0,"%"
"Data",9
"Time","ms","Temperature","Hydrogen","Ketene","Water","Carbon monoxide","Acetaldehyde","Acetic acid","Carbon dioxide","Acetic acid",
00:00:01,      1242,   140.3443,  0.00000e+00,  0.00000e+00, -1.08694e-10,  0.00000e+00,  0.00000e+00,  0.00000e+00, -6.98750e-11, -1.69541e-10,
00:00:01,      1805,   140.0798,  2.22330e-10, -9.78250e-11,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  1.69541e-10,
00:00:02,      2368,   140.3443,  8.89318e-10,  3.90977e-09,  1.22704e-08,  4.19762e-08,  4.78912e-09,  2.05217e-09,  1.65439e-07,  6.78163e-10,
00:00:02,      2931,   140.3443,  1.51038e-08,  3.21521e-08,  1.53103e-08,  4.58850e-08,  2.83370e-09,  1.46630e-09,  9.37479e-08,  3.39081e-10,
00:00:03,      3493,   139.9476,  1.33275e-08,  2.19891e-08,  1.06413e-08,  3.38789e-08,  2.05217e-09,  8.79350e-10,  6.48494e-08,  3.39081e-10,
00:00:04,      4056,   140.0798,  1.28829e-08,  1.70043e-08,  8.79589e-09,  2.82018e-08,  1.56412e-09,  7.81525e-10,  4.85846e-08,  3.39081e-10,
00:00:04,      4618,   140.2121,  1.17713e-08,  1.30956e-08,  6.94928e-09,  2.51304e-08,  1.36847e-09,  7.81525e-10,  3.95101e-08,  1.69541e-10,
00:00:05,      5181,   140.2121,  1.13290e-08,  1.12391e-08,  6.29830e-09,  2.12205e-08,  1.17282e-09,  7.81525e-10,  3.27384e-08,  3.39081e-10,
00:00:05,      5744,   140.2121,  1.06620e-08,  9.87065e-09,  5.53863e-09,  1.89875e-08,  1.07500e-09,  4.89125e-10,  2.78524e-08,  3.39081e-10,
00:00:06,      6307,   140.3443,  1.13290e-08,  8.50218e-09,  5.42994e-09,  1.84286e-08,  9.77175e-10,  5.86950e-10,  2.45015e-08,  1.69541e-10,
00:00:06,      6870,   140.2121,  1.04397e-08,  7.42717e-09,  4.45169e-09,  1.66604e-08,  1.07500e-09,  5.86950e-10,  2.10815e-08,  3.39081e-10,
00:00:07,      7433,   140.2121,  9.99505e-09,  6.35217e-09,  4.12680e-09,  1.55434e-08,  8.79350e-10,  4.89125e-10,  1.98245e-08,  1.69541e-10,
00:00:07,      7996,   140.3443,  1.06620e-08,  5.66847e-09,  4.23550e-09,  1.53571e-08,  6.84775e-10,  5.86950e-10,  1.78004e-08,  1.69541e-10,
