0000000457,scans,0000000146,DataLength
"header",0000000028,"lines"
"Date",5/13/2016,"Time",8:36:44 AM
"ID","HAL RC RGA 301 #14852","Version",3
"Scans",9
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Temperature","none",0.40,0.40,0.01,10.000,10.000,1.000000,1.000000,
"Scan 2","RGA","SEM","mass",2.00,2.00,0.01,11.000,10.000,0.440000,1.000000,
"Scan 3","RGA","SEM","mass",14.00,14.00,0.01,11.000,10.000,1.000000,1.000000,
"Scan 4","RGA","SEM","mass",18.00,18.00,0.01,11.000,10.000,0.900000,1.000000,
"Scan 5","RGA","SEM","mass",28.00,28.00,0.01,11.000,10.000,1.050000,1.000000,
"Scan 6","RGA","SEM","mass",29.00,29.00,0.01,11.000,10.000,1.000000,1.000000,
"Scan 7","RGA","SEM","mass",43.00,43.00,0.01,11.000,10.000,1.000000,1.000000,
"Scan 8","RGA","SEM","mass",44.00,44.00,0.01,11.000,10.000,1.400000,1.000000,
"Scan 9","RGA","SEM","mass",60.00,60.00,0.01,11.000,10.000,0.577000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.3,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",1000.000,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1100,"V"
"resolution",0,"%"
"Data",9
"Time","ms","Temperature","Hydrogen","Ketene","Water","Carbon monoxide","Acetaldehyde","Acetic acid","Carbon dioxide","Acetic acid",
00:00:01,      1241,   140.3443,  0.00000e+00, -9.78250e-11, -1.08694e-10,  9.31667e-11,  0.00000e+00, -1.95650e-10,  0.00000e+00,  1.69541e-10,
00:00:01,      1804,   140.4765,  1.11165e-09,  1.36847e-09,  2.93236e-09,  1.11687e-08,  5.86950e-10,  3.91300e-10,  2.32453e-08,  1.69541e-10,
00:00:02,      2366,   140.3443,  7.99652e-09,  6.45000e-09,  4.23550e-09,  1.18209e-08,  4.89125e-10,  4.89125e-10,  1.59852e-08,  0.00000e+00,
00:00:02,      2929,   139.8154,  7.32955e-09,  4.49565e-09,  3.69202e-09,  9.86543e-09,  4.89125e-10,  2.93475e-10,  1.22857e-08,  1.69541e-10,
00:00:03,      3491,   140.0798,  7.55186e-09,  3.90870e-09,  3.36594e-09,  9.40062e-09,  2.93475e-10,  2.93475e-10,  9.98214e-09,  3.39081e-10,
00:00:04,      4054,   140.0798,  7.32955e-09,  3.32282e-09,  2.71497e-09,  8.56314e-09,  1.95650e-10,  2.93475e-10,  8.51629e-09,  3.39081e-10,
00:00:04,      4617,   140.2121,  7.32955e-09,  3.02935e-09,  2.38889e-09,  7.91097e-09,  2.93475e-10,  1.95650e-10,  7.26007e-09,  1.69541e-10,
00:00:05,      5180,   140.3443,  7.10720e-09,  2.93152e-09,  2.49758e-09,  7.81883e-09,  3.91300e-10,  2.93475e-10,  6.49224e-09,  0.00000e+00,
00:00:05,      5743,   140.4765,  7.10720e-09,  2.24782e-09,  2.28019e-09,  7.53933e-09,  1.95650e-10,  1.95650e-10,  5.86412e-09,  3.39081e-10,
00:00:06,      6306,   140.2121,  8.21886e-09,  2.15000e-09,  1.95411e-09,  6.60869e-09,  1.95650e-10,  1.95650e-10,  5.58463e-09,  1.69541e-10,
00:00:06,      6869,   140.0798,  6.66255e-09,  2.15000e-09,  2.17150e-09,  6.79400e-09,  2.93475e-10,  2.93475e-10,  4.74689e-09,  3.39081e-10,
00:00:07,      7432,   140.3443,  7.55186e-09,  1.85652e-09,  2.17150e-09,  6.51552e-09,  3.91300e-10,  1.95650e-10,  4.67701e-09,  1.69541e-10,
00:00:07,      7995,   140.3443,  6.88489e-09,  1.85652e-09,  2.17150e-09,  6.32919e-09,  2.93475e-10,  1.95650e-10,  4.32764e-09,  1.69541e-10,
