0000000459,scans,0000000146,DataLength
"header",0000000028,"lines"
"Date",5/13/2016,"Time",11:27:06 AM
"ID","HAL RC RGA 301 #14852","Version",3
"Scans",9
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Temperature","none",0.40,0.40,0.01,10.000,10.000,1.000000,1.000000,
"Scan 2","RGA","SEM","mass",2.00,2.00,0.01,11.000,10.000,0.440000,1.000000,
"Scan 3","RGA","SEM","mass",14.00,14.00,0.01,11.000,10.000,1.000000,1.000000,
"Scan 4","RGA","SEM","mass",18.00,18.00,0.01,11.000,10.000,0.900000,1.000000,
"Scan 5","RGA","SEM","mass",28.00,28.00,0.01,11.000,10.000,1.050000,1.000000,
"Scan 6","RGA","SEM","mass",29.00,29.00,0.01,11.000,10.000,1.000000,1.000000,
"Scan 7","RGA","SEM","mass",43.00,43.00,0.01,11.000,10.000,1.000000,1.000000,
"Scan 8","RGA","SEM","mass",44.00,44.00,0.01,11.000,10.000,1.400000,1.000000,
"Scan 9","RGA","SEM","mass",60.00,60.00,0.01,11.000,10.000,0.577000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.3,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",1000.000,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1100,"V"
"resolution",0,"%"
"Data",9
"Time","ms","Temperature","Hydrogen","Ketene","Water","Carbon monoxide","Acetaldehyde","Acetic acid","Carbon dioxide","Acetic acid",
00:00:01,      1241,   140.2121,  0.00000e+00,  0.00000e+00, -1.08694e-10,  9.31667e-11, -9.78250e-11,  0.00000e+00,  0.00000e+00,  0.00000e+00,
00:00:01,      1804,   140.3443,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  6.98750e-11, -3.39081e-10,
00:00:02,      2366,   140.3443,  8.89318e-10,  5.76630e-09,  9.22947e-09,  4.52339e-08,  4.20217e-09,  1.66195e-09,  1.51407e-07,  3.39081e-10,
00:00:02,      2929,   140.0798,  1.19936e-08,  3.01978e-08,  1.08587e-08,  4.32795e-08,  2.44347e-09,  1.27065e-09,  8.93507e-08,  1.69541e-10,
00:00:03,      3492,   140.6087,  1.15489e-08,  2.18913e-08,  7.38406e-09,  3.35062e-08,  1.95435e-09,  9.77175e-10,  6.28944e-08,  1.69541e-10,
00:00:04,      4055,   140.0798,  1.08844e-08,  1.65163e-08,  5.97222e-09,  2.82950e-08,  1.66195e-09,  7.81525e-10,  4.83750e-08,  3.39081e-10,
00:00:04,      4618,   140.0798,  9.10573e-09,  1.33891e-08,  5.10386e-09,  2.50372e-08,  1.17282e-09,  6.83700e-10,  3.87422e-08,  3.39081e-10,
00:00:05,      5181,   140.2121,  8.66352e-09,  1.14337e-08,  4.45169e-09,  2.20590e-08,  1.17282e-09,  6.84775e-10,  3.21102e-08,  1.69541e-10,
00:00:05,      5744,   140.3443,  8.88341e-09,  9.77283e-09,  4.34300e-09,  2.01045e-08,  8.79350e-10,  4.89125e-10,  2.75729e-08,  3.39081e-10,
00:00:06,      6307,   140.3443,  8.66352e-09,  8.30652e-09,  3.58333e-09,  1.87080e-08,  7.81525e-10,  5.86950e-10,  2.43618e-08,  1.69541e-10,
00:00:06,      6870,   140.0798,  9.10573e-09,  7.32935e-09,  3.47463e-09,  1.68468e-08,  6.83700e-10,  3.91300e-10,  2.18494e-08,  3.39081e-10,
00:00:07,      7433,   139.9476,  8.88584e-09,  6.25435e-09,  3.36594e-09,  1.61014e-08,  9.77175e-10,  5.86950e-10,  1.91265e-08,  3.39081e-10,
00:00:07,      7996,   140.4765,  8.66352e-09,  5.76630e-09,  2.93236e-09,  1.50776e-08,  6.83700e-10,  4.89125e-10,  1.73121e-08,  1.69541e-10,
