Wed, Mar 30, 2016	7:50 PM
 Notes: 
 waiting time: 30.000
 time(s)	 temp (K)	 MS1=2.085	 MS2=15.166	 MS3=17.074	 MS4=26.712	 MS5=41.148	 MS6=42.035	 MS7=42.992	 MS8=57.407
0.000	170.000	401.971	153.199	219.928	449.083	2.595	161.341	1.661	-0.361
0.794	170.000	404.801	145.426	226.343	463.224	2.589	157.863	2.595	-0.205
1.581	170.000	404.188	146.212	220.992	448.092	1.730	153.860	2.668	-0.876
2.370	170.000	407.719	151.201	227.874	432.248	2.674	164.616	2.565	-0.245
3.156	170.000	400.293	143.786	229.972	441.794	1.627	160.207	2.356	-0.545
3.943	170.000	403.429	152.006	238.529	432.797	3.634	152.442	2.617	-0.015
4.731	170.000	406.854	140.616	237.691	443.032	4.045	151.867	3.412	-0.265
5.520	170.000	399.728	146.466	236.161	428.813	2.931	149.196	2.123	-1.133
6.308	170.000	395.472	146.670	240.497	427.498	3.139	156.753	2.561	-0.947
7.099	170.000	392.352	144.445	238.398	435.257	1.966	150.665	3.332	-1.081
7.889	170.000	402.307	144.193	240.097	447.956	3.078	152.382	3.666	-0.169
8.680	170.100	399.550	147.602	245.295	431.467	1.763	150.589	3.279	-0.514
9.469	170.300	389.590	139.460	239.052	446.091	3.506	158.469	2.382	-0.980
10.258	170.700	396.607	144.488	251.864	439.274	4.189	155.524	4.549	-0.882
11.049	171.700	412.342	144.908	245.706	455.781	3.303	150.569	3.302	0.547
11.840	173.000	396.445	144.297	258.236	445.931	2.363	158.634	3.741	-1.441
12.630	174.700	406.108	147.069	279.051	447.700	5.294	153.512	4.704	-0.957
13.420	177.000	406.240	148.838	285.648	437.188	5.344	158.318	3.761	-0.395
14.207	179.600	407.811	145.335	298.758	455.381	3.346	154.003	3.904	-0.555
14.996	182.500	395.521	144.006	294.378	435.321	3.390	157.955	5.089	-0.129
15.787	186.100	397.725	146.520	276.863	446.932	5.066	155.207	3.887	-0.786
16.578	189.400	396.324	147.581	276.356	428.074	5.577	157.500	4.765	-1.466
17.366	192.800	395.615	143.503	274.999	436.041	8.156	157.611	6.734	-0.080
18.153	196.300	399.752	149.315	283.420	439.250	9.510	151.531	8.039	0.050
18.942	199.800	390.246	140.004	267.305	445.600	13.564	156.558	13.844	1.726
19.734	203.900	404.216	148.808	277.027	440.129	25.435	154.856	23.065	4.300
20.523	207.500	393.899	161.646	283.728	444.839	43.199	162.786	41.295	6.284
21.312	211.000	406.820	168.063	301.588	451.858	72.097	165.696	65.688	12.788
22.101	214.600	413.039	179.377	314.221	464.691	114.116	167.183	87.944	17.345
22.892	218.200	412.222	187.103	331.512	481.233	137.766	178.664	107.617	18.539
23.682	221.800	409.803	198.843	335.669	487.540	129.955	187.518	95.195	16.337
24.472	225.900	402.910	189.539	341.788	488.704	99.773	183.293	77.871	12.411
25.261	229.400	403.642	190.523	323.380	474.245	79.528	181.178	55.635	10.880
26.049	232.900	402.856	178.446	316.823	475.156	53.697	185.357	37.448	6.407
26.839	236.400	407.375	169.023	311.851	470.651	37.669	182.999	28.759	2.949
27.625	239.800	415.125	169.638	305.064	468.242	26.713	170.795	21.157	2.228
28.415	243.300	405.172	167.331	295.638	463.464	23.190	176.574	17.307	3.283
29.208	247.200	397.979	160.889	288.141	463.335	22.144	170.728	15.779	1.572
30.001	250.500	402.464	164.520	296.213	459.566	17.839	168.426	15.099	1.205
30.795	253.900	399.833	160.407	287.355	453.407	18.450	169.798	14.127	1.014
31.586	257.200	406.622	158.218	295.460	450.650	17.686	165.077	16.375	1.384
32.377	260.400	405.950	161.086	294.656	458.117	18.490	169.104	14.206	1.145
33.166	264.100	405.382	165.025	285.960	445.570	16.496	161.339	13.808	1.114
33.954	267.300	410.726	156.995	287.662	447.672	15.210	163.539	13.121	1.347
34.743	270.500	409.707	161.414	287.709	446.784	16.814	168.184	13.305	0.783
35.530	273.700	420.049	157.714	273.334	454.682	14.294	165.189	12.828	1.413
36.319	276.800	421.178	155.705	285.335	444.465	15.582	167.435	13.144	0.863
37.107	280.000	432.379	154.486	281.869	455.283	13.502	159.403	13.170	1.244
37.895	283.700	429.967	154.726	278.296	441.449	17.207	163.713	13.209	1.124
38.684	286.900	447.374	149.550	277.081	453.387	15.601	162.151	12.068	0.466
39.474	290.100	452.032	148.516	269.014	449.856	14.531	159.909	12.141	0.805
40.263	293.300	452.978	147.535	275.954	446.007	14.657	158.710	11.939	0.106
41.049	296.400	455.910	141.018	278.862	438.062	13.023	154.319	11.788	1.035
41.836	299.600	462.429	151.366	282.644	439.764	13.569	157.932	11.863	0.511
42.626	303.200	480.795	157.246	272.187	441.120	13.572	156.778	12.425	0.196
43.417	306.300	475.838	147.304	270.276	448.873	13.672	163.650	11.012	0.409
44.207	309.400	479.125	145.486	272.612	450.335	14.383	159.873	10.900	0.187
44.994	312.600	478.958	147.858	274.959	447.976	14.342	156.501	9.599	1.064
45.781	315.700	497.899	150.724	272.732	446.445	12.538	158.646	10.420	1.037
46.572	319.300	493.992	150.530	279.863	443.874	12.022	158.006	10.128	0.285
47.360	322.400	490.566	142.878	266.772	446.740	12.934	164.589	11.279	-0.140
48.152	325.500	481.036	154.303	272.570	438.829	13.905	155.786	11.144	0.725
48.944	328.700	485.770	151.820	266.261	431.624	13.534	160.893	10.148	0.368
49.732	331.800	496.776	152.998	264.180	437.161	10.930	163.574	11.459	1.269
50.521	334.900	491.593	152.625	263.689	453.077	13.002	156.040	11.606	0.750
51.309	338.500	490.605	150.813	264.123	446.048	12.359	164.844	10.804	0.649
52.097	341.600	490.899	143.614	265.649	448.835	14.826	162.582	11.497	0.933
52.886	344.700	500.606	150.198	258.743	447.447	12.426	168.441	11.536	0.685
53.674	347.800	511.161	157.996	267.568	442.334	12.156	169.693	11.481	1.171
54.465	350.900	509.042	150.551	263.029	450.642	12.088	175.224	10.202	1.418
55.256	354.000	508.130	148.295	268.510	443.157	14.883	174.441	12.444	0.787
56.044	357.600	518.560	151.957	262.487	454.441	11.419	173.698	12.580	0.283
56.833	360.600	529.606	152.553	259.577	445.185	12.320	180.641	10.030	0.448
57.626	363.700	516.473	163.703	261.572	447.417	12.781	188.730	10.630	2.023
58.414	366.800	533.142	157.201	267.776	443.622	12.617	185.002	11.330	0.829
59.205	369.900	528.392	159.524	262.202	456.135	12.285	181.128	9.818	0.745
59.996	373.400	523.468	161.507	262.238	454.506	11.865	179.410	10.074	0.519
60.786	376.500	510.063	152.998	261.401	453.080	12.595	186.389	9.208	0.919
61.576	379.600	505.833	155.853	264.902	463.262	13.486	176.448	11.137	0.862
62.368	382.700	508.348	150.179	257.139	448.462	13.542	170.457	10.511	0.655
63.154	385.700	492.721	149.761	256.891	456.842	11.742	174.883	10.499	0.315
63.943	388.800	491.106	148.530	248.980	464.689	13.352	171.409	13.196	0.420
64.733	392.300	483.562	150.024	250.510	472.175	12.076	165.390	10.173	0.674
65.523	395.400	491.515	142.941	261.287	478.262	13.600	169.646	11.162	0.806
66.314	398.500	481.481	150.728	250.473	483.047	11.922	163.081	12.873	0.567
67.103	401.600	481.471	154.641	253.061	493.408	13.301	164.653	11.018	0.396
