Fri, Mar 25, 2016	12:34 PM
 Notes: 
 waiting time: 30.000
 time(s)	 temp (K)	 MS1=2.085	 MS2=15.166	 MS3=17.074	 MS4=26.712	 MS5=41.148	 MS6=42.035	 MS7=42.992	 MS8=57.407
0.000	169.900	394.664	172.992	239.706	657.539	101.765	216.095	90.886	15.993
0.791	169.900	408.794	185.696	232.469	663.853	102.882	215.031	89.706	17.093
1.578	169.900	405.638	187.712	233.946	651.495	104.250	218.078	88.969	16.573
2.365	169.900	391.320	190.864	232.220	664.034	101.709	218.246	90.724	16.839
3.153	169.900	393.185	193.249	239.660	658.378	106.032	220.324	96.117	17.277
3.943	169.800	399.440	189.165	237.486	648.558	102.705	216.263	100.309	15.971
4.734	169.800	405.071	190.678	236.146	656.080	104.981	216.461	96.675	16.659
5.525	169.800	394.803	194.170	228.220	655.385	108.315	219.794	99.034	17.516
6.315	169.800	403.298	189.435	236.470	664.915	112.018	215.449	95.185	19.509
7.107	169.900	402.165	183.832	244.613	662.243	118.086	217.629	98.827	19.262
7.893	170.000	404.735	191.621	248.936	657.725	112.863	223.040	105.232	18.503
8.683	170.400	402.341	198.123	253.140	692.904	122.614	223.745	111.135	22.700
9.470	171.200	406.549	195.517	258.770	705.020	132.378	215.892	118.798	20.422
10.262	172.300	412.707	200.497	279.140	711.875	141.586	228.030	123.895	22.410
11.048	174.000	402.024	202.060	274.395	700.246	157.687	220.746	134.839	25.593
11.834	176.400	402.235	214.432	277.796	693.475	168.886	231.429	148.351	31.634
12.621	179.000	410.509	214.575	295.945	702.645	189.886	232.314	168.444	34.528
13.407	181.900	410.822	222.609	296.446	709.408	219.932	237.104	194.233	39.461
14.196	184.900	420.656	237.761	305.508	708.767	238.704	255.456	207.236	41.822
14.986	188.100	418.805	247.114	311.153	711.596	260.155	253.665	219.293	47.627
15.780	191.400	415.083	250.845	305.801	725.961	276.915	253.364	247.485	49.275
16.570	195.300	426.844	263.034	314.803	711.066	299.686	256.428	259.191	56.452
17.359	198.800	435.154	272.074	323.408	747.886	343.622	261.169	316.037	64.069
18.149	202.400	426.674	290.939	332.026	756.995	395.014	287.789	382.628	79.146
18.941	205.900	437.468	309.025	351.282	774.105	499.161	300.104	485.504	103.430
19.730	209.600	449.149	361.968	368.111	816.058	666.174	315.004	634.109	140.031
20.520	213.700	476.075	411.132	422.051	874.752	866.401	343.624	785.998	166.286
21.311	217.300	483.439	477.664	466.412	924.677	987.791	365.701	882.596	188.365
22.098	220.900	488.509	495.329	467.236	927.419	934.364	373.231	765.348	155.317
22.886	224.400	468.703	450.667	435.569	901.372	762.283	343.716	631.861	128.810
23.674	227.900	464.317	398.562	417.945	867.240	613.253	330.674	513.279	107.483
24.462	231.500	450.812	369.730	398.244	853.183	512.228	325.102	441.863	90.995
25.252	235.500	463.153	342.544	363.404	821.621	452.581	309.300	385.956	77.290
26.043	238.900	443.720	325.118	352.385	809.000	401.022	300.903	345.855	70.468
26.835	242.400	455.734	333.540	344.254	783.767	378.680	306.618	329.591	68.194
27.622	245.800	460.630	333.911	327.464	792.981	362.131	297.780	311.824	61.040
28.413	249.200	472.207	322.563	324.886	792.832	339.150	291.853	296.020	59.913
29.199	252.500	477.552	328.986	324.256	775.173	332.148	297.362	285.100	61.530
29.991	256.300	481.919	334.821	315.685	781.464	316.030	288.611	280.523	57.405
30.779	259.600	505.884	341.761	306.556	759.167	310.240	285.621	270.893	55.149
31.570	262.900	519.543	326.404	313.367	757.198	307.715	286.624	268.470	51.823
32.361	266.200	538.249	327.434	309.489	738.609	294.909	278.427	257.102	48.752
33.149	269.400	556.620	313.968	308.988	757.387	277.790	280.088	253.118	49.022
33.940	273.100	582.399	301.982	299.030	748.075	274.090	275.287	238.935	47.031
34.729	276.400	587.832	273.094	300.621	745.099	274.678	272.051	235.836	48.247
35.519	279.600	620.715	274.421	296.769	735.821	263.886	267.098	237.153	44.274
36.311	282.800	625.149	269.666	300.578	746.265	263.797	266.041	226.019	43.105
37.100	286.000	639.410	264.547	288.353	743.117	258.612	267.367	224.173	45.854
37.890	289.200	642.478	260.838	277.590	741.695	252.109	267.307	224.553	48.622
38.681	292.800	644.924	264.591	286.674	737.159	253.053	266.681	225.886	45.882
39.471	296.000	653.423	248.522	284.330	723.356	249.807	265.077	220.259	45.895
40.261	299.100	654.144	248.661	277.522	737.122	244.632	265.625	217.397	39.315
41.052	302.200	653.925	252.682	279.841	729.673	229.366	257.816	210.231	40.718
41.841	305.300	650.354	248.623	282.804	719.904	236.283	271.799	209.119	42.973
42.630	308.800	656.991	259.163	275.624	729.594	232.158	266.110	197.097	39.837
43.418	312.000	648.636	247.085	285.730	712.769	231.736	261.245	201.310	38.409
44.204	315.100	649.666	248.968	271.068	721.416	229.939	257.735	198.607	40.138
44.992	318.200	653.736	246.786	269.222	715.833	224.838	267.133	200.011	39.706
45.785	321.300	658.473	252.141	268.001	716.491	217.461	254.185	196.868	39.438
46.576	324.400	643.804	248.421	278.064	726.988	218.207	258.850	188.466	38.395
47.366	328.000	637.340	243.841	271.013	714.210	214.012	256.018	190.890	37.122
48.152	331.100	622.385	245.177	271.331	710.486	214.260	256.747	193.660	38.089
48.938	334.200	604.807	250.933	260.174	712.783	212.764	256.044	187.176	37.196
49.729	337.300	612.325	243.502	267.693	711.830	211.263	259.515	186.753	38.014
50.515	340.400	608.435	239.583	264.434	714.907	214.853	257.248	184.968	36.118
51.308	343.500	607.950	240.074	266.307	707.173	203.929	261.731	186.538	32.696
52.096	347.000	597.293	239.575	264.350	710.834	203.460	254.804	180.233	34.329
52.885	350.100	594.874	238.291	255.326	717.394	207.291	262.051	177.260	34.837
53.675	353.200	592.330	243.512	263.765	705.485	203.827	267.930	179.559	32.843
54.462	356.300	580.937	231.468	261.250	711.426	195.858	270.308	182.650	31.765
55.252	359.300	585.059	237.689	256.460	706.071	197.543	269.737	180.582	34.351
56.040	362.400	578.775	242.601	248.968	708.405	200.277	270.383	173.085	33.779
56.828	365.900	579.365	235.052	241.435	707.743	198.506	277.078	174.411	34.874
57.616	369.000	565.607	236.849	253.404	712.367	191.576	277.133	173.519	34.120
58.404	372.100	554.871	232.487	250.187	706.518	189.423	263.678	173.441	32.231
59.194	375.200	551.171	241.123	255.731	733.672	188.947	270.305	174.376	33.648
59.982	378.200	538.528	236.307	248.863	716.561	190.246	268.132	165.478	31.262
60.772	381.800	543.502	240.563	251.839	728.411	187.389	265.480	163.517	30.428
61.562	384.800	536.404	238.713	246.314	747.102	183.743	264.052	168.575	32.363
62.353	387.900	525.813	232.104	253.528	751.944	190.247	266.501	165.958	31.454
63.142	391.000	522.228	232.182	243.653	767.129	189.623	254.724	164.519	29.695
63.929	394.000	527.213	240.547	252.118	786.793	189.090	252.350	167.423	30.081
64.720	397.100	513.791	224.641	245.822	806.061	179.133	260.121	163.440	32.440
65.510	400.700	526.336	237.083	246.192	827.024	181.906	264.252	163.848	30.515
66.301	403.900	513.891	235.580	245.428	855.352	180.762	255.213	156.374	32.054
67.092	407.100	507.613	236.810	242.188	851.962	185.724	252.098	166.504	30.001
67.882	410.200	504.110	237.339	240.273	881.736	175.314	258.026	154.967	29.868
68.672	413.300	503.841	246.740	246.945	907.654	178.438	253.785	161.482	32.980
69.462	416.400	502.294	238.879	242.333	921.904	170.945	254.764	154.805	31.444
70.252	419.900	499.521	231.262	235.050	950.310	178.405	247.592	155.766	30.347
71.042	422.900	502.214	228.805	240.283	965.864	173.877	249.960	159.487	30.861
71.831	426.000	500.339	235.478	243.719	987.546	177.490	251.938	154.751	31.723
72.620	429.100	506.198	231.490	245.107	1000.415	171.360	255.883	155.412	30.254
73.410	432.100	499.519	236.143	244.558	1015.136	171.663	251.434	156.416	32.817
74.201	435.600	492.380	248.992	234.157	1021.059	173.386	248.701	151.689	27.465
