Fri, Mar 25, 2016	12:12 PM
 Notes: 
 waiting time: 30.000
 time(s)	 temp (K)	 MS1=2.085	 MS2=15.166	 MS3=17.074	 MS4=26.712	 MS5=41.148	 MS6=42.035	 MS7=42.992	 MS8=57.407
0.000	170.000	317.680	61.434	43.858	273.857	0.532	93.194	3.028	0.074
0.784	170.000	306.430	52.766	42.486	271.841	1.023	91.506	2.952	-1.154
1.569	169.900	312.709	59.254	45.974	267.833	-0.339	95.150	3.300	-0.661
2.358	170.000	322.836	60.321	41.587	269.466	0.265	95.527	2.829	-0.992
3.145	169.900	317.115	60.803	47.262	268.580	0.404	92.826	3.018	-1.231
3.931	170.000	322.441	53.658	46.348	267.845	-0.709	92.104	4.157	-0.870
4.721	170.000	332.432	57.726	46.588	267.552	0.057	94.286	4.610	-1.412
5.510	170.000	319.256	58.627	47.265	264.834	0.712	88.373	4.379	0.556
6.299	170.200	315.788	59.100	43.735	269.651	-0.288	94.249	2.983	-0.486
7.084	170.700	324.221	54.234	49.067	264.963	-0.491	91.822	4.220	0.309
7.871	171.500	321.200	57.511	48.710	269.186	1.197	87.902	3.707	-0.142
8.661	172.700	314.370	56.885	51.993	276.358	0.110	88.390	2.990	-1.176
9.448	174.400	318.095	57.788	55.574	275.183	-0.157	87.653	3.006	-0.829
10.236	176.900	311.542	60.180	53.480	270.755	0.992	89.924	3.160	-0.207
11.022	179.500	318.699	58.901	65.789	268.009	0.373	85.956	4.573	-1.367
11.810	182.500	312.086	58.283	62.070	258.428	-0.435	84.798	4.300	-1.088
12.595	185.800	314.818	55.295	66.498	264.371	0.030	87.171	3.107	-1.095
13.381	189.200	322.992	55.101	66.446	272.045	0.372	87.859	4.184	-0.184
14.168	192.600	313.106	55.257	57.736	268.215	-0.154	92.724	4.280	-0.452
14.958	196.200	316.676	53.901	62.823	263.306	0.550	83.966	2.796	-0.770
15.745	200.200	325.138	56.776	63.698	266.724	1.288	87.703	4.062	-0.204
16.535	203.800	328.240	52.256	72.527	265.735	1.522	86.656	4.926	0.553
17.324	207.400	320.899	52.607	70.718	262.728	2.190	82.843	5.982	-0.458
18.112	211.100	324.071	58.730	71.756	257.186	2.871	85.270	6.825	0.649
18.902	214.800	325.346	52.404	72.719	263.148	8.190	85.668	9.802	1.281
19.687	218.500	325.545	59.029	72.539	260.644	8.205	86.662	11.233	1.343
20.475	222.700	322.174	55.555	68.368	264.220	8.675	89.874	11.510	0.855
21.263	226.300	323.708	57.288	71.094	265.168	9.743	87.288	9.747	1.280
22.052	229.800	330.045	56.257	70.210	277.446	7.225	90.161	8.416	0.625
22.843	233.300	330.826	63.652	67.928	262.522	6.567	88.013	8.742	1.183
23.630	236.800	319.947	61.395	69.918	263.395	6.130	86.987	7.839	0.578
24.419	240.700	326.545	57.134	65.437	260.617	5.706	86.642	7.631	0.126
25.207	244.100	328.873	59.391	64.193	262.816	4.936	86.128	5.541	0.417
25.995	247.500	342.659	63.691	67.157	262.036	5.101	81.750	6.690	0.713
26.784	250.800	337.381	65.683	69.514	256.716	5.704	82.302	7.702	0.675
27.570	254.100	341.224	64.346	66.746	265.878	4.706	88.290	7.950	-0.148
28.358	257.500	351.138	64.977	63.010	262.580	5.219	84.384	7.053	0.128
29.144	260.800	352.665	61.436	66.322	266.670	4.018	89.399	5.845	0.346
29.935	264.500	365.944	62.444	63.094	262.695	3.303	83.377	6.621	0.978
30.725	267.800	378.006	58.876	65.165	260.474	6.129	85.746	5.832	0.005
31.514	271.000	363.468	58.959	70.112	268.806	4.769	88.637	5.836	-0.406
32.301	274.200	364.468	54.961	64.860	269.010	5.875	82.579	6.443	-0.203
33.085	277.400	376.098	59.088	69.197	262.407	5.398	85.924	6.699	0.012
33.875	280.700	382.322	54.755	69.856	260.458	4.700	85.137	7.047	0.114
34.663	284.300	371.708	50.225	64.106	265.021	4.517	81.979	7.118	0.173
35.454	287.500	374.121	54.489	66.573	262.868	3.650	83.893	8.491	0.166
36.245	290.700	382.584	60.916	65.661	263.807	3.658	85.911	7.753	0.234
37.034	293.900	388.754	53.920	68.506	267.649	4.639	82.951	6.847	0.098
37.821	297.000	379.246	54.101	64.706	258.219	5.038	83.010	5.805	-0.238
38.609	300.500	381.690	53.690	62.173	258.200	3.961	85.024	6.182	0.333
39.394	303.700	396.603	51.871	67.666	255.447	3.477	77.841	6.049	-0.067
40.182	306.800	392.437	55.223	70.051	255.762	4.859	83.511	5.717	0.434
40.970	309.900	398.896	53.827	68.304	255.320	3.364	79.951	6.611	0.265
41.758	313.000	398.555	54.568	69.551	256.376	4.602	83.889	4.871	0.369
42.544	316.100	404.140	61.436	66.953	264.354	5.633	85.759	6.256	-0.094
43.330	319.200	403.562	56.701	65.563	249.401	5.120	81.698	5.570	0.657
44.121	322.700	393.991	57.497	66.048	263.036	4.020	83.044	7.203	0.191
44.906	325.800	415.056	59.559	69.934	263.105	5.079	84.731	5.958	-1.157
45.695	329.000	415.631	58.068	65.562	254.075	5.323	84.260	7.541	0.974
46.484	332.000	419.099	56.502	70.928	269.488	4.807	84.186	6.667	0.448
47.270	335.100	416.738	61.298	67.872	257.709	5.724	88.673	6.327	0.010
48.059	338.200	425.300	56.166	61.999	263.024	4.663	88.887	7.177	-0.519
48.847	341.700	435.311	57.435	67.050	266.523	3.744	85.227	7.450	-0.247
49.639	344.800	441.596	57.124	66.352	265.737	5.004	92.087	7.465	0.549
50.430	347.900	444.511	59.489	67.209	258.649	5.093	94.053	6.863	-0.206
51.223	351.000	437.805	60.544	70.771	256.820	5.910	94.673	5.930	0.331
52.013	354.100	441.820	60.226	66.134	270.661	6.573	98.826	7.868	-0.142
52.801	357.600	446.857	63.941	70.996	274.015	4.925	94.023	7.621	0.659
53.582	360.700	443.719	59.419	62.181	265.512	3.663	99.894	7.131	-0.109
54.369	363.800	442.583	62.132	66.458	262.315	5.555	100.764	6.800	0.698
55.156	366.900	450.097	63.280	65.887	265.124	4.760	101.080	8.876	-0.084
55.944	370.000	445.155	59.962	68.342	278.760	3.714	97.984	6.555	0.904
56.729	373.100	439.620	64.877	67.444	277.319	5.860	99.829	7.742	-0.305
57.516	376.200	428.288	58.613	68.595	274.626	6.543	93.079	9.178	0.098
58.302	379.700	424.505	60.555	60.962	283.842	7.141	98.588	7.826	0.814
59.088	382.800	419.264	58.580	67.808	280.350	5.230	96.128	8.025	0.821
59.876	385.800	416.163	62.750	68.720	301.912	5.461	92.850	8.381	0.048
60.663	388.900	410.747	63.668	63.292	307.003	7.000	92.395	8.441	0.215
61.452	391.900	413.152	59.517	68.023	314.497	5.695	94.825	7.926	-0.403
