Mon, Mar 07, 2016	7:13 PM
 Notes: 
 waiting time: 30.000
 time(s)	 temp (K)	 MS1=2.051	 MS2=15.880	 MS3=17.884	 MS4=28.038	 MS5=43.088	 MS6=44.029	 MS7=45.058	 MS8=60.047
0.000	128.000	1613.161	186.581	208.087	400.097	-2.616	4.585	0.502	0.533
0.785	128.000	1608.130	177.308	209.013	394.411	-2.373	4.679	1.118	0.547
1.572	127.900	1603.405	184.950	201.691	398.894	-2.487	3.818	0.457	-0.264
2.358	127.900	1600.131	180.656	207.739	384.542	-1.693	3.356	1.007	0.475
3.149	127.900	1590.544	166.304	201.798	388.159	-3.065	4.774	0.549	0.214
3.939	127.800	1549.698	173.281	198.969	377.563	-2.111	3.061	0.398	0.682
4.725	127.800	1567.137	169.122	203.602	383.696	-2.740	3.346	0.330	0.378
5.511	127.700	1549.053	168.392	204.546	366.913	-3.104	3.891	0.734	0.006
6.295	127.700	1567.547	162.696	204.999	367.442	-2.297	4.828	0.783	0.928
7.082	127.700	1526.851	161.375	202.324	377.955	-1.936	3.394	0.386	-0.083
7.873	127.600	1549.556	158.958	198.644	369.013	-2.778	4.548	1.159	0.825
8.660	127.600	1541.182	155.303	198.627	366.815	-2.391	4.275	0.345	-0.234
9.447	127.500	1529.080	160.923	193.000	376.654	-2.796	3.646	0.918	0.548
10.231	127.500	1517.102	162.181	197.080	365.161	-2.008	4.091	0.597	-0.031
11.020	127.700	1540.144	158.596	196.883	362.845	-1.369	3.727	1.424	0.537
11.813	128.100	1536.203	158.150	194.292	374.556	-2.292	3.607	0.934	-0.039
12.602	129.000	1529.880	156.803	196.012	371.597	-2.445	3.981	0.439	0.465
13.392	130.900	1514.147	155.542	187.703	371.069	-1.198	5.069	0.557	0.038
14.183	133.300	1533.109	156.954	191.524	369.403	-2.459	2.953	0.324	0.601
14.973	136.300	1536.470	147.918	200.631	385.887	-2.341	4.026	0.429	0.060
15.764	139.500	1542.538	154.858	190.976	380.350	-1.564	4.415	1.340	0.990
16.555	142.800	1514.726	155.693	192.940	370.930	-1.370	3.597	0.669	0.484
17.348	146.500	1522.178	155.412	202.364	371.171	-1.558	4.566	2.048	0.221
18.136	149.800	1532.154	158.192	220.197	382.305	-0.731	4.462	1.224	0.911
18.925	153.200	1544.064	167.495	241.464	391.667	3.239	4.212	3.135	0.904
19.714	156.800	1543.142	187.489	281.724	387.753	6.841	5.463	3.430	1.298
20.501	160.500	1512.531	187.371	272.339	391.371	1.841	4.059	2.559	1.295
21.289	164.200	1504.902	182.977	279.197	378.422	-0.039	5.298	2.598	0.239
22.077	168.300	1507.275	179.367	293.351	367.981	-0.054	3.828	2.102	0.335
22.867	171.800	1512.158	169.262	310.527	370.664	-0.556	5.577	1.081	-0.046
23.656	175.300	1491.496	165.887	320.167	362.314	-0.390	4.494	2.650	0.059
24.444	178.700	1491.314	173.550	286.480	377.189	-0.603	3.933	0.989	0.696
25.232	182.200	1514.655	171.674	247.965	371.363	-1.112	5.125	2.206	1.037
26.022	185.600	1517.236	175.528	245.410	368.051	-0.695	4.049	2.048	1.348
26.809	189.600	1484.792	169.480	238.389	368.946	1.162	4.134	3.513	0.458
27.596	193.000	1496.358	177.574	242.731	376.090	1.618	4.909	4.299	0.786
28.382	196.400	1514.532	188.655	243.549	383.027	1.634	4.824	3.364	1.249
29.173	199.700	1516.202	188.993	254.119	387.266	2.685	5.415	4.303	1.448
29.962	203.000	1533.419	209.386	267.100	398.777	4.615	4.694	5.969	3.185
30.752	206.300	1527.351	230.160	287.874	397.459	8.871	5.925	7.699	2.011
31.543	210.100	1544.810	262.095	318.634	427.070	14.437	6.904	10.791	1.040
32.332	213.400	1567.704	296.795	346.461	453.104	18.171	8.612	13.938	4.295
33.120	216.700	1617.082	332.549	384.567	458.367	19.387	7.905	13.412	2.254
33.911	219.900	1590.349	338.686	381.379	464.439	15.212	9.036	12.034	2.373
