Wed, Mar 30, 2016	10:08 PM
 Notes: 
 waiting time: 30.000
 time(s)	 temp (K)	 MS1=2.085	 MS2=15.166	 MS3=17.074	 MS4=26.712	 MS5=41.148	 MS6=42.035	 MS7=42.992	 MS8=57.407
0.000	140.000	445.833	173.846	305.737	510.830	29.373	167.842	23.621	1.796
0.785	140.000	449.712	180.835	301.576	528.309	30.083	166.352	24.270	2.153
1.573	140.000	452.439	169.014	292.399	521.147	33.085	168.147	24.969	2.209
2.359	140.000	436.856	176.295	301.370	525.678	31.563	164.093	25.275	0.973
3.146	139.900	433.749	173.927	294.524	535.485	29.967	161.218	23.502	2.031
3.933	139.900	448.636	175.342	300.661	525.088	33.937	164.612	25.493	1.954
4.723	139.900	453.277	180.256	299.589	519.014	32.360	167.773	28.006	0.039
5.512	139.900	443.664	174.791	305.380	516.240	34.796	165.079	26.186	1.224
6.304	139.900	447.341	179.722	299.429	534.818	33.870	163.686	27.909	1.198
7.094	139.900	432.055	173.644	306.516	515.092	34.778	169.426	26.242	2.088
7.885	140.100	442.703	179.634	303.117	525.859	36.622	164.957	29.988	2.196
8.675	140.400	450.800	181.949	306.944	529.311	32.900	176.309	28.069	2.967
9.467	140.900	451.837	184.403	305.708	551.905	38.072	180.768	29.412	1.048
10.256	141.800	432.747	174.028	308.154	544.114	42.558	176.398	31.663	2.259
11.048	143.400	450.230	191.435	316.986	561.717	44.510	172.353	32.707	2.959
11.838	145.200	441.294	186.558	329.722	578.024	52.649	173.167	35.683	4.584
12.629	147.400	442.505	196.066	353.967	578.690	64.712	177.444	41.138	4.076
13.418	150.000	454.581	200.977	387.767	570.560	112.475	184.337	64.148	8.180
14.206	153.000	456.599	209.449	456.639	591.381	204.908	199.545	118.075	17.036
14.997	156.600	455.959	258.996	567.788	631.291	463.551	230.960	246.786	36.792
15.789	160.000	472.702	345.955	730.144	728.167	1011.909	290.340	576.254	91.153
16.580	163.500	507.201	540.583	926.888	899.592	1041.505	360.680	804.424	100.979
17.368	167.200	511.553	508.160	835.480	862.333	1009.057	337.938	602.872	76.154
18.156	171.000	506.627	474.119	779.923	839.997	776.181	324.467	477.567	62.793
18.944	174.800	507.782	404.125	702.460	788.142	528.586	312.839	355.613	47.543
19.732	179.100	499.904	369.938	646.131	759.076	399.160	285.556	301.936	37.991
20.538	182.900	502.072	347.587	559.579	736.263	347.528	281.884	270.895	32.025
21.327	186.600	484.334	328.775	522.693	722.364	315.709	282.527	255.844	32.069
22.117	190.300	494.060	325.574	503.010	725.851	318.624	269.369	252.772	30.019
22.906	193.900	500.752	332.446	493.826	719.335	313.940	272.345	255.518	33.666
