Fri, Mar 25, 2016	1:10 PM
 Notes: 
 waiting time: 30.000
 time(s)	 temp (K)	 MS1=2.085	 MS2=15.166	 MS3=17.074	 MS4=26.712	 MS5=41.148	 MS6=42.035	 MS7=42.992	 MS8=57.407
0.000	169.800	406.702	159.305	273.602	586.125	69.258	169.153	57.621	9.546
0.789	169.800	405.844	159.017	267.824	580.897	72.560	170.386	63.449	9.738
1.578	169.800	410.022	158.789	268.005	562.258	71.460	171.049	64.718	11.490
2.366	169.800	416.711	164.430	270.135	569.675	72.736	176.835	59.138	11.593
3.149	169.800	413.728	163.665	258.032	574.516	70.175	172.047	61.806	10.597
3.936	169.800	408.172	161.167	267.427	578.846	77.475	174.332	67.096	10.118
4.721	169.800	396.730	154.222	260.238	577.938	76.663	170.905	68.664	12.970
5.514	169.800	422.524	157.366	266.232	575.904	77.368	168.709	66.268	11.890
6.300	169.800	422.632	154.592	263.424	583.326	78.364	169.766	68.899	10.854
7.090	169.800	409.081	160.330	266.761	579.176	79.618	170.271	69.955	12.815
7.882	169.900	410.368	158.719	270.175	581.252	80.635	173.046	67.560	10.890
8.674	170.000	425.992	160.211	259.799	571.752	81.312	169.835	72.672	11.406
9.465	170.400	416.028	166.767	269.090	587.585	84.530	171.415	74.010	15.187
10.249	171.100	398.399	166.314	284.517	600.864	92.827	169.317	87.003	13.860
11.037	172.300	417.734	162.984	285.752	599.260	102.904	178.630	86.453	15.284
11.826	174.000	409.637	171.645	302.502	589.134	106.633	169.550	97.226	15.921
12.616	176.200	418.600	172.974	310.385	594.678	125.099	180.190	103.189	19.358
13.400	178.800	414.401	175.643	314.597	596.627	145.722	185.749	117.442	23.728
14.191	182.300	422.112	179.871	321.595	588.390	160.631	181.687	136.191	28.405
14.981	185.500	421.607	191.762	323.655	598.650	177.664	188.102	151.740	29.900
15.768	188.900	422.594	192.785	327.233	605.930	191.653	191.193	165.383	33.340
16.558	192.400	413.813	198.346	324.900	614.762	217.909	205.746	184.108	34.647
17.344	195.900	419.764	207.670	322.951	617.142	236.783	197.070	213.806	38.920
18.132	199.400	424.752	222.237	337.712	641.457	275.530	209.172	242.449	48.666
18.921	203.500	428.848	235.445	343.793	648.202	326.736	222.326	295.034	63.170
19.708	207.000	434.133	267.079	361.919	663.271	419.855	236.307	388.868	82.625
20.496	210.600	431.828	302.483	397.155	706.492	569.144	260.965	531.934	113.136
21.281	214.200	458.020	359.320	440.880	756.155	759.819	284.019	695.446	144.502
22.072	217.700	489.404	416.745	459.966	810.201	914.976	302.719	778.292	155.167
22.861	221.300	482.345	434.093	472.780	803.325	823.117	309.036	678.626	138.326
23.651	225.300	473.810	393.634	452.613	779.367	684.378	298.998	567.399	117.089
24.442	228.900	468.943	360.144	437.034	762.981	569.325	291.497	470.149	94.255
25.236	232.300	450.660	320.910	405.175	756.648	471.451	275.030	393.511	77.767
26.025	235.800	458.921	300.742	383.530	724.346	400.558	262.494	335.107	64.686
