Wed, Mar 30, 2016	8:25 PM
 Notes: 
 waiting time: 30.000
 time(s)	 temp (K)	 MS1=2.085	 MS2=15.166	 MS3=17.074	 MS4=26.712	 MS5=41.148	 MS6=42.035	 MS7=42.992	 MS8=57.407
0.000	169.800	441.058	187.742	284.540	508.278	31.011	209.363	27.038	4.142
0.787	169.900	450.146	188.483	295.612	507.997	33.065	212.160	26.425	2.779
1.570	169.900	459.907	193.803	296.046	508.011	32.060	201.891	29.819	2.233
2.355	169.900	447.827	190.471	296.642	508.235	32.707	201.682	28.893	3.941
3.137	170.000	453.412	187.568	297.799	506.193	35.700	204.807	29.084	1.943
3.917	170.000	451.289	197.755	301.085	503.493	33.306	208.178	29.272	3.288
4.702	170.000	459.046	192.110	299.415	501.335	33.846	204.314	28.149	4.362
5.485	170.000	447.093	185.285	301.836	489.778	35.894	202.095	27.410	3.211
6.273	170.000	441.316	188.858	303.097	505.679	32.905	205.019	29.862	4.125
7.063	170.000	456.657	183.781	302.015	487.539	35.600	201.533	29.620	3.984
7.850	170.000	445.584	184.206	296.513	508.022	35.110	202.860	30.206	3.916
8.639	170.100	440.405	187.692	300.852	506.949	38.271	210.935	34.019	4.486
9.421	170.400	443.473	189.215	301.934	512.482	34.355	201.375	32.672	4.275
10.205	171.000	455.438	194.385	309.252	533.884	43.348	206.860	36.729	5.183
10.990	172.000	446.982	190.284	315.452	535.482	44.819	213.905	42.449	5.812
11.773	173.500	462.023	200.037	330.036	516.070	52.762	202.482	46.436	6.858
12.560	175.400	469.146	199.338	337.682	518.757	61.520	219.144	48.887	7.615
13.345	177.800	461.924	205.231	341.964	526.591	71.525	219.526	59.171	10.634
14.135	180.900	455.784	207.519	358.319	527.587	86.562	221.913	67.839	12.548
14.923	183.900	457.928	215.242	360.646	533.651	101.572	228.272	76.606	12.510
15.712	187.200	461.966	211.066	363.930	536.116	103.461	232.576	86.245	14.959
16.500	190.500	461.718	218.316	356.652	542.223	114.575	227.178	93.857	15.644
17.289	194.000	452.003	228.631	372.768	546.735	125.503	228.556	103.249	17.422
18.068	197.500	447.490	227.987	363.477	537.505	139.832	227.673	122.042	19.786
18.851	201.600	463.891	236.010	378.603	553.224	165.072	240.161	146.287	25.602
19.634	205.100	465.897	249.410	381.466	551.303	211.377	239.181	182.690	33.708
20.419	208.700	461.272	272.936	397.858	581.577	277.718	258.671	241.561	46.885
21.207	212.300	484.167	299.382	436.239	605.051	377.898	278.852	336.888	63.376
21.994	215.900	502.665	335.725	476.185	654.991	492.256	291.007	420.650	77.504
22.779	219.500	520.952	373.506	513.515	686.110	550.763	307.992	452.014	76.266
23.566	223.100	518.717	382.613	513.784	680.454	485.594	313.904	375.050	62.847
24.348	227.100	495.215	352.222	483.076	677.858	388.645	301.587	309.259	49.753
25.136	230.600	485.057	326.009	467.388	663.458	315.379	302.466	238.798	39.655
25.922	234.100	478.191	302.377	429.557	646.245	260.340	294.030	192.029	31.060
26.707	237.500	476.788	297.680	422.953	616.076	204.913	282.842	161.447	22.991
27.491	240.900	471.823	273.118	421.674	606.463	185.114	281.971	142.587	21.958
28.274	244.300	485.864	264.555	386.722	604.583	165.893	274.973	134.003	20.995
29.055	247.700	470.690	265.042	381.306	600.102	152.699	270.265	127.477	18.910
29.842	251.100	486.430	260.181	379.194	582.469	147.990	266.333	120.412	18.211
30.629	254.900	472.660	256.842	369.717	579.595	142.901	269.777	112.035	17.294
31.415	258.200	485.554	249.914	370.511	581.713	135.764	264.295	111.555	18.275
32.201	261.500	488.268	254.184	367.809	575.952	128.517	258.551	109.420	18.354
32.985	264.700	484.299	243.300	359.818	565.763	129.980	257.299	110.460	17.939
33.763	268.000	473.191	249.410	360.920	577.574	124.340	249.393	105.028	14.928
34.546	271.200	501.379	243.120	355.216	572.201	125.527	251.455	99.246	15.806
35.338	274.400	493.809	252.470	345.143	570.110	120.913	250.290	95.089	13.154
36.127	278.000	503.655	251.615	350.341	565.864	120.230	250.392	100.804	14.500
36.916	281.200	497.051	235.893	350.266	565.769	115.859	247.141	99.831	12.983
37.705	284.400	511.530	243.034	344.322	565.093	119.317	250.718	92.879	14.834
38.494	287.600	540.504	239.485	336.782	570.060	112.653	251.869	90.927	13.852
39.284	290.800	553.251	224.372	345.322	553.309	107.832	248.239	92.502	14.240
