Mon, Mar 07, 2016	5:20 PM
 Notes: 
 waiting time: 30.000
 time(s)	 temp (K)	 MS1=2.051	 MS2=15.880	 MS3=17.884	 MS4=28.038	 MS5=43.088	 MS6=44.029	 MS7=45.058	 MS8=60.047
0.000	118.800	1012.456	177.399	161.638	326.794	1.208	4.845	-0.025	0.239
0.786	118.800	976.984	181.956	156.124	315.384	1.613	5.002	0.224	0.340
1.575	118.800	988.108	177.020	156.056	320.482	1.763	5.019	0.812	-0.407
2.363	118.800	988.515	180.517	154.092	320.694	1.446	4.218	0.535	0.709
3.150	118.800	983.797	173.894	159.248	318.023	1.832	5.911	0.697	0.971
3.935	118.800	978.162	170.507	149.822	326.171	1.409	5.629	0.015	0.551
4.723	118.800	1001.897	170.589	158.237	323.200	1.571	5.568	0.536	-0.176
5.514	118.800	976.598	170.295	160.901	318.057	1.492	7.142	0.623	0.804
6.307	118.700	981.696	166.859	154.062	310.963	1.736	5.094	0.225	0.046
7.097	118.700	970.262	168.938	161.799	315.365	1.116	5.140	0.194	0.289
7.883	118.700	969.706	164.920	161.697	311.847	2.037	4.867	0.270	0.344
8.670	118.700	971.988	167.111	157.067	310.940	1.772	4.962	-0.667	0.060
9.459	118.700	970.742	162.179	162.117	309.746	1.637	4.644	-0.262	-0.239
10.248	118.700	957.095	165.182	159.966	307.586	1.653	4.341	1.024	-0.028
11.038	118.700	975.368	169.934	152.420	301.528	1.423	4.594	0.370	0.373
11.829	118.600	963.171	159.732	152.514	309.622	1.935	5.289	0.331	0.053
12.619	118.600	973.074	164.664	155.644	302.684	2.119	5.380	1.201	0.222
13.406	118.600	951.293	163.214	162.367	305.657	1.901	6.879	0.543	-0.050
14.195	118.600	975.626	164.088	159.520	306.136	0.555	4.577	0.001	0.657
14.984	118.600	973.065	168.409	151.000	310.228	1.521	5.400	0.730	0.170
15.774	118.800	951.296	164.632	162.452	307.543	2.504	5.219	0.963	0.508
16.560	119.300	971.078	173.604	163.431	323.091	2.661	5.095	1.079	0.521
17.342	120.300	982.518	178.600	173.659	330.553	4.020	6.051	2.084	-0.038
