0000000389,scans,0000000146,DataLength
"header",0000000028,"lines"
"Date",5/9/2016,"Time",12:49:28 AM
"ID","HAL RC RGA 301 #14852","Version",3
"Scans",9
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Temperature","none",0.40,0.40,0.01,10.000,10.000,1.000000,1.000000,
"Scan 2","RGA","SEM","mass",2.00,2.00,0.01,10.000,10.000,0.440000,1.000000,
"Scan 3","RGA","SEM","mass",14.00,14.00,0.01,10.000,10.000,1.000000,1.000000,
"Scan 4","RGA","SEM","mass",18.00,18.00,0.01,10.000,10.000,0.900000,1.000000,
"Scan 5","RGA","SEM","mass",28.00,28.00,0.01,10.000,10.000,1.050000,1.000000,
"Scan 6","RGA","SEM","mass",29.00,29.00,0.01,10.000,10.000,1.000000,1.000000,
"Scan 7","RGA","SEM","mass",43.00,43.00,0.01,10.000,10.000,1.000000,1.000000,
"Scan 8","RGA","SEM","mass",44.00,44.00,0.01,10.000,10.000,1.400000,1.000000,
"Scan 9","RGA","SEM","mass",60.00,60.00,0.01,10.000,10.000,0.577000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.3,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",1000.000,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1100,"V"
"resolution",0,"%"
"Data",9
"Time","ms","Temperature","Hydrogen","Ketene","Water","Carbon monoxide","Acetaldehyde","Acetic acid","Carbon dioxide","Acetic acid",
00:00:01,      1241,   170.6241,  0.00000e+00,  0.00000e+00, -1.19444e-10,  0.00000e+00,  0.00000e+00,  0.00000e+00,  7.67857e-11,  1.86308e-10,
00:00:01,      1906,   170.4918,  1.60517e-09,  6.32100e-09,  1.11584e-08,  1.07213e-08,  3.00785e-09,  1.28462e-09,  8.06321e-09,  3.50260e-10,
00:00:02,      2551,   170.6241,  2.45393e-09,  1.12466e-08,  1.25321e-08,  3.11238e-08,  1.84362e-09,  1.11370e-09,  6.88768e-08,  1.26317e-10,
00:00:03,      3216,   170.4918,  8.93716e-09,  1.60175e-08,  9.43611e-09,  2.41619e-08,  1.40502e-09,  7.01975e-10,  4.92964e-08,  1.19424e-10,
00:00:03,      3881,   170.8885,  7.89636e-09,  1.27925e-08,  7.64444e-09,  2.01690e-08,  1.27495e-09,  2.59290e-10,  3.83161e-08,  1.32093e-10,
00:00:04,      4546,   170.3596,  8.49250e-09,  9.89000e-09,  6.31622e-09,  1.78143e-08,  1.17067e-09,  2.48540e-10,  3.10982e-08,  1.12344e-10,
00:00:05,      5211,   170.6241,  7.68625e-09,  8.49250e-09,  5.92324e-09,  1.57667e-08,  8.93325e-10,  2.06830e-10,  2.60304e-08,  9.07322e-11,
00:00:05,      5877,   170.6241,  8.17489e-09,  7.30032e-09,  5.31289e-09,  1.49476e-08,  3.60232e-10,  1.95650e-10,  2.23446e-08,  1.16070e-10,
00:00:06,      6582,   170.4918,  7.44682e-09,  5.89207e-09,  4.84467e-09,  1.33095e-08,  3.23145e-10,  1.35772e-10,  1.93500e-08,  8.60745e-11,
00:00:07,      7267,   170.7563,  7.03148e-09,  5.75232e-09,  4.21639e-09,  1.23881e-08,  2.88960e-10,  1.72860e-10,  1.75839e-08,  1.06568e-10,
00:00:07,      7952,   170.4918,  7.93789e-09,  5.14817e-09,  4.41824e-09,  1.16714e-08,  2.47357e-10,  1.85437e-10,  1.52804e-08,  9.74393e-11,
00:00:08,      8657,   170.3596,  7.11209e-09,  4.66442e-09,  4.11963e-09,  1.13643e-08,  2.22095e-10,  1.56090e-10,  1.42821e-08,  1.23336e-10,
00:00:09,      9362,   170.6241,  7.07300e-09,  3.82592e-09,  4.20683e-09,  1.06476e-08,  2.44777e-10,  1.65657e-10,  1.30536e-08,  9.94887e-11,
00:00:10,     10067,   170.7563,  7.15118e-09,  3.61415e-09,  3.62036e-09,  1.04429e-08,  2.25750e-10,  1.58455e-10,  1.20554e-08,  9.20364e-11,
00:00:10,     10772,   170.4918,  6.78470e-09,  3.28627e-09,  3.77802e-09,  1.01357e-08,  2.27685e-10,  1.52005e-10,  1.08268e-08,  8.29073e-11,
00:00:11,     11457,   170.3596,  6.85311e-09,  3.26692e-09,  3.41372e-09,  9.31667e-09,  2.11452e-10,  1.48672e-10,  9.90536e-09,  1.04705e-10,
00:00:12,     12162,   170.6241,  7.06811e-09,  2.99172e-09,  3.47941e-09,  9.11190e-09,  1.81782e-10,  1.53402e-10,  9.67500e-09,  8.98007e-11,
00:00:12,     12867,   170.4918,  6.77739e-09,  2.76812e-09,  3.92017e-09,  8.80476e-09,  2.03605e-10,  1.52650e-10,  9.21429e-09,  7.97400e-11,
00:00:13,     13572,   170.4918,  7.00216e-09,  2.97130e-09,  3.51883e-09,  8.80476e-09,  1.70065e-10,  1.60067e-10,  8.67679e-09,  8.79376e-11,
00:00:14,     14277,   170.4918,  6.80425e-09,  2.50690e-09,  3.44239e-09,  8.90714e-09,  1.78020e-10,  1.48457e-10,  8.36964e-09,  8.79376e-11,
00:00:14,     14982,   170.4918,  6.57948e-09,  2.29620e-09,  3.34324e-09,  8.80476e-09,  1.58992e-10,  1.35987e-10,  7.83214e-09,  8.73787e-11,
00:00:15,     15687,   170.4918,  6.15682e-09,  2.31662e-09,  3.22858e-09,  8.19048e-09,  1.92210e-10,  1.62432e-10,  7.60179e-09,  7.56412e-11,
00:00:16,     16392,   170.4918,  6.56482e-09,  2.32952e-09,  3.42089e-09,  7.85671e-09,  1.51252e-10,  1.42545e-10,  7.14107e-09,  1.00793e-10,
00:00:17,     17097,   170.4918,  6.70409e-09,  1.98015e-09,  3.24052e-09,  7.84648e-09,  1.65120e-10,  1.40932e-10,  6.83393e-09,  9.63215e-11,
00:00:17,     17802,   170.6241,  6.35716e-09,  2.09517e-09,  3.17961e-09,  7.67140e-09,  1.47382e-10,  1.61357e-10,  6.60357e-09,  9.42721e-11,
00:00:18,     18507,   170.3596,  6.22766e-09,  2.01347e-09,  3.20708e-09,  7.54241e-09,  1.42760e-10,  1.29430e-10,  6.52679e-09,  8.23484e-11,
00:00:19,     19212,   170.4918,  6.71630e-09,  1.98015e-09,  3.08883e-09,  7.36630e-09,  1.37815e-10,  1.43620e-10,  6.45000e-09,  1.08059e-10,
00:00:19,     19917,   170.4918,  6.52330e-09,  1.60175e-09,  3.26561e-09,  7.45333e-09,  1.37922e-10,  1.33945e-10,  5.98929e-09,  6.78163e-11,
00:00:20,     20602,   170.6241,  6.33273e-09,  1.85545e-09,  3.11033e-09,  7.43490e-09,  1.61465e-10,  1.36095e-10,  6.12059e-09,  1.02097e-10,
00:00:21,     21307,   170.4918,  7.06080e-09,  1.72967e-09,  2.71974e-09,  6.63224e-09,  1.30182e-10,  1.55337e-10,  5.90866e-09,  9.68804e-11,
00:00:22,     22012,   170.3596,  6.45977e-09,  1.67592e-09,  3.05778e-09,  6.75100e-09,  1.23517e-10,  1.38245e-10,  5.64989e-09,  1.07314e-10,
00:00:22,     22717,   170.7563,  6.38891e-09,  1.64152e-09,  3.13183e-09,  7.18611e-09,  1.61572e-10,  1.30290e-10,  5.54776e-09,  1.07314e-10,
00:00:23,     23422,   170.3596,  5.81966e-09,  1.62862e-09,  3.04344e-09,  6.92505e-09,  1.53295e-10,  1.32870e-10,  5.59230e-09,  8.30936e-11,
00:00:24,     24127,   170.4918,  6.42311e-09,  1.39642e-09,  3.15811e-09,  6.95473e-09,  1.22335e-10,  1.55337e-10,  5.21682e-09,  8.29073e-11,
00:00:24,     24832,   170.4918,  6.19102e-09,  1.36525e-09,  3.16767e-09,  6.76226e-09,  1.47705e-10,  1.24270e-10,  5.18226e-09,  8.57019e-11,
00:00:25,     25517,   170.4918,  6.58682e-09,  1.44910e-09,  2.96580e-09,  6.82062e-09,  9.93300e-11,  1.36202e-10,  5.03944e-09,  9.09185e-11,
00:00:26,     26182,   170.7563,  6.43777e-09,  1.45662e-09,  3.21186e-09,  6.59948e-09,  1.05887e-10,  1.55767e-10,  5.04098e-09,  1.08618e-10,
00:00:26,     26887,   170.6241,  6.12750e-09,  1.21797e-09,  2.77828e-09,  6.70083e-09,  1.33945e-10,  1.30827e-10,  5.37193e-09,  8.10442e-11,
00:00:27,     27592,   170.6241,  6.42557e-09,  1.47597e-09,  2.78783e-09,  6.26981e-09,  1.14057e-10,  1.14165e-10,  4.89355e-09,  8.84965e-11,
00:00:28,     28257,   170.3596,  6.25455e-09,  1.48027e-09,  3.21902e-09,  6.62916e-09,  1.19970e-10,  1.58132e-10,  4.99184e-09,  1.07873e-10,
00:00:28,     28962,   170.6241,  5.92470e-09,  1.28140e-09,  3.00641e-09,  6.50324e-09,  1.21367e-10,  1.23195e-10,  4.47046e-09,  7.69454e-11,
00:00:29,     29667,   170.4918,  6.55750e-09,  1.18680e-09,  2.94430e-09,  6.41211e-09,  1.20292e-10,  1.21045e-10,  4.74382e-09,  7.54549e-11,
00:00:30,     30332,   170.3596,  6.36448e-09,  1.44480e-09,  2.70900e-09,  6.70288e-09,  1.00835e-10,  1.32440e-10,  4.82598e-09,  9.57626e-11,
00:00:30,     30997,   170.4918,  6.01266e-09,  1.31795e-09,  3.07808e-09,  6.35581e-09,  1.11692e-10,  1.09327e-10,  4.53957e-09,  6.44627e-11,
00:00:31,     31662,   170.4918,  6.72118e-09,  1.39750e-09,  3.07689e-09,  6.43464e-09,  1.23732e-10,  1.28032e-10,  4.67318e-09,  1.11040e-10,
00:00:32,     32367,   170.3596,  6.38648e-09,  1.19002e-09,  3.03030e-09,  6.25138e-09,  1.07500e-10,  1.13520e-10,  4.37448e-09,  9.25953e-11,
00:00:33,     33012,   170.4918,  6.62591e-09,  1.16745e-09,  3.20947e-09,  7.38986e-09,  8.53550e-11,  1.18142e-10,  4.53496e-09,  8.49567e-11,
00:00:33,     33677,   170.4918,  6.18368e-09,  1.18680e-09,  3.01956e-09,  7.25983e-09,  1.02985e-10,  1.20077e-10,  4.35068e-09,  7.71317e-11,
00:00:34,     34322,   170.2274,  6.46955e-09,  1.07715e-09,  2.75797e-09,  7.12776e-09,  1.13842e-10,  1.36310e-10,  4.32380e-09,  9.81846e-11,
00:00:34,     34987,   170.4918,  7.10477e-09,  1.16852e-09,  2.98372e-09,  6.41519e-09,  1.02447e-10,  1.14595e-10,  4.42055e-09,  8.88692e-11,
00:00:35,     35652,   170.7563,  6.61614e-09,  1.34052e-09,  2.79500e-09,  6.15411e-09,  1.00190e-10,  1.25237e-10,  4.15794e-09,  1.11412e-10,
00:00:36,     36317,   170.4918,  6.62834e-09,  1.20077e-09,  3.16169e-09,  6.31690e-09,  1.16960e-10,  1.14487e-10,  4.08730e-09,  8.68198e-11,
00:00:36,     36982,   170.7563,  6.73095e-09,  1.17067e-09,  3.01956e-09,  6.15514e-09,  9.78250e-11,  1.27065e-10,  4.33225e-09,  8.90555e-11,
00:00:37,     37647,   170.6241,  6.77250e-09,  1.11692e-09,  2.96102e-09,  5.97188e-09,  1.02985e-10,  1.41362e-10,  4.16179e-09,  6.96794e-11,
00:00:38,     38312,   170.3596,  6.41823e-09,  1.11477e-09,  3.14617e-09,  6.07835e-09,  1.27387e-10,  1.30935e-10,  4.09268e-09,  7.63865e-11,
00:00:38,     38977,   170.6241,  6.19591e-09,  1.14057e-09,  2.91563e-09,  5.49888e-09,  1.09112e-10,  1.23410e-10,  4.10419e-09,  8.51430e-11,
00:00:39,     39642,   170.7563,  7.12920e-09,  1.12230e-09,  2.78424e-09,  5.91967e-09,  1.23087e-10,  1.29000e-10,  4.01666e-09,  9.01733e-11,
00:00:40,     40307,   170.3596,  6.14948e-09,  9.96525e-10,  2.96102e-09,  6.16026e-09,  1.31687e-10,  1.34482e-10,  4.37909e-09,  8.83102e-11,
00:00:41,     41012,   170.3596,  7.01682e-09,  1.00297e-09,  2.72572e-09,  6.11624e-09,  1.14595e-10,  1.08790e-10,  4.15871e-09,  1.08990e-10,
00:00:41,     41677,   170.4918,  7.09500e-09,  1.09005e-09,  3.07569e-09,  5.83162e-09,  1.19647e-10,  1.40610e-10,  4.06426e-09,  1.01166e-10,
00:00:42,     42382,   170.3596,  6.29607e-09,  1.17820e-09,  2.82606e-09,  6.04048e-09,  1.05672e-10,  1.50715e-10,  3.81855e-09,  8.21620e-11,
00:00:43,     43047,   170.6241,  6.80425e-09,  1.03845e-09,  2.97774e-09,  5.76916e-09,  1.16637e-10,  1.27387e-10,  4.08423e-09,  6.74437e-11,
