0000000411,scans,0000000146,DataLength
"header",0000000028,"lines"
"Date",5/9/2016,"Time",2:35:41 AM
"ID","HAL RC RGA 301 #14852","Version",3
"Scans",9
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Temperature","none",0.40,0.40,0.01,10.000,10.000,1.000000,1.000000,
"Scan 2","RGA","SEM","mass",2.00,2.00,0.01,10.000,10.000,0.440000,1.000000,
"Scan 3","RGA","SEM","mass",14.00,14.00,0.01,10.000,10.000,1.000000,1.000000,
"Scan 4","RGA","SEM","mass",18.00,18.00,0.01,10.000,10.000,0.900000,1.000000,
"Scan 5","RGA","SEM","mass",28.00,28.00,0.01,10.000,10.000,1.050000,1.000000,
"Scan 6","RGA","SEM","mass",29.00,29.00,0.01,10.000,10.000,1.000000,1.000000,
"Scan 7","RGA","SEM","mass",43.00,43.00,0.01,10.000,10.000,1.000000,1.000000,
"Scan 8","RGA","SEM","mass",44.00,44.00,0.01,10.000,10.000,1.400000,1.000000,
"Scan 9","RGA","SEM","mass",60.00,60.00,0.01,10.000,10.000,0.577000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.3,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",1000.000,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1100,"V"
"resolution",0,"%"
"Data",9
"Time","ms","Temperature","Hydrogen","Ketene","Water","Carbon monoxide","Acetaldehyde","Acetic acid","Carbon dioxide","Acetic acid",
00:00:01,      1241,   170.4918,  4.88636e-10,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  7.67857e-11, -1.86308e-10,
00:00:01,      1906,   170.3596,  1.00903e-09,  1.13283e-08,  1.26001e-08,  1.07766e-08,  1.13111e-08,  1.12681e-08,  8.05250e-09,  5.03406e-09,
00:00:02,      2571,   170.4918,  2.45441e-09,  1.52865e-07,  4.09694e-08,  2.00257e-07,  1.23625e-08,  7.41750e-09,  4.47814e-07,  3.55104e-09,
00:00:03,      3236,   170.4918,  2.24993e-08,  9.46000e-08,  2.75917e-08,  1.35859e-07,  8.60000e-09,  5.37500e-09,  2.97391e-07,  2.94180e-09,
00:00:03,      3901,   170.4918,  1.80087e-08,  6.74025e-08,  2.13806e-08,  1.03814e-07,  6.53707e-09,  4.58595e-09,  2.19223e-07,  2.97721e-09,
00:00:04,      4566,   170.3596,  1.62325e-08,  5.29975e-08,  1.76778e-08,  8.46690e-08,  5.36425e-09,  4.26990e-09,  1.69850e-07,  2.57291e-09,
00:00:05,      5231,   170.4918,  1.51526e-08,  4.22475e-08,  1.48111e-08,  7.21786e-08,  4.28065e-09,  3.82700e-09,  1.35680e-07,  2.25619e-09,
00:00:05,      5896,   170.3596,  1.40019e-08,  3.48300e-08,  1.31389e-08,  6.23500e-08,  3.93342e-09,  3.68832e-09,  1.14257e-07,  2.07360e-09,
00:00:06,      6561,   170.6241,  1.34253e-08,  2.87025e-08,  1.15861e-08,  5.45690e-08,  3.37550e-09,  3.63995e-09,  9.57514e-08,  2.16118e-09,
00:00:07,      7226,   170.6241,  1.28120e-08,  2.47250e-08,  1.05111e-08,  4.90405e-08,  3.01430e-09,  3.20887e-09,  8.42336e-08,  2.06988e-09,
00:00:07,      7891,   170.8885,  1.11189e-08,  2.23600e-08,  9.91389e-09,  4.49452e-08,  2.87992e-09,  3.13362e-09,  7.41750e-08,  2.40711e-09,
00:00:08,      8556,   170.6241,  1.20669e-08,  1.98875e-08,  9.27606e-09,  4.15667e-08,  2.45207e-09,  3.28950e-09,  6.63429e-08,  2.08666e-09,
00:00:09,      9221,   170.4918,  1.11042e-08,  1.78450e-08,  8.71228e-09,  3.90071e-08,  2.47680e-09,  2.90142e-09,  5.89714e-08,  2.27296e-09,
00:00:09,      9886,   170.4918,  1.08306e-08,  1.66625e-08,  7.83078e-09,  3.47071e-08,  2.37790e-09,  2.96807e-09,  5.42875e-08,  2.11087e-09,
00:00:10,     10551,   170.2274,  1.06425e-08,  1.47275e-08,  7.29686e-09,  3.40929e-08,  2.11560e-09,  3.03795e-09,  4.92196e-08,  2.14813e-09,
00:00:11,     11216,   170.4918,  1.09723e-08,  1.36525e-08,  7.61339e-09,  3.21476e-08,  2.28007e-09,  2.97452e-09,  4.64554e-08,  2.01958e-09,
00:00:11,     11881,   170.3596,  1.03713e-08,  1.23625e-08,  7.20847e-09,  3.02024e-08,  1.91995e-09,  3.01322e-09,  4.33071e-08,  2.24688e-09,
00:00:12,     12546,   170.3596,  1.11067e-08,  1.20400e-08,  6.72233e-09,  2.92810e-08,  2.09840e-09,  2.77887e-09,  3.88536e-08,  2.20402e-09,
00:00:13,     13191,   170.2274,  1.01685e-08,  1.10725e-08,  6.93017e-09,  2.75405e-08,  1.88770e-09,  2.75845e-09,  3.72411e-08,  2.22825e-09,
00:00:13,     13856,   170.6241,  9.54795e-09,  1.08575e-08,  6.29950e-09,  2.68238e-08,  1.68667e-09,  3.14867e-09,  3.48607e-08,  2.28414e-09,
00:00:14,     14521,   170.4918,  1.03786e-08,  1.03200e-08,  6.65902e-09,  2.56976e-08,  1.54155e-09,  2.80360e-09,  3.38625e-08,  2.16118e-09,
00:00:15,     15166,   170.3596,  9.68232e-09,  9.89000e-09,  6.42611e-09,  2.43667e-08,  1.69312e-09,  2.67890e-09,  3.14054e-08,  2.19099e-09,
00:00:15,     15831,   170.3596,  9.31584e-09,  9.24500e-09,  6.16930e-09,  2.39571e-08,  1.60497e-09,  2.70040e-09,  3.04839e-08,  2.10529e-09,
00:00:16,     16496,   170.3596,  9.32318e-09,  8.81500e-09,  5.55894e-09,  2.34452e-08,  1.59530e-09,  2.77887e-09,  2.91786e-08,  1.94133e-09,
00:00:17,     17161,   170.6241,  1.01392e-08,  8.97195e-09,  5.64852e-09,  2.18071e-08,  1.62002e-09,  2.71115e-09,  2.72589e-08,  2.06988e-09,
00:00:17,     17826,   170.4918,  9.83380e-09,  8.19042e-09,  6.45000e-09,  2.24214e-08,  1.36525e-09,  2.64772e-09,  2.71821e-08,  2.02889e-09,
00:00:18,     18491,   170.3596,  8.41920e-09,  7.92705e-09,  5.85636e-09,  2.19095e-08,  1.38567e-09,  2.72727e-09,  2.59536e-08,  1.86494e-09,
00:00:19,     19156,   170.4918,  9.02023e-09,  7.88835e-09,  5.65091e-09,  2.06810e-08,  1.41900e-09,  2.87562e-09,  2.44946e-08,  2.14068e-09,
00:00:19,     19821,   170.4918,  9.24989e-09,  7.53145e-09,  5.77752e-09,  1.95548e-08,  1.46092e-09,  2.99387e-09,  2.45714e-08,  2.10156e-09,
00:00:20,     20486,   170.4918,  9.18391e-09,  7.94317e-09,  5.44906e-09,  2.00667e-08,  1.38675e-09,  2.77887e-09,  2.37268e-08,  2.02144e-09,
00:00:21,     21151,   170.6241,  9.55284e-09,  7.20572e-09,  5.39411e-09,  1.98619e-08,  1.23410e-09,  2.72190e-09,  2.28821e-08,  2.07175e-09,
00:00:21,     21816,   170.3596,  8.99580e-09,  7.29495e-09,  5.59956e-09,  1.89405e-08,  1.43727e-09,  2.75522e-09,  2.24214e-08,  1.94506e-09,
00:00:22,     22481,   170.3596,  8.46807e-09,  6.71230e-09,  5.55536e-09,  1.90429e-08,  1.49962e-09,  2.63375e-09,  2.15768e-08,  2.08851e-09,
00:00:23,     23146,   170.3596,  8.80034e-09,  6.75637e-09,  5.35708e-09,  1.80190e-08,  1.27602e-09,  2.74232e-09,  2.14232e-08,  1.81092e-09,
00:00:23,     23811,   170.3596,  8.34834e-09,  6.39840e-09,  5.63300e-09,  1.87357e-08,  1.35127e-09,  2.65310e-09,  2.07321e-08,  2.20402e-09,
00:00:24,     24456,   170.6241,  8.49739e-09,  6.34465e-09,  5.35469e-09,  1.88381e-08,  1.39320e-09,  2.84660e-09,  2.09625e-08,  2.25061e-09,
00:00:25,     25121,   170.6241,  8.17243e-09,  6.25972e-09,  5.10624e-09,  1.86333e-08,  1.39642e-09,  2.83047e-09,  2.05786e-08,  2.22452e-09,
00:00:25,     25766,   170.3596,  8.60977e-09,  5.72545e-09,  4.98561e-09,  1.81214e-08,  1.16100e-09,  3.05622e-09,  2.01179e-08,  2.42386e-09,
00:00:26,     26431,   170.4918,  8.18955e-09,  6.04795e-09,  5.39530e-09,  1.74048e-08,  1.14595e-09,  3.01215e-09,  1.97339e-08,  2.36984e-09,
00:00:27,     27096,   170.4918,  8.04050e-09,  6.05870e-09,  5.16119e-09,  1.72000e-08,  1.28355e-09,  2.98097e-09,  1.92732e-08,  2.38660e-09,
00:00:27,     27761,   170.3596,  8.37523e-09,  6.05547e-09,  5.12297e-09,  1.69952e-08,  1.32440e-09,  2.84552e-09,  1.90429e-08,  2.23756e-09,
00:00:28,     28426,   170.2274,  8.34102e-09,  5.77060e-09,  4.83869e-09,  1.69952e-08,  1.23840e-09,  2.83047e-09,  1.84286e-08,  2.14813e-09,
00:00:29,     29091,   170.6241,  9.14970e-09,  5.82327e-09,  5.04174e-09,  1.67905e-08,  1.36955e-09,  2.82832e-09,  1.84286e-08,  1.97487e-09,
00:00:29,     29756,   170.4918,  7.83039e-09,  5.29115e-09,  4.75030e-09,  1.61762e-08,  1.15777e-09,  2.88207e-09,  1.85054e-08,  1.93761e-09,
00:00:30,     30421,   170.3596,  8.55114e-09,  5.76092e-09,  5.04056e-09,  1.64833e-08,  1.13197e-09,  2.60795e-09,  1.79679e-08,  2.24501e-09,
00:00:31,     31086,   170.7563,  8.76368e-09,  5.37930e-09,  5.01547e-09,  1.58690e-08,  1.12015e-09,  2.60687e-09,  1.69696e-08,  2.05125e-09,
00:00:31,     31751,   170.3596,  8.41920e-09,  5.63300e-09,  5.35350e-09,  1.60738e-08,  1.20292e-09,  2.61870e-09,  1.69696e-08,  2.19844e-09,
00:00:32,     32416,   170.3596,  8.25061e-09,  5.40940e-09,  4.50424e-09,  1.63810e-08,  1.02232e-09,  2.68857e-09,  1.69696e-08,  2.33258e-09,
00:00:33,     33081,   170.2274,  8.79057e-09,  5.29760e-09,  4.74313e-09,  1.61762e-08,  1.13090e-09,  3.01860e-09,  1.71232e-08,  2.27296e-09,
00:00:33,     33746,   170.4918,  8.06739e-09,  5.52980e-09,  5.03578e-09,  1.55619e-08,  1.36095e-09,  2.52732e-09,  1.68161e-08,  2.30090e-09,
00:00:34,     34411,   170.7563,  8.15777e-09,  5.00627e-09,  5.25794e-09,  1.53571e-08,  1.05565e-09,  2.64127e-09,  1.67393e-08,  2.17421e-09,
00:00:35,     35076,   170.3596,  7.94523e-09,  5.22987e-09,  5.04533e-09,  1.58690e-08,  1.20830e-09,  2.59182e-09,  1.66625e-08,  1.88730e-09,
00:00:35,     35741,   170.4918,  8.43141e-09,  5.18042e-09,  4.89006e-09,  1.49476e-08,  1.16960e-09,  2.59720e-09,  1.63554e-08,  2.36612e-09,
00:00:36,     36406,   170.2274,  7.85482e-09,  5.35565e-09,  4.80406e-09,  1.53571e-08,  1.15670e-09,  2.51227e-09,  1.64321e-08,  2.11274e-09,
00:00:37,     37071,   170.3596,  8.20420e-09,  4.96757e-09,  4.53530e-09,  1.53571e-08,  1.10725e-09,  2.44992e-09,  1.58179e-08,  2.21334e-09,
00:00:37,     37716,   170.4918,  9.00800e-09,  5.04497e-09,  4.59741e-09,  1.45381e-08,  8.89025e-10,  2.50045e-09,  1.53571e-08,  1.94692e-09,
00:00:38,     38381,   170.4918,  8.97136e-09,  4.64722e-09,  4.75867e-09,  1.51524e-08,  4.49027e-10,  2.67460e-09,  1.61250e-08,  1.94879e-09,
00:00:39,     39046,   170.3596,  8.44364e-09,  5.07722e-09,  4.55680e-09,  1.52548e-08,  3.96245e-10,  2.56065e-09,  1.59714e-08,  1.87612e-09,
00:00:39,     39711,   170.4918,  8.55357e-09,  5.24492e-09,  4.93424e-09,  1.46405e-08,  3.84097e-10,  2.47250e-09,  1.49732e-08,  1.76993e-09,
00:00:40,     40376,   170.6241,  8.12114e-09,  4.56767e-09,  4.64519e-09,  1.44357e-08,  4.20647e-10,  2.67890e-09,  1.52036e-08,  2.26364e-09,
00:00:41,     41041,   170.3596,  9.03243e-09,  5.04605e-09,  4.85302e-09,  1.40262e-08,  4.54725e-10,  2.52410e-09,  1.49732e-08,  2.06243e-09,
00:00:41,     41706,   170.6241,  7.73023e-09,  5.05250e-09,  4.62369e-09,  1.43333e-08,  3.98932e-10,  2.54990e-09,  1.47429e-08,  2.02331e-09,
