0000000354,scans,0000000160,DataLength
"header",0000000029,"lines"
"Date",4/20/2016,"Time",10:26:19 PM
"ID","HAL RC RGA 301 #14852","Version",3
"Scans",10
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Temperature","none",0.40,0.40,0.01,10.000,8.000,1.000000,1.000000,
"Scan 2","RGA","SEM","mass",2.00,2.00,0.01,10.000,8.000,0.440000,1.000000,
"Scan 3","RGA","SEM","mass",14.00,14.00,0.01,10.000,8.000,1.000000,1.000000,
"Scan 4","RGA","SEM","mass",16.00,16.00,0.01,10.000,8.000,0.098000,1.000000,
"Scan 5","RGA","SEM","mass",18.00,18.00,0.01,10.000,8.000,0.900000,1.000000,
"Scan 6","RGA","SEM","mass",28.00,28.00,0.01,10.000,8.000,1.050000,1.000000,
"Scan 7","RGA","SEM","mass",29.00,29.00,0.01,10.000,8.000,1.000000,1.000000,
"Scan 8","RGA","SEM","mass",43.00,43.00,0.01,10.000,8.000,1.000000,1.000000,
"Scan 9","RGA","SEM","mass",44.00,44.00,0.01,10.000,8.000,1.400000,1.000000,
"Scan 10","RGA","SEM","mass",60.00,60.00,0.01,10.000,8.000,0.577000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.3,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",1000.000,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1000,"V"
"resolution",0,"%"
"Data",10
"Time","ms","Scan 1 : none 0.40","Hydrogen","Ketene","Oxygen-16","Water","Carbon monoxide","Acetaldehyde","Acetic acid","Carbon dioxide","Acetic acid",
00:00:01,      1219,   170.3596,  0.00000e+00, -2.15000e-12,  1.09694e-09,  0.00000e+00, -1.02381e-10, -1.61250e-11,  2.15000e-10,  2.68750e-11,  0.00000e+00,
00:00:01,      1887,   170.4918,  2.44318e-10,  7.74000e-10,  1.97449e-08,  2.86667e-09,  2.53905e-08,  2.07045e-09,  1.93500e-09,  8.04479e-09,  1.86308e-10,
00:00:02,      2554,   170.4918,  6.10795e-09,  1.12950e-08,  2.46811e-07,  7.64444e-09,  3.90071e-08,  2.32845e-09,  1.29000e-09,  8.03864e-09,  5.58925e-10,
00:00:03,      3221,   170.3596,  5.13068e-09,  1.13079e-08,  1.60153e-07,  5.37500e-09,  2.72333e-08,  1.64797e-09,  9.67500e-10,  8.04329e-09,  3.72617e-10,
00:00:03,      3889,   170.4918,  3.90909e-09,  1.13047e-08,  1.16276e-07,  3.94167e-09,  2.19095e-08,  1.22120e-09,  8.60000e-10,  8.05250e-09,  3.72617e-10,
00:00:04,      4557,   170.2274,  3.66477e-09,  9.64275e-09,  9.54337e-08,  3.34444e-09,  1.75071e-08,  1.09112e-09,  6.45000e-10,  8.04329e-09,  1.86308e-10,
00:00:05,      5225,   170.3596,  3.90909e-09,  7.85610e-09,  7.34949e-08,  2.98611e-09,  1.49476e-08,  9.69650e-10,  5.37500e-10,  8.07479e-09,  3.72617e-10,
00:00:05,      5893,   170.6241,  3.42045e-09,  6.78325e-09,  6.25255e-08,  2.50833e-09,  1.34119e-08,  7.78300e-10,  5.37500e-10,  8.07400e-09,  1.86308e-10,
00:00:06,      6561,   170.3596,  3.17614e-09,  5.60720e-09,  5.59439e-08,  2.26944e-09,  1.21833e-08,  7.18100e-10,  6.45000e-10,  8.08779e-09,  3.72617e-10,
00:00:07,      7229,   170.4918,  3.42045e-09,  4.73322e-09,  4.93622e-08,  2.03056e-09,  1.05452e-08,  6.71875e-10,  5.37500e-10,  8.07400e-09,  1.86308e-10,
00:00:07,      7897,   170.3596,  2.93182e-09,  4.34622e-09,  4.38776e-08,  1.79167e-09,  9.82857e-09,  5.94475e-10,  5.37500e-10,  8.08321e-09,  3.72617e-10,
00:00:08,      8565,   170.3596,  2.93182e-09,  4.19572e-09,  4.05867e-08,  1.67222e-09,  9.52143e-09,  5.19225e-10,  5.37500e-10,  8.04100e-09,  1.86308e-10,
00:00:09,      9233,   170.4918,  2.93182e-09,  3.71950e-09,  3.83929e-08,  1.43333e-09,  8.70238e-09,  5.49325e-10,  5.37500e-10,  8.05707e-09,  1.86308e-10,
00:00:09,      9901,   170.3596,  2.68750e-09,  3.29810e-09,  3.40051e-08,  1.43333e-09,  8.39524e-09,  4.62250e-10,  4.30000e-10,  8.04714e-09,  1.86308e-10,
00:00:10,     10551,   170.6241,  2.93182e-09,  2.91862e-09,  3.07143e-08,  1.43333e-09,  7.57619e-09,  4.96650e-10,  4.30000e-10,  8.04786e-09,  3.72617e-10,
00:00:11,     11219,   170.3596,  2.93182e-09,  2.88207e-09,  2.74235e-08,  1.31389e-09,  7.26905e-09,  4.50425e-10,  5.37500e-10,  8.05250e-09,  1.86308e-10,
00:00:11,     11887,   170.3596,  3.17614e-09,  2.55635e-09,  2.74235e-08,  1.55278e-09,  7.26905e-09,  4.48275e-10,  4.30000e-10,  8.06014e-09,  1.86308e-10,
00:00:12,     12555,   170.3596,  2.68750e-09,  2.39080e-09,  2.74235e-08,  1.19444e-09,  6.65476e-09,  3.81625e-10,  4.30000e-10,  8.06479e-09,  1.86308e-10,
00:00:13,     13223,   170.3596,  2.93182e-09,  2.25320e-09,  2.41327e-08,  1.19444e-09,  6.55238e-09,  3.30025e-10,  4.30000e-10,  8.05171e-09,  0.00000e+00,
