0000000375,scans,0000000146,DataLength
"header",0000000028,"lines"
"Date",5/8/2016,"Time",11:46:16 PM
"ID","HAL RC RGA 301 #14852","Version",3
"Scans",9
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Temperature","none",0.40,0.40,0.01,10.000,10.000,1.000000,1.000000,
"Scan 2","RGA","SEM","mass",2.00,2.00,0.01,10.000,10.000,0.440000,1.000000,
"Scan 3","RGA","SEM","mass",14.00,14.00,0.01,10.000,10.000,1.000000,1.000000,
"Scan 4","RGA","SEM","mass",18.00,18.00,0.01,10.000,10.000,0.900000,1.000000,
"Scan 5","RGA","SEM","mass",28.00,28.00,0.01,10.000,10.000,1.050000,1.000000,
"Scan 6","RGA","SEM","mass",29.00,29.00,0.01,10.000,10.000,1.000000,1.000000,
"Scan 7","RGA","SEM","mass",43.00,43.00,0.01,10.000,10.000,1.000000,1.000000,
"Scan 8","RGA","SEM","mass",44.00,44.00,0.01,10.000,10.000,1.400000,1.000000,
"Scan 9","RGA","SEM","mass",60.00,60.00,0.01,10.000,10.000,0.577000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.3,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",1000.000,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1100,"V"
"resolution",0,"%"
"Data",9
"Time","ms","Temperature","Hydrogen","Ketene","Water","Carbon monoxide","Acetaldehyde","Acetic acid","Carbon dioxide","Acetic acid",
00:00:01,      1241,   169.6985,  3.90909e-09,  6.45000e-10,  3.10556e-09,  3.48095e-09,  2.15000e-10,  1.07500e-10,  1.76607e-09, -1.86308e-10,
00:00:01,      1906,   169.6985,  5.75368e-09,  4.88050e-10,  3.37669e-09,  3.43897e-09,  1.02125e-10,  4.19250e-11,  1.49348e-09,  5.58925e-11,
00:00:02,      2551,   169.4340,  5.56800e-09,  1.66517e-10,  3.51524e-09,  3.51678e-09,  4.35375e-11,  3.66575e-11,  1.28462e-09,  3.31629e-11,
00:00:03,      3196,   169.5663,  5.50936e-09,  1.51360e-10,  3.25844e-09,  3.64476e-09,  7.66475e-11,  2.88100e-11,  1.46276e-09,  2.38475e-11,
00:00:03,      3861,   169.3018,  5.57045e-09,  1.90490e-10,  3.26800e-09,  3.47071e-09,  4.27850e-11,  3.79475e-11,  1.34682e-09,  2.83189e-11,
00:00:04,      4526,   169.1696,  5.69016e-09,  1.36632e-10,  3.41850e-09,  3.58538e-09,  5.97700e-11,  4.06350e-11,  1.40134e-09,  2.60832e-11,
00:00:05,      5191,   169.3018,  6.32539e-09,  1.52327e-10,  3.55347e-09,  3.56490e-09,  6.38550e-11,  4.43975e-11,  1.41132e-09,  3.01820e-11,
00:00:05,      5856,   169.0374,  5.89784e-09,  1.26420e-10,  3.69083e-09,  3.58538e-09,  5.69750e-11,  3.80550e-11,  1.33607e-09,  1.47184e-11,
00:00:06,      6521,   169.1696,  5.94914e-09,  1.80600e-10,  3.73622e-09,  3.24854e-09,  7.23475e-11,  4.37525e-11,  1.50116e-09,  2.51516e-11,
00:00:07,      7166,   169.1696,  5.43852e-09,  1.47705e-10,  3.70517e-09,  3.54954e-09,  8.76125e-11,  3.63350e-11,  1.53648e-09,  2.06802e-11,
00:00:07,      7811,   169.3018,  5.58511e-09,  1.52435e-10,  3.51167e-09,  3.58743e-09,  7.74000e-11,  3.09600e-11,  1.29614e-09,  2.29159e-11,
00:00:08,      8476,   169.4340,  5.71459e-09,  1.44372e-10,  3.50211e-09,  3.66011e-09,  7.51425e-11,  4.49350e-11,  1.49118e-09,  3.74480e-11,
00:00:09,      9141,   169.4340,  6.26186e-09,  1.44587e-10,  3.78997e-09,  3.89662e-09,  6.43925e-11,  3.16050e-11,  1.52419e-09,  2.08666e-11,
00:00:09,      9806,   169.4340,  6.11527e-09,  1.53940e-10,  3.69322e-09,  3.50143e-09,  5.83725e-11,  3.32175e-11,  1.44204e-09,  2.90641e-11,
00:00:10,     10471,   169.5663,  6.18857e-09,  1.50607e-10,  3.79356e-09,  3.80550e-09,  6.31025e-11,  4.02050e-11,  1.31764e-09,  3.40945e-11,
00:00:11,     11136,   169.5663,  5.77811e-09,  1.36310e-10,  3.84372e-09,  3.58845e-09,  8.40650e-11,  2.88100e-11,  1.29230e-09,  3.03683e-11,
00:00:11,     11801,   169.6985,  5.97357e-09,  1.26097e-10,  3.62752e-09,  3.57924e-09,  4.77300e-11,  4.66550e-11,  1.35450e-09,  3.55849e-11,
00:00:12,     12466,   169.8307,  5.84409e-09,  1.56305e-10,  3.68008e-09,  3.77990e-09,  6.90150e-11,  3.19275e-11,  1.43819e-09,  2.73873e-11,
00:00:13,     13131,   170.0952,  6.32050e-09,  1.56950e-10,  3.76608e-09,  3.80754e-09,  5.26750e-11,  4.08500e-11,  1.41362e-09,  2.25433e-11,
00:00:13,     13796,   170.2274,  6.79448e-09,  1.48242e-10,  3.71472e-09,  3.84952e-09,  7.79375e-11,  3.83775e-11,  1.46968e-09,  2.51516e-11,
00:00:14,     14461,   170.4918,  5.73414e-09,  1.22227e-10,  3.71113e-09,  4.04097e-09,  6.68650e-11,  5.18150e-11,  1.25698e-09,  3.72617e-11,
00:00:15,     15126,   170.3596,  6.13970e-09,  1.38890e-10,  3.78280e-09,  4.03073e-09,  6.55750e-11,  3.69800e-11,  1.31304e-09,  3.55849e-11,
00:00:15,     15791,   170.7563,  6.73095e-09,  1.36632e-10,  3.91061e-09,  4.17816e-09,  7.53575e-11,  4.69775e-11,  1.31534e-09,  3.03683e-11,
00:00:16,     16456,   170.6241,  6.49152e-09,  1.42222e-10,  4.14711e-09,  4.05735e-09,  7.37450e-11,  3.44000e-11,  1.42130e-09,  2.90641e-11,
00:00:17,     17121,   170.7563,  7.14875e-09,  1.40502e-10,  3.49136e-09,  4.04814e-09,  3.95600e-11,  6.27800e-11,  1.22243e-09,  3.16724e-11,
00:00:17,     17786,   170.6241,  6.47443e-09,  1.56305e-10,  3.91539e-09,  3.84235e-09,  5.61150e-11,  4.08500e-11,  1.29154e-09,  2.04939e-11,
00:00:18,     18451,   170.8885,  6.27898e-09,  1.42007e-10,  3.77086e-09,  3.70516e-09,  5.49325e-11,  5.47175e-11,  1.27618e-09,  2.92504e-11,
00:00:19,     19116,   170.8885,  5.99311e-09,  1.17282e-10,  3.81624e-09,  3.71540e-09,  5.70825e-11,  6.23500e-11,  1.47505e-09,  2.70147e-11,
00:00:19,     19781,   171.1530,  6.70652e-09,  1.28570e-10,  3.89986e-09,  3.75943e-09,  6.31025e-11,  3.70875e-11,  1.19248e-09,  2.98094e-11,
00:00:20,     20446,   171.0207,  6.22277e-09,  1.42437e-10,  3.95002e-09,  3.86795e-09,  7.36375e-11,  4.45050e-11,  1.36601e-09,  3.94974e-11,
00:00:21,     21111,   171.0207,  6.61368e-09,  1.56412e-10,  3.97869e-09,  3.85669e-09,  5.90175e-11,  2.81650e-11,  1.43051e-09,  2.77600e-11,
00:00:21,     21776,   171.2852,  6.46709e-09,  1.40610e-10,  3.99063e-09,  3.98671e-09,  5.47175e-11,  4.10650e-11,  1.36832e-09,  1.62088e-11,
00:00:22,     22441,   171.2852,  6.51595e-09,  1.33085e-10,  3.70636e-09,  3.67854e-09,  6.95525e-11,  3.45075e-11,  1.43205e-09,  1.28553e-11,
00:00:23,     23106,   171.1530,  6.13727e-09,  1.48995e-10,  3.83178e-09,  3.75635e-09,  6.00925e-11,  5.45025e-11,  1.42514e-09,  3.80069e-11,
00:00:23,     23771,   170.8885,  6.26186e-09,  1.30612e-10,  3.94644e-09,  3.66933e-09,  4.85900e-11,  3.99900e-11,  1.30459e-09,  2.96231e-11,
00:00:24,     24436,   171.1530,  6.58682e-09,  1.15885e-10,  4.05991e-09,  3.72257e-09,  5.23525e-11,  3.94525e-11,  1.34375e-09,  3.01820e-11,
00:00:25,     25101,   171.1530,  6.50375e-09,  1.42652e-10,  4.26417e-09,  3.76557e-09,  7.57875e-11,  3.66575e-11,  1.41286e-09,  2.90641e-11,
00:00:25,     25746,   171.0207,  6.75050e-09,  1.43727e-10,  4.08261e-09,  3.86897e-09,  5.05250e-11,  4.67625e-11,  1.52650e-09,  4.73224e-11,
00:00:26,     26411,   170.8885,  5.11602e-09,  1.06855e-10,  3.91419e-09,  3.85464e-09,  6.42850e-11,  4.19250e-11,  1.51421e-09,  3.33492e-11,
00:00:27,     27076,   170.8885,  5.97602e-09,  1.20400e-10,  3.56780e-09,  3.83211e-09,  6.64350e-11,  4.06350e-11,  1.29461e-09,  3.44671e-11,
00:00:27,     27741,   170.8885,  6.39136e-09,  1.27495e-10,  3.86641e-09,  3.58845e-09,  8.17000e-11,  3.78400e-11,  1.48119e-09,  2.27296e-11,
00:00:28,     28406,   170.6241,  5.83920e-09,  1.11262e-10,  3.91180e-09,  3.88229e-09,  6.76175e-11,  3.98825e-11,  1.36909e-09,  2.75737e-11,
00:00:29,     29071,   170.6241,  6.58436e-09,  1.23302e-10,  3.91300e-09,  3.83416e-09,  6.11675e-11,  4.98800e-11,  1.40134e-09,  2.04939e-11,
00:00:29,     29736,   170.6241,  6.34982e-09,  1.20292e-10,  3.96436e-09,  3.86590e-09,  7.70775e-11,  4.91275e-11,  1.44204e-09,  4.63908e-11,
00:00:30,     30401,   170.3596,  6.38891e-09,  1.23840e-10,  4.00974e-09,  3.85054e-09,  7.41750e-11,  3.47225e-11,  1.38061e-09,  2.53380e-11,
00:00:31,     31066,   170.4918,  6.40357e-09,  1.39750e-10,  3.65858e-09,  3.94064e-09,  8.29900e-11,  5.32125e-11,  1.42744e-09,  3.48397e-11,
00:00:31,     31731,   170.3596,  6.16659e-09,  1.26742e-10,  3.71472e-09,  3.93962e-09,  7.03050e-11,  3.76250e-11,  1.53648e-09,  1.73267e-11,
00:00:32,     32396,   170.2274,  6.85311e-09,  1.23840e-10,  3.84252e-09,  3.76045e-09,  7.77225e-11,  3.09600e-11,  1.57411e-09,  4.37825e-11,
00:00:33,     33041,   169.9629,  5.93448e-09,  1.38245e-10,  3.94644e-09,  3.64271e-09,  6.03075e-11,  4.45050e-11,  1.52880e-09,  2.42201e-11,
00:00:33,     33706,   170.0952,  6.64300e-09,  1.46522e-10,  3.97272e-09,  3.95088e-09,  5.90175e-11,  3.87000e-11,  1.61326e-09,  1.76993e-11,
00:00:34,     34371,   170.2274,  6.59659e-09,  1.30720e-10,  3.85686e-09,  3.87819e-09,  6.37475e-11,  3.98825e-11,  1.58716e-09,  4.63908e-11,
00:00:35,     35036,   169.9629,  6.05909e-09,  1.38352e-10,  4.04319e-09,  3.75635e-09,  7.72925e-11,  5.84800e-11,  1.44050e-09,  4.88128e-11,
00:00:35,     35701,   170.0952,  5.90516e-09,  1.10725e-10,  3.78041e-09,  3.75943e-09,  6.86925e-11,  4.05275e-11,  1.47505e-09,  2.49653e-11,
00:00:36,     36366,   169.6985,  6.29607e-09,  1.18572e-10,  4.00139e-09,  3.64578e-09,  6.48225e-11,  5.42875e-11,  1.41746e-09,  4.54593e-11,
00:00:37,     37031,   169.5663,  6.15682e-09,  1.16207e-10,  3.82341e-09,  3.68264e-09,  6.69725e-11,  4.10650e-11,  1.41900e-09,  4.22920e-11,
00:00:37,     37696,   170.0952,  5.57777e-09,  1.16315e-10,  4.50663e-09,  4.35324e-09,  7.15950e-11,  4.47200e-11,  1.50884e-09,  4.28510e-11,
00:00:38,     38361,   170.6241,  6.58193e-09,  1.20185e-10,  4.24863e-09,  4.22526e-09,  9.01925e-11,  3.67650e-11,  1.48119e-09,  2.64558e-11,
00:00:39,     39026,   171.9463,  5.95159e-09,  1.31365e-10,  4.76224e-09,  4.03586e-09,  6.84775e-11,  4.82675e-11,  1.62401e-09,  3.03683e-11,
00:00:39,     39691,   173.2686,  5.67795e-09,  1.38352e-10,  5.30930e-09,  3.89662e-09,  7.37450e-11,  3.97750e-11,  1.66087e-09,  2.90641e-11,
00:00:40,     40356,   176.3098,  6.43045e-09,  1.43942e-10,  4.75030e-09,  3.74202e-09,  5.96625e-11,  6.55750e-11,  1.63476e-09,  3.74480e-11,
00:00:41,     41021,   180.0121,  6.47686e-09,  1.24700e-10,  4.46602e-09,  4.07886e-09,  6.56825e-11,  3.69800e-11,  1.49271e-09,  6.05503e-11,
00:00:41,     41686,   184.9045,  6.73830e-09,  1.39535e-10,  4.42063e-09,  3.65807e-09,  7.65400e-11,  4.53650e-11,  1.54109e-09,  2.79463e-11,
