Fri, Mar 25, 2016	11:57 AM
 Notes: 
 waiting time: 30.000
 time(s)	 temp (K)	 MS1=2.085	 MS2=15.166	 MS3=17.074	 MS4=26.712	 MS5=41.148	 MS6=42.035	 MS7=42.992	 MS8=57.407
0.000	169.500	315.939	35.738	39.321	209.051	-4.181	60.877	-0.877	-1.243
0.787	169.500	312.117	29.030	40.769	216.546	-4.633	55.386	-1.060	-2.245
1.571	169.500	308.315	33.911	42.370	208.085	-4.056	59.929	-0.438	-1.027
2.361	169.500	318.207	33.874	38.974	210.371	-2.645	57.111	-0.743	-1.252
3.148	169.500	321.003	36.437	41.024	213.056	-4.508	61.091	-0.558	-1.457
3.936	169.600	311.812	31.876	37.312	216.245	-3.817	60.747	-0.832	-0.830
4.722	169.600	319.050	34.856	41.471	211.746	-3.943	59.569	-0.920	-1.667
5.511	169.600	311.175	35.392	39.026	206.231	-5.204	59.049	-0.710	-1.810
6.300	169.600	311.480	33.038	41.045	213.126	-4.942	59.270	-0.888	-1.214
7.088	169.600	314.777	35.920	39.032	211.907	-3.508	60.808	0.379	-1.169
7.876	169.600	312.400	31.354	42.720	213.701	-4.291	55.418	-0.391	-1.865
8.666	169.600	309.358	32.078	44.957	215.010	-3.564	57.513	-1.074	-1.393
9.456	169.700	313.280	32.629	47.341	213.937	-4.259	60.536	-1.140	-1.879
10.245	169.900	317.583	35.726	46.597	213.422	-4.068	59.261	-1.095	-0.873
11.032	170.400	314.785	35.319	42.183	220.997	-5.160	57.880	0.045	-0.989
11.818	171.500	310.110	37.412	39.306	214.356	-3.738	59.466	-0.324	-1.376
12.603	172.900	302.868	32.997	39.616	214.931	-4.919	60.047	-1.166	-1.651
13.388	174.800	309.875	35.295	45.473	213.239	-4.013	61.921	-0.304	-1.121
14.178	177.100	313.816	36.150	47.382	214.349	-2.855	61.087	-0.380	-1.123
14.964	179.800	303.704	35.282	43.758	210.262	-4.537	60.640	-1.128	-1.186
15.753	182.900	309.779	34.227	45.497	216.991	-4.179	62.466	-0.674	-0.649
16.543	186.600	313.071	34.611	45.635	215.217	-3.764	60.015	-0.161	-1.435
17.332	190.000	315.379	38.405	42.542	219.305	-3.739	61.229	-0.021	-1.375
18.123	193.500	304.049	35.566	50.520	220.020	-4.742	61.423	-0.454	-1.022
18.910	197.100	313.038	34.691	46.918	209.344	-3.329	59.437	-0.896	-1.499
19.696	200.600	314.445	36.818	48.461	211.838	-4.432	62.461	-0.670	-1.419
20.482	204.200	311.128	33.446	47.790	225.172	-3.816	62.305	-0.010	-0.838
21.269	208.400	311.849	33.887	50.437	211.045	-4.906	58.799	-0.556	-1.014
22.057	212.000	305.686	35.072	50.379	218.754	-3.898	63.761	-0.689	-0.898
22.846	215.600	311.923	38.459	51.980	215.506	-4.282	60.190	-0.353	-1.246
23.635	219.100	305.313	35.860	52.788	212.335	-2.901	61.337	-1.206	-1.222
24.423	222.700	298.695	35.907	53.947	214.559	-4.334	57.621	-1.405	-1.209
25.211	226.200	299.667	31.653	52.624	216.134	-3.322	55.623	-1.075	-1.465
26.000	230.200	310.513	39.812	51.410	215.335	-3.626	59.050	-0.991	-1.933
26.788	233.600	301.099	34.260	50.576	211.673	-4.308	59.952	-0.862	-1.126
27.571	237.000	315.860	35.749	51.263	213.334	-3.946	60.828	-1.106	-1.356
28.359	240.400	304.614	36.184	50.160	213.048	-4.489	60.238	-0.227	-1.564
29.142	243.700	315.071	31.134	51.540	220.492	-2.958	62.248	-0.129	-1.308
29.928	247.100	311.272	34.346	54.983	210.276	-3.775	61.794	-0.446	-1.447
30.716	250.500	300.218	35.102	51.185	218.438	-4.918	63.317	-0.937	-1.496
31.505	254.300	309.151	36.710	54.557	217.877	-3.350	60.422	-0.398	-1.357
32.294	257.600	306.814	36.942	60.042	216.353	-3.654	58.022	-0.707	-1.843
33.080	260.900	309.355	40.870	48.150	215.183	-4.204	58.923	0.132	-2.088
33.865	264.200	307.897	42.477	51.324	212.698	-3.944	59.079	-0.264	-1.496
34.652	267.400	313.321	32.988	53.240	224.049	-4.736	56.693	0.020	-1.326
35.439	270.700	307.971	36.127	53.669	212.282	-3.474	62.309	-0.779	-1.421
36.227	274.300	308.832	36.942	52.855	213.383	-4.633	57.852	-0.561	-1.749
37.016	277.600	314.251	41.513	54.035	216.065	-3.653	57.923	0.368	-1.074
37.803	280.800	319.429	35.174	52.941	212.046	-4.178	58.202	-0.044	-1.046
38.591	284.000	314.102	38.390	55.462	215.468	-3.432	59.333	-0.448	-0.693
